,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Custom Field 1,Twitter,Instagram,Image,Name,Title
0,,0.0,Ricky Johnson,DB,6-1,175.0,Sr.,"Houston, TX / Cy Falls HS",,2L,treyj4_,rjohnsonlll,,,
1,,0.0,Senika McKie,WR,6-1,185.0,Sr.,"Columbia, SC / Ridgeview HS",Erskine College,TR,senikamckie,senikamckie,,,
2,,1.0,Jalen Frazier,DB,5-10,185.0,Sr.,"Charlotte, NC / Hough HS",NC State,TR,@Jalenfrazier_1,@jmfrazier3,,,
3,,2.0,Doug Brumfield,QB,6-5,225.0,Jr.,"Inglewood, CA / Serra HS",,1L,dougiee_b,dougiee.b,,,
4,,2.0,Jaxen Turner,DB,6-2,210.0,Sr.,"Moreno Valley, CA / Rancho Verde HS",Arizona,TR,@jaxenturner,@jaxenturner,,,
5,,3.0,Johnathan Baldwin,DB,6-0,190.0,Jr.,"Houston, TX / Franke Dobie HS",,2L,imjohnoo,imjohnooo,,,
6,,4.0,Jayden Maiava,QB,6-4,220.0,R-Fr.,"Las Vegas, NV / Liberty HS",,RS,jayden_maiava,jayden.maiava,,,
7,,4.0,Jerrae Williams,DB,5-10,185.0,Sr.,"Harvey, LA / John Ehret HS",Arkansas-Monticello,1L,JerraeWilliams7,,,,
8,,5.0,Harrison Bailey,QB,6-5,225.0,Jr.,"Marietta, GA / Marietta HS",Tennessee,1L,HBailey_05,5hb,,,
9,,5.0,Cameron Oliver,DB,6-1,175.0,Jr.,"Richmond, TX / William B. Travis HS",,2L,Cam_oliver05,,,,
10,,6.0,Naki Fahina,DL,6-0,280.0,Sr.,"Hawthorne, CA / Lawndale HS",,3L,AmanakiFahina,,,,
11,,6.0,Jeff Weimer,WR,6-2,215.0,Sr.,"Salinas, CA / Salinas HS/Hartnell College/City College of San Francisco",,1L,JeffreyWeimer80,,,,
12,,7.0,Cameron Friel,QB,6-3,230.0,Jr.,"Kahalu'u, HI / Kailuah HS",,2L,CameronFriel5,c.friel_,,,
13,,7.0,Jackson Woodard,LB,6-3,230.0,Jr.,"Little Rock, AR / Little Rock Christian",Arkansas,TR,@jackson_wood23,@jackson_woodard,,,
14,,8.0,Darius Johnson,DL,6-3,295.0,Sr.,"Spokane, WA / Gonzaga Prep HS/Garden City CC",,1L,Dariusjohnson66,dariusjohnson08,,,
15,,9.0,Alan Jackson,DB,5-10,190.0,Sr.,"Norwalk, CA / Santa Fe HS",Wisconsin Lutheran College,TR,,,,,
16,,10.0,Quinnten Dardis,WR,6-5,195.0,Fr.,"Portland, OR / Mount Scott Learning Center",,HS,,,,,
17,,10.0,Fred Thompkins,ILB,6-0,235.0,Sr.,"Paso Robles, CA / Clovis West HS/City College of San Francisco",,1L,Fredthompkins5,thompkinsjr5,,,
18,,11.0,Zavier Carter,OLB,6-4,205.0,Jr.,"Atlanta, GA / Hapeville Charter Academy",LSU,TR,@ZavierCarter,@17zavier,,,
19,,11.0,Ricky White,WR,6-1,195.0,Jr.,"Marietta, GA / Marietta HS",Michigan State,1L,Only1RW,7livee,,,
20,,13.0,Jordan Eubanks,OLB,6-2,225.0,So.,"Denton, TX / Guyer HS",Florida State,1L,J_Eubanks1,jordan_eubanks1,,,
21,,13.0,Deamikkio Nathan II,WR,6-0,190.0,So.,"Grand Prairie, TX / South Grand Prairie HS",,SQ,_mikkio3,miikkio,,,
22,,14.0,Keith Conley Jr.,OLB,6-3,260.0,Sr.,"Los Angeles, CA / Cathedral HS",Cerritos College,SQ,_nolimitkeith,,,,
23,,14.0,Zyell Griffin,WR,6-2,195.0,Sr.,"Vancouver, WA / Evergreen HS",,3L,Zyell12,zyell.griffin,,,
24,,15.0,Cameren Jenkins,S,6-1,175.0,Fr.,"Lewisville, TX / Lewisville HS",,HS,@1camren,@1camren,,,
25,,16.0,Jett Elad,DB,6-1,205.0,Jr.,"Mississauga, ON Canada / St. Ignatius HS",Garden City CC,TR,@jettelad,@jettelad,,,
26,,16.0,Kalvin Souders,WR,6-2,200.0,Jr.,"Portland, OR / Central Catholic HS",,1L,KalvinSouders,kalvinsouders,,,
27,,17.0,Jordan Jakes,WR,6-6,215.0,Sr.,"Stockbridge, GA / St. Frances Academy (Md.)",Indiana,1L,iamjordanjakes,iamjordanjakes,,,
28,,17.0,Kris Williams,DB,6-0,190.0,Sr.,"Clinton, NC / Clinton HS",Limestone University,1L,byg_noell,byg.51oo,,,
29,,18.0,Shaun Grayson,TE,6-3,235.0,Jr.,"La Mirada, CA / La Mirada HS",,1L,Grayyson_,certified_kiddg,,,
30,,19.0,Kaleo Ballungay,TE,6-6,260.0,Jr.,"Tracy, CA / Kimball HS",,2L,kballungay19,kballungay19,,,
31,,20.0,Trenton Holloway,DB,6-0,190.0,Sr.,"Clovis, CA / Clovis North HS",City College of San Francisco,1L,TrentHolloway3,trentonholloway_20,,,
32,,20.0,Jayvaun Wilson,RB,6-2,210.0,Sr.,"Los Angeles, CA / Valenica HS",Oregon,1L,jayvaunwilson6,jayvaunwilson,,,
33,,21.0,Spencer Briggs,RB,5-11,200.0,Jr.,"Gallatin, TN / Gallatin HS",,1L,S_BRIGGS14,spencerbriggss,,,
34,,21.0,BJ Harris,DB,5-10,165.0,Sr.,"Compton, CA / Bellflower HS",Cerritos College,1L,Bjharris1_,_bjthe1,,,
35,,22.0,Brennon Scott,OLB,6-1,235.0,Jr.,"Lancaster, TX / Bishop Dunne Catholic HS",,1L,BrennonScott9,showtimescott,,,
36,,24.0,Sammy Green,RB,5-8,180.0,So.,"Huntington Beach, CA / Huntington Beach HS",,SQ,Shadygreen9,shadygreen9,,,
37,,25.0,Jordyn Morgan,DB,6-0,190.0,Jr.,"Universal City, TX / Cornerstone Christian HS",Iowa State,1L,Jordyn__Morgan,_jordynmorgan_,,,
38,,25.0,Gary Quarles,RB,5-6,165.0,Sr.,"Tuscaloosa, AL / Paul Bryant HS",Alabama A&M,TR,,,,,
39,,26.0,Ose Egbase,LB,6-4,240.0,Jr.,"Encino, CA / Crespi HS",,1L,Egbase26,ose.egbase,,,
40,,26.0,Courtney Reese,RB,5-8,165.0,Sr.,"Naranja, FL / Southridge Senior HS",,3L,_Reesemoneyy,_cr26_,,,
41,,27.0,Jacob De Jesus,WR,5-7,165.0,Jr.,"Manteca, GA / Manteca HS",Modesto JC,TR,@jacobdejesus21,@jacobd_21,,,
42,,28.0,Fisher Camac,OLB,6-7,240.0,R-Fr.,"Gilbert, AZ / Highland HS",,RS,fishercamac,fishercamac,,,
43,,28.0,Andrew Wimmer,RB,5-10,195.0,R-Jr.,"South Jordan, UT / Bingham HS",Saddleback College/San Diego Mesa College,RS,AJ_BigPlays,aj_bigplays,,,
44,,29.0,Donyai Dixon,DB,6-3,195.0,Sr.,"Baltimore, MD / Reginald Lewis HS",Ventura College,1L,Donyai_Dixon,donyai._,,,
