,Statistic,#,Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,Last School,Major,Image,Title
0,,0.0,"Foreman, Korey",DL,6-4,235.0,Jr.,"Corona, Calif",USC,Centennial HS,Communication,,
1,,0.0,"Lloyd, MarShawn",RB,5-9,215.0,R-Jr.,"Wilmington, Del.",USC,DeMatha Catholic HS / South Carolina,Social Sciences,,
2,,1.0,"Branch, Zachariah",WR,5-10,175.0,Fr.,"Las Vegas, Nev.",USC,Bishop Gorman HS,Real Estate Development,,
3,,1.0,"Jackson, Domani",DB,6-1,190.0,So.,"Santa Ana, Calif.",USC,Mater Dei HS,Communication,,
4,,2.0,"Height, Romello",RUSH,6-3,230.0,R-Jr.,"Dublin, Ga.",USC,Dublin HS / Auburn,American Popular Culture,,
5,,2.0,"Rice, Brenden",WR,6-3,210.0,Sr.,"Chandler, Ariz.",USC,Hamilton HS / Colorado,American Popular Culture,,
6,,4.0,"Williams, Mario",WR,5-9,180.0,Jr.,"Tampa, Fla.",USC,Plant City HS / Oklahoma,Communication,,
7,,4.0,"Williams, Max",DB,5-9,185.0,R-Sr.,"Carson, Calif.",USC,Serra HS,Master's: Gerontology • Bachelor's: Real Estate Development,,
8,,6.0,"Jones, Austin",RB,5-10,205.0,R-Sr.,"Antioch, Calif.",USC,Bishop O’Dowd HS / Stanford,Communication,,
9,,6.0,"Lucas, Anthony",DL,6-5,295.0,So.,"Scottsdale, Ariz.",USC,Chapparal HS / Texas A&M,Undeclared,,
10,,7.0,"Bullock, Calen",DB,6-3,190.0,Jr.,"Pasadena, Calif",USC,John Muir HS,Communication,,
11,,7.0,"Moss, Miller",QB,6-2,210.0,R-So.,"Los Angeles, Calif.",USC,Bishop Alemany HS,"Law, History and Culture",,
12,,8.0,"Branch, Zion",DB,6-2,210.0,R-Fr.,"Las Vegas, Nev.",USC,Bishop Gorman HS,Undeclared,,
13,,8.0,"Nelson, Malachi",QB,6-3,180.0,Fr.,"Los Alamitos, Calif.",USC,Los Alamitos HS,Communication,,
14,,9.0,"Davis, Raesjon",ILB,6-1,225.0,Jr.,"Norco, Calif.",USC,Mater Dei HS,Communication,,
15,,9.0,"Jackson III, Michael",WR,6-0,210.0,Jr.,"Las Vegas, Nev.",USC,Desert Pines HS,Real Estate Development,,
16,,10.0,"Hudson, Kyron",WR,6-1,200.0,R-So.,"Duarte, Calif.",USC,Mater Dei HS,Undeclared,,
17,,10.0,"Muhammad, Jamil",RUSH,6-1,240.0,R-Sr.,"Madison, Ala.",USC,James Clemens HS / Georgia State,Master's: Social Entrepreneurship • Bachelor's: Social Entrepreneurship,,
18,,13.0,"Cobb, Mason",ILB,6-0,230.0,Sr.,"Provo, Utah",USC,Provo HS / Oklahoma State,Social Sciences,,
19,,13.0,"Williams, Caleb",QB,6-1,220.0,Jr.,"Washington, D.C.",USC,Gonzaga College HS / Oklahoma,Communication,,
20,,14.0,"Brown, Raleek",RB,5-8,185.0,So.,"Santa Ana, Calif.",USC,Mater Dei HS,Communication,,
21,,14.0,"Covington, Jacobe",DB,6-2,200.0,R-Jr.,"Chandler, Ariz.",USC,Saguaro HS / Washington,American Popular Culture,,
22,,15.0,"Beavers Jr., Anthony",DB,6-1,210.0,R-So.,"Baldwin Hills, Calif.",USC,St. Bernard HS,Psychology,,
23,,15.0,"Singer, Dorian",WR,6-0,180.0,Jr.,"Saint Paul, Minn.",USC,Pinnacle HS / Arizona,Communication,,
24,,16.0,"Brown, Prophet",DB,5-11,190.0,R-So.,"Sacramento, Calif.",USC,Monterey Trail HS,Communication,,
25,,16.0,"Washington, Tahj",WR,5-10,175.0,R-Sr.,"Marshall, Texas",USC,Marshall HS / Memphis,Social Sciences,,
26,,17.0,"Jensen, Jake",QB,6-1,225.0,Jr.,"Pleasant Grove, Utah",USC,Pleasant Grove HS / BYU / Contra Costa JC,Non-Governmental Organizations and Social Change,,
27,,17.0,"Roland-Wallace, Christian",DB,6-0,205.0,R-Sr.,"Palmdale, Calif.",USC,Williams J. Knight HS / Arizona,Master’s: Gerontology • Bachelor’s: Philosophy,,
28,,18.0,"Gentry, Eric",ILB,6-6,205.0,Jr.,"Philadelphia, Pa.",USC,Saints Neumann Goretti HS / Arizona State,American Popular Culture,,
29,,18.0,"Wolfe, Jude",TE,6-5,250.0,R-Sr.,"Laguna Hills, Calif.",USC,St. John Bosco,Master's: Communication Management • Bachelor's: Real Estate Development,,
