,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Exp.,Image,Name,Title
0,,0.0,"Ballard, Jeremiah",WR,6-3,205.0,R-So.,"Houston, Texas / Dobie HS",UTEP,,,,,
1,,0.0,"Westmoreland, Maurice",DE,6-2,235.0,Jr.,"Houston, Texas / Klein Forest HS",UTEP,Kilgore College,,,,
2,,1.0,"Odums, AJ",CB,5-11,175.0,Jr.,"Houston, Texas / Westfield HS",UTEP,New Mexico,,,,
3,,2.0,"Hardison, Gavin",QB,6-3,215.0,R-Sr.,"Hobbs, N.M. / Hobbs HS",UTEP,NMMI,,,,
4,,2.0,"Hylton, Kobe",S,6-0,205.0,Jr.,"Snellville, Ga. / South Gwinnett HS",UTEP,Louisiana,,,,
5,,3.0,"Williams-Evans, Jaleal",DB,6-1,200.0,So.,"Berkeley, Calif. / Berkeley HS",UTEP,College of San Francisco,,,,
6,,4.0,"Akharaiyi, Kelly",WR,6-1,194.0,R-Jr.,"Irving, Texas / MacArthur HS",UTEP,Tyler JC,,,,
7,,4.0,"Franklin, Mike",RB,6-2,225.0,Jr.,"Daphne, Ala. / Daphne HS",UTEP,Contra Costa College,,,,
8,,4.0,"Wilson Jr., Jerome",LB,6-2,229.0,R-So.,"Etiwanda, Calif. / Etiwanda HS",UTEP,,,,,
9,,5.0,"Burgess Jr., Torrance",RB,5-6,175.0,Jr.,"Pearland, Texas / Dawson HS",UTEP,Tyler JC,,,,
10,,5.0,"Neal, James",LB,6-0,223.0,R-Jr.,"Paris, Texas / Paris HS",UTEP,Tyler JC,,,,
11,,6.0,"McNamara, Jake",QB,5-11,189.0,R-Fr.,"Franklin, Tenn. / Page HS",UTEP,,,,,
12,,7.0,"Johnson, Kadarion",DL,6-1,300.0,Jr.,"Houston, Texas / Hightower HS",UTEP,Kilgore College,,,,
13,,8.0,"Richardson, Torey",CB,6-0,183.0,R-Jr.,"Tomball, Texas / Memorial HS",UTEP,Blinn JC,,,,
14,,8.0,"White, Emari",WR,6-0,185.0,R-So.,"Antelope, Calif. / Center",UTEP,Sierra College,,,,
15,,9.0,"Clarke, Jostein",WR,6-3,195.0,R-Jr.,"Prosper, Texas / Prosper HS",UTEP,Tyler JC,,,,
16,,9.0,"Shelton, Latrez",CB,6-1,192.0,Jr.,"St. Louis, Mo. / Cardinal Ritter",UTEP,Iowa Western CC,,,,
17,,10.0,"Hurley, Kevin",QB,6-3,233.0,R-Jr.,"Walnut, Miss. / Walnut HS",UTEP,NE Mississippi CC,,,,
18,,10.0,"Knight, Tyrice",LB,6-2,235.0,R-Sr.,"Lakeland, Fla. / Lake Gibson HS",UTEP,Independence CC,,,,
19,,11.0,"McConnell, Cade",QB,6-1,195.0,R-So.,"Los Alamitos, Calif. / Los Alamitos HS",UTEP,Cerritos College,,,,
20,,11.0,"Moore, Oscar",S,6-1,208.0,Jr.,"Eaton, Texas / V.R. Eaton HS",UTEP,Kilgore College,,,,
21,,12.0,"Gardere, Javoni",WR,6-0,195.0,R-So.,"Dublin, Calif. / Dublin HS",UTEP,Diablo Valley College,,,,
22,,12.0,"Hugue, Trejon",S,6-0,181.0,Sr.,"Mansfield, Texas / Lake Ridge HS",UTEP,Cisco College,,,,
23,,13.0,"Hunter, Jayce",DB,6-0,185.0,Jr.,"Mission Viejo, Calif. / Capistrano Valley HS",UTEP,Saddleback College,,,,
24,,13.0,"Sloan, Joshua",P,6-2,189.0,Jr.,"Melbourne, Australia / Mackillop College",UTEP,ProKick Australia,,,,
25,,14.0,"Boyd-Matthews, Amier",CB,6-1,180.0,R-Fr.,"Tempe, Ariz. / Mountain Pointe HS",UTEP,,,,,
26,,14.0,"Rodriguez, Zach",QB,6-3,195.0,R-So.,"El Paso, Texas / El Paso HS",UTEP,,,,,
27,,15.0,"Thompson, Bryton",DE,6-1,246.0,Sr.,"Harker Heights, Texas / Atascocita HS",UTEP,Blinn College,,,,
28,,16.0,"Mouser, Seth",QB,6-5,200.0,Fr.,"Bastrop, Texas / Bastrop HS",UTEP,,,,,
29,,16.0,"Williams, Tyler",S,6-0,195.0,R-So.,"Santa Maria, Calif. / St. Joseph HS",UTEP,,,,,
30,,17.0,"Ezinwa, Judah",TE,6-3,240.0,So.,"Fontana, Calif. / Etiwanda HS",UTEP,Mt. SAC,,,,
31,,17.0,"Phillips, Josh",LB,6-3,220.0,Jr.,"Grenada, Miss / Grenada HS",UTEP,Mississipi Gulf Coast,,,,
32,,18.0,"Burris III, John",CB,6-0,176.0,R-So.,"Mesquite, Texas / Mesquite Horn HS",UTEP,,,,,
33,,18.0,"Gonzales, Ryan",WR,5-8,169.0,So.,"El Paso, Texas / Eastwood HS",UTEP,,,,,
34,,19.0,"Spriggs, Dre",WR,6-2,180.0,R-So.,"San Antonio, Texas / Harlan HS",UTEP,UTSA,,,,
35,,20.0,"Byrd, Kenny",LB,6-0,225.0,Jr.,"York, S.C. / Myrtle Beach HS",UTEP,NE Mississippi CC,,,,
36,,20.0,"Triche, Daryon",RB,5-9,190.0,R-So.,"Cedar Hills, Texas / Cedar Hill HS",UTEP,Sam Houston,,,,
37,,21.0,"Bellon, Marcus",WR,5-9,180.0,Jr.,"Truckee, Calif. / Truckee HS",UTEP,Santa Barbara CC,,,,
38,,21.0,"Cameron, Stefan",CB,5-11,185.0,Jr.,"St. Louis, Mo. / Kirkwood HS",UTEP,Foothill College,,,,
39,,22.0,"Allen, Josiah",DB,5-10,179.0,Jr.,"Elk Grove, Calif. / Franklin HS",UTEP,Sacramento City College,,,,
40,,23.0,"Amaewhule, Praise",DE,6-3,250.0,R-Sr.,"Katy, Texas / Katy Taylor HS",UTEP,,,,,
41,,24.0,"Broussard, McKel",DB,6-0,192.0,R-Jr.,"Sherman Oaks, Calif / Notre Dame HS",UTEP,,,,,
42,,27.0,"Burns, Davis",S,6-0,192.0,R-So.,"El Paso, Texas / Coronado HS",UTEP,Coronado HS,,,,
43,,28.0,"Walker, Cartraven",RB,5-6,175.0,R-Jr.,"Mansfield, Texas / Lake Ridge HS",UTEP,Cisco College,,,,
44,,29.0,"Muhammad, Atiq",CB,6-2,187.0,R-Fr.,"Rockford, Ill. / Guilford HS",UTEP,,,,,
45,,30.0,"Dyman, Nate",LB,6-2,223.0,Jr.,"Missouri City, Texas / Westbury Christian HS",UTEP,Blinn College,,,,
46,,31.0,"Bellamy, D'Angelo",DB,6-1,207.0,Sr.,"Modesto, Calif. / Central Catholic",UTEP,Modesto JC,,,,
47,,31.0,"Wann, Matt",DE,6-2,235.0,Jr.,"Fullerton, Calif. / Troy HS",UTEP,Santa Ana College,,,,
48,,32.0,"Johnson, Ilijah",CB,5-11,170.0,R-So.,"Maricopa, Ariz. / Maricopa HS",UTEP,,,,,
49,,33.0,"Hankins, Deion",RB,6-0,226.0,R-Jr.,"El Paso, Texas / Parkland HS",UTEP,,,,,
50,,33.0,"McIver-Brown, Dresden",DT,6-0,259.0,R-So.,"Selma, Texas / Veterans Memorial HS",UTEP,,,,,
51,,34.0,"Liggins, Kiante",LB,6-0,236.0,R-So.,"El Paso, Texas / Andress HS",UTEP,,,,,
52,,35.0,"Essih, Zachary",FB/LB,5-8,213.0,R-Fr.,"Arlington, Texas / Mansfield Timberview HS",UTEP,,,,,
53,,36.0,"Flabiano, Buzz",K/P,6-0,175.0,R-Fr.,"Plano East, Texas / Plano East HS",UTEP,,,,,
