,Number,Name,Position,Class,Height,Weight,Hometown,High School,Current School Name
0,3.0,Quincy Skinner Jr.,WR,Junior,"6'2""",205.0,"Pompano Beach, Fla.",St. Thomas Aquinas,Vanderbilt
1,4.0,Patrick Smith,RB,Junior,"5'9""",188.0,"Atlantic City, N.J.",Holy Spirit,Vanderbilt
2,7.0,Marlen Sewell,S,Junior,"6'1""",195.0,"Birmingham, Ala.",Shades Valley,Vanderbilt
3,8.0,Tyson Russell,CB,Junior,"5'11""",187.0,"Plantation, Fla.",St. Thomas Aquinas,Vanderbilt
4,8.0,Ken Seals,QB,Senior,"6'3""",225.0,"Azle, Texas",Weatherford,Vanderbilt
5,9.0,Daevion Davis,DL,Graduate,"6'1""",285.0,"Madison, Ala.",James Clemens,Vanderbilt
6,12.0,Walter Taylor,QB,Sophomore,"6'6""",235.0,"Jackson, Ala.",Jackson,Vanderbilt
7,12.0,Errington Truesdell,LB,Junior,"6'0""",220.0,"Duluth, Ga.",Woodward Academy,Vanderbilt
8,13.0,CJ Taylor,LB/S,Junior,"6'1""",201.0,"McMinnville, Tenn.",Warren County,Vanderbilt
9,13.0,AJ Swann,QB,Sophomore,"6'3""",220.0,"White, Ga.",Cherokee,Vanderbilt
10,14.0,Will Sheppard,WR,Senior,"6'3""",195.0,"Mandeville, La.",Mandeville,Vanderbilt
11,16.0,Jayden McGowan,WR,Sophomore,"5'8""",181.0,"Laurens, S.C.",Laurens District 55,Vanderbilt
12,17.0,Alex Brown,DE/LB,Graduate,"6'2""",265.0,"San Antonio, Texas",Claudia Taylor Johnson,Vanderbilt
13,17.0,Drew Dickey,QB,Sophomore,"6'1""",210.0,"Austin, Texas",Regents School,Vanderbilt
14,18.0,Logan Kyle,TE,Senior,"6'3""",220.0,"Cypress, Texas",Tomball Memorial,Vanderbilt
15,18.0,Hayden Moses,QB,Junior,"5'9""",165.0,"Hollis, N.H.",Brighton Academy,Vanderbilt
16,19.0,Kane Patterson,LB,Graduate,"6'1""",234.0,"Nashville, Tenn.",Christ Presbyterian Academy,Vanderbilt
17,22.0,John Howse IV,S,Junior,"6'1""",195.0,"Nashville, Tenn.",Brentwood,Vanderbilt
18,23.0,Jaylen Mahoney,DB,Graduate,"5'11""",200.0,"Rock Hill, S.C.",South Pointe,Vanderbilt
19,26.0,BJ Anderson,CB,Graduate,"6'1""",200.0,"Andalusia, Ala.",Andalusia,Vanderbilt
20,27.0,Quantaves Gaskins,CB,Sophomore,"6'1""",185.0,"Atlanta, Ga.",Hapeville Charter,Vanderbilt
21,28.0,Steven Sannieniola,S,Sophomore,"6'2""",195.0,"Bowie, Md.",Quince Orchard,Vanderbilt
22,29.0,Miles Capers,DE/LB,Junior,"6'4""",235.0,"Sumter, S.C.",Sumter,Vanderbilt
