,Number,Name,Class,Position,Height,Weight,Hometown,High School,Previous School,Twitter,Instagram
0,0.0,Cody Brown,Junior,RB,5-10,227.0,"Lilburn, Ga.",Parkview,Miami,@_codywbrown,@cb7ven
1,0.0,Antonio Clary,Fifth Year,S,6-0,199.0,"Jacksonville, Fla.",Sandalwood,,@AntonioClary,@a_clary21
2,1.0,Paul Akere,Graduate Student,DE,6-4,275.0,"Carrollton, Texas",Hebron (TX),Columbia,@theakere,@theakere
3,2.0,Stevie Bracey,Sophomore,LB,6-0,231.0,"Atlanta, Ga.",Lovett School,,@Stevie_Bracey,@stevie.bracey
4,2.0,Perris Jones,Fifth Year,RB,5-7,180.0,"Alexandria, Va.",Episcopal HS,,@p_m_j,@perrisjones10
5,3.0,Delaney Crawford,Sophomore,QB,6-2,193.0,"Corona, Calif.",Corona Senior,,@doitlikedelaney,@doitlikedelaney
6,3.0,Langston Long,Junior,S,6-2,215.0,"Woodbridge, Va.",Christ School (N.C.),,@11_03forever,@lexlong03
7,4.0,Dave Herard,Senior,CB,6-0,194.0,"Fort Lauderdale, Fla.",Stranahan HS,,@Dave_era5,@d5ive___
8,4.0,Malik Washington,Graduate Student,WR,5-9,190.0,"Lawrenceville, Ga.",Parkview,Northwestern,@malik_w2,@malik6__
9,5.0,Kobe Pace,Senior,RB,5-10,205.0,"Cedartown, Ga.",Cedartown,Clemson,@KobePace_,@ kobepace_
10,6.0,Demick Starling,Senior,WR,6-0,188.0,"Nashville, Tenn.",East Nashville Magnet HS,,@dstarling16,@meek.1k
11,7.0,Mike Hollins,Fifth Year,RB,5-9,208.0,"Baton Rouge, La.",University Lab HS,,@MikeHollins7,@mikehollins_
12,7.0,James Jackson,Junior,LB,6-3,228.0,"Roanoke, Va.",North Cross HS,,@jamesjacks0n,@officialjamesjackson
13,8.0,Malachi Fields,Junior,WR,6-4,214.0,"Keswick, Va.",Monticello HS,,,@m_fields8
14,8.0,Cam'Ron Kelly,Graduate Student,S,6-2,210.0,"South Norfolk, Va.",Oscar Smith,North Carolina,@CamRonJKelly,@camronkelly
15,9.0,Amaad Foston,Junior,RB,6-0,218.0,"Milledgeville, Ga.",John Milledge Academy,,@AmaadFoston,@_af20__
16,9.0,Coen King,Sixth Year,S,6-0,191.0,"Culpeper, Va.",Eastern View HS,,@coenking_,@coenking_
17,10.0,Anthony Colandrea,Freshman,QB,6-0,182.0,"St. Petersburg, Fla.",Lakewood,,@Acolandrea10,@A_colandrea10
18,10.0,Ben Smiley III,Fifth Year,DE,6-4,274.0,"Chesapeake, Va.",Indian River HS,,@BenSmiley9,@bs9_._
19,11.0,Tony Muskett,Senior,QB,6-2,210.0,"Springfield, Va.",West Springfield,Monmouth,@TonyMuskett,@tonymuskett11
20,11.0,William Simpkins III,Junior,CB,6-1,182.0,"Gaithersburg, Md.",Quince Orchard HS,,@WNS_III,@girldattswill
21,13.0,Jared Rayman,Fifth Year,QB,6-2,195.0,"Atlanta, Ga.",Pace Academy,,@jaredrayman,@jaredrayman
22,13.0,Hunter Stewart,Fifth Year,DE,6-3,242.0,"Alexandria, Va.",Gonzaga College HS,,,@stewie_13
23,14.0,Davis Lane Jr.,Sophomore,QB,6-1,188.0,"Lynchburg, Va.",Liberty Christian Academy,,@DavisLane_,@DavisLane_
24,15.0,Chico Bennett Jr.,Fifth Year,DE,6-4,252.0,"Ashburn, Va.",Battle Ground Academy (Tenn.),Georgia Tech,@Chico_Bennett24,@thechicobennett
25,16.0,Trey McDonald,Sophomore,LB,6-3,217.0,"Chattanooga, Tenn.",Baylor School,,@TreyDMcDonald,@trey.mcdonald.2
26,16.0,Jay Woolfolk,Junior,QB,5-11,200.0,"Chesterfield, Va.",Benedictine College Prep,,@WoolfolkJay,@jay.woolfolk
27,17.0,Aidan Ryan,Junior,S,6-0,201.0,"Fredericksburg, Va.",James Monroe HS,,@aaidannn,@1aidanryan
28,17.0,Sean Wilson,Sophomore,WR,6-4,219.0,"Brooklyn, N.Y.",Canarsie,,,
29,18.0,Michael Diatta,Junior,DT,6-4,268.0,"Antioch, Tenn.",Cane Ridge HS,,@d1mike_58,@d1atta_
30,18.0,Jaden Gibson,Freshman,WR,6-1,185.0,"Rabun County, Ga.",Rabun County,,@JadenGibson20,@jaden_gibson6
31,19.0,Olasunkonmi Agunloye,Senior,DT,6-5,283.0,"Lindenhurst, N.Y.",Lindenhurst HS,,@Sunkonmi_james,@Sunkonmi.Agunloye
32,19.0,Grady Brosterhous,Sophomore,QB,6-2,212.0,"Weddington, N.C.",Weddington High School,,@gbrosterhous12,@gradybrosterhous
33,20.0,Xavier Brown,Sophomore,RB,5-9,186.0,"Lexington, Ky.",Lexington Christian,,@XavierBrown22,@zeyy_._
34,20.0,Jonas Sanker,Junior,S,6-1,204.0,"Charlottesville, Va.",The Covenant School,,@jonassanker,@jo_sanker
35,21.0,Donovan Johnson Sr.,Senior,S,6-2,200.0,"New Orleans, La.",Helen Cox HS,,,@donovanjj_
36,21.0,Landon Spell,Sophomore,WR,5-11,187.0,"Virginia Beach, Va.",Ocean Lakes High School,,,
37,22.0,Elijah Gaines,Senior,CB,6-1,201.0,"Queens, N.Y.",Episcopal (Va.),,@Elijah11Gaines,@eli.bandoo
38,22.0,Devin Sherwood,Sophomore,QB,5-10,191.0,"Austintown, Ohio",Austintown Fitch High School,,@devin2s,@devin2s
39,23.0,Tayvonn Kyle,Graduate Student,CB,5-11,189.0,"Valdosta, Ga.",Lowndes,Iowa State,@tayvonnk,@mr.versat1l3
40,25.0,Terrell Jones,Junior,DT,6-4,266.0,"Hoover, Ala.",Hoover,,@JonesT2022,@Edge.TT
41,26.0,Ethan Davies,Junior,WR,5-10,189.0,"Fairfax, Va.",West Springfield,,@edavies26,@edavies26
42,27.0,KJ Bratton,Sophomore,WR,5-8,174.0,"Roanoke, Va.",Lord Botetourt High School,,@brattonkj,@whereiskj__
43,28.0,Sam Brady,Junior,LB,6-3,229.0,"Lincolnton, N.C.",North Lincoln HS,,@sam_brady8,@sambrady.10
44,30.0,Addie Burrow,Senior,S,6-1,190.0,"Spotsylvania, Va.",Courtland,,@addieburrow,@aburrow_
45,31.0,Micah Gaffney,Junior,CB,5-11,193.0,"Spanish Fort, Ala.",Spanish Fort HS,,@gaffney_micah,@micah.gaffney
46,32.0,Luke Byrne,Junior,LS,6-1,217.0,"McLean, Va.",Bishop O'Connell,,@luke_byrne23,@luke_byrne23
47,33.0,Josh Ahern,Fifth Year,LB,6-3,234.0,"Burke, Va.",Lake Braddock HS,,@joshahern2,@joshahern8
48,34.0,Ant Fisher,Sophomore,CB,5-11,175.0,"Henrico, Va.",Varina High School,,,
49,34.0,Jack Griese,Sophomore,RB,6-0,224.0,"Chantilly, Va.",Chantilly High School,,@jack_griese,@jack_griese_
50,36.0,Carlo Thompson,Sophomore,S,5-11,174.0,"Richmond, Va.",Varina High School,,@Cthompson4_,@Cthompson4_
51,37.0,John Hurley,Sophomore,S,5-11,171.0,"Vienna, Va.",James Madison High School,,,
52,38.0,Daniel Sparks,Senior,P,6-6,203.0,"Gadsden, Ala.",Gadsden City,Minnesota,@Dsparks115,@dsparks_14
53,39.0,Robbie Engelberg,Sophomore,S,5-11,188.0,"Alexandria, Va.",Maret School,,@Robbieengelberg,@robbie_e3
54,41.0,Will Bettridge,Sophomore,K,5-10,173.0,"Miami, Fla.",Gulliver Prep,,@will_bettridge,@will_bettridge2
55,42.0,Kendall Cross,Junior,LB,6-0,237.0,"Chesterfield, Va.",Clover Hill,,@kendallcross44,@kendallcross
56,43.0,Logan Kotter,Sophomore,LB,6-0,202.0,"Ashburn, Va.",Briar Woods,,,
57,44.0,Brayden Sheffer,Junior,DE,6-2,227.0,"West Point, Va.",West Point HS,,@that_kid_sheff,@brayden_sheffer
58,44.0,Sackett Wood Jr.,Senior,TE,6-4,244.0,"Lynchburg, Va.",E.C. Glass,,,@sackett6
59,45.0,Aidan Livingston,Graduate Student,LS,5-11,229.0,"Huntington Beach, Calif.",Mater Dei,Boston College,@LivingstonAidan,@aidanlivingston
60,47.0,Vadin Bruot,Sophomore,K,5-11,197.0,"Haymarket, Va.",Battlefield,,@BruotVA,
61,49.0,Josh McCarron,Junior,LB,6-2,217.0,"Mukilteo, Wash.",Archbishop Murphy,,@josh_mccarron8,@joshua.mccarron
62,51.0,Ryan Attaway,Junior,LB,6-0,219.0,"Milton, Ga.",Blessed Trinity Catholic,,@thattaway36,@ryanattaway
63,51.0,Ty Furnish,Junior,C,6-3,279.0,"Woodstock, Ga.",Blessed Trinity Catholic,,@furnishty,@tyfurnish
64,52.0,McKale Boley,Sophomore,OT,6-4,331.0,"Hattiesburg, Miss.",Oak Grove,,@boley_mckale,@Mckale.boley
65,52.0,Nate Morris,Senior,DE,6-1,227.0,"Glen Allen, Va.",Glen Allen,,@nate_morriss,@nate.morris11
66,53.0,Dawson Alters,Sophomore,C,6-2,271.0,"Miami, Fla.",St. Thomas Aquinas,,@Dawson_alters,@D.Alters
67,54.0,Joseph Holland III,Junior,DE,6-4,223.0,"Culpeper, Va.",Culpeper County,,@jhollandiii,@jhollandiii
68,54.0,Blake Steen,Sophomore,OG,6-5,340.0,"Miami, Fla.",St. Thomas Aquinas,,@_Blake_Steen_,@blake_.steen
69,56.0,Caleb Stoltz,Senior,DE,6-3,250.0,"Palmyra, Va.",Fluvanna County,,@caleb_stoltz,@caleb_stoltz
70,58.0,Noah Hartsoe,Sophomore,OG,6-3,320.0,"Henrico, Va.",John Tucker,,,
71,59.0,Jack Hardy,Senior,DE,6-1,236.0,"Fredericksburg, Va.",James Monroe,,@jack_hardy_8,@jacktothehardy
72,60.0,Charlie Patterson,Junior,OT,6-6,281.0,"Roswell, Ga.",Fellowship Christian,,@CharliePatt78,@_charlie_patterson
73,63.0,Joey Kagel,Junior,C,6-0,266.0,"Virginia Beach, Va.",Catholic,,@jbkagel,@jbkagel
74,68.0,Jack Witmer,Junior,OT,6-7,252.0,"Cypress, Texas",Cy-Fair HS,,@_jackwitmer,@jack.witmer
75,69.0,Luke Johnson,Senior,OG,6-4,276.0,"Annandale, Va.",The Peddie School (N.J.),,@lukejohnson0312,@lukee.johnson
76,70.0,Grant Lanham,Junior,OG,6-4,314.0,"Cincinnati, Ohio",Indian Hill,,@grantlanham3,@grant_lanham
77,71.0,Ugonna Nnanna,Senior,OT,6-4,300.0,"Arlington, Texas",Seguin,Houston,@Ugonna_58,
78,72.0,Snoop Leota-Amaama,Sophomore,OG,6-4,364.0,"Lehi, Utah",Skyridge,,@Tapuvae1,
79,74.0,Noah DeMeritt,Sophomore,OG,6-5,360.0,"Kingsland, Ga.",Camden County,,@DeMerittNoah,@Noah.demeritt74
80,75.0,Houston Curry,Sophomore,OT,6-5,270.0,"Fountain Inn, S.C.",Hillcrest,,@Houston_Curry,@houston_curry
81,77.0,Noah Josey,Junior,OG,6-5,316.0,"Brentwood, Tenn.",Brentwood Academy,,@noahjosey,@noah.josey
82,78.0,Jestus Johnson III,Junior,C,6-3,306.0,"Laurel, Md.",Gonzaga College H.S.,,@_JJiii_,@_jestus_
83,79.0,Colby McGhee,Junior,OT,6-3,298.0,"Orange, Va.",Orange County HS,,@Colby55M,@colbymcghee
84,82.0,Kam Butler,Graduate Student,DE,6-3,265.0,"Florence, Ky.",Covington Catholic,Miami (Ohio),@kbzzz__,@kbzzz__
85,82.0,Eli Wood,Sophomore,WR,6-1,194.0,"Lynchburg, Va.",E.C. Glass,,,
86,83.0,Dakota Twitty,Sophomore,WR,6-4,223.0,"Columbus, N.C.",Thomas Jefferson Classical,,@dakota_twitty,@dtwit17
87,84.0,Dillon Tennyson,Junior,WR,5-7,170.0,"Chesterfield, Va.",Benedictine College Prep,,@TennysonDillon,@povadt1
88,85.0,Grant Misch,Sixth Year,TE,6-5,247.0,"Sterling, Va.",Potomac Falls HS,,@Granymisch,@grantmisch85
89,88.0,Karson Gay,Sophomore,TE,6-5,225.0,"Chattanooga, Tenn.",Boyd-Buchanan School,,@G1Karson,@g1karson
90,88.0,Lorenz Terry,Junior,DE,6-5,247.0,"Sandston, Va.",Varina HS/Fork Union Military Academy,,@lorenzterry1,@allhailglo
91,89.0,Sam Bond,Senior,DT,6-3,249.0,"Fredon, N.J.",Blair Academy,,@samuelbond51,@sambond973
92,89.0,Joshua Rawlings,Senior,TE,6-6,252.0,"Pittsburgh, Pa.",Woodland Hills HS,,@jraw089,@jraw089
93,90.0,Jahmeer Carter,Senior,DT,6-2,313.0,"Baltimore, Md.",Archbishop Spalding,,@iamjahmeer,@iamjahmeer
94,92.0,Andrew Williams,Junior,DT,6-3,275.0,"Fredericksburg, Va.",James Monroe,,,@arwill2
95,93.0,Henry Duke,Junior,TE,6-5,228.0,"Henrico, Va.",Mills E. Godwin,,@HenryDuke2021,@henryduke2
96,93.0,Jonathan Horton,Senior,DE,6-3,210.0,"Baton Rouge, La.",Scotlandville Magnet HS,,@BIGJONDOP,@bigjond.o.p
97,94.0,Aaron Faumui,Sixth Year,DT,6-2,282.0,"Honolulu, Hawaii",Kapolei HS,,@aaronfaumui,@alongaboi
98,96.0,Bryce Carter,Junior,DT,6-3,271.0,"South Chesterfield, Va.",Life Christian Academy,,@BryceACarter_9,@mr.carter_9
99,98.0,Bryce Purnell,Sophomore,DT,6-1,227.0,"Edgewater, Md.",Archbishop Spalding,,,
0,,Tony Elliott,,The Fralin Family Head Football Coach,,,,,,,
1,,Des Kitchings,,Offensive Coordinator/Tight Ends,,,,,,,
2,,John Rudzinski,,Defensive Coordinator / Defensive Backs,,,,,,,
3,,Keith Gaither,,Special Teams Coordinator/Running Backs,,,,,,,
4,,Curome Cox,,Defensive Passing Game Coordinator / Defensive Backs,,,,,,,
5,,Kevin Downing,,Defensive Tackles,,,,,,,
6,,Terry Heffernan,,Offensive Line,,,,,,,
7,,Taylor Lamb,,Quarterbacks,,,,,,,
8,,Adam Mims,,Wide Receivers,,,,,,,
9,,Chris Slade,,Defensive Ends,,,,,,,
10,,Clint Sintim,,Linebackers,,,,,,,
11,,Joe Spaziani,,Offensive Graduate Assistant,,,,,,,
12,,Maverick Morris,,Graduate Assistant,,,,,,,
13,,Coy DeWeese,,Graduate Assistant,,,,,,,
14,,C.J. Stalker,,Defensive Analyst,,,,,,,
15,,Drew Meyer,,Special Teams Analyst,,,,,,,
