,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Previous School,Instagram,Twitter,Image,Name,Title
0,,1.0,Jeremiah Aaron,WR,5-10,187.0,Jr.,"Natchitoches, La. / Pearland",West Virginia,Navarro CC,j.aaron6,TheRealJayAaron,,,
1,,28.0,Jaylen Anderson,RB,5-11,214.0,R-So.,"Perry, Ohio / Perry",West Virginia,,Jaylen.a1,JaylxnAnderson1,,,
2,,18.0,Tirek Austin-Cave,LB,6-1,235.0,Jr.,"Pennsauken, N.J. / Camden",West Virginia,Miami,_tcave,_tcave,,,
3,,10.0,Jared Bartlett,BAN,6-2,236.0,R-Jr.,"Miami, Fla. / Collins Hill (Ga.)",West Virginia,,jaredbartlett_,BARTLITT,,,
4,,98.0,Leighton Bechdel,K/P,5-11,208.0,R-Jr.,"Towson, Md. / Towson",West Virginia,,leighton_2,BechdelLeighton,,,
5,,57.0,Derek Berlitz,DL,6-1,256.0,R-Fr.,"Catawissa, Pa. / Southern Columbia",West Virginia,,,,,,
6,,63.0,Bryce Biggs,OL,6-4,306.0,R-So.,"Ashland, Ky. / Spring Valley",West Virginia,,bryce.biggs3,biggs_bryce,,,
7,,36.0,Caden Biser,LB,6-0,229.0,R-So.,"Morgantown, W.Va. / Morgantown",West Virginia,,Caden.biser36,BiserCaden,,,
8,,16.0,Sean Boyle,QB,6-2,204.0,Fr.,"Charlotte, N.C. / Charlotte Catholic",West Virginia,,,,,,
9,,11.0,Cortez Braham,WR,6-2,201.0,Sr.,"Baltimore, Md. / Westwood (S.C.)",West Virginia,Hutchinson CC,slick.tez,slick_tez,,,
10,,38.0,Donald Brandel,LB,6-0,217.0,R-Fr.,"Morgantown, W.Va. / University",West Virginia,,,,,,
11,,43.0,Austin Brinkman,LS,6-4,233.0,Jr.,"Bel Air, Md. / The John Carroll School",West Virginia,,brinkman.austin,b17_austin,,,
12,,2.0,Aubrey Burks,S,5-11,202.0,Jr.,"Oakridge, Fla. / Auburndale",West Virginia,,humble.ab,aubreyburks14,,,
13,,35.0,Aric Burton,DL,6-5,212.0,R-Fr.,"Heufeld, Germany / Clearwater International Academy (Fla.)",West Virginia,,lil_ab_1,BurtonAric,,,
14,,5.0,Devin Carter,WR,6-3,215.0,5th,"Clayton, N.C. / Clayton",West Virginia,NC State,,,,,
15,,84.0,Hudson Clement,WR,6-1,198.0,R-Fr.,"Martinsburg, W.Va. / Martinsburg",West Virginia,,,,,,
16,,23.0,Keyshawn Cobb,S,5-10,207.0,Jr.,"Fort Valley, Ga. / Peach Valley",West Virginia,Buffalo,,,,,
17,,83.0,C.J. Cole,WR,6-4,207.0,R-So.,"Washington, Pa. / McGuffey",West Virginia,,cjcole83,CJ_Cole11,,,
18,,16.0,Caleb Coleman,S,6-2,201.0,R-So.,"Phenix City, Ala. / Smith's Station",West Virginia,Hutchinson CC,calebcoleman16,calebctwenty20,,,
19,,32.0,Raleigh Collins III,SP,6-2,195.0,R-Fr.,"Newark, Del. / Neumann Goretti",West Virginia,,raleigh.collins,_RaleighCollins,,,
20,,17.0,Jackson Crist,QB,6-2,203.0,R-So.,"Canfield, Ohio / Canfield",West Virginia,,Jackson8Crist,Jackson8Crist,,,
21,,15.0,Ben Cutter,LB,6-0,216.0,Fr.,"Denver, N.C. / East Lincoln",West Virginia,,,,,,
22,,81.0,Treylan Davis,TE/FB,6-3,263.0,R-So.,"Jackson, Ohio / Jackson",West Virginia,,treylandavis81,treylandavis22,,,
23,,47.0,Anthony Del Negro,DL,6-0,246.0,Red 5th,"Boemia, N.Y. / Connetquot",West Virginia,Stony Brook,,,,,
24,,5.0,Lance Dixon,SP,6-2,225.0,R-Jr.,"Oak Park, Mich. / West Bloomfield",West Virginia,Penn State,lance__dixon,lance__dixon,,,
25,,86.0,Will Dixon,TE/FB,6-5,227.0,R-Fr.,"Hillsborough, N.J. / Hillsborough",West Virginia,,,,,,
26,,4.0,CJ Donaldson Jr.,RB,6-2,239.0,So.,"Miami, Fla. / Gulliver Prep",West Virginia,,c4our_,Sp3Cj,,,
27,,30.0,Brayden Dudley,DL,6-2,243.0,R-So.,"Buford, Ga. / Mill Creek",West Virginia,,dudley_x_b,dudley_brayden,,,
28,,25.0,Tyler Evans,WR,5-7,185.0,R-Fr.,"Austintown, Ohio / Austintown Fitch",West Virginia,,,,,,
29,,89.0,Carson Everhart,TE/FB,6-5,220.0,R-Fr.,"East Wenatchee, Wash. / Eastmont",West Virginia,,,,,,
30,,33.0,Jairo Faverus,LB,6-0,212.0,R-So.,"Amsterdam, The Nethelands / Bristol Academy of Sports",West Virginia,,youngfasa,jairofaverus,,,
31,,49.0,Taran Fitzpatrick,WR,6-1,187.0,R-Fr.,"Charleston, W.Va. / George Washington",West Virginia,,,,,,
32,,24.0,Marcis Floyd,S,6-0,196.0,R-Sr.,"Louisville, Ky. / Du Pont Manual",West Virginia,Murray State,,,,,
33,,29.0,Preston Fox,WR,5-10,188.0,R-So.,"Morgantown, W.Va. / Morgantown",West Virginia,,pfox021,p_fox21,,,
34,,54.0,Zach Frazier,OL,6-3,310.0,Jr.,"Fairmont, W.Va. / Fairmont Senior",West Virginia,,frazier54,zfrazier54,,,
