,Statistic,#,Name,Pos.,Class,Ht.,Wt.,Hometown / High School,Twitter,Instagram,Image,Title
0,,0.0,DaShon Bussell,CB,R-Sr.,6-1,185.0,"Knoxville, Tenn. / Knoxville Catholic",dashon_bussell,dashon_bussell,,
1,,0.0,Jehlani Galloway,WR,Gr.,5-11,185.0,"Providence, R.I. / Boston College",_Jgallowayyy,jehlani.galloway,,
2,,1.0,Bilhal Kone,CB,So.,6-2,190.0,"Apple Valley, Min. / Indiana State",,,,
3,,2.0,Treyson Bourguet,QB,R-Fr.,6-1,200.0,"Tucson, Ariz. / Salpointe Catholic",treysonbourguet,treysonbourguet_,,
4,,2.0,Keni-H Lovely,CB,R-Sr.,5-10,176.0,"Boynton Beach, Fla. / Atlantic",NoFlyZone_nih,2gng.legend,,
5,,3.0,Tate Hallock,S,Sr.,6-4,210.0,"Grand Rapids, Mich. / Michigan State",,,,
6,,3.0,CJ Hester,RB,Fr.,5-11,190.0,"Cincinnati, Ohio / Wyoming",,,,
7,,4.0,Tony Martin,WR,Fr.,5-10,175.0,"Pahokee, Fla. / Pahokee",,,,
8,,4.0,Damari Roberson,LB,R-Jr.,6-1,205.0,"Muskegon, Mich. / Mona Shores",Robersonkid_10,four_reasons4,,
9,,5.0,Anthony Sambucci,WR,Jr.,6-1,190.0,"Lemont, Ill. / Lemont",SambucciAnthony,anthony.sambucci,,
10,,6.0,Jack Salopek,QB,R-So.,6-3,186.0,"Irwin, Pa. / Norwin",JackSalopek,jack_salopek,,
11,,6.0,Jelani Willis,LB,R-So.,6-1,218.0,"Memphis, Tenn. / Bartlett",_JWILL10,fresco.jwill,,
12,,7.0,Mareyohn Hrabowski,QB,R-So.,6-2,229.0,"River Rouge, Mich. / River Rouge",Marey7k,marey1k,,
13,,7.0,Anthony Romphf,DB,Jr.,6-0,185.0,"Southfield, MIch. / Purdue",ARomphf15,aromphf,,
14,,9.0,Anthony Enechukwu,S,R-So.,6-2,195.0,"Lagos, Nigeria / Orchard Lake St. Mary's",antenechukwu,antchukwu,,
15,,10.0,Zahir Abdus-Salaam,RB,Jr.,5-9,195.0,"Newark, N.J. / Union City",AbdusZahir,z.salaam10,,
16,,11.0,Tyren Mason,WR,R-So.,6-0,179.0,"Elkhart, Ind. / Elkhart",trilly3tyren,champagnetrilly1,,
17,,11.0,Jeremiah Piper,CB,Jr.,5-9,170.0,"Southfield, Mich. / Southfield A&T",hoodiexpipe,hoodiexpipe,,
18,,12.0,Dillon Moore,LB,R-Fr.,6-2,223.0,"Indianapolis, Ind. / Ben Davis",moore_dillon,dillon12moore,,
19,,13.0,Henry Wilson Jr.,WR,R-So.,5-11,186.0,"Chicago, Ill. / St. Rita of Cascia",upnext_hwj13,henrydayoungin,,
20,,14.0,Stone Hollenbach,QB,Jr.,6-3,217.0,"Catawissa, Pa. / Alabama",HollenbachStone,stonecold_14,,
21,,15.0,Keith Jones Jr.,CB,R-Jr.,5-10,183.0,"St. Louis, Mo. / Cardinal Ritter",therealkeithjo,keithcoldheart,,
22,,15.0,Kaevion Mack,WR,R-So.,6-2,201.0,"Peoria, Ill. / Peoria",kaevionm2001,kae7ion,,
23,,16.0,Mark Konecny,QB,So.,6-0,195.0,"Muskegon, Mich. / Mona Shores",mark_konecny4,mark.konecny,,
24,,17.0,Malique Dieudonne,WR,R-So.,6-0,170.0,"Naples, Fla. / Palmetto Ridge",10lique,mliique,,
25,,17.0,Eric Wenzel,S,R-Jr.,6-1,195.0,"Kalamazoo, Mich. / Hackett Catholic",EricWenzel5,ericwenzel5,,
26,,18.0,Nate Anderson,WR,R-Fr.,6-0,175.0,"Fort Wayne, Ind. / Homestead",nateanderson_22,nateanderson_22,,
27,,19.0,Willie Berris,WR,R-Fr.,5-10,180.0,"East Kentwood, Mich. / Lipscomb Academy",WillieBerris,willieberris,,
28,,21.0,Giacomo Iraci,S,R-So.,6-1,190.0,"Oak Lawn, Ill. / Brother Rice",g21raci,g21raci,,
29,,22.0,Boone Bonnema,LB,R-Jr.,6-3,235.0,"Zeeland, Mich. / Zeeland",BooneBonnema,boone_bonnema,,
