,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Image,Title
0,,0.0,Braelon Allen,RB,6-2,240.0,Jr.,"Fond du Lac, Wis.",Wisconsin,Fond du Lac,,,
1,,1.0,Chez Mellusi,RB,5-11,208.0,Gr.,"Naples, Fla.",Wisconsin,Naples,Clemson,,
2,,2.0,Ricardo Hallman,CB,5-10,180.0,R-So.,"Miami, Fla.",Wisconsin,University School,,,
3,,3.0,T.J. Bollers,OLB,6-2,268.0,R-So.,"Tiffin, Iowa",Wisconsin,Clear Creek Amana,,,
4,,3.0,Keontez Lewis,WR,6-2,187.0,Jr.,"East St. Louis, Ill.",Wisconsin,East St. Louis,UCLA,,
5,,4.0,A'Khoury Lyde,CB,5-9,190.0,R-Fr.,"Paterson, N.J.",Wisconsin,DePaul Catholic,,,
6,,4.0,C.J. Williams,WR,6-1,197.0,So.,"Mission Viejo, Calif.",Wisconsin,Mater Dei,USC,,
7,,5.0,Quincy Burroughs,WR,6-3,203.0,R-Fr.,"Jacksonville, Fla.",Wisconsin,Raines,Cincinnati,,
8,,7.0,Nick Evers,QB,6-3,190.0,R-Fr.,"Flower Mound, Texas",Wisconsin,Flower Mound,Oklahoma,,
9,,7.0,Spencer Lytle,ILB,6-2,228.0,R-Sr.,"Redondo Beach, Calif.",Wisconsin,St. John Bosco,,,
10,,8.0,Avyonne Jones,CB,5-11,193.0,R-Fr.,"Southlake, Texas",Wisconsin,Carroll,,,
11,,8.0,Tanner Mordecai,QB,6-2,215.0,R-Sr.,"Waco, Texas",Wisconsin,Midway,Oklahoma/SMU,,
12,,9.0,Austin Brown,S,6-1,207.0,So.,"Johnston City, Ill.",Wisconsin,Johnston City,,,
13,,9.0,Bryson Green,WR,6-0,205.0,R-Jr.,"Allen, Texas",Wisconsin,Allen,Oklahoma State,,
14,,11.0,Skyler Bell,WR,6-0,195.0,R-So.,"Bronx, N.Y.",Wisconsin,The Taft School,,,
15,,11.0,Alexander Smith,CB,5-11,190.0,Gr.,"Culver City, Calif.",Wisconsin,Culver City,,,
16,,12.0,Marshall Howe,QB,6-1,193.0,R-Fr.,"Pacific Palisades, Calif.",Wisconsin,Avon Old Farms (Conn.),,,
17,,12.0,Max Lofy,CB,5-10,190.0,R-Jr.,"Colorado Springs, Colo.",Wisconsin,Pine Creek,,,
