,Name,Title,Current School Name
73,Keith Patterson,Head Football Coach,Abilene Christian
74,Skyler Cassity,Defensive Coordinator,Abilene Christian
75,Ryan Pugh,Offensive Coordinator / Offensive Line Coach,Abilene Christian
76,Julian Wilson,Defensive Backs Coach,Abilene Christian
77,Matt Clark,Quarterbacks Coach/Special Teams Coordinator,Abilene Christian
78,Conor Dubin,Linebackers Coach,Abilene Christian
79,Steven Thrash,Wide Receivers Coach,Abilene Christian
80,Jerale Badon,Running Backs Coach,Abilene Christian
81,Dan Phillips,Defensive Line Coach,Abilene Christian
82,Drew Cunningham,Senior Defensive Analyst,Abilene Christian
83,Devonte Danzey,Tight Ends Coach,Abilene Christian
84,Koy Richardson,Defensive Graduate Assistant,Abilene Christian
85,Curtis Chiaverini,Offensive Graduate Assistant,Abilene Christian
86,Jordan Seawright,Associate AD/Football Chief of Staff,Abilene Christian
87,Corey Smith,Director of Strength and Conditioning for Football,Abilene Christian
88,Reid Miller,Assistant Strength and Conditioning Coach,Abilene Christian
89,James Smith,Video Coordinator,Abilene Christian
90,Payden Eason,Equipment Manager,Abilene Christian
175,Connell Maynor,Head Football Coach,Alabama A&M
176,Kienus Boulware,Defensive Coordinator/Linebackers Coach,Alabama A&M
177,Jason Mai,Quarterbacks Coach,Alabama A&M
178,Fred Farrier,Running Backs Coach/Recruiting Coordinator,Alabama A&M
179,Marvin Bohannon,Safeties Coach,Alabama A&M
181,Adam Goggans,Defensive Ends Coach,Alabama A&M
182,Markus Lawrence,Offensive Line Coach,Alabama A&M
183,Cedric Pearl,Defensive Tackles Coach,Alabama A&M
184,Bobby Turner,Tight Ends and Fullbacks Coach/Pro Football Liaison,Alabama A&M
185,Richard Wilson,Kickers Coach,Alabama A&M
186,Elgie Hurd,Defensive Graduate Assistant,Alabama A&M
187,Dedrick Bartie,Head Strength and Conditioning Coach,Alabama A&M
281,"Eddie Robinson, Jr.",Head Coach,Alabama State
282,"Harry Williams, Jr.",Offensive Coordinator,Alabama State
283,Ryan Lewis Sr.,Defensive Coordinator | LB,Alabama State
