,Statistic,No.,Image,Name,Yr.,Pos.,Hgt.,Wgt.,Current School Name,Hometown,Previous School,High School,Title
0,,0.0,,Marquez Beason,R-So.,CB,5-11,185.0,Alabama A&M,"Dallas, Texas",Univ. of Illinois,,
1,,1.0,,Brian Plummer,R-So.,S,6-4,225.0,Alabama A&M,"Gaithersburg, Md.",Buffalo,Quince Orchard HS,
2,,2.0,,Terrell Gardner,Sr.,WR,5-8,160.0,Alabama A&M,"Birmingham, Ala.",,Ramsay HS,
3,,3.0,,Jacolby Hewitt,Sr.,WR,6-1,210.0,Alabama A&M,"Memphis, Tenn.",Florida International,Cordova HS,
4,,3.0,,Donivan Wright,R-So.,WR,6-0,170.0,Alabama A&M,"Indianapolis, Ind.",Eastern Michigan,Lawrence Central HS,
5,,4.0,,Zareon Hayes,R-So.,DE,6-1,240.0,Alabama A&M,"Dillon, S.C.",Appalachian State Univ.,,
6,,4.0,,Cameron Young,R-Sr.,WR,5-9,175.0,Alabama A&M,"Daphne, Ala.",Daphne HS,Daphne HS,
7,,5.0,,Darin Turner,R-Fr.,WR,6-3,215.0,Alabama A&M,"Memphis, Tenn.",Arkansas,Memphis Central HS,
8,,6.0,,Jamarion Ellis,R-So.,DE,6-0,232.0,Alabama A&M,"Eastman, Ga.",Georgia State,IMG Academy,
9,,6.0,,Keenan Hambrick,So.,WR,6-4,205.0,Alabama A&M,"Athens, Ala.",Western Carolina Univ.,,
10,,7.0,,Donovan Eaglin,R-So.,RB,5-11,226.0,Alabama A&M,"Houston, Texas",Michigan State,Marvel HS,
11,,8.0,,Davion Bradshaw,Sr.,CB,5-11,160.0,Alabama A&M,"Pompano Beach, Fla.",,Blanche Ely HS,
12,,9.0,,Ja'Marian Green,R-Sr.,S,6-1,180.0,Alabama A&M,"Belle Glade, Fla.",,Glades Central HS,
13,,9.0,,Jordan Mitchell,R-Jr.,DE,6-0,220.0,Alabama A&M,"Beulaville, N.C.",Appalachian State,East Duplin HS,
14,,10.0,,Shykeim Gloster-Pace,R-Jr.,DE,6-4,220.0,Alabama A&M,"Opa Locka, Fla.",Florida International,Monsignor Pace HS,
15,,11.0,,Kevin Thomas Jr.,R-Fr.,WR,6-3,200.0,Alabama A&M,"Philadelphia, Pa.",,Neumann-Coretti,
16,,12.0,,Marcael O'Neal,Jr.,WR,6-0,190.0,Alabama A&M,"Dayton, Ohio",,,
17,,13.0,,Braxton Toliver,R-Fr.,WR,6-1,177.0,Alabama A&M,"Montgomery, Ala.",,,
18,,13.0,,Zavier Wright,R-So.,QB,6-1,210.0,Alabama A&M,"Atlanta, Ga.",,Tucker HS,
19,,14.0,,Nicolas Lee,Jr.,WR,5-5,147.0,Alabama A&M,"Birmingham, Ala.",,,
20,,16.0,,Xavier Lankford,So.,QB,6-2,195.0,Alabama A&M,"Pelham, Ala.",Pelham HS,Pelham HS,
21,,17.0,,Howard Thornton,Fr.,QB,6-2,190.0,Alabama A&M,"Columbus, Ohio",,Walnut Ridge HS,
22,,17.0,,Tervae Williams,Jr.,S,6-3,210.0,Alabama A&M,"Guthrie, Okla.",Northeastern Oklahoma,Guthrie HS,
23,,18.0,,Ashley Tucker Jr.,Fr.,QB,6-2,190.0,Alabama A&M,"Los Angeles, Calif.",,Leuzinger HS,
24,,19.0,,Nikobe Myers,R-So.,S,6-1,220.0,Alabama A&M,"Walled Lake, Mich.",Michigan State,Blair Academy,
25,,20.0,,Kenny Wilkins,Jr.,RB,5-11,230.0,Alabama A&M,"Cleveland, Ohio",Marshall Univ.,,
26,,21.0,,Anthony Fieldings,R-Fr.,CB,5-10,175.0,Alabama A&M,"Apopka, Fla.",,Apopka HS,
27,,23.0,,Isaiah Nwokenkwo,R-So.,RB,5-8,195.0,Alabama A&M,"Bradley, Ill.",College of DuPage,Bradley-Bourbonnais HS,
28,,23.0,,Justin Pinkney,So.,S,6-0,170.0,Alabama A&M,"Compton, Calif.",Southwest Minnesota State,Junipero Serra HS,
29,,24.0,,Avian Rice,R-Fr.,S,6-1,210.0,Alabama A&M,"Fort Myers, Fla.",,Dunbar HS,
30,,25.0,,Tierphill Bien-Aime,Fr.,CB,6-0,170.0,Alabama A&M,"Fort Lauderdale, Fla.",,,
31,,25.0,,Joshua Malone,So.,RB,5-11,190.0,Alabama A&M,"Huntsville, Ala.",,Madison Academy,
32,,26.0,,Andrew Lockhart,Fr.,CB,5-10,190.0,Alabama A&M,"Detroit, Mich.",,Ernest W. Seaholm HS,
33,,26.0,,Lynn Pettway,Fr.,S,5-9,170.0,Alabama A&M,"Montgomery, Ala.",,Park Crossing HS,
34,,28.0,,Miles Gilmore,Fr.,S,5-7,180.0,Alabama A&M,"Detroit, Mich.",,Cass Tech HS,
35,,29.0,,Theopholis Gibson-Byars,Fr.,CB,5-10,185.0,Alabama A&M,"Midfield, Ala.",,Midfield HS/,
36,,29.0,,Jeffrey Rowser,So.,RB,5-9,185.0,Alabama A&M,"Birmingham, Ala.",,Ramsay HS,
37,,30.0,,DJ Moffett,R-So.,RB,5-10,200.0,Alabama A&M,"Phenix City, Ala.",,,
38,,31.0,,Rayquan Williams,Fr.,CB,6-1,175.0,Alabama A&M,"Memphis, Tenn.",Oregon,Germantown HS,
39,,32.0,,Marvin Smith,R-Fr.,S,6-2,220.0,Alabama A&M,"Loganville, Ga.",Grayson HS,,
40,,34.0,,Carldelle Patrick,Fr.,S,5-11,180.0,Alabama A&M,"Semmes, Ala.",,Mary G. Montgomery HS,
41,,36.0,,Mark Anthony Grey,R-So.,RB,5-10,180.0,Alabama A&M,"Columbus, Ohio",,Reynoldsburg HS,
42,,40.0,,William Curtis II,Fr.,K,5-11,,Alabama A&M,"Trussville, Ala.",,Hewitt-Trussville HS,
43,,41.0,,Evan Craighead,R-So.,LB,6-3,218.0,Alabama A&M,"Madison, Ala.",Samford,Madison Academy,
44,,41.0,,William Ford,Fr.,S,5-11,190.0,Alabama A&M,"Montgomery, Ala.",,Park Crossing HS,
45,,42.0,,Barry White,Fr.,TE,6-1,190.0,Alabama A&M,"Birmingham, Ala.",,Pinson Valley HS,
46,,44.0,,Malik Pertee,So.,DT,6-1,306.0,Alabama A&M,"Ocala, Fla.",Troy Univ.,,
47,,46.0,,Sean Benton Jr.,R-Fr.,TE,6-2,180.0,Alabama A&M,"Houston, Texas",Cypress Ridge HS,,
48,,49.0,,Victor Barbosa,So.,K,6-0,190.0,Alabama A&M,"Hialeah Gardens, Fla.",Florida Memorial,Hialeah Mater Academy,
49,,50.0,,Dimitris Biamby,So.,LB,5-10,200.0,Alabama A&M,"Coral Gables, Fla.",,Coral Gables Senior HS,
