,Statistic,Image,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Academic Year.1,Twitter
0,,,S,6-3,187.0,Fr.,"Shelby,N.C. / Burns HS",Fr.,@lthegoat23
1,,,DB,6-1,190.0,Fr.,"Clanton, Ala. / Chilton County",Fr.,@jakeveon2
2,,,RB,5-10,190.0,Fr.,"Montgomery, Ala. / Sidney Lanier HS",Fr.,@2_FastOne
3,,,OL,6-4,315.0,Fr.,"Birmingham, Ala. / Minor HS",Fr.,
4,,,DE,6-6,215.0,Fr.,"Laplace, LA. / East St. John High School",Fr.,@d3vin__
5,,,OL,6-4,270.0,Jr.,"Fairburn, Ga. / Langston Hughes HS",Jr.,
6,,,CB,6-1,190.0,Fr.,"Acworth, Ga. / Allatoona high",Fr.,@aj_fitts
7,,,WR,5-11,190.0,Jr.,"LaGrange, Ga. / Callaway HS",Jr.,
8,,,WR,6-2,195.0,Fr.,"White Plains, MD / St. John's HS",Fr.,
9,,,WR,6-0,182.0,Fr.,"Daytona Beach, FL / Mainland HS",Fr.,
10,,,WR,6-0,170.0,Fr.,"New Orleans, LA / George Washington Carver HS",Fr.,
11,,,WR,5-10,170.0,Fr.,"Birmingham, Ala. / Ramsay HS",Fr.,@thejalenjones
12,,,TE,6-4,240.0,Jr.,"Mobile, Ala. / Murphy HS",Jr.,
13,,,DB,6-2,200.0,Fr.,"Garden, Ca. / Junipero Serra High School",Fr.,@CordellMontgom9
14,,,DB,6-1,191.0,So.,"Birmingham, Ala. / Pinson Valley HS",So.,
15,,,QB,6-3,225.0,Fr.,"Cerritos, Calif. / Gahr HS",Fr.,
16,,,DB,6-3,210.0,Fr.,"Gordo, Ala. / Gordo HS",Fr.,@Kohlsummerville
17,,,CB,6-2,185.0,Fr.,"Jacksonville, Fla. / Riverside HS",Fr.,
