,Statistic,#,Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Image,Title
0,,0.0,Jarveon Howard,RB,5-10,200.0,R-Sr.,"Columbia, Miss.",Alcorn State,East Marion HS,,
1,,1.0,Tevarrius Adams,WR,6-1,190.0,R-So.,"Meridian, Miss.",Alcorn State,Meridian HS,,
2,,2.0,Terreance Ellis,LB,6-2,211.0,So.,"Pearland, Texas",Alcorn State,Shadow Creek HS,,
3,,2.0,Malik Rodgers,WR,5-10,170.0,R-Jr.,"Pearland, Texas",Alcorn State,Shadow Creek HS,,
4,,3.0,CJ Bolar,WR,6-1,190.0,Sr.,"Purvis, Miss.",Alcorn State,Purvis HS,,
5,,3.0,Derrick Travis,DB,6-1,175.0,Jr.,"Poplarville, Miss.",Alcorn State,Poplarville HS,,
6,,4.0,Aaron Allen,QB,6-1,200.0,Jr.,"Missouri City, Texas",Alcorn State,Ridge Point HS,,
7,,4.0,Emanuel Dabney,DB,6-0,180.0,Gr.,"Jackson, Miss.",Alcorn State,Callaway HS,,
8,,5.0,Niko Duffey,RB,5-11,175.0,Jr.,"Tampa, Fla.",Alcorn State,Jefferson HS,,
9,,5.0,Keyron Kinsler Jr.,DB,5-11,185.0,R-Sr.,"Micanopy, Fla.",Alcorn State,North Marion HS,,
10,,6.0,Akeem McNair,WR,5-9,200.0,Jr.,"Collins, Miss.",Alcorn State,Collins HS,,
11,,7.0,Tim McNair Jr.,WR,6-2,185.0,R-Sr.,"Collins, Miss.",Alcorn State,Prentiss HS,,
12,,8.0,Napoleon Collier,DB,5-9,175.0,R-Sr.,"Ridgeland, Miss.",Alcorn State,Ridgeland HS,,
13,,8.0,LaDarius Fair,WR,6-2,185.0,So.,"Desoto, Texas",Alcorn State,Lancaster HS,,
14,,10.0,Manny Jones,WR,5-7,170.0,R-Sr.,"Amory, Miss.",Alcorn State,Amory HS,,
15,,10.0,Wallace Melton,DB,6-1,190.0,Jr.,"Phenix City, Ala.",Alcorn State,Central HS,,
16,,11.0,Jaquez Dew,LB,6-2,210.0,R-Jr.,"Ellenwood, Ga.",Alcorn State,Whitfield Academy,,
17,,12.0,Mason Caldwell,P/K,5-9,159.0,R-Jr.,"Lake Charles, La.",Alcorn State,Barbe HS,,
18,,12.0,Kole Williams,QB,6-2,200.0,So.,"Montgomery, Ala.",Alcorn State,Carver HS,,
19,,13.0,Macarius Blount,DB,6-0,190.0,Sr.,"Phoenix, Ariz.",Alcorn State,Mountain Pointe HS,,
20,,13.0,Tre Lawrence,QB,6-3,185.0,So.,"Jacksonville, Fla.",Alcorn State,Mandarin HS,,
