,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
0,,0.0,Rosendo Louis,LB,6-2,240.0,Gr.,"Pompano Beach, Fla. / Deerfield Beach HS",Deerfield Beach HS,,
1,,1.0,Omari Hill-Robinson,CB,5-10,160.0,5th,"Fort Lauderdale, Fla. / Dillard HS",,,
2,,2.0,Reyan Blake,SAF,5-11,200.0,Jr.,"Pahokee, Fla. / Seminole Ridge HS",Connecticut,,
3,,2.0,Marcus Riley,WR,5-10,170.0,R-Sr.,"Tallahassee, Fla. / Rickards HS",Louisville,,
4,,5.0,Jaquan Jackson,CB,6-3,180.0,R-So.,"Dothan, Ala. / Dothan HS",Southeast Missouri State,,
5,,6.0,Jimmie Robinson III,RB,5-7,175.0,R-Sr.,"Hastings, Fla. / Flagler Palm Coast HS",,,
6,,7.0,Ge'Mon Eaford,LB,6-2,220.0,R-Jr.,"Pompano Beach, Fla. / Deerfield Beach HS",Oregon,,
7,,8.0,Devuntray Hampton,SAF,5-10,180.0,R-Sr.,"Pahokee, Fla. / Pahokee HS",Palmetto Prep,,
8,,8.0,Dylaan Lee,WR,6-0,185.0,Gr.,"West Palm Beach, FLA. / William T. Dwyer HS",Moorpark College,,
9,,10.0,Kahlil Overton,TE,6-5,230.0,R-Jr.,"Dallas, Texas / Episcopal HS",Florida International,,
10,,11.0,Cameron Overton,WR,6-3,180.0,R-Jr.,"Dallas, Texas / Episcopal HS",Florida International,,
11,,12.0,Dacarri Allen-Johnson,WR,5-7,170.0,Jr.,"Orlando, Fla. / Jones HS",,,
12,,13.0,Daveno Ellington,WR,6-0,175.0,R-Jr.,"Panama City, Fla. / Mosley HS",,,
13,,14.0,Jerrold Pough,CB,6-0,180.0,R-So.,"Hollywood, Fla. / McArthur HS",Cisco College,,
14,,15.0,Tyrone Franklin Jr.,QB,6-2,180.0,R-So.,"Montgomery, Ala / Robert E. Lee HS",,,
15,,16.0,Nebanye Moore,QB,6-2,215.0,R-Fr.,"Statesville, N.C. / Statesville HS",Palmetto Prep,,
16,,16.0,Joshua Thornhill,FS,6-0,175.0,R-So.,"Liberty Township, Ohio / Lakota East HS",,,
17,,17.0,Amarie Jones,LB,6-2,225.0,Jr.,"Ruskin, Fla. / Lennard HS",,,
18,,17.0,Walter Simmons,QB,6-2,200.0,R-So.,"Orange Park, Fla. / Oakleaf HS",East Carolina,,
19,,19.0,Ethan Dattilio,QB,6-4,210.0,R-Fr.,"Palm Coast, Fla. / Matanzas HS",Fort Scott CC,,
20,,19.0,Adrian Hall,DE,6-1,280.0,R-So.,"Rockledge, Fla. / Rockledge HS",Tennessee Tech,,
21,,23.0,Uriah Ratliff,SS,5-10,175.0,R-Jr.,"Jacksonville, Fla. / Raines HS",,,
22,,24.0,Darnell Deas,SAF,5-10,175.0,So.,"Pompano Beach, Fla / Blanche Ely HS",,,
23,,25.0,Terry Lindsey,RB,5-11,185.0,R-So.,"Ft. Myers, Fla / Evangelical Christian",,,
24,,26.0,James Evans,RB,5-11,210.0,R-Fr.,"Tampa, Fla. / Tampa Bay Tech",,,
25,,26.0,Caleb Sutherland,CB,6-0,187.0,Gr.,"Seffner, Fla. / Armwood HS",Toledo,,
26,,30.0,Jalen Christian,SS,5-10,180.0,Jr.,"Lakeland, Fla. / Lakeland HS",,,
27,,31.0,Benjamin Chombe,SAF,6-0,190.0,Gr.,"Ottawa, Ont. / Episcopal HS",Advance Prep,,
