,Statistic,#,Full Name,Pos.,Year,Ht.,Wt.,Hometown,High School,C,Image,Name,Title
0,,0.0,Treyvon Hobbs,DB,Jr.,6-0,180.0,"Jacksonville, Fla.",William M. Raines,,,,
1,,1.0,Jordan McIntyre,WR,So.,6-1,195.0,"Chatsworth, Calif.",Chaminade College Preparatory,,,,
2,,1.0,Josh Ofili,DB,Sr.,6-2,205.0,"Katy, Texas",Cinco Ranch,,,,
3,,2.0,Samuel Baddoo,WR,So.,5-10,185.0,"Providence, R.I.",Classical,,,,
4,,2.0,Joseph Shell,DB,Sr.,6-1,205.0,"Frederick, Md.",Tuscarora,,,,
5,,3.0,Jalen Fisher,DB,Sr.,6-0,195.0,"Los Angeles, Calif.",Chaminade College Prep,,,,
6,,3.0,Jake Willcox,QB,Jr.,6-2,195.0,"Everett, Mass.",Milton Academy,,,,
7,,5.0,Nate Lussier,QB,Jr.,6-3,220.0,"North Providence, R.I.",La Salle Academy,,,,
8,,5.0,Harrison Ochs,CB,Sr.,5-11,175.0,"Indianapolis, Ind.",North Central,,,,
9,,6.0,Aaden Bessette,Team IMPACT,,-,,,,,,,
10,,6.0,Kris Diallo,DB,Sr.,6-2,210.0,"Chicago, Ill.",Elmwood Park,,,,
11,,7.0,Cortland Dicks,QB,So.,6-2,205.0,"Bridgeport, Conn.",Deerfield Academy (Mass.),,,,
12,,7.0,Griffin McGovern,DB,Sr.,6-1,205.0,"Emerson, N.J.",Bergen Catholic,,,,
13,,8.0,Malcolm Brunson,ILB,Sr.,6-1,225.0,"Plainfield, N.J.",The Hun School,,,,
14,,9.0,Ethan Royer,ILB,Sr.,6-2,240.0,"Hilliard, Ohio",Hilliard Davidson,,,,
15,,10.0,Will Jarvis,QB,So.,6-1,205.0,"Walpole, Mass.",Walpole,,,,
16,,11.0,Mac Franklin,OLB,Jr.,6-2,225.0,"Scottsdale, Ariz.",Pinnacle,,,,
17,,12.0,Junior Gafa,OLB,Sr.,5-10,220.0,"San Pedro, Calif.",St. John Bosco,*,,,
18,,12.0,Aidan Gilman,QB,Sr.,6-3,220.0,"Westfield, N.J.",Seton Hall Prep,,,,
19,,13.0,Chris Boyle,TE,Sr.,6-4,245.0,"Columbus, Ohio",Columbus Academy,,,,
20,,14.0,Ty Holtz,QB,Fr.,5-11,190.0,"DeWitt, Mich.",DeWitt,,,,
21,,14.0,Isaiah Reed,DB,So.,6-0,180.0,"Tampa, Fla.",Seffner Christian Academy,,,,
22,,15.0,Michael Walsh,QB,Sr.,6-2,215.0,"East Greenwich, R.I.",Moses Brown,,,,
23,,16.0,Graham Walker,WR,Jr.,6-3,215.0,"Hinesburg, Vt.",Avon Old Farms (Conn.),,,,
24,,17.0,Noble Cooper III,WR,So.,5-11,190.0,"Blythewood, S.C.",Blythewood,,,,
25,,17.0,Isaiah Gamble,ILB,Jr.,6-2,230.0,"Palm Bay, Fla.",Heritage,,,,
26,,18.0,Cameron Impemba,WR,Jr.,6-2,190.0,"Burlington, Mass.",Buckingham Browne & Nichols,,,,
27,,19.0,Hayes Sutton,WR,Sr.,6-1,200.0,"Norcross, Ga.",Norcross,,,,
28,,20.0,Allan Houston III,WR,Sr.,6-0,190.0,"Greenwich, Conn.",Rye Country Day (N.Y.),,,,
29,,21.0,Aubrey Parker,DB,Jr.,5-10,185.0,"Belleville, Ill.",Lutheran North (Mo.),,,,
30,,22.0,Jacob Kopeld,WR,Sr.,6-1,195.0,"Morristown, N.J.",Delbarton School,,,,
