,Statistic,No.,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Title
0,,0.0,Thomas Brown,WR,R-So.,6-2,185.0,"Wendell, N.C. / Ravenscroft School",Butler,,,
1,,1.0,Will Mason,DB,So.,5-9,175.0,"Wake Forest, N.C. / Cardinal Gibbons",Butler,,,
2,,3.0,Trey Mason,DB,R-Sr.,5-9,190.0,"Wake Forest, N.C. / Cardinal Gibbons",Butler,,,
3,,3.0,Brody Reder,RB,R-Jr.,6-2,215.0,"Maineville, Ohio / Little Miami",Butler,,,
4,,4.0,Bret Bushka,QB,R-Sr.,5-9,200.0,"Lombard, Ill. / Glenbard East",Butler,,,
5,,4.0,Kellen Madison,DB,R-So.,6-1,180.0,"Davie, Fla. / Saint Thomas Aquinas",Butler,,,
6,,6.0,Lucas Kozlowski,DB,R-Jr.,5-9,185.0,"Barrington, Ill. / Barrington",Butler,,,
7,,6.0,Brennan Stolarek,QB,R-Fr.,6-1,187.0,"Frankfort, Ill. / Lincoln-Way East",Butler,,,
8,,8.0,Byron Hubbard II,DL,Gr.,6-2,245.0,"Westfield, Ind. / Westfield",Butler,Purdue,,
9,,8.0,Luka Popovic,WR,R-Jr.,6-1,180.0,"Palatine, Ill. / Palatine",Butler,,,
10,,9.0,Jeremy Johnson,WR,R-Sr.,6-0,185.0,"Lombard, Ill. / Glenbard East",Butler,,,
11,,11.0,Steven Williams II,DL,So.,5-9,215.0,"Wake Forest, N.C. / Wake Forest",Butler,,,
12,,12.0,Brady Preston,QB,R-Fr.,6-1,200.0,"Lafayette, Ind. / Lafayette Jefferson",Butler,,,
13,,12.0,Steven Stephany,DB,R-Fr.,5-9,182.0,"Lafayette, Ind. / Lafayette Jefferson",Butler,,,
14,,13.0,Reagan Andrew,QB,R-Fr.,5-7,178.0,"St. Louis, Mo. / Mary Institute and St. Louis Country Day School",Butler,,,
15,,13.0,Dominic McKevitt,DB,R-Fr.,6-1,185.0,"Arlington Heights, Ill. / Saint Viator",Butler,,,
16,,14.0,Adam Cipriano,DB,R-So.,6-2,185.0,"Upper Arlington, Ohio / Upper Arlington",Butler,,,
17,,14.0,Eddie Schott,QB,R-Jr.,6-5,220.0,"Indianapolis, Ind. / Southport",Butler,Ball State,,
18,,15.0,Joey Audia,WR,R-So.,5-8,175.0,"Pittsburgh, Pa. / South Fayette",Butler,,,
19,,15.0,Eric Csala,DB,R-Fr.,6-0,187.0,"Aldie, Va. / IMG Academy",Butler,,,
20,,16.0,Andres Srsen,DB,R-Jr.,5-11,180.0,"San Pedro, Calif. / San Pedro",Butler,,,
21,,17.0,Danny Orgler,LB,R-So.,6-2,220.0,"Buffalo Grove, Ill. / Stevenson",Butler,,,
22,,18.0,Griffin Caldwell,RB,R-Fr.,5-10,182.0,"Johns Creek, Ga. / IMG Academy",Butler,,,
23,,18.0,Connor McCoy,DB,R-Fr.,6-2,185.0,"Elmhurst, Ill. / IC Catholic Prep",Butler,,,
24,,20.0,Ian Baron,RB,R-Fr.,5-10,193.0,"Los Angeles, Calif. / IMG Academy",Butler,,,
25,,22.0,Joey Suchy,RB,R-Jr.,6-0,225.0,"Mayfield Heights, Ohio / Mayfield",Butler,,,
26,,23.0,Luke Wooten,WR,R-So.,5-10,192.0,"Danville, Ind. / Danville Community",Butler,,,
27,,24.0,Patrick Coury,DB,R-Jr.,6-0,195.0,"Franklin, Wis. / Marquette University",Butler,,,
28,,25.0,Ershod Jasey II,RB,R-Fr.,5-11,190.0,"Jacksonville, Fla. / Episcopal",Butler,,,
29,,25.0,Kody Leach,DB,R-Jr.,5-10,200.0,"Noblesville, Ind. / Noblesville",Butler,,,
30,,27.0,Ethan Loss,WR,R-Fr.,6-0,180.0,"Mahtomedi, Minn. / Mahtomedi",Butler,,,
31,,29.0,Tyson Garrett,LB,So.,6-0,217.0,"Greenwood, Ind. / Roncalli",Butler,,,
32,,31.0,Nick Bafia,DB,Jr.,6-1,190.0,"Naperville, Ill. / Benet Academy",Butler,,,
33,,32.0,Kyler Newcom,DB,So.,5-11,185.0,"Lowell, Ind. / Lowell",Butler,,,
34,,33.0,Jack Belskis,DL,R-Jr.,6-2,230.0,"Naperville, Ill. / Neuqua Valley",Butler,,,
35,,34.0,Kwesi Kyei-Fordjour,RB,R-So.,5-10,205.0,"Charlotte, N.C. / William Amos Hough",Butler,,,
36,,34.0,Sam Scullion,LB,R-Fr.,5-11,190.0,"Glen Ellyn, Ill. / Glenbard South",Butler,,,
37,,35.0,Adam Sturtz,LB,R-So.,6-2,210.0,"Naperville, Ill. / Naperville North",Butler,,,
38,,36.0,Brayton Spetter,LB,R-So.,6-0,200.0,"Bargersville, Ind. / Center Grove",Butler,,,
39,,38.0,Archie Cox,WR,R-Fr.,6-0,182.0,"Palatine, Ill. / Fremd",Butler,,,
40,,40.0,Deklan Dougherty,LB,R-Fr.,6-2,210.0,"Starke, Fla. / The Bolles School",Butler,,,
41,,40.0,David Vincent,LB,R-Fr.,5-10,200.0,"Akron, Ohio / Archbishop Hoban",Butler,,,
42,,41.0,Evan Niemi,LB,R-So.,6-3,230.0,"Rocklin, Calif. / Rocklin",Butler,,,
43,,43.0,Mike Wymer,LB,R-Sr.,6-0,215.0,"Naperville, Ill. / Benet Academy",Butler,,,
44,,44.0,Jacob Halfacre,DL,R-Fr.,6-2,260.0,"Arden, N.C. / Christ School",Butler,,,
45,,46.0,Luka Zurak,K/P,R-Jr.,6-0,188.0,"Cleveland, Ohio / Lake Catholic",Butler,,,
46,,47.0,James McCabe,LB,R-Fr.,6-2,205.0,"Winnetka, Ill. / Loyola Academy",Butler,,,
47,,48.0,Jeremiah Jackson,LB,So.,5-9,185.0,"Indianapolis, Ind. / Brebeuf Jesuit Prep",Butler,,,
48,,49.0,Collin Bell,DL,R-Fr.,5-11,260.0,"St. Louis, Mo. / Christian Brothers",Butler,,,
49,,50.0,Jack Mitchell,OL,R-Fr.,6-2,270.0,"St. Louis, Mo. / Ladue Horton Watkins",Butler,,,
50,,51.0,Jason Hicks,LS,So.,6-3,275.0,"Buffalo Grove, Ill. / Adlai E. Stevenson",Butler,,,
51,,52.0,Charlie Bless,LB,R-Jr.,6-1,225.0,"Bloomington, Ind. / Bloomington North",Butler,,,
52,,53.0,Otto Weight,OL,R-So.,6-4,285.0,"Medina, Ohio / Medina",Butler,,,
53,,54.0,Austin Korba,DL,R-Jr.,6-0,270.0,"Arlington Heights, Ill. / John Hersey",Butler,,,
54,,55.0,George Dristiliaris,DL,R-So.,6-3,245.0,"Lowell, Mass. / Lowell",Butler,Valparaiso,,
55,,58.0,Jack Burch,DL,R-So.,6-3,230.0,"Louisville, Ky. / Saint Xavier",Butler,,,
56,,59.0,Shane Siffrard,DL,R-Fr.,6-1,240.0,"Franklin, Tenn. / Franklin",Butler,,,
57,,62.0,Owen Keane,OL,R-Jr.,6-3,285.0,"Cleveland, Ohio / Saint Ignatius",Butler,,,
58,,63.0,Watson Allan,OL,R-Fr.,6-1,298.0,"Lake Forest, Ill. / Lake Forest",Butler,,,
59,,64.0,Nick Grace,OL,R-So.,6-5,270.0,"Naperville, Ill. / Naperville North",Butler,Cincinnati,,
60,,66.0,Fabian Gonzalez,OL,R-So.,6-3,285.0,"Oak Park, Ill. / Oak Park River Forest",Butler,,,
61,,70.0,Kirk Doskocil,OL,R-Fr.,6-3,293.0,"Brecksville, Ohio / Brecksville Broadview Heights",Butler,,,
62,,72.0,Jackson Davis,OL,R-Jr.,6-3,275.0,"Columbus, Ind. / Columbus North",Butler,,,
63,,73.0,Bryan Bystol,OL,R-Sr.,6-2,280.0,"Libertyville, Ill. / Libertyville",Butler,,,
64,,74.0,Luke Kessinger,OL,Gr.,6-5,290.0,"Boca Raton, Fla. / Pine Crest",Butler,,,
65,,75.0,Adam Dolan,OL,R-So.,6-8,300.0,"Clarkston, Mich. / Orchard Lake St. Mary's",Butler,,,
66,,79.0,Jack Turner,OL,R-Jr.,6-3,302.0,"Crystal Lake, Ill. / Crystal Lake South",Butler,,,
67,,81.0,Ethan Malafa,TE,R-Fr.,6-6,230.0,"Cincinnati, Ohio / Mariemont",Butler,,,
68,,82.0,Cameron Heald,TE,R-So.,6-1,215.0,"Lakewood Ranch, Fla. / Cardinal Mooney",Butler,,,
69,,83.0,Colin Kelly,WR,R-Jr.,5-10,190.0,"Dearborn, Mich. / Divine Child",Butler,,,
70,,84.0,Nate Walker,WR,Sr.,6-0,175.0,"Glen Allen, Va. / J.R. Tucker",Butler,,,
71,,86.0,Maddox Altamirano,WR,R-Fr.,5-11,170.0,"Clinton Township, Mich. / Chippewa Valley",Butler,,,
72,,87.0,Jacob Cain,DL,R-Jr.,6-1,225.0,"Lafayette, Ind. / William Henry Harrison",Butler,,,
73,,89.0,TJ Winston,TE,R-So.,6-4,220.0,"Maumee, Ohio / Anthony Wayne",Butler,,,
74,,90.0,Dawson Hubbard,DL,R-Fr.,5-11,260.0,"Chandler, Ariz. / Hamilton",Butler,,,
75,,92.0,Carson Gulgin,DL,R-Sr.,6-2,275.0,"Perrysburg, Ohio / Perrysburg",Butler,,,
76,,93.0,Matthew Oudeman,DL,R-Fr.,5-11,260.0,"Euclid, Ohio / Saint Edward",Butler,,,
77,,94.0,Sam Urbanski,DL,R-Jr.,6-3,270.0,"Chardon, Ohio / Notre Dame Cathedral",Butler,,,
78,,95.0,Trevor Ings,DL,R-Fr.,6-0,285.0,"Milford, Ohio / Milford",Butler,,,
79,,96.0,Frenchi Mack II,DL,R-Fr.,6-2,245.0,"Bowie, Md. / IMG Academy",Butler,,,
80,,98.0,Ryan Short,K/P,R-Fr.,6-0,155.0,"Hinsdale, Ill. / Nazareth Academy",Butler,,,
81,,99.0,Jake LaBarre,DL,R-So.,6-2,255.0,"Birmingham, Mich. / Seaholm",Butler,,,
0,,,Mike Uremovich,,,,,,Butler,,,Head Coach
1,,,Jeff Knowles,,,,,,Butler,,,Defensive Coordinator / Linebackers
2,,,Alex Barr,,,,,,Butler,,,Run Game Coordinator / Offensive Line
3,,,Joe Cheshire,,,,,,Butler,,,Special Teams Coordinator / Safeties
4,,,Sean Chase,,,,,,Butler,,,Running Backs / Tight Ends Coach
5,,,Adam Siwicki,,,,,,Butler,,,Defensive Line
6,,,Ray Holmes,,,,,,Butler,,,Wide Receivers
7,,,Jalen Moss,,,,,,Butler,,,Cornerbacks
8,,,Clint Hostler,,,,,,Butler,,,Offensive Analyst
9,,,Kiera Miller,,,,,,Butler,,,Director of Football Initiatives
0,,,T.J. Greenstone,,,,,,Butler,,,Strength and Conditioning Coach
1,,,"Chris Tinkey, ATC",,,,,,Butler,,,Athletic Trainer
2,,,"Alex Brun, ATC",,,,,,Butler,,,Athletic Trainer
