,Statistic,#,Full Name,Class,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Image,Name,Title
0,,0.0,Ezeriah Anderson,R-Sr.,WR,6-5,210.0,"Seffner, Fla. / Armwood HS / Iowa State",Campbell,,,
1,,1.0,Lamagea McDowell,Sr.,RB,6-2,230.0,"Gastonia, N.C. / Hunter Huss HS",Campbell,,,
2,,2.0,Justice Galloway-Velazquez,Gr.,LB,6-2,265.0,"Fayetteville, N.C. / Cape Fear HS",Campbell,,,
3,,2.0,"Chad Mascoe, Jr.",R-Fr.,QB,6-1,210.0,"Kissimmee, Fla. / Osceola HS",Campbell,,,
4,,5.0,Jalen Kelsey,Gr.,WR,6-2,180.0,"Gainesville, Fla. / Gainesville HS",Campbell,,,
5,,6.0,Jayden Chalmers,R-So.,CB,6-0,165.0,"Sanford, N.C. / Lee County HS / East Carolina",Campbell,,,
6,,6.0,Hajj-Malik Williams,R-Sr.,QB,6-0,205.0,"Atlanta, Ga. / U.S. Military Academy Preparatory",Campbell,,,
7,,7.0,Edric Weldon,R-Fr.,CB,6-5,210.0,"Miami, Fla. / South Broward HS",Campbell,,,
8,,8.0,Brandon Fitez,Sr.,WR,5-7,170.0,"Altamonte Springs, Fla. / The Master's Academy",Campbell,,,
9,,8.0,C.J. Smith,Gr.,S,6-1,195.0,"Jacksonville, Fla. / Fletcher HS / Minnesota",Campbell,,,
10,,9.0,"Chris McKay, Jr.",Sr.,RB,5-8,190.0,"Raleigh, N.C. / Trinity Christian School",Campbell,,,
11,,10.0,Ed Dennis,Jr.,CB,6-0,200.0,"Philadelphia, Pa. / Penn Wood HS / Monroe College",Campbell,,,
12,,10.0,Dylan Earney,Gr.,QB,6-4,195.0,"Charlotte, N.C. / Olympic HS",Campbell,,,
13,,11.0,Wiley Hartley,R-Jr.,QB,6-3,200.0,"Atlanta, Ga. / North Atlanta HS",Campbell,,,
14,,11.0,Xavier Kane,R-Sr.,S,6-0,190.0,"Christiansburg, Va. / Blue Ridge School",Campbell,,,
15,,12.0,Adam McIntosh,R-Fr.,QB,6-2,205.0,"Beaufort, N.C. / East Carteret HS",Campbell,,,
16,,12.0,Jack Wilkes,R-Sr.,LB,6-1,225.0,"Charlotte, N.C. / Providence HS",Campbell,,,
17,,13.0,Akim Sledge,So.,CB,6-1,165.0,"Colonial Heights, Va. / Life Christian Academy",Campbell,,,
18,,14.0,Noah Caston,R-Jr.,S,5-9,190.0,"Sandusky, Ohio / Sandusky HS / Walsh / Bowling Green",Campbell,,,
19,,16.0,Kadeem Leonard,R-So.,LB,6-3,230.0,"Fairmont, N.C. / Fairmont HS / UCF",Campbell,,,
20,,16.0,Tyquez Royal,R-Jr.,CB,6-1,175.0,"Fayetteville, N.C. / South View HS",Campbell,,,
21,,17.0,Taylor Behl,R-Jr.,LB,6-1,235.0,"Georgetown, Texas / Louisiana Monroe",Campbell,,,
22,,17.0,RJ Jackson,Jr.,WR,6-0,190.0,"Albemarle, N.C. / Anson HS",Campbell,,,
23,,18.0,Jared Gibble,R-So.,TE,6-4,235.0,"Winston-Salem, N.C. / Oak Grove HS / Virginia Tech",Campbell,,,
24,,20.0,Monchovia Gaffney,Gr.,LB,6-2,230.0,"Whiteville, N.C. / Whiteville HS",Campbell,,,
25,,20.0,Michael Jamerson,R-So.,RB,6-0,200.0,"Flint, Mich. / Davison HS / Gila River JC",Campbell,,,
26,,21.0,NaQuari Rogers,So.,RB,6-0,205.0,"Virginia Beach, Va. / Portsmouth Christian",Campbell,,,
27,,21.0,Myles Rowser,So.,S,6-1,190.0,"Detroit, Mich. / Belleville HS",Campbell,,,
28,,22.0,Tai Goode,R-Sr.,RB,5-6,145.0,"Rochester, N.Y. / St. David's HS",Campbell,,,
29,,22.0,Peyton Woulard,Gr.,S,6-1,190.0,"Suwanee, Ga. / Collins Hill HS / Wake Forest",Campbell,,,
30,,23.0,Demitray Fields,R-So.,S,6-1,195.0,"Fort Lauderdale, Fla. / Fort Lauderdale HS",Campbell,,,
31,,24.0,D'Marcus Harrington,R-Jr.,CB,6-0,185.0,"Hamlet, N.C. / Richmond Senior HS",Campbell,,,
32,,25.0,Jeremiah Brown,R-Sr.,CB,6-0,190.0,"Tampa, Fla. / Tampa Bay Tech HS",Campbell,,,
33,,25.0,Jay Sams,R-Fr.,WR,6-0,160.0,"Austin, Texas / Dripping Springs HS",Campbell,,,
