,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,School,Current School Name,Hometown / High School,Image,Name,Title
0,,0.0,CJ Brown,LB,5-10,210.0,Sr.,CC,Columbia,"Houston, Texas / Shadow Creek H.S.",,,
1,,0.0,Austin Grier,QB,5-11,205.0,Jr.,CC,Columbia,"Charlotte, N.C. / Zebulon B. Vance H.S.",,,
2,,2.0,Bryson Canty,WR,6-2,200.0,Jr.,CC,Columbia,"Pfafftown, N.C. / Reagan H.S.",,,
3,,3.0,Marcus Libman,WR,6-0,185.0,Sr.,CC,Columbia,"Scottsdale, Ariz. / Pinnacle H.S.",,,
4,,4.0,Aaron Brebnor,DB,6-1,190.0,Jr.,CC,Columbia,"Suwanee, Ga. / North Gwinnett H.S.",,,
5,,5.0,Wills Meyer,WR,6-1,195.0,Sr.,CC,Columbia,"Southlake, Texas / Carroll Senior H.S.",,,
6,,7.0,Seth Parker,DB,5-10,180.0,Sr.,CC,Columbia,"Hoover, Ala. / Hoover H.S.",,,
7,,8.0,JJ Jenkins,WR,6-2,195.0,Sr.,CC,Columbia,"San Clemente, Calif. / San Clemente H.S.",,,
8,,10.0,Caden Bell,QB,6-0,200.0,Sr.,CC,Columbia,"Placentia, Calif. / Junipero Serra Catholic H.S.",,,
9,,10.0,Nico Valencia,LB,5-11,205.0,Sr.,CC,Columbia,"Los Fresnos, Texas / Los Fresnos H.S.",,,
10,,11.0,Joe Green,QB,6-4,225.0,Sr.,CC,Columbia,"Sammamish, Wash. / Skyline H.S. / San Diego State",,,
11,,12.0,AJ Simpkins,QB,6-3,215.0,So.,CC,Columbia,"Charlotte, N.C. / The Christ School",,,
12,,14.0,Kristopher Jenner,QB,6-5,220.0,Sr.,CC,Columbia,"Annapolis, Md. / McDonogh School",,,
13,,16.0,James McCauley,QB,6-2,205.0,So.,CC,Columbia,"Bronx, N.Y. / Archbishop Stepinac H.S.",,,
14,,17.0,Isaac Silva,WR,5-10,195.0,Sr.,CC,Columbia,"Honolulu, Hawaii / Saint Louis School",,,
15,,19.0,Rocco Milia,LB,6-1,210.0,Jr.,CC,Columbia,"Bloomfield, Mich. / Birmingham Brother Rice H.S.",,,
16,,20.0,Jalen Smith,DB,5-11,175.0,Jr.,CC,Columbia,"Owings Mills, Md. / McDonogh School",,,
17,,21.0,Hayden McDonald,DB,5-9,185.0,Jr.,CC,Columbia,"Seattle, Wash. / O'Dea H.S.",,,
18,,22.0,Cobe Crews,DB,6-3,180.0,So.,CC,Columbia,"Oklahoma City, Okla. / Choate Rosemary Hall / Carl Albert H.S.",,,
19,,22.0,Ty'son Edwards,RB,5-11,210.0,Sr.,CC,Columbia,"Flower Mound, Texas / Marcus H.S.",,,
20,,23.0,Carter McFadden,DB,5-11,190.0,Sr.,CC,Columbia,"Montgomery, N.J. / Montgomery H.S.",,,
21,,24.0,Malcolm Terry II,RB,5-9,200.0,Jr.,CC,Columbia,"Washington, D.C. / Navy / Gonzaga College Prep",,,
22,,25.0,Joey Giorgi,RB,5-10,195.0,Sr.,CC,Columbia,"Grafton, Wis. / Grafton H.S.",,,
23,,26.0,Mason Tomlin,DB,5-8,170.0,Sr.,CC,Columbia,"Pittsburgh, Pa. / Shadyside Academy",,,
24,,27.0,Lucas Mireur,DB,6-1,190.0,Jr.,CC,Columbia,"Austin, Texas / Westlake H.S.",,,
25,,29.0,Xae Huerta,RB,5-10,205.0,So.,CC,Columbia,"San Antonio, Texas / John Jay H.S.",,,
26,,30.0,Jake Langdon,RB,6-0,200.0,Jr.,CC,Columbia,"Indianapolis, Ind. / Cathedral H.S.",,,
