,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,High School,Current School Name,Hometown,Image,Title
0,,0.0,Josiah Green,DL,6-0,255.0,So.,North Central,Dartmouth,"Indianapolis, Ind.",,
1,,1.0,Davis Golick,P,6-1,205.0,So.,Woodward Academy,Dartmouth,"College Park, Ga.",,
2,,2.0,Cam Maddox,S,6-2,205.0,Jr.,Sun Valley/Cheshire Academy (Conn.),Dartmouth,"Monroe, N.C.",,
3,,3.0,Isaac Boston,WR,5-10,175.0,Jr.,Springfield Central,Dartmouth,"Springfield, Mass.",,
4,,4.0,Leonard St. Gourdin,S,6-3,195.0,Jr.,Malden Catholic/Deerfield Academy,Dartmouth,"Malden, Mass.",,
5,,5.0,Tyson McCloud,NB,6-1,185.0,Jr.,North Broward Prep,Dartmouth,"Coconut Creek, Fla.",,
6,,6.0,Joey Richmond,RB,5-11,210.0,Jr.,Glenbard West,Dartmouth,"Glen Ellyn, Ill.",,
7,,7.0,Paxton Scott,WR,6-1,190.0,Jr.,St. Mark's School of Texas,Dartmouth,"Dallas, Texas",,
8,,8.0,Jack Noonan,DB,5-9,180.0,Jr.,Weston,Dartmouth,"Weston, Mass.",,
9,,8.0,Nic Sani,TE,6-7,255.0,Jr.,Central Catholic,Dartmouth,"Turlock, Calif.",,
10,,10.0,Dylan Cadwallader,QB,6-2,190.0,Jr.,Prestonwood Christian,Dartmouth,"Frisco, Texas",,
11,,10.0,Zyion Freer-Brown,LB,6-0,235.0,Fr.,St. Edward,Dartmouth,"Lorain, Ohio",,
12,,11.0,Jace Henry,TE/QB,6-4,250.0,Jr.,Lathrop,Dartmouth,"Fairbanks, Alaska",,
13,,12.0,Jackson Proctor,QB,6-1,200.0,So.,Kentwood,Dartmouth,"Kent, Wash.",,
14,,13.0,Tyson Grimm,DB,6-1,205.0,Fr.,Archbishop Hoban,Dartmouth,"Stow, Ohio",,
15,,14.0,Onye Onuoha,CB,5-11,205.0,Jr.,Green Valley Ranch,Dartmouth,"Denver, Colo.",,
16,,17.0,Nick Howard,QB,6-2,225.0,Sr.,Southwest,Dartmouth,"Green Bay, Wis.",,
17,,18.0,Devon Lingle,QB,6-1,205.0,Jr.,Duncan U. Fletcher,Dartmouth,"Neptune Beach, Fla.",,
18,,20.0,Patrick Campbell,DB,5-11,190.0,Fr.,Brookwood,Dartmouth,"Snellville, Ga.",,
19,,20.0,Q Jones,RB,5-11,190.0,So.,Fountain-Fort Carson,Dartmouth,"Fountain, Colo.",,
20,,21.0,Jamal Cooper,DB,5-11,185.0,Fr.,Montgomery Academy,Dartmouth,"Montgomery, Ala.",,
21,,21.0,Tyler Green,RB,5-10,210.0,Jr.,Mill Valley,Dartmouth,"Lenexa, Kan.",,
22,,22.0,Parrish Abramson,DB,6-3,170.0,Fr.,Metairie Park Country Day,Dartmouth,"New Orleans, La.",,
23,,22.0,Alex Geraci,TE,6-3,225.0,So.,Don Bosco Prep,Dartmouth,"Cornwall-on-Hudson, N.Y.",,
24,,23.0,Grayson O'Bara,WR,6-1,185.0,Fr.,Guyer,Dartmouth,"Argyle, Texas",,
25,,24.0,Christian Benson,RB,5-6,185.0,So.,Parish Episcopal,Dartmouth,"DeSoto, Texas",,
26,,25.0,Tevita Moimoi,RB,6-0,215.0,Jr.,Sacred Heart Prep,Dartmouth,"Menlo Park, Calif.",,
27,,27.0,Ahmir Braxton,DB,5-11,180.0,So.,Vista Ridge,Dartmouth,"Colorado Springs, Colo.",,
28,,28.0,Jordan Washington,DB,6-0,180.0,So.,JSerra,Dartmouth,"Escondido, Calif.",,
