,Statistic,#,Image,Full Name,Year,Pos.,Ht.,Wt.,Current School Name,Hometown / High School,Name,Title
0,,1,,Michael Denning,Sr.,P/K,6-0,188.0,Dayton,"Sidney, Ohio / Lehman Catholic",,
1,,1d,,Logan Landers,R-Fr.,QB,6-0,190.0,Dayton,"Villa Hills, Ky. / Dixie Heights",,
2,,2,,Sam Bubonics,Sr.,SLT,5-11,177.0,Dayton,"Solon, Ohio / Solon",,
3,,2d,,Noah Nordhaus,R-Fr.,WR,5-11,170.0,Dayton,"Burke, Va. / Robinson",,
4,,3,,Shane Hamm,R-So.,QB,5-11,203.0,Dayton,"North Jackson, Ohio / Hoban",,
5,,3d,,Josh Anderson,R-Fr.,S,6-0,190.0,Dayton,"Cincinnati, Ohio / St. Xavier",,
6,,4,,John Sciarretti,Jr.,RB,6-1,212.0,Dayton,"New Philadelphia, Ohio / New Philadelphia",,
7,,4d,,Danny Baker,R-Jr.,S,6-0,190.0,Dayton,"Winnetka, Ill. / New Trier",,
8,,5,,Matt Lenti,Sr.,S,5-10,195.0,Dayton,"La Grange Park, Ill. / Mount Carmel",,
9,,6,,Will Tammaru,R-Fr.,QB,6-2,207.0,Dayton,"North Aurora, Ill. / West Aurora",,
10,,7,,Brock Kidwell,R-Fr.,S,5-11,190.0,Dayton,"New Albany, Ohio / New Albany",,
11,,8,,Cole Dow,Sr.,QB,6-1,210.0,Dayton,"Park Ridge, Ill. / Maine South",,
12,,9,,Elijah Smith,Sr.,CB,6-0,195.0,Dayton,"Louisville, Ky. / Christian Academy",,
13,,9d,,AK Agee,R-Fr.,SLT,5-9,170.0,Dayton,"Chicago, Ill. / Marist",,
14,,10,,Luke Brenner,R-So.,SLT,5-10,160.0,Dayton,"Grand Rapids, Mich. / Forest Hills Eastern",,
15,,10d,,Mac Grant III,R-Fr.,S,6-0,185.0,Dayton,"Richmond, Va. / St. Christopher's",,
16,,11,,Joey Swanson,So.,WR,6-1,198.0,Dayton,"Grayslake, Ill. / Grayslake North",,
17,,11d,,Caleb Webb,R-Fr.,CB,5-9,183.0,Dayton,"Waterford, Mich. / Notre Dame Prep",,
18,,12,,Ryan VanSchelven,Sr.,QB,5-10,196.0,Dayton,"Roscoe, Ill. / Hononegah",,
19,,13,,Ricardo Avelar III,R-So.,LB,6-1,220.0,Dayton,"Sahuarita, Ariz. / Walden Grove",,
20,,13d,,Ryan French,R-So.,WR,6-1,191.0,Dayton,"St. Charles, Ill. / St. Francis",,
21,,14,,Kyle Hazell,Sr.,WR,6-0,175.0,Dayton,"West Lafayette, Ind. / West Lafayette",,
22,,15,,Jake Sargent,Sr.,SLT,5-10,174.0,Dayton,"Dayton, Ohio / Oakwood",,
23,,16,,Joey Daniels,Fr.,QB,5-10,185.0,Dayton,"Pittsburgh, Pa. / Mt. Lebanon",,
24,,17,,Dante Casciola,R-Fr.,QB,6-1,203.0,Dayton,"Waxhaw, N.C. / Weddington",,
25,,18,,Braden Woods,R-Fr.,QB,6-2,200.0,Dayton,"Franklin, Ohio / Franklin",,
26,,18d,,Bennett Lawrence,R-Fr.,S,6-0,190.0,Dayton,"Galena, Ohio / Olentangy Berlin",,
27,,19,,Jake Coleman,So.,WR,6-5,208.0,Dayton,"Lewis Center, Ohio / Olentangy",,
28,,19d,,Logan Foody,R-So.,S,6-1,213.0,Dayton,"Knoxville, Tenn. / Farragut",,
29,,20,,Cade Beam,R-Jr.,TE,5-11,223.0,Dayton,"Troy, Ohio / Tippecanoe",,
30,,21,,Grant Russell,R-So.,S,6-1,190.0,Dayton,"South Oldham, Ky. / South Oldham",,
31,,21d,,Ashton Young,Fr.,WR,6-0,170.0,Dayton,"Springfield, Ohio / Springfield Catholic",,
32,,22,,Anthony Ammori,R-So.,RB,5-10,193.0,Dayton,"Bloomfield Hills, Mich. / Detroit Country Day",,
33,,23,,Anthony Serventi,R-So.,S,6-0,202.0,Dayton,"Pittsburgh, Pa. / North Catholic",,
34,,24,,Logan Dalton,Sr.,S,6-1,208.0,Dayton,"Mason, Ohio / Mason",,
35,,24d,,Dominic Vrbancic,Fr.,SLT,6-1,175.0,Dayton,"Louisville, Ky. / Male",,
36,,25,,Logan Davis,R-Fr.,RB,5-11,193.0,Dayton,"Prospect, Ky. / St. Xavier",,
37,,26,,Billy Skalitzky,Sr.,WR,6-0,185.0,Dayton,"Evergreen Park, Ill. / Marist",,
38,,26d,,Westyn Pemberton,R-Fr.,LB,6-200,,Dayton,"Martinsville, Ind. / Martinsville",,
39,,27,,Dwayne Morehead III,R-So.,CB,6-2,185.0,Dayton,"Toledo, Ohio / Cardinal Stritch",,
40,,28,,Michael Franks,Sr.,CB,6-1,178.0,Dayton,"Mohnton, Pa. / Governor Mifflin",,
41,,29,,Jake Chisholm,Sr.,RB,5-9,191.0,Dayton,"Union, Ky. / Ryle",,
42,,30,,Logan Miller,R-So.,S,5-10,193.0,Dayton,"Lebanon, Ohio / Fenwick",,
43,,30d,,Larry Callaway III,R-Fr.,RB,5-10,189.0,Dayton,"Bell Vernon, Pa. / Bell Vernon",,
44,,31,,Mitchell Colter,R-Fr.,S,6-1,198.0,Dayton,"Fairfax, Va. / Robinson",,
45,,32,,Jeremy Jonozzo,R-Fr.,CB,5-11,166.0,Dayton,"Broadview Heights, Ohio / Brecksville-Broadview Heights",,
46,,32d,,Sean Banks,R-Fr.,RB,5-11,190.0,Dayton,"Lombard, Ill. / Glenbard East",,
47,,33,,T.J. O'Malley,R-So.,LB,6-1,210.0,Dayton,"Mason, Ohio / St. Xavier",,
48,,34,,Alex Hirschfield,Sr.,LB,6-0,215.0,Dayton,"Orland Park, Ill. / Carl Sandburg",,
49,,35,,Ben Schmiesing,Gr.,LB,6-1,233.0,Dayton,"Piqua, Ohio / Piqua",,
50,,36,,Joey Guagenti,R-So.,CB,5-10,176.0,Dayton,"Columbus, Ohio / Olentangy Orange",,
51,,37,,Ca'ron Coleman,So.,S,5-10,195.0,Dayton,"Piqua, Ohio / Piqua",,
52,,38,,Aiden McKinley,R-So.,LB,6-2,224.0,Dayton,"Louisville, Ky. / Trinity",,
53,,39,,Cole Hildebrand,R-So.,S,6-3,196.0,Dayton,"Cincinnati, Ohio / La Salle",,
