,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown(Prev School),Current School Name,Image,Title
0,,0.0,Andrew Reese,DB,5-7,165.0,R-Jr.,"Miami, Fla. /",Delaware State,,
1,,1.0,Charles Peeler,DB,5-8,175.0,R-Sr.,"Washington, D.C. /",Delaware State,,
2,,2.0,Nico Stout,WR,5-6,165.0,So.,"La Plata, Md. /",Delaware State,,
3,,3.0,Konner Blount-Foster,WR,5-9,170.0,Jr.,"Waldorf, Md /",Delaware State,,
4,,4.0,Romell Harris-Freeman,DB,6-4,205.0,R-Jr.,"Rockville, Md. /",Delaware State,,
5,,5.0,Marqui Adams,QB,6-1,175.0,Fr.,"Philadelphia, Pa. /",Delaware State,,
6,,6.0,Marquis Gillis,RB,6-0,200.0,R-Fr.,"Milford, Del /",Delaware State,,
7,,7.0,Jared Lewis,QB,6-3,210.0,R-Jr.,"Baltimore, Md. / Fort Scott C.C.",Delaware State,,
8,,8.0,EJ Core,TE,6-1,195.0,So.,"Waldorf, Md. /",Delaware State,,
9,,9.0,Ronald Holmes,LB,6-1,210.0,So.,"Darby, Pa /",Delaware State,,
10,,10.0,Rahkeem Smith,WR,5-9,170.0,Fr.,"Baltimore, Md. /",Delaware State,,
11,,11.0,Daniel Douglas,DB,6-2,205.0,R-So.,"Wilmington, Del. /",Delaware State,,
12,,13.0,Tylik Bethea,QB,6-5,210.0,Sr.,"Staten Island, N.Y. /",Delaware State,,
13,,14.0,Halim Dixon-King,WR,6-2,215.0,Jr.,"New Rochelle, N.Y. / Monroe College",Delaware State,,
14,,15.0,Avari Marshall,WR,5-9,175.0,Fr.,"Miami, Fla. /",Delaware State,,
15,,16.0,C.J. Henry,QB,5-10,180.0,R-Fr.,"Newark, Del. /",Delaware State,,
16,,17.0,Nathan Wilson,K,6-1,180.0,Fr.,"Salem, N.J. /",Delaware State,,
17,,18.0,Jonathan Cardoza-Chicas,P/K,5-11,195.0,Jr.,"Rahway, N.J. / Monroe College",Delaware State,,
18,,19.0,Jayden Jenkins,WR,5-10,175.0,Fr.,"Bronx, N.Y. /",Delaware State,,
19,,20.0,Tyshaun Capers,RB,5-11,200.0,So.,"Hollis, N.Y. /",Delaware State,,
20,,21.0,Coleon Williams,DB,5-10,185.0,Fr.,"Trenton, N.J. /",Delaware State,,
21,,22.0,Michael Chris-Ike,RB,6-2,225.0,R-Sr.,"Hamilton, Ontario /",Delaware State,,
22,,23.0,Javon Jackson,WR,5-8,160.0,Fr.,"Newport News, Va. /",Delaware State,,
23,,24.0,Wade Inge,RB,5-10,200.0,R-So.,"Williamstown, N.J. /",Delaware State,,
24,,25.0,Jawain (J.D.) Granger,DB,5-9,180.0,R-Sr.,"New Castle, Del. /",Delaware State,,
25,,26.0,Wayne Favors III,DB,6-0,170.0,Fr.,"Miami, Fla. /",Delaware State,,
26,,27.0,Kameron Young,DB,6-0,200.0,R-Fr.,"Marriottsville, Md. / West Virginia University",Delaware State,,
27,,28.0,Jeffery Broughton,DB,5-9,170.0,R-So.,"Middletown, Del. /",Delaware State,,
