,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Major,Image,Title
0,,0.0,Dorian Boyland,RB,6-1,225.0,So.,"Medina, Ohio / Medina",Drake,Management Organizational Leadership,,
1,,1.0,Xavier Washington,QB,5-11,185.0,Fr.,"Rancho Cucamonga, Calif. / Rancho Cucamonga",Drake,,,
2,,1.0,Ethan Zager,DB,6-0,175.0,Jr.,"Lincoln, Neb. / Lincoln Lutheran",Drake,Health Sciences: Clinical & Applied,,
3,,2.0,Luke Bailey,QB,6-2,200.0,Jr.,"Lemont, Ill. / Lemont",Drake,Economics,,
4,,2.0,Tony Graham II,DB,5-11,165.0,Jr.,"Liberty, N.C. / Southeast Guilford",Drake,Pre-Engineering & Environment Science,,
5,,3.0,Gage Vander Leest,DB,5-11,200.0,Sr.,"Lynnvile, Iowa / Lynnville-Sully",Drake,"Biochemistry, Cell and Molecular Biology",,
6,,4.0,Sean Cooney,QB,6-6,207.0,Jr.,"Mt. Pleasant, S.C. / Oceanside Collegiate",Drake,Data Analytics,,
7,,4.0,Joey Lukrich,DB,6-1,190.0,Sr.,"Heber City, Utah / Park City",Drake,Finance,,
8,,5.0,CJ Grisar,DB,5-9,170.0,So.,"Waukesha, Wis. / Waukesha West",Drake,Open Enrolled,,
9,,5.0,Hunter Johnson,WR,5-11,170.0,Jr.,"Edmond, Okla. / Crossings Christian",Drake,Advertising & Finance,,
10,,6.0,Blake Ellingson,QB,6-2,195.0,So.,"Libertyville, Ill. / Libertyville",Drake,Finance & Accounting,,
11,,6.0,Tyler Radocha,DB,5-11,195.0,Jr.,"Austin, Texas / Vandegrift",Drake,International Relations,,
12,,7.0,Trey Buckbee,WR,6-3,195.0,Fr.,"McPherson, Kan. / McPherson",Drake,,,
13,,7.0,Tanner Pollock,LB,6-1,210.0,Sr.,"Waterloo, Iowa / Waterloo West",Drake,Business Studies,,
14,,8.0,Austin Flax,WR,5-9,175.0,So.,"Mountain View, Calif. / Mountain View",Drake,Political Science,,
15,,9.0,Ian Corwin,QB,6-0,187.0,Sr.,"Tulsa, Okla. / Jenks",Drake,Business Studies,,
16,,9.0,Jacob Thompson,LB,6-1,213.0,Jr.,"Cedar Rapids, Iowa / Jefferson",Drake,Kinesiology,,
17,,10.0,Linden Howe,LB,6-0,220.0,Sr.,"Kearney, Neb. / Kearney Catholic",Drake,"Biochemistry, Cell and Molecular Biology",,
18,,10.0,Mitchell January,WR,6-0,185.0,Fr.,"Richfield, Minn. / Richfield",Drake,,,
19,,11.0,Caleb Bowling,DB,5-10,190.0,So.,"Winston-Salem, N.C. / Davie County",Drake,Health Sciences & Biology,,
20,,11.0,Michael Markett,WR,6-0,175.0,Sr.,"Homer Glen, Ill. / Marist",Drake,Advertising,,
21,,12.0,Triton Chandler,QB,6-2,195.0,Fr.,"Tulsa, Okla. / Victory Christian",Drake,,,
22,,12.0,Jack Ierulli,K/P,6-0,178.0,Sr.,"Dunlap, Ill. / Dunlap",Drake,Biology & Business Studies,,
23,,13.0,Parker Olthoff,TE,6-3,220.0,Fr.,"Irvine, Calif. / Portola",Drake,,,
24,,14.0,Nick Cagnetto,DB,5-11,185.0,Sr.,"Denton, Texas / Lake Dallas",Drake,Finance,,
25,,15.0,Owen Brase,DB,6-2,185.0,Fr.,"Mount Vernon, Iowa / Mount Vernon",Drake,,,
26,,15.0,Boyce McIntosh,QB,6-1,205.0,Fr.,"Norman, Okla. / Community Christian",Drake,,,
27,,16.0,Jun Ahn,RB,5-6,175.0,Jr.,"Fullerton, Calif. / Sunny Hills",Drake,Business Studies,,
28,,17.0,Jacob McCauley,WR,5-11,170.0,Jr.,"St. Louis, Mo. / St. John Vianney",Drake,Business Studies,,
29,,18.0,Joe Coit,WR,5-10,176.0,Sr.,"Kansas City, Mo. / Rockhurst",Drake,Data Analytics,,
