,Statistic,#,Image,Player,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Major,Name,Title
0,,0.0,,Ira Armstead II,WR,6-4,225.0,Jr.,"South Bend, Ind. / Adams",Univ. of Virginia,Organizational Development,,
1,,1.0,,Justin Bowick,WR,6-5,185.0,So.,"Powder Springs, Ga. / Pace Academy",,Engineering Cooperative,,
2,,1.0,,Elijawah Tolbert,LB,6-1,230.0,Jr.,"Country Club Hills, Ill. / Hillcrest",,Marketing,,
3,,2.0,,Mark Aitken,DB,5-9,175.0,R-Jr.,"Chicago, Ill. / Kenwood Academy",Northern Illinois Univ.,Marketing,,
4,,2.0,,DeWayne Cooks Jr,WR,6-2,160.0,R-Sr.,"Tulsa, Okla. / Booker T. Washington",,Digital Media Technology,,
5,,3.0,,Russell Dandy,DB,6-0,170.0,5th,"Hinesville, Ga. / Liberty County",Butte College,Psychology,,
6,,3.0,,Pierce Holley,QB,6-2,215.0,R-Jr.,"Arvada, Colo. / Lakewood",Georgetown Univ.,,,
7,,4.0,,Blake Ruffin,SAF,6-4,215.0,R-So.,"Louisville, Ky. / Trinity",,Psychology,,
8,,4.0,,Justin Thomas,WR,6-1,190.0,Gr.,"Wixom, Mich. / Walled Lake Western",Albion College,Interdisciplinary Studies,,
9,,5.0,,Aaron Rice,WR,6-5,190.0,R-Fr.,"Farmington Hills, Mich. / North Farmington",,Ex Sci: Pre-Physical Therapy,,
10,,5.0,,Anthony Shockey,LB,6-1,235.0,R-Jr.,"Lombard, Ill. / Glenbard East",,Communication In Organizations,,
11,,6.0,,Joel Barrows,DL,6-3,250.0,R-Jr.,"Chicago, Ill. / Brooks Prep",,Management,,
12,,6.0,,Jonah O'Brien,QB,6-4,210.0,R-Jr.,"Kaukauna, Wis. / Bartlett (Ill.)",Colorado State Univ.,Corporate Communication,,
13,,7.0,,Tyris Harvey,DB,5-11,175.0,Jr.,"Olympia Fields, Ill. / Rich Central",,JOU: Sports Media Relations,,
14,,7.0,,Eli Mirza,WR,5-11,190.0,Jr.,"Sacramento, Calif. / Monterey Trail",Sierra College,,,
15,,8.0,,Juwon Farri,RB,5-8,205.0,5th,"Germantown, Md. / Northwest HS",Monmouth Univ.,,,
16,,8.0,,Tienne Fridge,DB,6-2,200.0,Jr.,"Sacramento, Calif. / Elk Grove",Sacramento City College,,,
17,,9.0,,Terrance Gipson,ATH,6-0,185.0,Jr.,"Kingwood, Texas / Westfield",East Los Angeles College,,,
18,,9.0,,Braylon Willis,DL,6-4,245.0,Sr.,"Lafayette, La. / Lafayette",East Los Angeles College,Fashion Merchandising,,
19,,11.0,,Anthony Manaves,TE,6-4,235.0,R-Jr.,"Chicago, Ill. / St. Patrick",,Marketing,,
20,,11.0,,Alexandar Oyawale,LB,6-0,220.0,Sr.,"Murietta, Calif. / Vista Murietta",Riverside City College,Management,,
21,,12.0,,Nick Coates,DB,5-10,180.0,Jr.,"Louisville, Ky. / Male",,Finance,,
22,,12.0,,Justin Kowalak,QB,6-0,180.0,R-Fr.,"Crystal Lake, Ill. / Crystal Lake South",,KSR: Teacher Licensure Option,,
23,,13.0,,Alex Alteus,DL,6-1,220.0,5th,"Morehead City, NC / West Carteret",Stetson Univ.,,,
24,,13.0,,Cooper Willman,WR,6-1,210.0,Jr.,"Sterling, Ill. / Sterling",,HIS: Teacher Education,,
25,,14.0,,Adonis Forest Jr.,SAF,6-4,210.0,Jr.,"Union City, Calif. / Moreau Catholic",Contra Costa College,,,
26,,15.0,,D'zjon Hal,SAF,6-1,180.0,Jr.,"Henderson, Nev. / Green Valley",Ventura College,,,
27,,16.0,,Kevin Conway,QB,6-2,200.0,Gr.,"New Lenox, Ill. / Providence Catholic",Diamond Football Academy,Computer & Information Technology,,
28,,19.0,,James Cooper Jr,QB,5-11,180.0,R-So.,"Loves Park, Ill. / Harlem",Iowa Western CC,Sport Management,,
29,,20.0,,MJ Flowers,RB,6-1,205.0,R-Fr.,"Cincinnati, Ohio / Colerain",,Management,,
