,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown/Previous School,Title
0,,0.0,,Marvion Field,DL,6-3,290.0,R-Jr.,Eastern Kentucky,"Hampton, Ga. / Elon",
1,,0.0,,Jaycob Horn,WR,6-0,204.0,R-Jr.,Eastern Kentucky,"Tupelo, Miss. / Northwest Mississippi C.C.",
2,,1.0,,Tony Davis,DB,6-2,195.0,R-Sr.,Eastern Kentucky,"Gastonia, N.C. / Duke",
3,,2.0,,Cameron Hergott,QB,6-3,200.0,So.,Eastern Kentucky,"Fort Mitchell, Ky / Beechwood H.S.",
4,,2.0,,Franky West,DB,5-10,180.0,R-Sr.,Eastern Kentucky,"Bloomington, Ill. / Illinois State",
5,,3.0,,Jaden Smith,WR,5-10,180.0,Jr.,Eastern Kentucky,"Loganville, Ga. / Grayson HS",
6,,4.0,,Kyeandre Magloire,RB,6-0,200.0,Jr.,Eastern Kentucky,"Minneola, Fla. / Lake Minneola HS",
7,,5.0,,Kyle Kelly,LB,6-2,235.0,R-Sr.,Eastern Kentucky,"Newport, Ky. / Ohio",
8,,6.0,,Treyveon Longmire,DB,6-2,175.0,So.,Eastern Kentucky,"Corbin, Ky. / Corbin H.S.",
9,,7.0,,Colbey Lamberth,QB,6-3,211.0,Fr.,Eastern Kentucky,"Dickson, Tenn. / Dickson County H.S.",
10,,7.0,,Albert Nunes,LB,6-2,205.0,Jr.,Eastern Kentucky,"Fort Myers, Fla. / Garden City C.C.",
11,,8.0,,Kylan Robinson,LB,5-11,210.0,R-Jr.,Eastern Kentucky,"Southaven, Miss. / Northwest Mississippi C.C.",
12,,9.0,,Jackson Hensley,WR,6-0,197.0,R-So.,Eastern Kentucky,"Pikeville, Ky. / Wake Forest",
13,,10.0,,Nic Cheeley,DB,6-1,180.0,R-Jr.,Eastern Kentucky,"McCleansville, N.C. / Eastern Guilford HS",
14,,10.0,,Jackson House,QB,6-0,185.0,Fr.,Eastern Kentucky,"Baton Rouge, La. / Dunham School",
15,,11.0,,Logan Blake,LB,6-2,230.0,Gr.,Eastern Kentucky,"Lizton, Ind. / Marian",
16,,12.0,,Deonta Bembry,DB,5-9,175.0,Gr.,Eastern Kentucky,"Stone Mountain, Ga. / Georgia Southern",
17,,13.0,,Jordon Thomas,DB,6-0,175.0,R-So.,Eastern Kentucky,"Decatur, Ga. / Wingate",
18,,14.0,,Mo Edwards Jr.,WR,6-3,195.0,R-Sr.,Eastern Kentucky,"Alabaster, Ala. / University of South Alabama",
19,,15.0,,Brady Clark,QB,6-3,205.0,So.,Eastern Kentucky,"Bardstown, Ky. / Bardstown H.S.",
20,,17.0,,Lucas Raber,TE,6-3,230.0,Gr.,Eastern Kentucky,"Greenville, S.C. / Davidson",
21,,18.0,,Cornelius Evans,LB,6-4,245.0,Sr.,Eastern Kentucky,"Orangeburg, S.C. / Butler C.C.",
22,,18.0,,Parker McKinney,QB,6-3,208.0,R-Sr.,Eastern Kentucky,"Coalfield, Tenn. / Coalfield HS",
23,,20.0,,Jordan Marshall,DB,6-1,205.0,Jr.,Eastern Kentucky,"St. Louis, Mo. / Ball State",
24,,21.0,,Braedon Sloan,RB,5-11,195.0,Jr.,Eastern Kentucky,"Frazer, Ky. / Wayne County HS",
25,,22.0,,Frank Lee,LB,6-2,225.0,R-So.,Eastern Kentucky,"Orangeburg, S.C. / Carson-Newman",
26,,23.0,,Elijah Ford,LB,6-2,215.0,Jr.,Eastern Kentucky,"Cincinnati, Ohio / Colerain HS",
27,,24.0,,Mike Smith Jr.,DB,6-0,200.0,Jr.,Eastern Kentucky,"Jacksonville, Fla. / Appalachian State",
28,,26.0,,Tre' Goodin,DB,5-10,170.0,Jr.,Eastern Kentucky,"Campbellsville, Ky. / Taylor County HS",
29,,28.0,,Jaylen Herrud,LB,6-3,214.0,Jr.,Eastern Kentucky,"Nashville, Tenn. / Summit HS",
30,,29.0,,Jeriah Hightower,LB,6-0,224.0,Jr.,Eastern Kentucky,"Madisonville, Ky. / Madisonville North Hopkins HS",
31,,30.0,,Cheikhsaliou Fall,LB,6-4,200.0,Jr.,Eastern Kentucky,"Middletown, Ohio / Middletown HS",
32,,32.0,,Joshua Carter,RB,5-9,215.0,R-Jr.,Eastern Kentucky,"Navarre, Fla. / University of South Alabama",
33,,34.0,,Kyeaure Magloire,DB,6-1,185.0,So.,Eastern Kentucky,"Minneola, Fla. / Lake Minneola H.S.",
