,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown/Previous School,Current School Name,Image,Title
0,,0.0,Isaiah Major,LB,6-1,225.0,Jr.,"Oklahoma City, Ok. / Independence Community College",Florida A&M,,
1,,0.0,Jeremiah Pruitte,TE,6-5,230.0,R-Jr.,"Atlanta, Ga. / Colorado State",Florida A&M,,
2,,1.0,Destin Coates,RB,5-11,205.0,Gr.,"Tallahassee, Fla. / Georgia State",Florida A&M,,
3,,1.0,A.J. Davis,RB,6-0,215.0,Gr.,"Lakeland, Fla. / Pittsburgh",Florida A&M,,
4,,1.0,Lovie Jenkins,DB,6-1,195.0,Jr.,"Orlando, Fla. / Louisville",Florida A&M,,
5,,2.0,Javan Morgan,DB,5-11,185.0,R-Jr.,"Tallahassee, Fla. /",Florida A&M,,
6,,2.0,Cameron Sapp,QB,6-3,215.0,R-Jr.,"Jacksonville, Fla. /",Florida A&M,,
7,,3.0,Kendall Bohler,DB,6-0,193.0,R-So.,"Orlando, Fla. / Mercer",Florida A&M,,
8,,3.0,Lelan Wilhoite,RB,5-11,195.0,R-Jr.,"Nashville, Tenn. / Fort Scott CC",Florida A&M,,
9,,4.0,Kym'Mani King,DB,5-10,175.0,R-Jr.,"New Port Richey, Fla. / Iowa State",Florida A&M,,
10,,4.0,Marquez Phillips,WR,6-3,185.0,Sr.,Washington D.C. / Virginia State University,Florida A&M,,
11,,5.0,Kareem Burke,WR,6-0,178.0,Fr.,"Jacksonville, Fla. / Raines HS",Florida A&M,,
12,,5.0,Aric Horne,LB,6-1,223.0,R-Jr.,"Jacksonville, Fla. / Iowa State",Florida A&M,,
13,,6.0,Christopher Sanders II,WR,5-11,185.0,R-Jr.,"Detroit, Mi. /",Florida A&M,,
14,,6.0,Timothy Williams Jr.,DB,6-2,200.0,R-Sr.,"Miami, Fla. /",Florida A&M,,
15,,7.0,Tevin Griffey,DB,5-11,175.0,R-So.,"Orlando, Fla. / Dr. Phillips HS",Florida A&M,,
16,,7.0,Junior Muratovic,QB,6-3,215.0,R-Fr.,"Orlando, Fla. /",Florida A&M,,
17,,8.0,Jeremy Moussa,QB,6-3,225.0,Gr.,"Chino Hills, Calif. / Vanderbilt",Florida A&M,,
18,,8.0,Eric Smith,DB,5-10,177.0,R-Sr.,"Opa-locka, Fla. /",Florida A&M,,
19,,9.0,Fenley Graham Jr.,WR,5-9,170.0,R-So.,"Lakeland, Fla. / Florida",Florida A&M,,
20,,9.0,Zaire Riley,DB,5-6,160.0,Fr.,"Tallahassee, Fla. / Gadsden County HS",Florida A&M,,
21,,10.0,Jah'Marae Sheread,WR,5-7,175.0,R-Sr.,"Houston, Texas / Texas State",Florida A&M,,
22,,11.0,BJ Bohler,DB,5-9,180.0,R-Sr.,"Orlando, Fla. / Mercer",Florida A&M,,
23,,11.0,Jacory Jordan,QB,6-4,195.0,R-Fr.,"Jacksonville, Fla. /",Florida A&M,,
24,,12.0,Kortney Cox,DB,5-11,185.0,R-Sr.,"Decatur, Ga. /",Florida A&M,,
25,,12.0,Trey Fisher,QB,5-11,180.0,R-So.,"Tallahassee, Fla. / UT-Martin",Florida A&M,,
26,,13.0,Trevonte Davis,WR,6-1,205.0,R-Jr.,"Flint, Mi. / Wayne State",Florida A&M,,
27,,13.0,Trenton McGhee,DB,6-1,205.0,Gr.,"Jacksonville, Fla. / Alabama A&M",Florida A&M,,
28,,14.0,Traquan Butler,DB,5-8,185.0,R-Sr.,"Richmond Heights, Fla. /",Florida A&M,,
29,,15.0,Winsome Frazier,DB,6-3,185.0,R-Fr.,"Miami, Fla. /",Florida A&M,,
30,,16.0,Robert Glanton,DB,5-11,195.0,R-So.,"Perry, Fla. / Wake Forest",Florida A&M,,
31,,16.0,Derrick Hall,WR,5-10,195.0,R-Sr.,"Indianapolis, Ind. /",Florida A&M,,
32,,17.0,Rasean McKay,QB,6-1,220.0,R-Sr.,"Miami, Fla. /",Florida A&M,,
33,,17.0,Wayne Quin II,LB,6-0,200.0,Fr.,"Tampa, Fla. /",Florida A&M,,
34,,18.0,Kwame Clark,DB,5-11,185.0,Gr.,"Jacksonville, Fla. /",Florida A&M,,
35,,18.0,Koby Gross,TE,6-2,238.0,R-Jr.,"San Ramon, Calif. / FSU",Florida A&M,,
36,,19.0,Xavier Smith,WR,5-10,170.0,Gr.,"Haines City, Fla. /",Florida A&M,,
37,,20.0,Jordan Moore,DB,6-0,215.0,R-Jr.,"Yoakum, Texas / Kilgore College",Florida A&M,,
38,,21.0,Lamar Mullins,DB,6-3,205.0,Gr.,"Miami, Fla. / Tulsa",Florida A&M,,
39,,23.0,Terrell Jennings,RB,6-1,225.0,Sr.,"Duval, Fla. /",Florida A&M,,
40,,24.0,Ben Onwuzo,DB,5-11,189.0,R-So.,"Miramar, Fla. / Madonna-Chaminade HS",Florida A&M,,
41,,24.0,Jalik Thomas,DB,5-11,195.0,Jr.,"Macon, Ga. / Hutchinson CC",Florida A&M,,
42,,25.0,Jaylen McCloud,RB,6-2,230.0,R-Sr.,"Jacksonville, Fla. / Savannah State",Florida A&M,,
43,,25.0,Sidarius Walker,RB,5-10,200.0,R-Fr.,"Minneola, Fla. / Tennessee Tech",Florida A&M,,
44,,26.0,Lamar Clark,DB,5-10,180.0,Fr.,"Lynn Haven, Fla. /",Florida A&M,,
45,,27.0,Nadarius Fagan,LB,6-0,215.0,R-Sr.,"Goulds, Fla. / Syracuse",Florida A&M,,
46,,28.0,Johnny Chaney Jr.,LB,6-2,230.0,So.,"Orlando, Fla. /",Florida A&M,,
47,,29.0,Yirmyah Yirmyah,DB,6-0,185.0,R-Jr.,"Apopka, Fla. /",Florida A&M,,
48,,30.0,Khalil Hunter,LB,6-1,205.0,Fr.,"Ft. Lauderdale, Fla. /",Florida A&M,,
49,,30.0,Cameron Sigur,RB,6-0,187.0,Fr.,"Conyers, Ga. /",Florida A&M,,
50,,31.0,Isaiah Land,LB,6-4,225.0,R-Sr.,"Buffalo, N.Y. /",Florida A&M,,
51,,32.0,Khalif Copeland,DB,5-10,175.0,R-Sr.,"Jacksonville, Fla. / Indiana State",Florida A&M,,
52,,32.0,De'Andre Francis,RB,5-7,173.0,R-Fr.,"Miami, Fla. /",Florida A&M,,
53,,33.0,Brian Beck Jr.,RB,6-1,205.0,Fr.,"Baton Rouge, La. /",Florida A&M,,
54,,33.0,Jordan Cumberbatch,DB,6-1,195.0,R-Fr.,"Miramar, Fla. / Alabama A&M",Florida A&M,,
55,,34.0,Deondri Clark,DL,6-3,230.0,R-Fr.,"Lakeland, Fla. /",Florida A&M,,
56,,34.0,Jalon Howard,WR,5-9,170.0,Fr.,"Miami, Fla. /",Florida A&M,,
57,,35.0,Jalan Black,TE,6-3,220.0,R-So.,"Quincy, Fla. / Air Force Academy",Florida A&M,,
58,,35.0,Rodney Williams,DB,5-10,180.0,R-Fr.,"Coconut Grove, Fla. /",Florida A&M,,
59,,36.0,Andre Powell Jr.,DB,5-11,195.0,R-Fr.,"Naples, Fla. /",Florida A&M,,
60,,37.0,Lerodrick James,DE,6-3,210.0,R-So.,"St. Petersburg, Fla. / Gibbs HS",Florida A&M,,
61,,38.0,Lawrence Martinez,LS,6-1,215.0,R-So.,"Apopka, Fla. / UCF",Florida A&M,,
62,,39.0,Jaelin Brown,RB,6-0,200.0,Fr.,"Lake City, Fla. /",Florida A&M,,
63,,39.0,Travis Moss,LB,5-10,210.0,R-Fr.,"Jacksonville, Fla. / Memphis",Florida A&M,,
64,,40.0,Dre Jones,DL,6-4,277.0,R-Jr.,"Manchester, Ga. / Abilene Christian",Florida A&M,,
65,,41.0,Jack Brooks,K,5-11,162.0,Fr.,"Tallahassee, Fla. /",Florida A&M,,
66,,42.0,Jose Romo-Martinez,PK,6-1,200.0,Gr.,"Banning, Calif. / Delaware State",Florida A&M,,
67,,43.0,Chris Faddoul,P/K,5-11,210.0,Gr.,"Wesley Chapel, Fla. /",Florida A&M,,
68,,43.0,Roland Smith III,TE,6-1,220.0,R-Fr.,"Miami, Fla. / Florida Memorial",Florida A&M,,
