,Statistic,#,Full Name,Academic Year,Pos.,Ht.,Wt.,Hometown,High School,Image,Name,Title
0,,2.0,MJ Wright,Gr.,WR,6-0,192.0,"Freehold, N.J.",Red Bank Catholic,,,
1,,4.0,Alfonzo Dixon IV,Gr.,DL,6-2,245.0,"Coral Springs, Fla.",Coral Glades,,,
2,,6.0,Cole Thornton,Sr.,WR,6-3,190.0,"Sugar Hill, Ga.",Lanier,,,
3,,7.0,Garrett Cody,Sr.,WR,6-3,175.0,"Closter, N.J.",Bergen Catholic,,,
4,,9.0,Garrett Williams,Jr.,DB,5-10,190.0,"Suffolk, Va.",King's Fork (Temple),,,
5,,10.0,Cameron Blair,Sr.,DB,6-1,195.0,"Jackson, N.J.",Saint Peter's Prep,,,
6,,11.0,Jack Capaldi,So.,QB,6-3,205.0,"Malvern, Pa.",Malvern Prep,,,
7,,13.0,Nahil Perkins,Sr.,DB,6-0,170.0,"Douglasville, Ga.",Lanier,,,
8,,14.0,Joe Mikol,So.,QB,6-1,187.0,"Bedford, N.H.",Bedford,,,
9,,15.0,Mekai Felton,Sr.,WR,5-9,185.0,"Baltimore, Md.",Franklin,,,
10,,16.0,Jackson Barletta,Sr.,LB,6-3,200.0,"New Providence, N.J.",The Hun School,,,
11,,17.0,Jack Betten,So.,DB,6-1,185.0,"Indialantic, Fla.",Mamaroneck (Lawrenceville),,,
12,,18.0,Jalyn Evans,So.,DB,5-11,190.0,"Delaware County, Pa.",Malvern Prep,,,
13,,18.0,Joey Gulbin,Sr.,QB,6-3,205.0,"Fairfield, Conn.",Fairfield Warde,,,
14,,19.0,Demarice Rice-Williams,Jr.,DB,5-11,186.0,"Spartanburg, S.C.",Dorman,,,
15,,20.0,Taj Barnes,Sr.,RB,5-9,195.0,"Flowery Branch, Ga.",Lanier,,,
16,,22.0,Deon Montgomery,Sr.,DB,5-11,185.0,"Fairbanks, Alaska",Spangdahlem (Germany),,,
17,,23.0,Mason Hatfield,So.,RB,5-7,180.0,"Brookline, Mass.",Dexter Southfield,,,
18,,23.0,Marc Pretto,So.,LB,6-2,210.0,"Montclair, N.J.",Saint Peter's Prep,,,
19,,24.0,Stephen Williams II,Gr.,DB,6-0,173.0,"Jacksonville, Fla.",Trinity Christian Academy,,,
20,,25.0,Alex Kemper,So.,DB,5-11,178.0,"Cincinnati, Ohio",St. Xavier,,,
21,,26.0,Chris Shaw,So.,RB,5-10,195.0,"Damascus, Md.",Damascus,,,
22,,27.0,Mike Courtney,Sr.,DB,5-11,190.0,"Mahopac, N.Y.",Don Bosco Prep,,,
23,,29.0,Parker Spillers,Gr.,LB,6-1,204.0,"Dallas, Ga.",Pace Academy,,,
24,,30.0,Julius Loughridge,Jr.,RB,6-0,210.0,"Houston, Texas",Mayde Creek,,,
25,,31.0,Patrick Nichols,So.,LB,6-0,205.0,"Berwyn, Pa.",Conestoga (Blair Aca.),,,
26,,31.0,Brandon Peskin,Sr.,K,6-2,197.0,"Melville, N.Y.",Half Hollow Hills East (Syracuse),,,
27,,32.0,B.J. Ferguson,Sr.,DB,6-0,185.0,"Cincinnati, Ohio",St. Xavier,,,
28,,34.0,Matt Jaworski,Jr.,DL,6-4,235.0,"Buffalo, N.Y.",St. John Paul II (Ala.),,,
29,,35.0,Jed DeNobile,Sr.,DB,6-0,185.0,"Upper Saddle River, N.J.",Bergen Catholic,,,
30,,36.0,Trey Bradford,Jr.,DB,5-10,180.0,"San Marcos, Calif.",San Marcos,,,
31,,37.0,Sam Heyer,Sr.,DB,6-0,185.0,"Western Springs, Ill.",Lyons Township (Ohio Wesleyan),,,
32,,37.0,Jack Kaiser,So.,RB,5-11,208.0,"East Nassau, N.Y.",Somers (Trinity Pawling),,,
33,,41.0,Michael Thorn,So.,DL,6-3,260.0,"Callahan, Fla.",West Nassau,,,
34,,42.0,Jack Low,Jr.,DL,6-3,250.0,"Brisbane, AUS",Brisbane Rhinos,,,
35,,44.0,Nicholas Pasquarella,So.,DB,6-1,195.0,"Alta Loma, Calif.",Alta Loma,,,
36,,45.0,Tristan Wright,Jr.,DL,6-5,210.0,"Chicago, Ill.",Curie,,,
37,,46.0,Nick Holle,Jr.,LB,6-0,215.0,"Upper Saddle River, N.J.",Northern Highlands,,,
38,,48.0,James Conway,Jr.,LB,6-2,225.0,"Omaha, Neb.",Millard West,,,
39,,49.0,Denholm Feldman,So.,DB,5-11,195.0,"Fairfield, Conn.",Fairfield Ludlowe,,,
40,,49.0,Will Haslett,Jr.,K,6-1,212.0,"Johnstown, Pa.",Bishop McCourt (Akron),,,
41,,51.0,Evan Tritt,So.,LB,6-2,212.0,"Yardley, Pa.",Notre Dame HS (Lawrenceville),,,
42,,52.0,Ahmir Lyles,Sr.,DL,5-10,225.0,"Westbury, N.Y.",St. Dominic (The Hill School),,,
43,,54.0,Mike Smallenberger,So.,OL,6-0,287.0,"Antioch, Calif.",De La Salle,,,
44,,56.0,Ryan Zolnick,So.,DL,6-0,220.0,"Mission Viejo, Calif.",Santa Margarita Catholic,,,
45,,58.0,Thomas Fischbach,Sr.,OL,6-3,315.0,"New York, N.Y.",Winchester (Mass.),,,
46,,60.0,John Michael Talanges,So.,OL,6-3,280.0,"Lake Forest, Ill.",Loyola Academy,,,
47,,62.0,Patrick Barr,Sr.,OL,6-2,280.0,"Montclair, N.J.",Montclair,,,
48,,65.0,Ryan Joyce,Sr.,OL,6-5,305.0,"Stockton, N.J.",Hunterdon Central,,,
49,,66.0,Kurt Plakans,So.,OL,6-5,270.0,"Marblehead, Mass.",St. John's Prep,,,
50,,70.0,Nolan Aloia,Sr.,OL,6-6,305.0,"Chatham, N.J.",Mater Dei Prep,,,
51,,72.0,Lucas Portes,Gr.,OL,6-5,304.0,"Gaithersburg, Md.",Good Counsel,,,
52,,73.0,Hank Perry,Jr.,OL,6-5,300.0,"Cincinnati, Ohio",Walnut Hills,,,
53,,74.0,Duke Leonard,So.,OL,6-6,290.0,"Houston, Texas",Cypress Woods,,,
54,,75.0,Kevin Loughlin,So.,OL,6-4,285.0,"Wyckoff, N.J.",Saint Joseph's,,,
55,,76.0,David Evbomenya,Jr.,OL,6-5,286.0,"Marietta, Ga.",Sprayberry,,,
56,,78.0,Cody Johnson,Sr.,OL,6-3,285.0,"The Woodlands, Texas",The Woodlands,,,
57,,81.0,Walker Adkinson,So.,WR,6-2,190.0,"Mount Dora, Fla.",Winter Park,,,
58,,82.0,Chris Tuck,So.,DL,6-3,275.0,"New Rochelle, N.Y.",New Rochelle,,,
59,,83.0,Elijah Matos,So.,WR,5-10,185.0,"West Orange, N.J.",West Orange,,,
60,,84.0,Nate Summerville,Jr.,WR,6-4,205.0,"Medford Lakes, N.J.",Shawnee,,,
61,,85.0,Matt Buron,So.,TE,6-5,250.0,"Bridgewater, Mass.",Choate Rosemary Hall,,,
62,,87.0,Matty Weir,So.,TE,6-3,220.0,"Ramsey, N.J.",Ramsey,,,
63,,88.0,Jaden Allen,Jr.,TE,6-3,235.0,"Sewell, N.J.",Washington Twp.,,,
64,,89.0,Jeff Ciccio,Sr.,TE,6-5,234.0,"Bridgewatwer, Mass.",Bridgewater-Raynham,,,
65,,90.0,Claudy Robinson,So.,DL,6-2,320.0,"Clifton, N.J.",Don Bosco Prep,,,
66,,93.0,Peter Chalhoub,So.,DL,6-2,260.0,"Cleveland, Ohio",St. Ignatius Prep,,,
67,,94.0,Jason Walker,Sr.,DL,6-3,255.0,"Buffalo, N.Y.",St. Joseph’s Collegiate Institute,,,
68,,95.0,Patrick Montgomery,So.,TE,6-4,240.0,"Philadelphia, Pa.",The Lawrenceville School,,,
69,,96.0,Elisha Armstrong,Sr.,DL,6-4,250.0,"Bolingbrook, Ill.",Bolingbrook,,,
70,,97.0,Richard Hofus,Sr.,DL,6-4,285.0,"Canfield, Ohio",Canfield,,,
71,,98.0,Colby Spencer,So.,DL,6-4,265.0,"Pembroke, Mass.",Suffield Academy,,,
72,,99.0,Sam Buerkle,So.,DL,6-4,255.0,"Cincinnati, Ohio",St. Xavier,,,
73,,,CJ Montes,So.,QB,6-2,190.0,"Pasadena, Calif.",Paraclete (New Mexico),,,
74,,,Kevin Nizolek,Fr.,DL,6-3,225.0,"Madison, Conn.",Avon Old Farm,,,
75,,,Andrew Osmun,Fr.,DB,6-1,201.0,"Spring Grove, Pa.",Spring Grove Area,,,
76,,,Nodin Tracy,Fr.,WR,6-0,175.0,"Imperial, Pa.",West Allegheny,,,
0,,,,,,,,,,,Joe Conlin,Head Football Coach
1,,,,,,,,,,,Art Asselta,Associate Head Coach/Off. Coor./Quarterbacks
2,,,,,,,,,,,Allen Gant,Assistant Coach - Def. Coor./Linebackers
3,,,,,,,,,,,James Lenahan,Assistant Coach - Asst. Spec. Team Coor./Cornerbacks
4,,,,,,,,,,,Frank Giufre,Assistant Coach - Offensive Line
5,,,,,,,,,,,Anthony Leonard,Assistant Coach - Defensive Line
6,,,,,,,,,,,Corey Burns,Assistant Coach - Defensive Line
7,,,,,,,,,,,Jalen Banks,Assistant Coach - Running Backs
8,,,,,,,,,,,Jake Petrarca,Assistant Coach - Wide Receivers
9,,,,,,,,,,,Andrew DiRienzo,Assistant Coach - Tight Ends
10,,,,,,,,,,,Vincent DiGaetano,Volunteer Defensive QC
11,,,,,,,,,,,Adam Carter,Volunteer Offensive QC
12,,,,,,,,,,,Abe Seldowitz,Recruiting Quality Control
13,,,,,,,,,,,Leah Eberts,Director of Football Operations
