,Statistic,No.,Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Image,Title
0,,0.0,Ethan Harris,WR,6-2,188.0,R-Fr.,"Raleigh, N.C. / Rolesville",Furman,,
1,,1.0,Travis Blackshear,CB,5-11,180.0,Gr.,"Savannah, Ga. / Benedictine Military School",Furman,,
2,,2.0,Joshua Harris,WR,6-2,182.0,Jr.,"Newnan, Ga. / Newnan",Furman,,
3,,3.0,Kam Brinson,SS,5-10,186.0,R-Sr.,"Augusta, Ga. / Aquinas",Furman,,
4,,3.0,Ben Ferguson,WR,5-11,200.0,So.,"The Woodlands, Texas / The Woodlands High School",Furman,,
5,,5.0,Carson Jones,QB,6-2,198.0,R-Fr.,"Maryville, Tenn. / Maryville",Furman,,
6,,6.0,Tyler Huff,QB,6-1,208.0,Gr.,"Orange Park, Fla. / Ridgeview / Presbyterian College",Furman,,
7,,6.0,Hugh Ryan,FS,6-1,200.0,R-Sr.,"Irmo, S.C. / Dutch Fork",Furman,,
8,,7.0,Myion Hicks,RB,5-11,216.0,R-So.,"Desoto, Texas / Pantego Christian Academy",Furman,,
9,,7.0,Matt Sochovka,DT,6-4,296.0,Gr.,"Fayetteville, N.C. / Pine Forest",Furman,,
10,,8.0,Dominic Roberto,RB,5-11,231.0,R-Sr.,"Fayetteville, N.C. / Pine Forest",Furman,,
11,,9.0,Wayne Anderson Jr.,WR,5-9,200.0,R-Sr.,"Prosper, Texas / Prosper",Furman,,
12,,10.0,Axel Lepvreau,PK,5-9,188.0,R-Jr.,"Bradenton, Fla. / Manatee",Furman,,
13,,10.0,Charles Watson,QB,5-8,172.0,R-Jr.,"Charlotte, N.C. / Charlotte Latin",Furman,,
14,,11.0,Kyndel Dean,WR,6-1,186.0,Gr.,"Winston-Salem, N.C. / Parkland / James Madison",Furman,,
15,,11.0,Kelton Gunn,WR,5-10,184.0,Sr.,"Knoxville, Tenn. / Hardin Valley Academy",Furman,,
16,,12.0,David Renard,QB,6-1,185.0,R-Fr.,"Flowery Branch, Ga. / Flowery Branch",Furman,,
17,,12.0,Luke Shiflett,WR,6-2,201.0,Gr.,"Dalton, Ga / Northwest Whitfield",Furman,,
18,,13.0,Bailor Hughes,WR,5-11,205.0,R-Jr.,"Knoxville, Tenn. / Powell",Furman,,
19,,14.0,Luke Hedrick,QB,5-11,190.0,R-So.,"Orlando, Florida / Bishop Moore",Furman,,
20,,14.0,Micah Robinson,CB,6-0,184.0,R-Jr.,"Atlanta, Ga. / Westlake",Furman,,
21,,15.0,Dixon Massingill,QB,6-3,180.0,R-Fr.,"Greer, S.C. / Homeschool (Greenville Hurricanes)",Furman,,
22,,15.0,Jack Rhodes,FS,6-1,192.0,R-Jr.,"Alpharetta, Ga. / Milton",Furman,,
23,,16.0,Charles Ingram V,CB,5-11,180.0,R-Fr.,"Nashville, Tenn. / Ensworth",Furman,,
24,,17.0,Tre' McLeod,SS,6-2,180.0,R-Fr.,"Darlington, S.C. / Trinity Collegiate School",Furman,,
25,,17.0,Kendall Thomas,RB,5-9,193.0,R-Jr.,"Round Rock, Texas / Stony Point",Furman,,
26,,18.0,Grant Robinson,RB,6-0,218.0,R-So.,"Plano, Texas / Pope John Paul II",Furman,,
27,,19.0,Nick Cannon,WR,6-0,184.0,R-Jr.,"Roswell, Ga. / Johnson Ferry Christian Academy",Furman,,
28,,19.0,Nicky Kuzemka,ILB,6-0,216.0,R-Sr.,"Clifton, Va. / Centreville",Furman,,
29,,20.0,Amaah Achina,SPUR,6-1,207.0,R-So.,"Greensboro, N.C. / Northern Guilford",Furman,,
30,,21.0,Jayquan Smith,RB,6-0,202.0,R-Fr.,"Braselton, Ga. / Cherokee Bluff",Furman,,
31,,22.0,Ben Croasdale,RB,5-11,185.0,R-Fr.,"Dallas, Texas / Highland Park",Furman,,
32,,22.0,Ivan Yates,CB,6-0,180.0,R-Jr.,"Roswell, Ga. / Roswell",Furman,,
33,,23.0,Dylan Chiedo,ILB,6-2,235.0,R-Fr.,"Jacksonville, Fla. / Bartram Trail",Furman,,
34,,24.0,Cally Chizik,CB,5-9,176.0,R-Sr.,"Auburn, Ala. / Auburn",Furman,,
