,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Image,Name,Title
0,,0.0,Jonathan Saddler,LB,Sr.,6-1,219.0,"Jacksonville, Fla. / New Rochelle [N.Y.] / Choate Rosemary Hall [Conn.]",,,
1,,1.0,Dorrian Moultrie,WR,Sr.,5-11,190.0,"Columbus, Ohio / Columbus Academy",,,
2,,2.0,Joshua Tomas,WR,Gr.,5-11,190.0,"University Park, Ill. / Crete-Monee",,,
3,,3.0,Herman Moultrie III,RB,Gr.,5-11,194.0,"Columbus, Ohio / Columbus Academy",,,
4,,4.0,Tiy Reed,WR,Sr.,5-7,159.0,"Franklin, Tenn. / Battle Ground Academy",,,
5,,5.0,Jovone Campbell,DB,Sr.,6-1,197.0,"Silver Spring, Md. / Bullis School",,,
6,,6.0,Ibrahim Kamara,DL,Gr.,6-4,256.0,"Somerset, N.J. / Cheshire Academy [Conn.]",,,
7,,7.0,Cameron Crayton,WR,Gr.,6-1,190.0,"Rowlett, Texas / Rockwall",,,
8,,8.0,Ibri Harrell,DL,So.,6-3,234.0,"Hampton, Va. / Phoebus",,,
9,,9.0,Khalil Saunders,DB,Sr.,6-0,183.0,"Elmhurst, Ill. / Immaculate Conception",,,
10,,10.0,Connor Katz,QB,Jr.,6-1,206.0,"Cranford, N.J. / Cranford",,,
11,,11.0,Asante Das,WR,Jr.,6-0,182.0,"Kennesaw, Ga. / Allatoona",,,
12,,12.0,Tyler Knoop,QB,Sr.,6-0,188.0,"North Richland Hills, Texas / Fort Worth Christian",,,
13,,14.0,Cam Pygatt,WR,So.,5-10,188.0,"Philadelphia, Pa. / Maret",,,
14,,15.0,Rashon Adams Jr.,DB,So.,6-3,179.0,"Peoria, Ariz. / Centennial",,,
15,,16.0,Cameron Nash,DB,R-So.,5-9,170.0,"Chandler, Ariz. / Saguaro",,,
16,,17.0,Pierce Holley,QB,Sr.,6-2,215.0,"Arvada, Colo. / Lakewood",,,
17,,18.0,Sherman Steptoe II,DB,Jr.,6-1,192.0,"Frisco, Texas / Lone Star",,,
18,,19.0,Danny Lauter,QB,Fr.,6-3,210.0,"Greenwich, Conn. / Brunswick",,,
19,,20.0,Naieem Kearney,RB,So.,5-8,179.0,"Martinsburg, W. Va. / Martinsburg",,,
20,,21.0,Preston Murray,DB,Jr.,6-1,204.0,"Damascus, Md. / Damascus",,,
