,Statistic,#,NAME,POS,HT,WT,Academic Year,Hometown,Current School Name,High School,Previous School,Image,Name,Title
0,,0.0,Zavion Evans,LB,6-3,217.0,So.,"Columbus, Ga.",Houston Christian,Carver,,,,
1,,1.0,Taurean Muhammad,WR,6-0,180.0,R-So.,"Katy, Texas",Houston Christian,Tompkins,Blinn,,,
2,,1.0,Xavier Toliver,S,5-10,180.0,Jr.,"Arlington, Texas",Houston Christian,Mansfield Summit,,,,
3,,2.0,Darryle Evans,RB,6-0,180.0,Jr.,"Boutte, La.",Houston Christian,Hahnville,,,,
4,,2.0,Caleb Flagg,S,5-10,180.0,So.,"Houston, Texas",Houston Christian,North Shore,,,,
5,,2.0,Deuce McMillan,WR,5-9,160.0,So.,"Fulshear, Texas",Houston Christian,Tompkins,,,,
6,,3.0,Isaiah Cash,S,6-0,195.0,Jr.,"Austin, Texas",Houston Christian,Rouse,,,,
7,,3.0,Orion Olivas,QB,6-2,206.0,R-So.,"El Paso, Texas",Houston Christian,Eastlake,,,,
8,,4.0,Jordan Oliver,CB,5-11,170.0,Sr.,"Richmond, Texas",Houston Christian,Kempner,ULM,,,
9,,4.0,Darrion Sherfield,WR,6-0,185.0,Jr.,"Sherman, Texas",Houston Christian,Allen,,,,
10,,5.0,Caleb King,S,6-0,180.0,So.,"San Antonio, Texas",Houston Christian,Veterans Memorial,,,,
11,,5.0,Karl Reynolds,WR,6-2,175.0,Sr.,"Humble, Texas",Houston Christian,Nimitz,Navarro,,,
12,,6.0,Jaylon Coleman,WR,6-3,200.0,Jr.,"Houston, Texas",Houston Christian,Second Baptist,,,,
13,,6.0,Rodney Dansby,LB,6-0,225.0,Jr.,"Houston, Texas",Houston Christian,Bellaire,,,,
14,,7.0,Justin Fomby,QB,6-3,195.0,Jr.,"Lawrenceville, Ga.",Houston Christian,Central Gwinnett,Northern Iowa,,,
15,,8.0,Branden Walker,WR,5-9,180.0,Sr.,"Sulphur, La.",Houston Christian,Sulphur,,,,
16,,9.0,Adrian Green,WR,6-0,175.0,So.,"Shreveport, La.",Houston Christian,Mansfield,,,,
17,,9.0,Luke Horner,DL,6-3,235.0,Sr.,"Hewitt, Texas",Houston Christian,Midway,,,,
18,,10.0,Xzavier Ford,RB,6-0,210.0,Jr.,"Glendora, Calif.",Houston Christian,Glendora,Azusa Pacific,,,
19,,10.0,Ryan Martinez,S,6-2,185.0,R-Fr.,"Corpus Christi, Texas",Houston Christian,Moody,,,,
20,,10.0,Delvin Mason,DL,6-1,260.0,Jr.,"Waco, Texas",Houston Christian,University,,,,
21,,11.0,Devion Hargrove,CB,6-1,175.0,Jr.,"Houston, Texas",Houston Christian,Summer Creek,,,,
22,,11.0,Desmond Young,WR,6-1,205.0,Sr.,"Bastrop, Texas",Houston Christian,Bastrop,,,,
23,,12.0,Ashton Williams,CB,6-0,180.0,R-Fr.,"Baytown, Texas",Houston Christian,Baytown Sterling,,,,
24,,12.0,AJ Wilson,QB,6-2,166.0,R-Fr.,"Huntsville, Texas",Houston Christian,Huntsville,,,,
