,Statistic,Image,No.,Name,Pos.,Yr.,Ht.,Wt.,Current School Name,Hometown,High School,C,Title
0,,,0.0,"Kenny Gallop, Jr.",DB,Sr.,6-1,210.0,Howard,"Portsmouth, Va.",Churchland HS,,
1,,,1.0,Robert Jones III,DB,Jr.,6-0,180.0,Howard,"Fairwood, MD",DeMatha Catholic HS,,
2,,,1.0,Quinton Williams,QB,Sr.,6-5,200.0,Howard,"Upper Marlboro, MD",Dr. Henry Wise,*,
3,,,2.0,Jarett Hunter,RB,Sr.,5-10,205.0,Howard,"Mineral, VA",Lousia County HS,,
4,,,2.0,Clayton Perrin,DB,Sr.,6-1,200.0,Howard,"Pflugerville, TX",Hendrickson H.S.,,
5,,,3.0,Darrian Brokenburr,DL,Sr.,6-4,260.0,Howard,"Manassas, VA",Charles J. Colgan HS,*,
6,,,3.0,Kasey Hawthorne,WR,Sr.,5-11,200.0,Howard,"Sebring, FL",Sebring HS,,
7,,,4.0,Richie Ilarraza,WR,Jr.,5-10,180.0,Howard,"Clearwater, FL",Calvary Christian H.S.,,
8,,,5.0,Eden James,RB,So.,5-10,195.0,Howard,"Port St. Lucie, FL",Treasure Coast H.S.,,
9,,,6.0,Carson Hinton,DB,Sr.,6-1,190.0,Howard,"Detroit, MI",Univ. of Detroit Jesuit HS,,
10,,,6.0,Breylin Smith,RB,So.,5-10,180.0,Howard,"Winter Haven, FL",Lakeland Christian School,,
11,,,7.0,Ja'Shawn Scroggins,QB,So.,6-3,190.0,Howard,"Las Vegas, NV",Las Vegas H.S.,,
12,,,7.0,Ray Williams,DB,Sr.,5-10,192.0,Howard,"Detroit, MI","Martin Luther King, Jr. HS",,
13,,,8.0,Terrance Hollon,LB,Jr.,6-1,220.0,Howard,"Cleveland, OH",Benedictine HS,,
14,,,9.0,CJ Hoffman,LB,Jr.,6-2,235.0,Howard,"Centreville, VA",Westfield HS,,
15,,,9.0,Sean Mitchell,QB,So.,6-0,185.0,Howard,"Atlanta, GA",Decatur H.S.,,
16,,,10.0,Nah'shawn Hezekiah,WR,Jr.,6-3,210.0,Howard,"Orangeburg, SC",Orangeburg Wilkinson HS,,
17,,,10.0,Jevin Jackson,DL,Gr.,6-1,265.0,Howard,"Lawrenceville, GA",Prosper HS,,
18,,,11.0,Kedrick Green,DB,So.,6-2,200.0,Howard,"Winston-Salem, NC",Robert B. Glenn H.S.,,
19,,,12.0,Xavier Robiou,DB,Jr.,6-1,182.0,Howard,"Miami, FL",North Miami Beach HS,,
20,,,12.0,Jaylon Tolbert,QB,R-So.,6-2,175.0,Howard,"Hollywood, FL",Chaminade Madonna HS,,
21,,,13.0,Jabari Knighten,DB,Jr.,5-11,170.0,Howard,"Sebring, FL",Sebring HS,,
22,,,13.0,Isaiah Okoro,QB,R-So.,5-11,200.0,Howard,"Buffalo, N.Y.",Amherst Central H.S.,,
23,,,14.0,"Ja'Colby Thomas, Jr.",WR,R-Jr.,6-4,205.0,Howard,"Baton Rouge, LA",Mesquite HS,,
24,,,14.0,Ian White,DL,R-Jr.,6-6,260.0,Howard,"Charlotte, N.C.",Marvin Ridge H.S.,,
25,,,15.0,"Reggie Reed, Jr.",DL,So.,6-4,225.0,Howard,"Antioch, TN",Brentwood Academy,,
26,,,16.0,AJ Chandler,WR,Jr.,6-4,195.0,Howard,"Orangeburg, SC",Wilston-Elko HS,,
27,,,16.0,Kaleb Gallop,DB,So.,6-3,220.0,Howard,"Portsmouth, VA",Churchland H.S.,,
28,,,17.0,Gavin Crosby,RB,Jr.,6-2,210.0,Howard,"Bowie, MD",Roosevelt HS,,
29,,,18.0,Matthew McDonald,WR,Sr.,6-5,195.0,Howard,"Baltimore, MD",Mount St. Joseph H.S.,,
30,,,18.0,CJ Wesley,LB,So.,6-4,225.0,Howard,"West Orange, N.J.",St. Peter's Prep,,
31,,,19.0,Deion Harry,DL,Sr.,6-5,260.0,Howard,"Chicago, IL",Crete-Monee HS,,
32,,,19.0,One Williams,WR,So.,6-0,165.0,Howard,"St. Petersburg, FL",Northside Christian School,,
33,,,20.0,"Derrick Hartley, Jr.",DB,So.,6-1,185.0,Howard,"Jacksonville, FL",First Coast HS,,
34,,,21.0,Robert Morgan IV,RB,R-So.,5-10,195.0,Howard,"Lousia County, VA",Lousia County HS,,
35,,,21.0,A'Drian Ramsey,DB,So.,6-0,170.0,Howard,"Tampa, FL",Hillsborough H.S.,,
36,,,22.0,Cameron Dyson,LB,So.,6-3,215.0,Howard,"Belleville, MI",Belleville H.S.,,
37,,,23.0,Judah McJimpsey,LB,So.,6-2,220.0,Howard,"Spartanburg, S.C.",Spartanburg H.S.,,
38,,,25.0,Christian White,LB,Sr.,5-11,199.0,Howard,"Highland Springs, VA",Highland Springs HS,,
39,,,27.0,Ian Wheeler,RB,Sr.,5-10,205.0,Howard,"Houston, TX",St. Thomas HS,,
40,,,29.0,Martin Jahill Warren,DB,Jr.,5-7,185.0,Howard,"Norristown, PA",Norristown Area H.S.,,
41,,,30.0,Dylan West,K,Jr.,5-10,198.0,Howard,"Akron, OH",Buchtel HS,,
42,,,31.0,Kyle Simon,WR,Sr.,5-8,170.0,Howard,"Accokeek, MD",DeMatha Catholic HS,,
43,,,32.0,Augustus Olidge,DB,So.,6-2,190.0,Howard,"Atlanta, GA",Riverwood H.S.,,
44,,,35.0,Tony Bedell,RB,Jr.,6-0,200.0,Howard,"Glen Burnie, MD",North County HS,,
45,,,37.0,Aaron Bickerton,K/P,So.,6-2,185.0,Howard,"Bonita Springs, FL",Gulf Coast H.S.,,
46,,,38.0,Khalil Daniels,RB,R-Fr.,5-8,185.0,Howard,"Morrow, GA",Morrow HS,,
47,,,40.0,Phil Cook,LB,R-So.,6-1,230.0,Howard,"Ardmore, PA",Lower Marion HS,,
48,,,41.0,Kemar Brown,LB,R-So.,6-1,225.0,Howard,"Suwanee, GA",North Gwinett HS,,
49,,,43.0,Brock Morgan,LB,So.,6-1,225.0,Howard,"Kannapolis, N.C.",A.L. Brown H.S.,,
50,,,44.0,Jay Brandon Jones II,LB,R-So.,5-11,225.0,Howard,"Charlotte, N.C.",Providence Day HS,,
51,,,47.0,Keenan Fortenberry,DL,R-So.,6-3,225.0,Howard,"Philadelphia, PA",Arch Bishop Carroll,,
52,,,48.0,Chris Williams,DL,Jr.,6-2,240.0,Howard,"Raleigh, NC",Heritage HS,,
53,,,50.0,Jamal Hines,OL,Jr.,6-4,292.0,Howard,"Landover, MD",DeMatha Catholic HS,,
54,,,51.0,KJ Henderson,LB,R-So.,6-0,220.0,Howard,"Philadelphia, PA",Bishop McDevitt HS,,
55,,,52.0,Darius Fox,OL,Jr.,6-3,308.0,Howard,"Washington, DC",DeMatha Catholic HS,,
56,,,53.0,Tavaris Ross,OL,So.,6-4,290.0,Howard,"Glen Burnie, MD",St. Frances Academy,,
57,,,54.0,"Gerone Hamilton, Jr.",OL,Gr.,6-5,295.0,Howard,"Apple Valley, MN",Academy of Holy Angels HS,,
