,Statistic,Image,Name,Name.1,Pos.,Ht.,Wt.,Academic Year,Current School Name,Hometown/Previous School,Title
0,,,Josh,Alford,CB,5-10,180.0,Jr.,Idaho State,"Long Beach, Calif. / St. John Bosco HS",
1,,,Tylor,Bohannon,CB,6-2,180.0,Jr.,Idaho State,"North Sacramento, Calif. / Montana State",
2,,,Chedon,James,WR,5-8,173.0,So.,Idaho State,"Carson, Calif. /",
3,,,Jayden,Bell,S,6-3,200.0,So.,Idaho State,"Pocatello, Idaho / Highland HS",
4,,,Raiden,Hunter,RB,5-10,196.0,Jr.,Idaho State,"San Diego, Calif. / San Diego HS",
5,,,Calvin,Pitcher,S,6-1,207.0,Jr.,Idaho State,"Corona, Calif. / Centennial HS",
6,,,Jake,Sanders,QB,6-2,202.0,Jr.,Idaho State,"Clovis, Calif. / Chadron State",
7,,,Chestar,Geffard,DL,6-4,250.0,Sr.,Idaho State,"Ocoee, Fla. / Western Carolina",
8,,,Hunter,Hays,QB,6-4,206.0,Jr.,Idaho State,"Cody, Wyo. / Cody HS",
9,,,Ian,Hershey,K,5-11,180.0,So.,Idaho State,"Chubbuck, Idaho / Highland HS",
10,,,Junior,Damuni,S,6-0,215.0,So.,Idaho State,"Providence, Utah / Ridgeline HS",
11,,,Keegan,Thompson,QB,6-5,204.0,So.,Idaho State,"Rigby, Idaho / Rigby HS",
12,,,Mikey,Zele,QB,5-11,187.0,So.,Idaho State,"Simi Valley, Calif. / Grace Brethren HS",
13,,,Christian,Fredericksen,WR,6-4,206.0,Jr.,Idaho State,"Rigby, Idaho / Rigby HS",
14,,,Cyrus,Wallace,TE,6-3,227.0,Sr.,Idaho State,"Goleta, Calif. / Santa Barbara City College",
15,,,Quade,Renfro,S,6-1,173.0,Jr.,Idaho State,"Horseshoe Bend, Idaho / Horseshoe Bend HS",
16,,,Damir,Collins,RB,5-8,180.0,So.,Idaho State,"Portland, Ore. / Oregon State",
17,,,Jihad,Brown,CB,5-11,190.0,Jr.,Idaho State,"Compton, Calif. / Rancho Cucamonga HS",
18,,,Aidan,Garcia,WR,6-3,181.0,So.,Idaho State,"Queen Creek, Ariz. / Higley HS",
19,,,Kaysen,Isom,WR,5-9,182.0,So.,Idaho State,"Idaho Falls, Idaho / Hillcrest HS",
20,,,Teilor,Tuioti,LB,6-1,223.0,Jr.,Idaho State,"Lincoln, Neb. / New Mexico Military Institute",
