,Statistic,Image,#,Full Name,Ht.,Wt.,Pos.,Year,Current School Name,Hometown / High School,Previous School,Name,Title
0,,,0.0,"Carr, Jalen",5-9,160.0,WR,So.,Illinois State,"Orlando, Fla. / Orlando Christian Prep HS",,,
1,,,1.0,"McCoy, LaVoise-Deontae",6-1,225.0,LB,R-Fr.,Illinois State,"Flossmoor, Ill. / Homewood-Flossmoor HS",,,
2,,,1.0,"White, Nigel",5-9,175.0,RB,So.,Illinois State,"Lauderhill, Fla. / St. Thomas Aquinas HS",,,
3,,,2.0,"Carter, J'Kalon",6-0,160.0,WR,So.,Illinois State,"Aubrey, Texas / Braswell HS",,,
4,,,3.0,"Buckner, Jerome",5-8,165.0,WR,Jr.,Illinois State,"Columbus, Ohio / Gahanna Lincoln",Ohio,,
5,,,3.0,"Lamont, Deandre",5-11,190.0,DB,Sr.,Illinois State,"Baytown, Texas / Goose Creek Memorial HS",Central Arkansas,,
6,,,4.0,"Mueller, Cole",6-0,210.0,RB,So.,Illinois State,"Wentzville, Mo. / Holt HS",,,
7,,,4.0,"Price, Braden",6-0,200.0,DB,So.,Illinois State,"Wheeling, W.Va. / Wheeling Central Catholic HS",,,
8,,,5.0,"Annexstad, Zack",6-3,220.0,QB,Jr.,Illinois State,"Norseland, Minn. / IMG Academy",Minnesota,,
9,,,5.0,"Vandenburgh, Zeke",6-3,235.0,LB,Sr.,Illinois State,"Freeport, Ill. / Freeport HS",,,
10,,,6.0,"Watson, TreShawn",6-3,205.0,WR,So.,Illinois State,"Antioch, Ill. / Antioch HS",,,
11,,,7.0,"Khepera, Jabari",5-10,195.0,WR,Jr.,Illinois State,"Glenn Heights, Texas / Bishop Dunne HS",,,
12,,,7.0,"West, Franky",5-10,180.0,DB,So.,Illinois State,"Bloomington, Ill. / Normal Community HS",,,
13,,,8.0,"Annexstad, Brock",6-2,205.0,WR,Sr.,Illinois State,"Norseland, Minn. / IMG Academy",Minnesota,,
14,,,8.0,"Wilhoit, Kenton",6-2,235.0,LB,Jr.,Illinois State,"Oak Grove, Mo. / Oak Grove HS",,,
15,,,9.0,"Bailey, Tristan",6-3,195.0,WR,Jr.,Illinois State,"Columbus, Ind. / Columbus North HS",,,
16,,,11.0,"Taula, Tanner",6-6,255.0,TE,Sr.,Illinois State,"Independence, Mo. / Blue Springs HS",,,
17,,,12.0,"Sobkowicz, Daniel",6-3,190.0,WR,R-Fr.,Illinois State,"Arlington Heights, Ill. / Rolling Meadows HS",,,
18,,,13.0,"Nelson, Camo",6-0,185.0,WR,R-Fr.,Illinois State,"Dallas, Texas / Kimball HS",,,
19,,,13.0,"Tracy III, Larry",5-11,195.0,DB,Jr.,Illinois State,"Indianapolis, Ind. / Decatur Central",Indiana,,
20,,,14.0,"Waring, Jackson",6-3,230.0,QB,So.,Illinois State,"Ankeny, Iowa / Des Moines Christian HS",,,
21,,,15.0,"Crawford, Rylan",6-3,180.0,DB,Fr.,Illinois State,"Leo, Ind. / Leo HS",,,
22,,,16.0,"Gearhart, Dillon",6-0,195.0,DB,So.,Illinois State,"St. Charles, Ill. / St. Charles East HS",,,
23,,,16.0,"Rittenhouse, Tommy",5-11,180.0,QB,R-Fr.,Illinois State,"Geneva, Ill. / St. Francis HS",,,
24,,,17.0,"Cannon Jr., Mark",6-3,200.0,DB,Fr.,Illinois State,"Skokie, Ill. / Evanston Township HS",,,
25,,,17.0,"Makuh, Jimmy",6-3,195.0,QB,Fr.,Illinois State,"Arlington Heights, Ill. / John Hersey HS",,,
26,,,18.0,"Dorsey, Timothy",6-0,190.0,QB,R-Fr.,Illinois State,"Olathe, Kan. / Bishop Miege HS",,,
27,,,18.0,"Jordan, Jeremiah",6-3,225.0,LB,So.,Illinois State,"Chicago, Ill. / Madison (Wis.) Memorial HS",,,
28,,,19.0,"Connors Jr., David",6-3,185.0,WR,Fr.,Illinois State,"Brooklyn Center, Minn. / Robbinsdale Cooper HS",,,
29,,,20.0,"Fortney, Tyreke",5-9,160.0,WR,Fr.,Illinois State,"Peru, Ill. / Saint Bede Academy",,,
30,,,20.0,"Talley III, Darrell",6-3,210.0,LB,R-Fr.,Illinois State,"Fort Worth, Texas / Crowley HS",,,
31,,,21.0,"Allen, Sean",5-10,190.0,RB,Fr.,Illinois State,"Glenwood, Ill. / Homewood-Flossmoor HS",,,
32,,,21.0,"Bowens, Jeff",5-9,170.0,DB,R-Fr.,Illinois State,"Southfield, Mich. / Southfield A&T HS",,,
33,,,22.0,"Brown, Pha'leak",5-10,210.0,RB,So.,Illinois State,"Chester, S.C. / Chester HS",,,
34,,,22.0,"Jackson, Keondre",6-3,200.0,DB,So.,Illinois State,"Freeport, Ill. / Freeport HS",,,
35,,,23.0,"Dabney, Sy",6-0,200.0,DB,Sr.,Illinois State,"Pontiac, Mich. / St. Mary's Prep HS",Bowling Green,,
36,,,25.0,"Logan, Lavarion",5-9,185.0,RB,Fr.,Illinois State,"Hobart, Ind. / Merrillville HS",,,
37,,,25.0,"Wilson, Cam",5-11,175.0,DB,So.,Illinois State,"Cedar Hill, Texas / Trinity Christian HS",,,
38,,,27.0,"Kirenga, Christian",6-0,170.0,DB,Fr.,Illinois State,"Kettering, Ohio / Archbishop Alter HS",,,
39,,,30.0,"Lampkin, Rashad",5-10,210.0,RB,So.,Illinois State,"Brookfield, Wis. / Brookfield Central HS",,,
40,,,31.0,"Wagner, Ian",6-2,210.0,K,R-Fr.,Illinois State,"Sierra Vista, Ariz. / O'Fallon (Ill.) HS",,,
41,,,32.0,"Campos, Cade",6-1,210.0,LB,So.,Illinois State,"Lemont, Ill. / Lemont HS",,,
42,,,32.0,"Wright, Wenkers",6-1,200.0,RB,R-Fr.,Illinois State,"Floyds Knobs, Ind. / Floyd Central HS",,,
43,,,33.0,"Leyden, Connor",6-2,230.0,LB,R-Fr.,Illinois State,"Park Ridge, Ill. / Maine South HS",,,
44,,,34.0,"Dwyer, Jack",6-0,195.0,DB,R-Fr.,Illinois State,"Hawthorn Woods, Ill. / Lake Zurich HS",,,
45,,,36.0,"Granville, Zion",6-6,225.0,LB,R-Fr.,Illinois State,"Sugarland, Texas / Fort Bend Christian HS",,,
46,,,37.0,"Maas, Camden",6-3,190.0,DB,Fr.,Illinois State,"Towanda, Ill. / Normal Community HS",,,
47,,,38.0,"Schmitt, Frank",6-1,200.0,DB,R-Fr.,Illinois State,"Chicago, Ill. / Saint Rita HS",,,
48,,,39.0,"Takerian, Jack",6-2,185.0,K/P,R-So.,Illinois State,"Franklin, Wis. / Franklin HS",,,
49,,,41.0,"Adams, Jonathan",6-1,245.0,LB,Fr.,Illinois State,"Muskegon, Mich. / Muskegon HS",,,
50,,,42.0,"Presson Jr., Scotty",6-3,245.0,FB,So.,Illinois State,"Florissant, Mo. / East St. Louis HS",,,
51,,,42.0,"Zuccollo, Pete",6-1,200.0,DB,So.,Illinois State,"Bourbonnais, Ill. / IMG Academy",,,
52,,,43.0,"Wedig, Matthew",6-4,230.0,LB,So.,Illinois State,"Beloit, Wis. / Beloit Memorial HS",,,
53,,,44.0,"Gothelf, Brad",6-2,225.0,FB,R-Fr.,Illinois State,"Vernon Hills, Ill. / Vernon Hills HS",,,
