,Statistic,#,Full Name,Pos.,Yr.,Ht.,Wt.,Major,Current School Name,Hometown,High School,Prev School,Image,Name,Title
0,,0.0,Allen Walker,LB,R-Jr.,6-2,234.0,,Jackson State,"Alpharetta, Ga.",Louisiana Tech,"Alpharetta, Ga. /",,,
1,,1.0,Rico Powers,WR,Fr.,6-2,187.0,,Jackson State,"Atlanta, Ga.",Hapeville Charter HS,"Atlanta, Ga. / South Carolina",,,
2,,2.0,Phillip Short,QB,Jr.,6-2,210.0,,Jackson State,"Madison, Miss.",Holmes CC / Madison-Ridgeland Academy,"Madison, Miss. /",,,
3,,2.0,Tim Steward,S,R-Sr.,5-9,194.0,,Jackson State,"Hazelhurst, Miss.",Troy,"Hazelhurst, Miss. /",,,
4,,4.0,Jason Brown,QB,Gr.,6-2,230.0,,Jackson State,"Frederickburg, Va.",Virginia Tech,"Frederickburg, Va. /",,,
5,,5.0,Trevonte Rucker,WR,So.,6-1,175.0,Business,Jackson State,"Ocala, Fla.",Vanguard HS,"Ocala, Fla. /",,,
6,,5.0,Ke'Vric Wiggins Jr.,DB,So.,6-0,178.0,Communications,Jackson State,"Spring, Texas",Klein Collins HS,"Spring, Texas / Louisiana Monroe",,,
7,,6.0,Esaias Guthrie,S,R-So.,6-1,183.0,,Jackson State,"Middletown, Del.",Middletown HS,"Middletown, Del. /",,,
8,,6.0,Zy McDonald,QB,R-So.,6-0,185.0,,Jackson State,"Ridgeland, Miss.",Louisiana Lafayette,"Ridgeland, Miss. /",,,
9,,7.0,Keydrain Calligan,S,Jr.,6-1,200.0,,Jackson State,"New Iberia, La.",Louisiana Monroe,"New Iberia, La. /",,,
10,,7.0,Seven McGee,WR,R-So.,5-9,185.0,,Jackson State,"Rochester, N.Y.",Oregon,"Rochester, N.Y. /",,,
11,,8.0,Jalin Hughes,CB,So.,6-1,165.0,Education,Jackson State,"Fort Worth, Texas",Fossil Ridge HS,"Fort Worth, Texas / Southwest Baptist / Snow College",,,
12,,8.0,JD Martin,RB,Jr.,6-1,195.0,Interdisciplinary Studies,Jackson State,"Wetumpka, Ala.",Wetumpka HS,"Wetumpka, Ala. / East Central CC",,,
13,,9.0,"Broderick ""BJ"" Washington",S,So.,6-0,195.0,,Jackson State,"Flora, Miss.",Madison Central HS,"Flora, Miss. / Northwest Miss. CC",,,
14,,10.0,Antonio Gayden,WR,Fr.,5-10,165.0,,Jackson State,"Harvey, La.",Pearl River CC,"Harvey, La. /",,,
15,,11.0,Isaiah Spencer,WR,Fr.,6-2,185.0,,Jackson State,"Flora, Miss.",Madison Central HS,"Flora, Miss. /",,,
16,,12.0,Nireek Sharpe,DB,Fr.,6-0,165.0,,Jackson State,"Stockbridge, Ga.",Stockbridge HS,"Stockbridge, Ga. /",,,
17,,12.0,Greyson Thompson,QB,R-Jr.,6-3,205.0,Marketing,Jackson State,"Denton, Texas",Denton Braswell HS,"Denton, Texas / North Texas",,,
