,Statistic,No.,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,Gene Sledge,RB,6-2,235.0,So.,"Huntsville, Ala. / Vista Peak HS",Kennesaw State,Northern Colorado,,,
1,,2.0,Preston Daniels,RB,5-11,255.0,Jr.,"Sandersville, Ga. / Washington County HS",Kennesaw State,,,,
2,,4.0,Jonathan Murphy,QB,6-0,190.0,Sr.,"Los Angeles, Calif. / Westchester HS",Kennesaw State,Long Beach CC,,,
3,,7.0,Oscar Gonzalez,WR,6-4,230.0,Sr.,"Dalton, Ga. / Southeast Whitfield HS",Kennesaw State,,,,
4,,9.0,Davis Bryson,QB,5-9,175.0,Fr.,"Woodbridge, Va. / Freedom HS",Kennesaw State,,,,
5,,11.0,Je'Cory Burks,DB,6-0,195.0,Sr.,"Perry, Ga. / Perry HS",Kennesaw State,,,,
6,,12.0,Isaac Foster,RB,5-10,175.0,Gr.,"Summerville, Ga. / Chattooga HS",Kennesaw State,,,,
7,,13.0,DeAngelo Hardy,QB,5-10,185.0,Jr.,"Chattanooga, Tenn. / McCallie School",Kennesaw State,,,,
8,,14.0,Jalen Barnum,LB,6-1,195.0,Jr.,"Jesup, Ga. / Wayne County HS",Kennesaw State,,,,
9,,15.0,Braden Bohannon,QB,6-1,180.0,Fr.,"Woodstock, Ga. / Etowah HS",Kennesaw State,,,,
10,,15.0,Jayven Williams,DB,6-2,170.0,Fr.,"Mobile, Ala. / Baker HS",Kennesaw State,,,,
11,,17.0,Chavis Marshall,WR,6-3,195.0,Jr.,"Sylvester, Ga. / Worth County HS",Kennesaw State,,,,
12,,18.0,Nick Sawyer,QB,5-11,160.0,Fr.,"Harvest, Ala. / Sparkman HS",Kennesaw State,,,,
13,,19.0,Adam Diaz,QB,5-11,180.0,Fr.,"Shaker Heights, Ohio / Shaker Heights HS",Kennesaw State,,,,
14,,21.0,Markeith Montgomery,DB,5-10,185.0,Sr.,"Flintstone, Ga. / Ridgeland HS",Kennesaw State,,,,
15,,22.0,Elijah Kirby,DB,6-1,210.0,Jr.,"Sandy Springs, Ga. / Riverwood HS",Kennesaw State,,,,
16,,23.0,Sulaiman Bah,DB,6-1,190.0,So.,"Lilburn, Ga. / Parkview HS",Kennesaw State,,,,
