,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Yr.-Exp.,Hometown / High School,Previous School,Name,Title
0,,,2,Damashja Harris,RB,6-2,198.0,Fr.-RS,"Killeen, Texas / Ellison HS",,,
1,,,2,Vencent Rockwell,ILB,6-2,217.0,Jr.-2L,"Dallas, Texas / Gilmer HS",,,
2,,,3,Izaha Jones,WR,6-2,175.0,Fr.-HS,"Normangee, Texas / Normangee HS",,,
3,,,3,Ramond Stevens,DB,5-10,158.0,Jr.-2L,"New Orleans, La. / Warren Easton HS",,,
4,,,4,Cameron George,WR,5-10,209.0,So.-1L,"Missouri City, Texas / Elkins HS",Colorado,,
5,,,4,Jaymond Jackson,DE,6-3,241.0,Jr.-2L,"Lindale, Texas / Lindale HS",,,
6,,,5,Damian Alexander,DB,6-0,156.0,Jr.-2L,"New Orleans, La. / Booker T. Washington HS",,,
7,,,5,Robert Coleman,QB,6-0,190.0,Jr.-TR,"Riverside County, Calif. / Vista Murrieta HS",Mt. San Jacinto College,,
8,,,6,Khalan Griffin,RB,5-10,215.0,Jr.-1L,"Tyler, Texas / Chapel Hill HS",Rice,,
9,,,7,Sevonne Rhea,WR,5-11,190.0,So.-1L,"Houston, Texas / Porter HS",Texas State,,
10,,,8,Kyndon Fuselier,WR,5-10,165.0,So.-1L,"Nederland, Texas / Nederland HS",,,
11,,,9,Mike Chandler,QB,6-0,190.0,So.-1L,"Converse, Texas / Judson HS",Colorado,,
12,,,10,Dozie Ifeadi,WR,6-1,196.0,Jr.-2L,"Tyler, Texas / Bishop Gorman Catholic HS",,,
13,,,10,Jase Williams,ILB,6-2,227.0,So.-1L,"Slidell, La. / Slidell HS",,,
14,,,11,Nathan Gaskamp,TE,6-1,237.0,Sr.-3L,"Midlothian, Texas / Heritage HS",Trinity Valley CC,,
15,,,11,Canden Grogan,DB,6-3,158.0,So.-1L,"Mont Belvieu, Texas / Barbers Hill HS",,,
16,,,12,Antorius Hambric Jr.,DB,5-11,183.0,Jr.-2L,"Forney, Texas / North Forney HS",,,
17,,,12,Jakolby Longino,QB,6-3,195.0,So.-1L,"Missouri City, Texas / Hightower HS",UTEP,,
18,,,13,Andrew Hardin,S,6-2,200.0,So.-TR,"Woodbridge, Va. / Chippewa Valley HS",Youngstown State,,
19,,,13,Sharmon Rester,QB,5-10,190.0,Fr.-RS,"El Dorado, Ark. / El Dorado HS",,,
20,,,14,Dwight Davis,DB,5-10,160.0,Fr.-RS,"Orange, Texas / Little Cypress-Mauriceville HS",,,
21,,,14,Andre Dennis,WR,6-1,185.0,So.-1L,"Beaumont, Texas / West Brook HS",,,
22,,,15,Darion White,LB,6-1,202.0,Fr.-RS,"Waco, Texas / La Vega HS",,,
23,,,16,Zyon Clark,DB,6-3,180.0,Fr.-RS,"Anahuac, Texas / Anahuac HS",,,
24,,,16,Kendric Malone,QB,5-11,180.0,Fr.-RS,"Tatum, Texas / Tatum HS",,,
25,,,17,Brayden Faulkner,LB,6-0,208.0,So.-1L,"Waco, Texas / China Spring HS",,,
26,,,17,Keshaun Lazard,WR,6-0,180.0,So.-1L,"Opelousas, La. / Northwest HS",,,
27,,,18,KJ Gilbert,DB,5-10,171.0,So.-TR,"Katy, Texas / Tompkins HS",Trinity Valley JC,,
28,,,18,Daelyn Williams,QB,5-10,150.0,So.-1L,"Houston, Texas / Dekaney HS",,,
29,,,20,Major Bowden,RB,5-9,180.0,So.-1L,"Waco, Texas / China Spring HS",,,
30,,,20,Kristian Pugh,DB,5-11,160.0,So.-1L,"Beaumont, Texas / West Brook HS",,,
31,,,21,Joshua Landrum,DB,6-0,190.0,Jr.-TR,"Cedar Hill, Texas / Cedar Hill HS",Rice,,
32,,,22,Jaden Harding,DB,5-10,167.0,So.-1L,"Destrehan, La. / Destrehan HS",,,
33,,,23,Aaron King,DB,5-10,170.0,So.-1L,"Garland, Texas / Garland HS",,,
34,,,24,RJ Carver,RB,5-10,216.0,So.-1L,"McKinney, Texas / McKinney HS",,,
35,,,25,Jonovan Tillis,LB,6-3,230.0,So.-TR,"Wesley Chapel, Fla. / Winegrass HS",Mt. San Antonio College,,
36,,,26,Jah'mar Sanders,WR,5-11,180.0,Fr-TR,"Port Arthur, Texas / Memorial HS",New Mexico,,
37,,,27,Robert Bonar,LB,6-1,206.0,So.-1L,"Houston, Texas / Deer Park HS",Utah,,
38,,,29,Javonta Thomas,WR,5-11,183.0,Fr.-RS,"Van, Texas / Van HS",,,
39,,,30,"Du'Wayne Paulhill, Jr.",DB,6-1,197.0,So.-1L,"Bryan, Texas / Bryan HS",,,
40,,,31,Dawson Schremp,K,5-9,160.0,Fr.-RS,"College Station, Texas / College Station HS",,,
41,,,32,Chris Esqueda,K/P,5-8,185.0,Jr.-1L,"Waco, Texas / Waco HS",Baylor,,
42,,,33,Samuel Scaife IV,DB,6-1,205.0,Jr.-2L,"Waxahachie, Texas / St. Augustine (Calif.) HS",Cisco College,,
43,,,34,Ian Box,LB,6-2,235.0,Fr.-RS,"Seguin, Texas / Seguin HS",,,
44,,,35,Braden Courtney,LB,5-11,195.0,Fr.-RS,"Timpson, Texas / Timpson HS",,,
45,,,36,Isaiah Grant,DB,6-0,185.0,So.-TR,"Lancaster, Calif. / Killeen Ellison (TX) HS",Midwestern State,,
46,,,37,Jace Burns,WR,6-1,185.0,Fr.-RS,"Gladewater, Texas / Sabine HS",,,
47,,,38,Jack Roe,WR,6-0,188.0,Sr.-SQ,"Humble, Texas / Atascocita HS",,,
48,,,39,Joey Johnson,LB,6-3,190.0,Jr.-TR,"Dallas, Texas / Cedar Hill HS",East Texas Baptist,,
49,,,40,Jalen Freeman,ILB,6-1,240.0,Jr.-3L,"Frisco, Texas / Independence HS",Harding University,,
50,,,41,Kendal Rowan,OLB,6-2,221.0,Jr.-3L,"Marrero, La. / St. Augustine HS",,,
51,,,42,Jacob Ferree,DE,6-2,227.0,Fr.-RS,"League City, Texas / Clear Springs HS",,,
52,,,43,Beau Dawson,TE/DS,6-0,215.0,Fr.-RS,"Austin, Texas / Lipscomb Academy",,,
53,,,44,Junior Ombati,RB,5-8,165.0,Fr.-RS,"Princeton, Texas / Princeton HS",,,
54,,,45,Greg Hoofkin,OLB,6-1,232.0,So.-1L,"Richmond, Texas / George Ranch HS",,,
55,,,46,Alfonso Deleon,K,5-11,190.0,Sr.-1L,"Shreveport, La. / Captain Shreve HS",Hutchinson CC,,
56,,,47,DJ Wilson,DB,5-11,185.0,Jr.-TR,"Houston, Texas / Pearland HS",Navarro College,,
57,,,48,Pius Njenge,DE,6-4,250.0,Jr.-1L,"Stratford, Texas / Stratford HS",Southern Nazarene,,
58,,,49,Foday Jalloh,LB,6-2,220.0,Fr.-TR,"Reading, Pa. / Wilson",Eastern Illinois,,
59,,,51,Donavan Jordan,OL,6-3,290.0,Fr.-HS,"Flint, Texas / Tyler Legacy HS",,,
60,,,52,Blake Gotcher,ILB,6-1,227.0,Jr.-2L,"Little Elm, Texas / Lone Star HS",,,
61,,,55,Dawson Exline,LB,5-11,200.0,Fr.-RS,"China Spring, Texas / China Spring HS",,,
62,,,56,James Perkins,DL,6-4,260.0,So.-TR,"Monroe, La. / Neville HS",UL Monroe,,
63,,,57,Jonavon Dennis,DL,6-2,210.0,Fr.-RS,"Houston, Texas / Cypress Ranch HS",,,
64,,,58,Elias Ripley,OL,6-2,290.0,Jr.-TR,"Cedar Rapids, Iowa / Prairie HS",Iowa Western,,
65,,,60,John Hester,OL,6-4,287.0,Fr.-RS,"Hawkins, Texas / Hawkins HS",,,
66,,,61,Kade Verden,OL,6-1,280.0,Fr.-HS,"Bullard, Texas / Bullard HS",,,
67,,,62,Devin Fregia,OL,6-3,253.0,So.-1L,"Liberty, Texas / Liberty HS",,,
68,,,63,Tim Carlson,OL,6-4,260.0,Fr.-HS,"Keller, Texas / Keller HS",,,
69,,,65,Jacob Dicharry,OL,6-5,256.0,So.-2L,"Dallas, Texas / Pearce HS",,,
70,,,67,Marcus Harbert,OL,6-1,255.0,Fr.-RS,"Wylie, Texas / Wylie East HS",,,
71,,,68,Eithan Wallace,OL,6-1,255.0,Fr.-HS,"Tyler, Texas / Legacy HS",,,
72,,,69,Brayden Clinton,OL,6-3,275.0,Fr.-RS,"Gilmer, Texas / Gilmer HS",,,
73,,,70,Preston Yarber,OL,6-5,270.0,Fr.-HS,"Canton, Texas / Canton HS",,,
74,,,71,Jevale Roberson,OL,6-2,298.0,Jr.-3L,"Cleveland, Texas / Cleveland HS",,,
75,,,72,Marcques Mayo,OL,6-3,259.0,So.-2L,"Opelousas, La. / Northwest HS",,,
76,,,73,Knox Boyd,OL,6-4,290.0,Fr.-RS,"Denton, Texas / Guyer HS",Charlotte,,
77,,,74,B.J. Williams,OL,6-3,291.0,So.-1L,"DeRidder, La. / DeRidder HS",,,
78,,,75,Alejandro Acosta,OL,5-10,291.0,Jr.-SQ,"Deer Park, Texas / Deer Park HS",,,
79,,,77,Reginald Burks,OL,6-2,290.0,Fr.-RS,"Lake Charles, La. / Lake Charles College Prep",,,
80,,,78,Devon King,OL,6-2,350.0,Jr.-3L,"Gilmer, Texas / Gilmer HS",,,
81,,,79,Reggie Brooks,DL,6-3,309.0,So.-1L,"Wylie, Texas / Wylie East HS",,,
82,,,80,Carter Holmes,WR,6-0,190.0,Fr.-HS,"Beaumont, Texas / West Brook HS",,,
83,,,81,Devyn Gibbs,TE,6-4,217.0,So.-2L,"Mabank, Texas / Mabank HS",,,
84,,,82,Jayden Boyd,WR,6-2,185.0,Fr.-RS,"Tatum, Texas / Tatum HS",,,
85,,,84,Sterling Herrington,TE,6-2,219.0,So.-2L,"Silsbee, Texas / Silsbee HS",,,
86,,,86,David Jefferson,WR,5-10,165.0,So.-1L,"Pearland, Texas / Dawson HS",,,
87,,,88,Jayden Slater,TE,6-5,195.0,Fr.-HS,"Keller, Texas / Boys Ranch HS",,,
88,,,90,Jayden Madkins,DL,6-1,297.0,Fr.-HS,"Pearland, Texas / Shadow Creek HS",,,
89,,,92,Colin Hedges,DL,6-0,215.0,Fr.-RS,"Houston, Texas / Second Baptist HS",,,
90,,,93,Emmanuel Oguns,DL,6-5,240.0,Fr.-HS,"Houston, Texas / Alief Taylor HS",,,
91,,,97,Byron Mathis,DL,6-0,305.0,So.-1L,"Raceland, La. / Cy Creek HS",,,
92,,,98,Chidera Umeh,DL,6-4,281.0,Jr.-2L,"Richmond, Texas / St. Thomas HS",,,
93,,,99,Caleb Williams,DL,5-11,300.0,Jr.-2L,"Houston, Texas / Cy Creek HS",,,
94,,,QB,Christian Kaopua,QB,6-2,195.0,Jr.-TR,"Humble, Texas / Humble HS",Trinity Valley CC,,
0,,,,,,,,,,,Pete Rossomando,Head Coach
1,,,,,,,,,,,Drew Christ,Assistant Coach - Defensive Coordinator
2,,,,,,,,,,,Will Fleming,Assistant Coach - Offensive Coordinator/QBs
3,,,,,,,,,,,Coby Gipson,Assistant Coach - Recruiting Coordinator/WRs
4,,,,,,,,,,,Daryl Daleen,Assistant Coach - Co-Special Teams Coord. / ILBs
5,,,,,,,,,,,Dave Stedman,Assistant Coach - Co-Special Teams Coord. / OLBs
6,,,,,,,,,,,Wayne Cordova,Assistant Coach - Safeties
7,,,,,,,,,,,Lorenzo Jackson,Assistant Coach - Defensive Line
8,,,,,,,,,,,Matt Cannata,Assistant Coach - Offensive Line
9,,,,,,,,,,,Todd Macon,Assistant Coach - Running Backs
10,,,,,,,,,,,Andrew Sparano,Assistant Coach - Tight Ends
11,,,,,,,,,,,Pat Walker,Assistant Coach - Strength
0,,,,,,,,,,,Kristin Willeford,Assistant AD for Sports Medicine
1,,,,,,,,,,,Cecil Banks III,Video Coordinator/Dir. of Football Media
