,Statistic,#,Image,Name,Yr.,Pos.,Ht.,Wt.,Hometown,High School,Major,Title
0,,1.0,,Christian Murrell,Jr.,RB,5-7,175.0,"Leesburg, Va.",Flint Hill,Arts and Engineering,
1,,2.0,,Brent Rosendorf,Sr.,WR,5-10,180.0,"Chappaqua, N.Y.",Horace Greeley,Industrial and Systems Engineering,
2,,2.0,,LaTreil Wimberly,Sr.,DB,5-10,190.0,"Glenarden, Md.",C.H. Flowers,Computer Engineering,
3,,5.0,,Connor Kennedy,Sr.,WR,6-2,195.0,"Mount Laurel, N.J.",Lenape,Business,
4,,7.0,,Roemello Miner,Sr.,WR,6-2,195.0,"Ashburn, Va.",Broad Run,Economics,
5,,9.0,,Geoffrey Jamiel,So.,WR,5-8,175.0,"West Yarmouth, Mass.",Deerfield Academy,Arts and Sciences,
6,,10.0,,Logan Jones,Jr.,DB,6-3,185.0,"Charlotte, N.C.",Charlotte Christian,Arts and Sciences,
7,,11.0,,Stephon Bland,5th,DL,6-1,245.0,"Cumming, Ga.",West Forsyth,Psychology,
8,,11.0,,Dajuan Fields,Jr.,WR,6-0,170.0,"Buford, Ga.",Buford,Business,
9,,12.0,,Michael Jordan,So.,DB,5-11,175.0,"Katy, Texas",Paetow,Arts and Sciences,
10,,12.0,,Dante Perri,Sr.,QB,6-3,210.0,"Philadelphia, Pa.",The Haverford School,Finance,
11,,14.0,,Matt Rauscher,Jr.,QB,6-2,215.0,"New Tripoli, Pa.",Allentown Central Catholic,Business,
12,,17.0,,Hank Shapiro,Sr.,QB,6-2,215.0,"Westfield, N.J.",Westfield,Marketing,
13,,18.0,,Brayten Silbor,So.,QB,6-3,210.0,"Scottsdale, Ariz.",Chaparral,Arts and Sciences,
14,,19.0,,Andrew Worthy,Jr.,DB,5-11,175.0,"Marietta, Ga.",Hillgrove,Arts and Sciences,
15,,20.0,,Jack DiPietro,Sr.,RB,5-10,205.0,"Long Valley, N.J.",West Morris Central,Finance,
16,,22.0,,Devari Robinson,Sr.,DB,5-11,190.0,"McKeesport, Pa.",McKeesport,Management,
17,,23.0,,Gaige Garcia,Jr.,RB,5-10,215.0,"Catawissa, Pa.",Southern Columbia (U. of Michigan),Management,
