,Statistic,#,Full Name,Year,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,Owen Glascoe,R-Jr.,TE,6-4,258.0,"Massapequa Park, N.Y. / Massapequa",Long Island,Penn State,,,
1,,1.0,Rudy Ngougni,Sr.,DE,6-3,240.0,"Silver Spring, Md. / Montgomery Blair",Long Island,Notre Dame College,,,
2,,1.0,Tosin Oyekanmi,Gr.,WR,6-0,185.0,"Far Rockaway, N.Y. / Christ the King",Long Island,ASA College,,,
3,,2.0,Davon Wells,Jr.,WR,5-10,170.0,"Kissimmee, Fla. / Osceola",Long Island,The Citadel,,,
4,,3.0,Pat Bowen,So.,RB,5-9,190.0,"Fort Lauderdale, Fla. / Dillard",Long Island,Independence CC,,,
5,,3.0,Tariq Snead,Sr.,DB,5-10,175.0,"Sicklerville, N.J. / Timber Creek Regional",Long Island,,,,
6,,4.0,Jonathan DeBique,Gr.,RB,6-0,215.0,"Baldwin, N.Y. / Baldwin",Long Island,,,,
7,,5.0,Michael Love,Jr.,WR,5-9,170.0,"Chicago, Ill. / Nazareth Academy",Long Island,Iowa Western CC,,,
8,,5.0,Rudy Silvera,R-So.,DB,6-1,200.0,"Brooklyn, N.Y. / Christ the King",Long Island,,,,
9,,6.0,Jaden Dawkins,So.,OLB,6-0,215.0,"Stamford, Conn. / Trinity-Pawling",Long Island,,,,
10,,6.0,Maurice Smith,Fr.,QB,6-2,210.0,"Fort Pierce, Fla. / Vero Beach",Long Island,,,,
11,,7.0,Larry Elder,So.,DB,6-0,195.0,"Richmond, Va. / Fork Union Military Academy",Long Island,,,,
12,,7.0,Shemar Paul,R-So.,RB,5-10,180.0,"Miami, Fla. / Booker T. Washington",Long Island,,,,
13,,8.0,Twan Massie,R-So.,DB,5-10,175.0,"Miami, Fla. / Miami Northwestern",Long Island,UAB,,,
14,,8.0,Drew Person,Fr.,QB,6-4,190.0,"Exton, Pa. / Downingtown East",Long Island,,,,
15,,9.0,Daniel Hernandez,Fr.,WR,6-0,200.0,"Bloomfield, N.J. / Saint Joseph Regional",Long Island,,,,
16,,9.0,Orin Ormsby,R-Jr.,DL,6-4,235.0,"Queens Village, N.Y. / Episcopal",Long Island,Monroe College,,,
17,,10.0,Naman Alemada,R-Fr.,QB,6-6,235.0,"South Fayette, Pa. / South Fayette",Long Island,,,,
18,,10.0,Dom Barbuto,R-So.,LB,6-2,220.0,"Lynbrook, N.Y / Lynbrook",Long Island,,,,
19,,11.0,Victor Nelson Jr.,R-So.,DB,6-4,209.0,"Gainsville, Fla. / Buchholz",Long Island,,,,
20,,11.0,Luca Stanzani,Fr.,QB,5-11,180.0,"Clearwater, Fla. / Clearwater Academy International",Long Island,,,,
21,,12.0,Derek Green,Gr.,QB,6-4,215.0,"Leawood, Kansas / Rockhurst",Long Island,SMU,,,
22,,12.0,Leisaan Hibbert,R-Fr.,RB,6-0,185.0,"Melville, N.Y. / Half Hollow Hills East",Long Island,,,,
23,,13.0,Quincy McDuffie,R-Fr.,WR,6-3,202.0,"Brooklyn, N.Y. / Abraham Lincoln",Long Island,,,,
