,Statistic,#,Name,Name.1,Pos.,Ht.,Wt.,Hometown,Current School Name,High School,C,Academic Year,Image,Title
0,,2.0,Mike,Arrington,Linebacker,6-0,213.0,"Ashburn, VA",Marist,Broad Run,,Gr.,,
1,,4.0,Glenmour,Leonard-Osbourne,Running Back,5-10,190.0,"Ardsley, NY",Marist,Ardsley,,R-Sr.,,
2,,5.0,Diego,Arroyo,Quarterback,5-11,175.0,"Vero Beach, FL",Marist,Cocoa,,R-So.,,
3,,7.0,Isaiah,Smith,Cornerback,5-9,178.0,"Sugar Hill, GA",Marist,Lanier,,R-Sr.,,
4,,8.0,Camron,Ball,Safety,5-10,196.0,"Marietta, GA",Marist,Kell,,R-Jr.,,
5,,8.0,Logan,Brabham,Quarterback,6-2,189.0,"Palm Bay, FL",Marist,Bayside,,R-So.,,
6,,9.0,Kolbe,Benham,Safety,5-11,180.0,"Cartersville, GA",Marist,Cartersville,,R-So.,,
7,,10.0,Brendan,Pacheco,Safety,6-1,197.0,"Wilmington, DE",Marist,Salesianum,,R-Sr.,,
8,,12.0,Sonny,Mannino,Quarterback,6-4,212.0,"Leesburg, VA",Marist,Tuscarora,,R-Fr.,,
9,,14.0,Cole,Boyd,Quarterback,5-11,188.0,"Gibsonia, PA",Marist,Pine-Richland,,R-Fr.,,
10,,15.0,Brandon,Lombana,Wide Receiver,5-10,185.0,"Southlake, TX",Marist,Red Bank Catholic,,R-Sr.,,
11,,16.0,Brett,Landis,Wide Receiver,6-3,195.0,"Hoschton, GA",Marist,Winder-Barrow,,R-Jr.,,
12,,18.0,Brock,Bagozzi,Quarterback,6-2,206.0,"Solvay, NY",Marist,Bridgton Academy,,Jr.,,
13,,18.0,David,LaFears,Safety,6-0,200.0,"Washington, DC",Marist,Archbishop Carroll,,R-So.,,
14,,19.0,Matt,Stianche,Wide Receiver,6-3,188.0,"Northampton, PA",Marist,Bethlehem Catholic,,R-Jr.,,
15,,20.0,Dyvante,Terrelonge,Wide Receiver,6-0,160.0,"Halfmoon, NY",Marist,Shenendehowa,,R-So.,,
16,,20.0,Austin,Trimble,Cornerback,5-11,180.0,"Canton, GA",Marist,Cherokee,,R-So.,,
17,,21.0,Max,Jackson,Running Back,6-2,225.0,"Summit, NJ",Marist,Summit,,R-Sr.,,
18,,23.0,Jayson,Colorado,Safety,6-1,194.0,"New York, NY",Marist,Paramus Catholic,,R-Jr.,,
19,,26.0,Amin,Woods,Running Back,5-9,199.0,"Cornwall, NY",Marist,Cornwall Central,,R-Jr.,,
20,,27.0,Suraj,Fong,Cornerback,6-1,165.0,"Bronx, NY",Marist,Archbishop Stepinac,,R-Fr.,,
21,,28.0,Tristan,Shannon,Running Back,5-7,180.0,"Bowie, MD",Marist,Charles Herbert Flowers,,R-Jr.,,
22,,29.0,Andrew,McHugh,Wide Receiver,6-2,160.0,"Willow Grove, PA",Marist,Archbishop Wood,,R-Fr.,,
23,,30.0,Angelo,Vokolos,Linebacker,5-10,185.0,"Sewell, NJ",Marist,St. Augustine Prep,,R-So.,,
24,,31.0,Chase,Gardi,Kicker,6-2,193.0,"Garden City, NY",Marist,Garden City,,R-Jr.,,
25,,31.0,Josh,Popoca,Cornerback,5-10,180.0,"Middletown, NY",Marist,Middletown,,R-Jr.,,
26,,32.0,Jake,Ciolino,Wide Receiver,5-9,155.0,"Massapequa Park, NY",Marist,Massapequa,,R-Fr.,,
27,,32.0,Tyler,Ruscher,Linebacker,5-10,215.0,"Randolph, NJ",Marist,Pope John,,Jr.,,
28,,33.0,Kyle,Coffindaffer,Safety,5-10,196.0,"Jacksonville, FL",Marist,The Bolles School,,R-Sr.,,
29,,34.0,Mylo,Lee,Running Back,5-11,190.0,"Pinebrook, NJ",Marist,Montville,,R-Jr.,,
30,,35.0,Brandon,Lysick,Tight End,5-11,205.0,"Easton, PA",Marist,Bethlehem Catholic,,R-Jr.,,
31,,36.0,Corey,Pitts,Safety,5-11,170.0,"Matawan, NJ",Marist,St. John Vianney,,R-Fr.,,
32,,38.0,Rechee,Smith,Cornerback,5-10,175.0,"Columbus, OH",Marist,St. Francis DeSales,,So.,,
33,,39.0,Nick,Vecchiarelli,Safety,6-0,200.0,"Howell, NJ",Marist,Howell,,So.,,
34,,40.0,Dominic,Dutton,Defensive Line,6-2,245.0,"Cleveland, OH",Marist,Notre Dame-Cathedral Latin,,R-Jr.,,
35,,40.0,John,Reyes,Kicker,5-9,172.0,"Clarksville, MD",Marist,Our Lady of Good Counsel,,R-Fr.,,
36,,41.0,Tyrese,Hudson,Wide Receiver,5-9,163.0,"Columbus, OH",Marist,Bishop Ready,,R-So.,,
37,,42.0,Declan,Smith,Linebacker,5-10,180.0,"Highlands Ranch, CO",Marist,Valor Christian,,R-Jr.,,
38,,43.0,Carter,James,Running Back,5-10,200.0,"Canal Winchester, OH",Marist,Columbus Academy,,R-Fr.,,
39,,43.0,Quinn,Knox,Linebacker,6-2,220.0,"Stow, OH",Marist,STVM,,R-So.,,
40,,44.0,Arthur,Pinckney,Linebacker,5-10,209.0,"Union, NJ",Marist,Union,,Gr.,,
41,,46.0,Rene,Barber,Linebacker,5-10,185.0,"Powder Springs, GA",Marist,McEachern,,R-Fr.,,
42,,47.0,Anthony,Comestro,Linebacker,5-10,200.0,"Ladera Ranch, CA",Marist,Santa Margarita Catholic,,R-So.,,
43,,48.0,Noah,Abida,Linebacker,5-11,215.0,"Wayne, NJ",Marist,Wayne Hills,,R-So.,,
44,,49.0,Kanye,Davis,Linebacker,6-2,200.0,"Syracuse, NY",Marist,Corcoran,,R-Fr.,,
45,,50.0,Salvatore,Crescenzo,Offensive Line,6-1,245.0,"Pleasant Valley, NY",Marist,Arlington,,R-Jr.,,
46,,51.0,Max,Zart,Defensive Line,6-2,240.0,"Concord, OH",Marist,Notre Dame-Cathedral Latin,,R-Jr.,,
47,,53.0,Aidan,Knapik,Linebacker,5-10,200.0,"Ballston Spa, NY",Marist,Burnt Hills-Ballston Spa,,R-Fr.,,
48,,55.0,Jake,Anapol,Offensive Line,6-0,265.0,"Glastonbury, CT",Marist,Kent School,,Jr.,,
49,,56.0,Masin,Cobb,Defensive Line,6-3,255.0,"Woodland Park, NJ",Marist,St. Peter's Prep,,R-So.,,
50,,57.0,John,Testa,Linebacker,5-8,192.0,"Wayne, NJ",Marist,Wayne Valley,,R-So.,,
51,,58.0,Declan,Kazan,Linebacker,6-1,210.0,"Summit, NJ",Marist,Seton Hall Prep,,R-So.,,
52,,59.0,Justin,Iaccio,Linebacker/Long Snapper,6-0,208.0,"Mullica Hill, NJ",Marist,Clearview Regional,,R-Sr.,,
53,,60.0,Brody,Shaner,Offensive Line,6-4,260.0,"Hampton, NJ",Marist,Voorhees,,R-Fr.,,
54,,61.0,Stephen,Hattala,Defensive Line,6-0,220.0,"Quakertown, PA",Marist,Bethlehem Catholic,,R-Fr.,,
55,,63.0,Keshawn,Haynes,Offensive Line,6-2,350.0,"Akron, OH",Marist,Archbishop Hoban,,R-Fr.,,
56,,65.0,Dominic,Perricone,Offensive Line,6-5,320.0,"Mahopac, NY",Marist,Mahopac,,R-So.,,
57,,66.0,Brandon,Furey,Offensive Line,6-0,305.0,"Belle Mead, NJ",Marist,Montgomery,,R-Fr.,,
58,,69.0,Charlie,Mallady,Defensive Line,6-2,260.0,"Atlanta, GA",Marist,Holy Innocents Episcopal,,R-Fr.,,
59,,71.0,Sam,Loper,Offensive Line,6-4,276.0,"Fernandina Beach, FL",Marist,Fernandina Beach,,R-So.,,
60,,72.0,Ibrahim,Giwa,Offensive Line,6-4,298.0,"Clarksburg, MD",Marist,Clarksburg,,Jr.,,
61,,74.0,John,Krebs,Offensive Line,6-1,245.0,"Airmont, NY",Marist,Suffern,,R-Fr.,,
62,,75.0,Ryan,Andrews,Offensive Line,6-3,278.0,"Southington, CT",Marist,Southington,,R-So.,,
63,,76.0,Chris,Leonardo,Offensive Line,6-3,263.0,"Attleboro, MA",Marist,Attleboro,,R-Fr.,,
64,,77.0,Zaire,Cooper,Offensive Line,6-3,272.0,"Silver Spring, MD",Marist,Montgomery Blair,,R-Jr.,,
65,,78.0,Dan,Lozano,Offensive Line,6-4,285.0,"Cherry Hill, NJ",Marist,Cherry Hill West,,R-Fr.,,
66,,80.0,Trevor,Sterry,Wide Receiver,6-0,175.0,"Brookfield, CT",Marist,Brookfield,,R-Sr.,,
67,,81.0,Will,Downes,Wide Receiver,6-0,150.0,"Southington, CT",Marist,Southington,,R-Sr.,,
68,,82.0,Reed,Dexter,Wide Receiver,6-0,176.0,"Springfield, VA",Marist,West Springfield,,R-So.,,
69,,83.0,Max,Mazzella,Tight End,6-3,219.0,"Waterford, CT",Marist,Waterford,,R-Sr.,,
70,,84.0,Colin,Frary,Tight End,6-1,200.0,"Swampscott, MA",Marist,Bridgton Academy,,R-Jr.,,
71,,86.0,Luke,Pecovic,Tight End,6-3,251.0,"Campbell Hall, NY",Marist,Washingtonville,,R-Jr.,,
72,,88.0,Jackson,Willette,Tight End,6-4,230.0,"Morristown, NJ",Marist,Morristown,,R-So.,,
73,,89.0,Derek,Schrag,Wide Receiver,6-2,196.0,"Cornwall, NY",Marist,Cornwall Central,,R-Jr.,,
74,,92.0,Sean,Coverdale,Defensive Line,6-2,266.0,"Boxborough, MA",Marist,Acton-Boxborough,,So.,,
75,,93.0,Jalen,Carpenter,Defensive Line,6-2,245.0,"Columbus, OH",Marist,St. Francis DeSales,,R-Fr.,,
76,,96.0,Nick,Jackson,Defensive Line,6-0,298.0,"Alpharetta, GA",Marist,Mount Pisgah,,Jr.,,
77,,97.0,Christian,Pritzlaff,Defensive Line,6-3,248.0,"Red Bank, NJ",Marist,Red Bank Catholic,,Gr.,,
78,,98.0,Miles,Kauderer,Defensive Line,6-1,230.0,"Englewood Cliffs, NJ",Marist,Northern Valley Demarest,,R-Jr.,,
79,,99.0,Jack,Imbt,Defensive Line,6-0,273.0,"Troy, PA",Marist,Troy Area,,R-Jr.,,
0,,,Jim Parady,,,,,,Marist,,,,,Head Coach
1,,,Scott Rumsey '91/'06M,,,,,,Marist,,,,,Associate Head Coach/Defensive Coordinator
2,,,Cameron Gibson '17,,,,,,Marist,,,,,Special Teams Coordinator/Safeties
3,,,Billy Creed,,,,,,Marist,,,,,Passing Game Coordinator/Wide Receivers
4,,,James Groce,,,,,,Marist,,,,,Recruiting Coordinator/Defensive Line
5,,,Casey Tosches,,,,,,Marist,,,,,Running Backs/Assistant Special Teams Coordinator
6,,,Tom Kelly '75,,,,,,Marist,,,,,Kickers
7,,,Larry Riley '02/'03M,,,,,,Marist,,,,,Cornerbacks
8,,,Mike Kagafas '14,,,,,,Marist,,,,,Linebackers
9,,,Sean Gaffney '21,,,,,,Marist,,,,,Tight Ends
