,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,Current School Name,High School,Previous School,Image,Name,Title
0,,0.0,Lance Wise,S,5-9,195.0,Sr.,"Marietta, GA",Mercer,Hillgrove HS,,,,
1,,1.0,Devron Harper,WR,5-9,168.0,Sr.,"Conyers, Ga.",Mercer,Heritage HS,Gardner-Webb,,,
2,,2.0,Austin Douglas,RB,6-0,208.0,R-Jr.,"Decatur, GA",Mercer,Mount Vernon HS,James Madison University,,,
3,,3.0,Isaac Dowling,LB,5-10,225.0,Jr.,"Snellville, GA",Mercer,Shiloh HS,,,,
4,,5.0,Al Wooten II,RB,6-0,223.0,Jr.,"Memphis, TN",Mercer,Christian Brothers HS,,,,
5,,6.0,Cam Sims,CB,6-2,185.0,R-Jr.,"Memphis, TN",Mercer,Lausanne Collegiate,Georgia State,,,
6,,7.0,Carter Peevy,QB,6-3,217.0,R-So.,"Lawrenceville, GA",Mercer,Archer HS,,,,
7,,8.0,TJ Moore,CB,6-1,185.0,Jr.,"Riverdale, GA",Mercer,Riverdale HS,,,,
8,,10.0,Parker Wroble,WR,5-10,183.0,Jr.,"Hoschton, GA",Mercer,Mill Creek HS,Air Force Prep,,,
9,,11.0,Solomon Zubairu,EDGE,6-1,255.0,Sr.,"Lawrenceville, GA",Mercer,Archer HS,,,,
10,,12.0,Hess Horne,QB,6-2,190.0,R-So.,"Eufala, AL",Mercer,Eufala HS,Missouri State University,,,
11,,13.0,Ty James,WR,6-2,200.0,R-Jr.,"Conyers, GA",Mercer,Greater Atlanta Christian School,University of Georgia,,,
12,,14.0,Chris Joines,S,6-3,195.0,So.,"Winston-Salem, NC",Mercer,Reagan High School,Myrtle Beach Prep,,,
13,,15.0,Ken Standley,LB,5-11,225.0,R-Jr.,"Waycross, GA",Mercer,Ware County HS,,,,
14,,16.0,Trey Adkins,WR,5-11,180.0,Gr.,"Simpsonville, SC",Mercer,Hillcrest High,University of South Carolina,,,
15,,17.0,Daniel Shoch,QB,6-3,220.0,R-Fr.,"Selinsgrove, PA",Mercer,East Coweta HS,,,,
16,,18.0,Corey Barnes,CB,6-2,200.0,Jr.,"Jonesboro, Ga.",Mercer,Mundy's Mill HS,,,,
17,,19.0,Drew Moore,QB,6-2,180.0,Fr.,"Goose Creek, SC",Mercer,Goose Creek HS,,,,
18,,20.0,Richie Coffey,S,5-11,193.0,Sr.,"Jacksonville, FL",Mercer,Baldwin HS,,,,
19,,23.0,Travion Solomon,WR,6-1,180.0,So.,"Macon, GA",Mercer,Northeast HS,,,,
20,,25.0,Tyrell Coard,RB,6-0,200.0,Fr.,"Concord, NC",Mercer,Cox Mill HS,,,,
21,,26.0,Khay Loyd,SAF,6-1,205.0,So.,"Darien, GA",Mercer,McIntosh County Academy,Army Prep,,,
22,,27.0,Jacob Walker,RB,5-10,200.0,R-So.,"Augusta, GA",Mercer,Augusta Christian HS,,,,
23,,29.0,Xavier Brantley,WR,6-1,185.0,R-Fr.,"Uvalda, GA",Mercer,Montgomery County HS,,,,
24,,30.0,Kaleb Frost,CB,6-2,170.0,R-Fr.,"Summerville, SC",Mercer,Cane Bay HS,,,,
25,,31.0,Myles Weston,CB,5-11,168.0,R-Fr.,"Port Charlotte, FL",Mercer,Venice HS,,,,
26,,32.0,Josh Pickett,S,5-11,176.0,R-Fr.,"Hahira, GA",Mercer,Lowndes HS,,,,
27,,34.0,Myles Redding,S,6-1,190.0,Jr.,"Mableton, GA",Mercer,Whitefield Academy,,,,
28,,35.0,Langston White,RB,5-10,185.0,R-So.,"Decatur, GA",Mercer,Cedar Grove HS,,,,
29,,37.0,CJ Miller,RB,5-11,238.0,So.,"Gadsden, AL",Mercer,Gadsden City HS,,,,
30,,38.0,Juwan Johnson,S,5-11,195.0,So.,"Savannah, GA",Mercer,Calvary Day School,,,,
31,,40.0,Isaiah Washburn,KAT,6-2,235.0,So.,"Clearwater, FL",Mercer,Calvary Christian HS,Air Force Prep,,,
32,,41.0,Julian Fox,LB,6-0,195.0,Fr.,"Cordele, GA",Mercer,Crisp County HS,,,,
33,,42.0,Christian Hanson,KAT,6-1,228.0,So.,"Senoia, GA",Mercer,Trinity Christian High School,,,,
34,,43.0,Myles Jones,KAT,6-1,228.0,R-So.,"Charlotte, NC",Mercer,Hough HS,,,,
35,,44.0,Marcus Christian,KAT,6-3,211.0,R-Fr.,"Thomasville, GA",Mercer,Thomas County Central HS,,,,
36,,45.0,Tommy Bliss,SAF,5-11,175.0,So.,"Richmond Hill, GA",Mercer,Richmond Hill HS,,,,
37,,46.0,Isaac Prince,LB,6-0,215.0,R-Fr.,"Snellville, GA",Mercer,Shiloh High School,,,,
38,,47.0,Tommy Pollack,LB,6-0,215.0,R-So.,"Kennesaw, GA",Mercer,Harrison HS,,,,
39,,48.0,Mic Wasson,SAF,6-3,200.0,So.,"Glennville, GA",Mercer,Pinewood Christian Academy,,,,
40,,50.0,Cedric Richardson,OL,6-3,250.0,So.,"Lawrenceville, GA",Mercer,Collins Hill HS,,,,
41,,51.0,Drew Clare,LB,6-2,215.0,So.,"Forsyth, GA",Mercer,Denmark HS,,,,
42,,52.0,Demetri Robinson,OL,6-2,280.0,R-So.,"Fort Lauderdale, FL",Mercer,Stoneman Douglas HS,Dodge City Community College,,,
43,,53.0,Royce Izundu,KAT,6-1,218.0,R-Jr.,"Grayson, GA",Mercer,Greater Atlanta Christian,,,,
