,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
0,,0.0,Kaunor Ashley,CB,5-10,193.0,R-So.,"Muskogee, Okla. / Muskogee High",,,
1,,0.0,Jmariyae Robinson,WR,6-1,170.0,R-Fr.,"Cocoa, Fla. / Cocoa High",,,
2,,1.0,Craig Burt Jr.,WR,6-4,215.0,Sr.,"Columbus, Ohio / Centennial High",Western Kentucky,,
3,,2.0,Tico Brown,DL,6-2,295.0,Sr.,"Kokomo, Ind. / Homestead High",Central Michigan,,
4,,2.0,Jordan Pachot,QB,6-2,195.0,Jr.,"Highland, Calif. / San Gorgonio High",Ventura (Calif.) College,,
5,,3.0,DeAndre Washington,S,6-2,188.0,R-Jr.,"Wellington, Kan. / Wellington High",Hutchinson (Kan.) CC,,
6,,5.0,Kaleno Levine,CB,5-11,175.0,Jr.,"Fort Worth, Texas / V.R. Eaton HIgh",Tyler (Texas) JC,,
7,,6.0,Raylen Sharpe,WR,5-9,172.0,Jr.,"Allen, Texas / Allen High",Houston,,
8,,7.0,Naveon Mitchell,WR,5-10,183.0,Sr.,"Richmond, Texas / Travis High",New Mexico State,,
9,,8.0,Larry Wright III,WR,6-4,212.0,Jr.,"Apple Valley, Minn. / Eastview High",Minnesota,,
10,,9.0,Jacardia Wright,RB,6-0,220.0,Jr.,"Decatur, Ill. / St. Teresa High",Kansas State,,
11,,10.0,Tyrin Brooks,LB,6-1,220.0,Sr.,"Suitland, Md. / Wise High",Mt. San Antonio College,,
12,,10.0,Kaden McMullen,QB,6-4,210.0,So.,"O'Fallon, Mo. / Living Word Christian High",Alabama A&M,,
13,,11.0,Angelo Butts,WR,6-0,173.0,So.,"St. Louis, Mo. / O'Fallon Christian",Miami (Ohio),,
14,,11.0,Jamal McMurrin,CB,5-11,185.0,Sr.,"West Salem, Ore. / West Salem High",Butte (Calif.) College,,
15,,12.0,Jacob Clark,QB,6-5,217.0,R-So.,"Rockwall, Texas / Rockwall High",Minnesota,,
16,,12.0,P.J. Hall,S,6-3,200.0,Jr.,"Little Rock, Ark. / Robinson High",,,
17,,13.0,Todric McGee,S,6-1,203.0,So.,"Wichita, Kan. / Wichita Northwest High",,,
18,,13.0,Liam O'Reilly,WR,6-2,187.0,R-Fr.,"Springfield, Mo. / Springfield Catholic High",,,
19,,14.0,Devin Goree,DL,6-3,250.0,Jr.,"Denton, Texas / Guyer High",,,
20,,14.0,Stetson Moore,TE,6-4,250.0,Sr.,"Philadelphia, Miss. / Philadelphia High",Liberty,,
21,,16.0,C.J. Crump,CB,6-0,184.0,Jr.,"Greensboro, N.C. / Page High",East Carolina,,
22,,16.0,Reid Potts,QB,6-3,175.0,So.,"Nixa, Mo. / Nixa High",SEMO,,
23,,17.0,Isaiah Isaac,WR,5-10,185.0,R-Jr.,"Buford, Ga. / Buford High",Ventura (Calif.) College,,
24,,17.0,Jared Lloyd,LB,6-3,225.0,So.,"Daytona Beach, Fla. / Mainland High",,,
25,,18.0,Terique Owens,WR,6-3,193.0,Sr.,"Pleasanton, Calif. / Bishop O'Dowd High",Florida Atlantic,,
26,,20.0,Donovan Clark,CB,6-2,194.0,Jr.,"Sumner, Wash. / Lincoln High",Boise State,,
27,,21.0,Steven Ward,LB,6-0,217.0,R-So.,"Nixa, Mo. / Nixa High",,,
28,,22.0,Lemondre Joe,CB,6-0,174.0,R-So.,"Deltona, Fla. / Mainland High",,,
29,,23.0,Tywuan Lee,RB,6-2,201.0,So.,"Hilliard, Fla. / Hilliard High",,,
30,,24.0,Dwight Jacobs Jr.,S,5-10,193.0,Jr.,"Blythewood, S.C. / Ridge View High",,,
31,,24.0,Trae Thompson,TE,6-1,245.0,Sr.,"Tulsa, Okla. / Union High",Northeastern Okla. A&M,,
32,,25.0,Caleb Blake,CB,6-0,187.0,Jr.,"Winter Haven, Fla. / Bishop Moore High",Florida State,,
33,,26.0,Tahj Chambers,LB,6-2,218.0,Jr.,"Arlington, Texas / Grace Prep Academy",,,
34,,27.0,Jahiel Blue-Smith,CB,5-9,179.0,R-So.,"Oceanside, Calif. / Chaparral High",Mt. San Jacinto (Calif.) College,,
35,,29.0,J.J. O'Neal,S,6-2,189.0,So.,"Rogersville, Mo. / Logan-Rogersville High",,,
36,,30.0,Von Young,LB,6-0,219.0,Jr.,"Buckner, Mo. / Fort Osage High",,,
37,,31.0,Grant Burkett,P,6-1,184.0,Jr.,"Joplin, Mo. / Webb City High",,,
38,,31.0,Celdon Manning,RB,5-10,187.0,Jr.,"Allen, Texas / Allen High",,,
39,,31.0,Cooper Roy,LB,6-3,220.0,R-Fr.,"Springfield, Mo. / Glendale High",Air Force,,
40,,32.0,Kilifi Leaaetoa,LB,6-1,228.0,Sr.,"East Menlo Park, Calif. / Menlo Atherton High",Foothill (Calif.) College,,
41,,34.0,Kaleb Peleki,DL,6-3,269.0,R-Fr.,"Vallejo, Calif. / Bethel High",,,
42,,36.0,Jordan Hoskins,LB,6-0,212.0,So.,Detroit Mich. / West Bloomfield High,,,
43,,37.0,Spencer Grosz,K,5-11,173.0,Jr.,"Olathe, Kan. / Olathe East",,,
44,,39.0,Sage White,RB,5-8,174.0,R-Fr.,"Hardin, Ill. / Calhoun/Brussels High",,,
45,,40.0,Connor Lair,RB,6-1,220.0,So.,"West Plains, Mo. / West Plains High",,,
46,,41.0,Ahmias Hart,RB,6-2,207.0,R-Fr.,"Springfield, Mo. / Central High",,,
47,,42.0,Jeremiah Johnson,RB,6-1,213.0,Jr.,"Sacramento, Calif. / Pleasant Grove High",American River College,,
48,,43.0,Caleb Dietlin,DL,6-3,249.0,So.,"Aurora, Ill. / West Aurora High",,,
49,,44.0,Siale Suliafu,DL,6-0,298.0,Jr.,"Ontario, Calif. / St. Bernard High",,,
50,,45.0,Caden Bolz,LS,6-0,219.0,Jr.,"Overland Park, Kan. / Blue Valley West High",,,
51,,52.0,Thomas Schulte,OL,6-1,288.0,R-Fr.,"Nixa, Mo. / Nixa High",,,
52,,53.0,Jeremiah Carter,OL,6-6,301.0,R-Jr.,"Penns Grove, N.J. / Glasgow High",Lackawanna College,,
53,,54.0,Tevita Fuimaono,OL,6-2,300.0,Sr.,"Pomona, Calif. / Norco High",Riverside (Calif.) City College,,
54,,54.0,Kanye Young,LB,6-1,255.0,So.,"Menifee, Calif. / Heritage High",Reedley (Calif.) College,,
55,,56.0,Ryan Suliafu,OL,6-2,330.0,Sr.,"Ontario, Calif. / J'Serra Catholic High",Riverside City College,,
56,,57.0,Gilles Tchio,OL,6-3,301.0,R-Fr.,"Alpharetta, Ga. / Milton High",,,
57,,58.0,Hutson Lillibridge,OL,6-3,305.0,So.,"St. Louis, Mo. / DeSmet High",Tulane,,
58,,66.0,Grant Goodson,OL,6-6,296.0,So.,"Norman, Okla. / Norman High",,,
59,,70.0,Justin Curtis,OL,6-5,305.0,So.,"Santa Clara, Calif. / IMG Academy (Fla.)",Wagner College,,
60,,71.0,Cash Hudson,OL,6-3,272.0,R-Fr.,"Tulsa, Okla. / Bishop Kelley High",,,
61,,72.0,Mark Hutchinson,OL,6-2,290.0,So.,"Hayward, Calif. / Pittsburg High",,,
62,,74.0,Erick Cade,OL,6-6,345.0,So.,"Denton, Texas / Braswell High",Ole Miss,,
63,,74.0,Raveion Harrell,DL,6-1,300.0,R-Jr.,"Springfield, Mo. / Kickapoo High",Ft. Scott (Kan.) Community College,,
64,,75.0,Ben Martinez,OL,6-4,303.0,R-Jr.,"South Pasadena, Calif. / South Pasadena High",Mt. San Antonio (Calif.) College,,
65,,76.0,Cristian Loaiza,OL,6-5,325.0,R-Fr.,"Wesley Chapel, Fla. / Wiregrass Ranch High",,,
66,,79.0,Brett Harris,OL,6-6,293.0,So.,"Kansas City, Mo. / Rockhurst High",,,
67,,80.0,Carter Harrell,TE,6-4,217.0,R-Fr.,"Springfield, Mo. / Glendale High",,,
68,,81.0,Keaton Renfro,WR,5-11,173.0,So.,"Joplin, Mo. / Joplin High",Missouri S&T,,
69,,83.0,Michael Alphin,WR,5-10,165.0,So.,"Royse City, Texas / Royse City High",,,
