,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School / Prev. School,Image,Title
0,,1.0,Chance Harris,RB,5-11,180.0,Jr.,"North Tazewell, Va.",Morehead State,Tazewell HS,,
1,,1.0,Arvell Rogers,DL,6-2,285.0,Sr.,"Fresno, Calif.",Morehead State,Fresno College (Calif.) / Fresno HS,,
2,,3.0,Mikey Armour,WR,5-11,185.0,R-Jr.,"Florence, Ky.",Morehead State,Cooper HS,,
3,,9.0,Carter Cravens,QB,6-2,195.0,R-Fr.,"Cypress, Texas",Morehead State,Cy-Fair HS,,
4,,9.0,Benjamin Haywood III,DB,6-2,190.0,Jr.,"Ft. Myers, Fla.",Morehead State,College of the Sequoias (Calif.) / Cape Coral HS,,
5,,10.0,Kyle Daly,WR,5-10,186.0,Sr.,"Sparkhill, N.Y.",Morehead State,Hudson Valley (N.Y.) / Tapppanzee HS,,
6,,11.0,Vincent Anthony,TE,6-2,230.0,Jr.,"Louisville, Ky.",Morehead State,Hanover (Ind.) / Male HS,,
7,,13.0,Ryan Upp,WR,5-10,175.0,Jr.,"Leesburg, Va.",Morehead State,Tuscarora HS,,
8,,14.0,Matthew Middleton,QB,6-2,185.0,Jr.,"Fort Campbell, Ky.",Morehead State,Riverside College (Calif.) / Fort Campbell HS,,
9,,15.0,Matthew McClelland,DB,6-2,185.0,So.,"Mesa, Ariz.",Morehead State,Arete Prep Academy,,
10,,17.0,Major Dailey,DB,5-11,170.0,Gr.,"Fishers, Ind.",Morehead State,Taylor (Ind.) / Hamilton Southeastern HS,,
11,,17.0,Bryce Patterson,QB,6-2,205.0,So.,"Versailles, Ky.",Morehead State,Woodford County HS,,
12,,18.0,Grady Cramer,QB,6-3,218.0,R-Jr.,"Fort Thomas, Ky.",Morehead State,Highlands HS,,
13,,18.0,Gabriel Smith,LB,6-4,230.0,Jr.,"Somers, N.Y.",Morehead State,IMG Academy,,
14,,20.0,Nick Chrest,DB,5-10,180.0,R-So.,"Cypress, Texas",Morehead State,Sam Houston / Cy-Fair HS,,
15,,20.0,Cole Wallace,RB,5-11,195.0,So.,"Morehead, Ky.",Morehead State,Rowan County HS,,
