,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Image,Name,Title
0,,1.0,Max Oxendine,S,6-0,192.0,Sr.,"Chester, Va. / Thomas Dale / Fork Union Military",New Hampshire,,,
1,,4.0,Randall Harris,CB,6-0,194.0,Sr.,"Walled Lake, Mich. / Walled Lake Western / Central Michigan",New Hampshire,,,
2,,5.0,Charles Briscoe III,CB,6-1,195.0,Sr.,"Bowie, Md. / St. John's College H.S.",New Hampshire,,,
3,,5.0,Logan Tomlinson,WR,6-3,205.0,Gr.,"Manchester, Conn. / Manchester / Wesleyan",New Hampshire,,,
4,,6.0,Derek Thompson,S,5-11,194.0,Sr.,"Bear, Del. / Appoquinimink",New Hampshire,,,
5,,7.0,Jonathan Collins Jr.,CB,6-1,160.0,Jr.,"Williamstown, N.J. / Williamstown",New Hampshire,,,
6,,8.0,Caleb Burke,WR,6-1,197.0,So.,"Johnstown, Pa. / Richland",New Hampshire,,,
7,,8.0,Josiah Silver,DE,6-2,243.0,Jr.,"Hampton, Va. / Phoebus",New Hampshire,,,
8,,9.0,Heron Maurisseau,WR,6-0,191.0,Gr.,"Bellport, N.Y. / St. Anthony's / UConn",New Hampshire,,,
9,,9.0,Dylan Ruiz,DE,6-1,254.0,Jr.,"Kissimmee, Fla. / Osceola",New Hampshire,,,
10,,10.0,Zedane Williams,S,6-1,206.0,Jr.,"Springfield, Mass. / Springfield Central / Suffield Academy",New Hampshire,,,
11,,11.0,Barry Kleinpeter,QB,6-2,183.0,R-Fr.,"Savannah, Ga. / Savannah Country Day School",New Hampshire,,,
12,,11.0,Noah Stansbury,CB,6-1,187.0,Jr.,"Orange, N.J. / Edison",New Hampshire,,,
13,,13.0,Bryce Shaw,LB,6-1,240.0,Sr.,"Raynham, Mass. / Bridgewater-Raynham / Navy",New Hampshire,,,
14,,14.0,Duncan Moreland,S,6-2,208.0,Jr.,"Beverly, Mass. / Beverly",New Hampshire,,,
15,,15.0,Joey Corcoran,WR,6-2,198.0,So.,"Montreal, Quebec / St. Paul's School",New Hampshire,,,
