,Statistic,#,Name,Pos.,HT.,WT.,Year,Hometown/Previous School,Current School Name,Image,Title
0,,3,Ja'Len Morrison,DB,5-11,150.0,R-Fr.,"Manassas, Va. / Unity Reed HS",Norfolk State,,
1,,4,Otto Kuhns,QB,6-3,194.0,Jr.,"Columbus, Ohio / Eastern Illinois",Norfolk State,,
2,,7,Tayvion Land,DB,5-8,180.0,R-Jr.,"Virginia Beach, Va. / Liberty",Norfolk State,,
3,,8,Kyler Davis,QB,6-1,206.0,R-So.,"Fayetteville, N.C. / Fork Union Military Academy / Seventy-First HS",Norfolk State,,
4,,8,Izayah Whiteside,QB,6-2,164.0,R-Fr.,"Columbia, S.C. / Irmo HS",Norfolk State,,
5,,10,Tremayne Talbert,WR,5-8,183.0,R-Sr.,"Richmond, Va. / Highland Springs HS",Norfolk State,,
6,,13,Kevon King,RB,5-11,200.0,So.,"Chesapeake, Va. / Oscar Smith HS",Norfolk State,,
7,,15,J.J. Davis,RB,5-9,172.0,R-Jr.,"Cincinnati, Ohio / Cincinnati",Norfolk State,,
8,,16,Christian Ruffin,DB,5-11,180.0,Jr.,"Raleigh, N.C. / Southeast Raleigh HS",Norfolk State,,
9,,17,Joseph White,DB,6-1,174.0,Gr.,"Virginia Beach, Va. / Virginia",Norfolk State,,
10,,19,Jay Carney III,QB,5-11,215.0,R-Fr.,"Richmond, Va. / Hermitage HS",Norfolk State,,
11,,19,Daylan Long,LB,5-11,190.0,R-So.,"Cincinnati, Ohio / Miami (Ohio",Norfolk State,,
12,,20,Jason Wonodi,WR,5-11,161.0,So.,"Brockton, Mass. / Brockton HS",Norfolk State,,
13,,21,Devon Allen,DB,6-0,177.0,Jr.,"Virginia Beach, Va. / Ocean Lakes HS",Norfolk State,,
14,,22,Cameron Foreman,DB,6-2,183.0,R-Jr.,"Mechanicsville, Va. / Fork Union Military Academy / Atlee HS",Norfolk State,,
15,,23,Ricky Harleston,DB,5-10,195.0,R-Jr.,"Virginia Beach, Va. / James Madison",Norfolk State,,
16,,24,Chris Butler,WR,5-11,200.0,R-Jr.,"Glen Allen, Va. / Glen Allen HS",Norfolk State,,
17,,25,Collis Pride,WR,6-2,180.0,R-Jr.,"Dinwiddie, Va. / Bluefield State",Norfolk State,,
18,,27,Jordin Lennon,RB,5-10,211.0,So.,"Yorktown, Va. / York HS",Norfolk State,,
19,,28,R.J. Coles,DB,5-10,193.0,R-Jr.,"Richmond, Va. / Varina HS",Norfolk State,,
20,,30,Noah Spencer,DB,6-3,208.0,R-Jr.,"Virginia Beach, Va. / Old Dominion",Norfolk State,,
21,,31,Christian Parham,DB,6-0,179.0,R-Fr.,"Virginia Beach, Va. / Green Run HS",Norfolk State,,
22,,32,Lex Henry,RB,5-8,189.0,Jr.,"Virginia Beach, Va. / Salem HS",Norfolk State,,
23,,34,Kameron Lewis,DB,6-0,194.0,R-So.,"Woodbridge, Va. / Forest Park HS",Norfolk State,,
24,,35,Jamarei Ashby-Phan,WR,5-8,170.0,R-Fr.,"Phoenix, Ariz. / Chaparral HS",Norfolk State,,
25,,36,Emile Sancho,DB,6-0,164.0,R-Fr.,"Ocala, Fla. / Vanguard HS",Norfolk State,,
26,,37,Kaleb Broadbent,DB,5-11,196.0,So.,"Chesapeake, Va. / Western Branch HS",Norfolk State,,
27,,38,Nyamusa Njoka,DB,5-10,181.0,R-Jr.,"Silver Spring, Md. / Paint Branch HS",Norfolk State,,
28,,40,D.J. James III,RB,5-8,170.0,R-Fr.,"Virginia Beach, Va. / Ocean Lakes HS",Norfolk State,,
29,,40,Isaiah Stevens,DB,5-9,166.0,R-Fr.,"Stafford, Va. / North Stafford HS",Norfolk State,,
30,,41,Jayden Smith,DB,6-1,178.0,Jr.,"Woodbridge, Va. / Freedom HS",Norfolk State,,
31,,44,Jaylen White,RB,5-10,185.0,R-So.,"Hampton, Va. / Phoebus HS",Norfolk State,,
32,,45,Toby Willis,LS,6-3,211.0,So.,"Lancaster, S.C. / Lancaster HS",Norfolk State,,
33,,47,Zion Porter-Ervin,WR,5-9,170.0,R-Fr.,"Hampton, Va. / Phoebus HS",Norfolk State,,
34,,48,Sage Beuchert-Irvine,DL,6-3,244.0,R-Jr.,"Reston, Va. / South Lakes HS",Norfolk State,,
35,,49,Michael Vinson,LB,6-2,240.0,So.,"Baltimore, Md. / St. Frances Academy",Norfolk State,,
36,,50,Marvin Dozier,LS,6-0,225.0,R-Fr.,"Lake Worth, Fla. / Park Vista Community",Norfolk State,,
37,,51,Marcus Triggs,LB,5-11,209.0,R-Fr.,"Hampton, Va. / Hampton HS",Norfolk State,,
38,,52,Anthony Blume,DL,6-1,268.0,R-Jr.,"Edgewood, Md. / Edgewood HS",Norfolk State,,
39,,53,Javari Rice-Wilson,DL,5-11,251.0,Jr.,"Kings Mountain, N.C. / Fordham",Norfolk State,,
40,,54,Javontay Martin,LB,6-3,181.0,So.,"Virginia Beach, Va. / Bayside HS",Norfolk State,,
41,,55,Baron Franks II,OL,6-5,264.0,R-So.,"Greenville, S.C. / Greenville Sr. HS",Norfolk State,,
42,,56,Marquis Hall,LB,6-3,230.0,Gr.,"Woodbridge, Va. / Potomac Senior HS",Norfolk State,,
43,,57,Jalen Swindell,DL,6-2,308.0,R-Fr.,"Charlotte, N.C. / Wake Forest",Norfolk State,,
44,,58,Jonathan Hall,LB,6-2,212.0,Gr.,"Courtland, Va. / Old Dominion",Norfolk State,,
45,,59,Javoni Hales,LB,5-11,238.0,R-So.,"Newport News, Va. / Menchville HS",Norfolk State,,
46,,60,Dyral McMillan,OL,6-2,284.0,R-So.,"Charlotte, N.C. / Jireh Prep",Norfolk State,,
47,,61,Grandin Willcox,K/P,5-11,220.0,So.,"Ocala, Fla. / Vanguard HS",Norfolk State,,
48,,62,Jaden Bryant,OL,6-4,389.0,R-Fr.,"Norfolk, Va. / Norview HS",Norfolk State,,
49,,63,Chris Jones,OL,5-7,320.0,R-So.,"Windsor, Va. / Windsor HS",Norfolk State,,
50,,65,Michael Tamakloe,OL,6-2,276.0,R-Fr.,"Virginia Beach, Va. / Kempsville HS",Norfolk State,,
51,,66,Vincent Byrd Jr.,OL,6-3,306.0,So.,"Stafford, Va. / Colonial Forge HS",Norfolk State,,
52,,67,Garrison Wheatley,OL,6-4,361.0,Jr.,"Johns Island, S.C. / Hocking College",Norfolk State,,
53,,68,Julian Soriano,OL,6-6,283.0,R-So.,"Suffolk, Va. / Emory & Henry",Norfolk State,,
54,,75,Evan Gregory,OL,6-4,308.0,R-Sr.,"Brandywine, Md. / Maryland",Norfolk State,,
55,,83,Clifton Davis,WR,6-2,179.0,R-Fr.,"Atlanta, Ga. / North Stafford HS",Norfolk State,,
56,,84,Tavian Morris,WR,6-0,180.0,R-So.,"Prince George, Va. / Prince George HS",Norfolk State,,
57,,85,Jayden Hargett,DL,6-4,221.0,R-Fr.,"Norfolk, Va. / Maury HS",Norfolk State,,
58,,87,Lukai Hatcher,WR,6-2,170.0,R-So.,"Arlington, Va. / Wakefield HS",Norfolk State,,
59,,88,Ikeem Wright,TE,6-1,244.0,R-So.,"Norfolk, Va. / Lake Taylor HS",Norfolk State,,
60,,89,Michael Curry,TE,6-2,198.0,R-Fr.,"Brockton, Mass. / Brockton HS",Norfolk State,,
61,,91,Isaiah Stephens,TE,6-2,259.0,R-Fr.,"Emporia, Va. / Greensville County HS",Norfolk State,,
62,,91,Carson Wilt,K/P,5-8,186.0,R-So.,"Lake Worth, Fla. / Southern",Norfolk State,,
63,,92,Cameron Curry,DL,6-5,217.0,R-Fr.,"Chantilly, Va. / Chantilly HS",Norfolk State,,
64,,93,Jaylen Williams,DL,6-5,227.0,R-Fr.,"Ocala, Fla. / Vanguard HS",Norfolk State,,
65,,94,Tyler Johnson,DL,6-5,251.0,R-So.,"Glen Allen, Va. / Glenville State",Norfolk State,,
66,,95,Levontae Jacobs,DL,6-3,285.0,R-So.,"Salisbury, N.C. / West Rowan HS",Norfolk State,,
67,,96,Matthieu Watts,DL,6-4,212.0,R-So.,"Hampton, Va. / Phoebus HS",Norfolk State,,
68,,97,Jordyn Heath,DL,5-11,246.0,R-So.,"Gardena, Calif. / Junipero Serra HS",Norfolk State,,
69,,98,Shamar Hill,DL,6-0,226.0,R-Jr.,"Kissimmee, Fla. / Orlando Christian",Norfolk State,,
70,,,Chris Adotey,QB,5-11,170.0,R-Fr.,"Silver Spring, Md. / Bowie State",Norfolk State,,
71,,,Taron Biles-Walker,WR,5-7,145.0,Fr.,"Columbus, Ohio / Muskingum",Norfolk State,,
72,,,Darren Castor,DB,6-0,170.0,R-Fr.,"Brockton, Mass. / Brockton HS",Norfolk State,,
73,,,Taevion Clarke,DL,6-4,227.0,R-So.,"Baltimore, Md. / Old Dominion",Norfolk State,,
74,,,X'Zavion Evans,RB,5-10,190.0,So.,"Chesapeake, Va. / Lackawanna College",Norfolk State,,
75,,,Jordan Griffin,TE,6-7,237.0,R-So.,"Hyattsville, Md. / Bowie State",Norfolk State,,
76,,,Tiwian Johnson,OL,6-3,315.0,R-Jr.,"Foley, Ala. / Butler CC",Norfolk State,,
77,,,Ruben Lee II,QB,6-1,200.0,R-Fr.,"Moss Point, Miss. / Hinds CC",Norfolk State,,
78,,,Keshawn Lynch,DL,6-3,245.0,R-So.,"Newport News, Va. / Old Dominion",Norfolk State,,
79,,,Terron Mallory,DB,5-11,188.0,R-Jr.,"New Haven, Conn. / Sacred Heart",Norfolk State,,
80,,,Elyjah Mitchell,WR,6-2,185.0,Fr.,"Capital Heights, Md. / Fort Union Military Academy",Norfolk State,,
81,,,Aaron Moore,WR,6-0,185.0,Gr.,"Dumfries, Va. / Old Dominion",Norfolk State,,
82,,,Erik Queen Jr.,DB,6-0,180.0,R-Fr.,"Baltimore, Md. / Emory & Henry",Norfolk State,,
83,,,Kamari Reynolds,LB,6-1,235.0,R-So.,"Virginia Beach, Va. / Wagner",Norfolk State,,
84,,,Robert Rhem III,NI,5-10,185.0,Gr.,"Ocala, Fla. / Southern",Norfolk State,,
85,,,Oladapo Salimonu,DB,5-10,180.0,R-So.,"Norcross, Ga. / Fort Union Military Academy",Norfolk State,,
86,,,Cameron Sapp,QB,6-2,215.0,R-Jr.,"Jacksonville, Fla. / Florida A&M",Norfolk State,,
87,,,Brent Stratton,RB,5-10,170.0,R-So.,"Chesapeake, Va. / Nansemond River HS",Norfolk State,,
88,,,Mark Wagner II,QB,6-1,180.0,R-Fr.,"Phoebus, Va. / Virginia",Norfolk State,,
89,,,Ja'Montae Wallace,WR,6-1,180.0,Fr.,"Chester, Va. / Life Christian Academy",Norfolk State,,
90,,,Deonte' Walters,DB,6-0,185.0,R-So.,"Durham, N.C. / Hillside HS",Norfolk State,,
91,,,Kamaree Wells,DB,6-2,195.0,Fr.,"Richmond, Va. / Fork Union Military Academy",Norfolk State,,
92,,--,De'Shawn Fauntleroy,RB,5-6,190.0,R-Fr.,"Newport News, Va. / Warwick HS",Norfolk State,,
93,,--,Kailib Felder,DB,5-9,175.0,R-So.,"Reisterstown, Md. / Franklin HS",Norfolk State,,
94,,--,Terique Miles,LB,6-3,237.0,R-So.,"Norfolk, Va. / Palmetto Prep",Norfolk State,,
95,,--,Jashaun Morrison,DB,6-0,155.0,R-Fr.,"Manassas, Va. / Unity Reed HS",Norfolk State,,
0,,,Dawson Odums,,,,,,Norfolk State,,Head Football Coach
1,,,Steve Adams,,,,,,Norfolk State,,Assistant Head Coach/Defensive Coordinator/LB Coach
2,,,Ray Pickering,,,,,,Norfolk State,,Offensive Coordinator / Quarterbacks Coach
3,,,Vincent Marshall,,,,,,Norfolk State,,Wide Receivers Coach/Special Teams Coordinator
4,,,Donovan Tate,,,,,,Norfolk State,,Running Backs Coach
5,,,LaQuaid Manago,,,,,,Norfolk State,,Tight Ends Coach
6,,,Trumaine Watson,,,,,,Norfolk State,,Offensive Line Coach
7,,,Lamont Butler,,,,,,Norfolk State,,Defensive Line Coach
8,,,Thomas Howard,,,,,,Norfolk State,,Linebackers Coach
9,,,Dwayne Taylor,,,,,,Norfolk State,,Cornerbacks Coach
10,,,Jamal Williams,,,,,,Norfolk State,,Defensive Assistant
11,,,Hudson Alexander,,,,,,Norfolk State,,Offensive Assistant
12,,,Shawn Thomas,,,,,,Norfolk State,,Special Teams Assistant
