,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Letters,Image,Name,Title
0,,,Gage Alexander,LB,6-2,185.0,R-Fr.,"Fayette, Ala. / Hubbertville",North Alabama,,0.0,,,
1,,,Edgar Amaya,OL,6-3,315.0,R-Fr.,"Florence, Ala. / Russellville",North Alabama,University of Colorado,0.0,,,
2,,41.0,Tyler Antkowiak,DE,6-5,238.0,R-Jr.,"Trussville, Ala. / Hewitt-Trussville",North Alabama,,3.0,,,
3,,29.0,Jamarion Augustus,LB,6-3,205.0,So.,"Montgomery, Ala. / Montgomery Catholic",North Alabama,,1.0,,,
4,,16.0,Javen Augustus,DL,6-4,206.0,So.,"Montgomery, Ala. / Montgomery Catholic",North Alabama,,1.0,,,
5,,52.0,Drew Beddingfield,DL,6-2,273.0,R-Sr.,"Elkmont, Ala. / West Limestone",North Alabama,,5.0,,,
6,,,Philjae Bien-Aime,DB,5-11,185.0,R-Fr.,"North Miami, Fla. / St. Thomas Aquinas",North Alabama,University of Central Florida,0.0,,,
7,,,Nathan Brockaway,TE,6-4,215.0,Fr.,"Russellville, Ala. / Russellville",North Alabama,,0.0,,,
8,,,Kaleb Brown,DL,6-0,280.0,So.,"Clarksdale, Miss. / Clarksdale",North Alabama,Coahoma Community College,0.0,,,
9,,70.0,Nathan Brown,OL,6-4,278.0,R-Jr.,"Spanish Fort, Ala. / Spanish Fort",North Alabama,,4.0,,,
10,,82.0,Tylen Campbell,WR,5-10,178.0,R-Fr.,"Jackson, Ala. / Jackson",North Alabama,,0.0,,,
11,,47.0,Cole Cavin,TE,6-5,236.0,R-Fr.,"Trion, Ga. / Trion",North Alabama,,0.0,,,
12,,77.0,Mickel Clay,OL,6-5,278.0,Jr.,"Cincinnati, Ohio / Finneytown Secondary Campus",North Alabama,Hocking Technical College,1.0,,,
13,,33.0,E.J. Colbert,DL,6-0,252.0,R-So.,"Cordova, Ala. / Hartselle",North Alabama,,2.0,,,
14,,,Cody Collinsworth,DB,6-0,190.0,R-So.,Tuscumbia / Deshler,North Alabama,,0.0,,,
15,,37.0,Sam Contorno,K,5-9,177.0,R-Jr.,"Tuscaloosa, Ala. / Holy Spirit Catholic",North Alabama,,4.0,,,
16,,36.0,Jakob Cummings,LB,6-0,218.0,R-Sr.,"Auburn, Ala. / Auburn",North Alabama,,5.0,,,
17,,34.0,Jalyn Daniels,RB,5-9,168.0,So.,"Tallassee, Ala. / Tallassee",North Alabama,,1.0,,,
18,,45.0,Tyrik Daniels,DL,5-11,228.0,R-So.,"Demopolis, Ala. / Linden",North Alabama,,2.0,,,
19,,75.0,Will Derico,OL,6-4,312.0,Sr.,"Montgomery, Ala. / Robert E. Lee",North Alabama,Northeast Mississippi Community College,1.0,,,
20,,5.0,Justin Douglas,DB,5-8,159.0,Sr.,"Atlanta, Ga. / Mount Vernon Presbyterian",North Alabama,Southeastern Louisiana University,1.0,,,
21,,42.0,Thomas Dowis,K,6-1,205.0,R-So.,"Bogart, Ga. / North Oconee",North Alabama,,3.0,,,
22,,4.0,Parker Driggers,RB,6-0,198.0,R-Jr.,"Brantley, Ala. / Brantley",North Alabama,,4.0,,,
23,,,Brayson Edwards,QB,6-1,183.0,R-Fr.,"Sylacauga, Ala. / Sylacauga",North Alabama,,0.0,,,
24,,,Elijah Elmore,DL,6-0,300.0,R-So.,"Prattville, Ala. / Autauga Academy",North Alabama,Iowa Western Community College,0.0,,,
25,,26.0,Riely Evans,DB,6-1,176.0,R-Jr.,"Courtland, Ala. / R.A. Hubbard",North Alabama,,4.0,,,
26,,23.0,Micah Fann,DL,6-1,236.0,Jr.,"Dickson, Tenn. / Nashville Christian",North Alabama,Southeast Missouri State University,1.0,,,
27,,81.0,"Ollie Finch, Jr.",WR,6-1,182.0,R-So.,"Attalla, Ala. / Etowah",North Alabama,Troy University,1.0,,,
28,,39.0,Damion Fitzpatrick,DB,6-2,218.0,R-So.,"Lithonia, Ga. / Arabia Mountain",North Alabama,,2.0,,,
29,,,Amauri Floyd,LB,6-1,210.0,Jr.,"Miami, Fla. / North Miami Beach",North Alabama,Robert Morris University,0.0,,,
30,,,Evan Godwin,LS,5-11,200.0,R-Fr.,"Andalusia, Ala. / Straughn",North Alabama,,0.0,,,
31,,,Cade Golden,QB,6-0,175.0,Fr.,"Pell City, Ala. / Thompson",North Alabama,Sewanee,0.0,,,
32,,79.0,Raykwon Goldthwaite,OL,6-8,310.0,R-Fr.,"Birmingham, Ala. / Jackson-Olin",North Alabama,,0.0,,,
33,,50.0,Amir Graham,OL,5-11,275.0,R-Fr.,"Pensacola, Fla. / Escambia",North Alabama,,0.0,,,
34,,63.0,Brody Gravitt,OL,6-0,280.0,R-Fr.,"Haleyville, Ala. / Haleyville",North Alabama,,0.0,,,
35,,0.0,Kam'ron Green,DL,6-4,233.0,Jr.,"Bradenton, Fla. / Southeast",North Alabama,Butler Community College,1.0,,,
