,Statistic,No.,Photo,Name,Yr.,Pos.,Ht.,Wt.,Current School Name,Hometown / High School,Previous School,Image,Title
0,,0,,Quantez Mansfield,Jr.,DL,6-2,295.0,North Carolina Central,"Greensboro, N.C. / Southeast Guilford HS",,,
1,,1,,Andrew Smith,So.,WR,6-1,200.0,North Carolina Central,"Cary, N.C. / Cary HS",,,
2,,2,,Brandon Codrington,Jr.,DB,5-9,180.0,North Carolina Central,"Raleigh, N.C. / Broughton HS",,,
3,,3,,Walker Harris,So.,QB,6-0,180.0,North Carolina Central,"Rolesville, N.C. / Heritage HS",,,
4,,4,,E.J. Hicks,R-Sr.,WR,5-11,180.0,North Carolina Central,"Rolesville, N.C. / Rolesville HS",,,
5,,5,,Latrell Collier,R-Jr.,RB,5-10,200.0,North Carolina Central,"Bluefield, W.Va. / Bluefield HS",Marshall Univ.,,
6,,6,,Omari Smith,R-Fr.,QB,6-1,175.0,North Carolina Central,"Durham, N.C. / Southern HS",,,
7,,6b,,Treveyon Pratt,Sr.,WR,6-1,195.0,North Carolina Central,"High Point, N.C. / Ragsdale HS",Savannah State Univ.,,
8,,7,,JaJuan Hudson,Jr.,DB,5-10,175.0,North Carolina Central,"Camden, N.J. / Camden HS",Bowling Green State Univ.,,
9,,8,,Tamaurice Smith,R-Sr.,DB,5-9,185.0,North Carolina Central,"Mobile, Ala. / St. Paul's HS",Southern University,,
10,,9,,Marvin Reed,So.,DB,6-1,170.0,North Carolina Central,"Richmond, Va. / Life Christian Academy",,,
11,,11,,Davius Richard,Jr.,QB,6-3,215.0,North Carolina Central,"Belle Glade, Fla. / Glades Central HS",,,
12,,12,,Quentin McCall,So.,WR,6-4,195.0,North Carolina Central,"Charlotte, N.C. / Ardrey Kell HS",,,
13,,13,,Quest Powell,R-Fr.,QB,6-2,195.0,North Carolina Central,"Woodbridge, Va. / Freedom HS",,,
14,,14,,Arin Mannery,R-Sr.,DB,6-0,170.0,North Carolina Central,"Riverside, Calif. / San Jacinto HS",Portland State Univ.,,
15,,15,,Matthew Leavelle,R-So.,DL,6-4,235.0,North Carolina Central,"Williamston, N.C. / Riverside HS",,,
16,,16,,Makai McCall,R-Fr.,DB,6-4,195.0,North Carolina Central,"Snellville, Ga. / Shiloh HS",Univ. of Virginia-Wise,,
17,,17,,Kole Jones,So.,DB,5-10,190.0,North Carolina Central,"Chesapeake, Va. / Oscar Smith HS",,,
18,,17b,,Donovan Cartwright,R-Fr.,QB,6-2,190.0,North Carolina Central,"Wilmington, Del. / Howard HS of Technology",,,
19,,18,,OrTre' Smith,R-Sr.,WR,6-4,225.0,North Carolina Central,"Mount Pleasant, S.C. / Wando HS",University of South Carolina,,
20,,19,,Justin Nicholson,R-Sr.,DB,6-0,195.0,North Carolina Central,"Concord, N.C. / Concord HS",,,
21,,19b,,Saquan Gordon,Fr.,QB,6-0,180.0,North Carolina Central,"Queens, N.Y. / Irvington HS",,,
22,,20,,Khalil Baker,Jr.,DB,6-0,185.0,North Carolina Central,"Winston-Salem, N.C. / East Forsyth HS",,,
23,,21,,Josh Pullen,R-So.,RB,6-1,225.0,North Carolina Central,"Rolesville, N.C. / Rolesville HS",Fort Scott CC,,
24,,22,,Devin Smith,So.,WR,5-10,185.0,North Carolina Central,"Durham, N.C. / Riverside HS",,,
25,,23,,Manny Smith,R-Jr.,DB,6-0,195.0,North Carolina Central,"Laurel Hill, N.C. / Scotland HS",,,
26,,24,,Romeo Stancil,R-Jr.,DB,6-1,175.0,North Carolina Central,"Clayton, N.C. / Clayton HS",,,
27,,24b,,Myles Wallace,R-So.,RB,5-8,180.0,North Carolina Central,"Waxhaw, N.C. / Cuthbertson HS",,,
28,,25,,Twan Anderson,Fr.,LB,6-1,235.0,North Carolina Central,"Fayetteville, N.C. / Westover HS",,,
29,,26,,Twan Flip Jr.,R-Fr.,WR,5-8,160.0,North Carolina Central,"Charlotte, N.C. / Myers Park HS",,,
30,,27,,Colby Warrior,R-Sr.,DL,6-2,245.0,North Carolina Central,"Fayetteville, Ga. / Sandy Creek HS",Morgan State Univ.,,
31,,28,,Jason Chambers,Fr.,DB,6-0,185.0,North Carolina Central,"Charlotte, N.C. / Butler HS",,,
32,,29,,Jared Stephens,Fr.,DB,5-9,160.0,North Carolina Central,"Atlanta, Ga. / Westlake HS",,,
33,,30b,,Cameron Williams,Jr.,LB,6-2,215.0,North Carolina Central,"Tucson, Ariz. / Sahuaro HS",Bakersfield College,,
34,,31,,Arthur Rodgers,R-Fr.,RB,5-10,210.0,North Carolina Central,"Snellville, Ga. / Shiloh HS",Marshall University,,
35,,32,,Jessie Malit,R-Sr.,DL,6-3,250.0,North Carolina Central,"Concord, N.C. / Cox Mill HS",NC State Univ.,,
36,,33,,Christopher Rollinson,R-Fr.,DB,5-11,170.0,North Carolina Central,"Aldie, Va. / Champe HS",,,
37,,33b,,Tre Turner,R-Sr.,DL,6-5,250.0,North Carolina Central,"Huntersville, N.C. / North Mecklenburg HS",Eastern Kentucky Univ.,,
38,,34,,Cameron Saunders,R-So.,WR,5-11,170.0,North Carolina Central,"Fort Mill, S.C. / Fort Mill HS",,,
39,,35,,Chris Mosley,R-So.,RB,5-11,180.0,North Carolina Central,"Fort Worth, Texas / Centennial HS",Cisco College,,
40,,36,,J'Mari Taylor,So.,RB,6-0,200.0,North Carolina Central,"Charlotte, N.C. / West Mecklenburg HS",,,
41,,37,,Nasheed Peoples,R-Sr.,DB,5-11,170.0,North Carolina Central,"Lexington, N.C. / Lexington HS",NC Wesleyan,,
42,,38,,Jelani Vassell,So.,DB,5-11,185.0,North Carolina Central,"Tampa, Fla. / Wesley Chapel HS",Jireh Prep (NC),,
43,,39,,Kaleb Washington,Fr.,WR,6-1,195.0,North Carolina Central,"Charlotte, N.C. / Mallard Creek HS",,,
44,,40,,Matthew Brown,R-Jr.,TE,6-2,235.0,North Carolina Central,"Guyton, Ga. / South Effingham HS",University of Georgia,,
45,,40b,,Owen Finley,Fr.,LB,6-1,200.0,North Carolina Central,"High Point, N.C. / Ledford Sr. HS",,,
46,,41,,Isaiah Lawson,So.,DB,6-1,200.0,North Carolina Central,"Queens, N.Y. / Butler HS",,,
47,,42,,Jayden Flaker,Fr.,LB,6-4,215.0,North Carolina Central,"Scarborough, Maine / Scarborough HS",,,
48,,42b,,Xavier Puller,Fr.,WR,6-3,,North Carolina Central,"Temple Hills, Md. / TC Williams HS",,,
49,,43,,Cameron Brewington,R-Sr.,TE,6-4,255.0,North Carolina Central,"Charlotte, N.C. / South Mecklenburg HS",,,
50,,43b,,Josh Harris,So.,LB,6-2,190.0,North Carolina Central,"Cary, N.C. / Cary HS",,,
51,,44,,Albert Redd,Fr.,LB,6-2,230.0,North Carolina Central,"Kernersville, N.C. / Glenn HS",,,
52,,45,,Jaki Brevard,So.,LB,6-0,210.0,North Carolina Central,"Durham, N.C. / Southern HS",,,
