,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,Jeffrey Griffin Jr.,DL,6-0,305.0,5th,"Homewood, Ill. /",North Dakota,Northern Illinois,,,
1,,1.0,Bo Belquist,WR,6-1,180.0,Sr.,"New Rockford, N.D. / New Rockford-Sheyenne",North Dakota,,,,
2,,2.0,Tommy Schuster,QB,6-0,195.0,Sr.,"Macomb, Mich. / Chippewa Valley",North Dakota,,,,
3,,3.0,Trey Feeney,QB,6-3,205.0,So.,"Moorhead, Minn. / Moorhead",North Dakota,,,,
4,,3.0,C.J. Siegel,DB,6-0,180.0,5th,"La Crosse, Wis. / Logan",North Dakota,,,,
5,,4.0,Malachi Buckner,DB,6-1,210.0,5th,"Tucker, Ga. /",North Dakota,Gardner-Webb,,,
6,,5.0,Clayton Bishop,DB,6-0,185.0,So.,"Kenosha, Wis. / Indian Trail",North Dakota,,,,
7,,6.0,Simon Romfo,QB,5-11,185.0,So.,"Calvin, N.D. / Langdon Area",North Dakota,,,,
8,,7.0,Luke Skokna,RB,5-9,175.0,Sr.,"Hinsdale, Ill. / Hinsdale Central",North Dakota,,,,
9,,8.0,Edmund Ocansey,DB,6-0,180.0,So.,"Champlin, Minn. / Champlin Park",North Dakota,,,,
10,,9.0,Colton Hackel,QB,6-2,210.0,R-Fr.,"Perham, Minn. / Perham",North Dakota,,,,
11,,10.0,Caden Dennis,WR,6-2,175.0,So.,"Kansas City, Mo. / Liberty",North Dakota,,,,
12,,11.0,Wesley Eliodor,WR,6-0,210.0,5th,"Fort Lauderdale, Fla. /",North Dakota,South Dakota,,,
13,,12.0,Red Wilson,WR,5-9,185.0,Sr.,"Americus, Ga. /",North Dakota,Mesabi Range College,,,
14,,13.0,Jack Wright,WR,6-0,190.0,Jr.,"Broken Arrow, Okla. / Regent Prep",North Dakota,,,,
15,,14.0,Quincy Vaughn,QB,6-4,245.0,Sr.,"Hamilton, Ontario / Clarkson Football North",North Dakota,,,,
16,,16.0,Elijah Klein,WR,6-6,240.0,Jr.,"Mandan, N.D. / Mandan",North Dakota,,,,
17,,17.0,Jamal Dixon,DB,6-2,195.0,R-Fr.,"Moorhead, Minn. / Moorhead",North Dakota,,,,
18,,19.0,Noah Schaffner,WR,6-3,210.0,So.,"Bismarck, N.D. / Century",North Dakota,,,,
19,,21.0,Sammy Fort,DB,6-0,195.0,Gr.,"Lynn, Mass. / Blue Ridge School",North Dakota,,,,
20,,22.0,Antonio Bluiett,DB,6-1,190.0,R-Fr.,"Buffalo, Minn. / Buffalo",North Dakota,,,,
21,,23.0,Devin Hembry,DB,6-2,190.0,Sr.,"Muskogee, Okla. / Hilldale",North Dakota,Northeastern Oklahoma A&M,,,
22,,24.0,Kadon Kauppinen,DB,6-2,210.0,5th,"Sun Prairie, Wis. / Sun Prairie",North Dakota,,,,
23,,25.0,Teagan Pfeffer,DB,6-1,175.0,R-Fr.,"Alexandria, Minn. / Alexandria",North Dakota,,,,
24,,26.0,Paine Parks,LB,6-3,230.0,R-Fr.,"Grand Forks, N.D. / Red River",North Dakota,,,,
25,,28.0,Matt Koshiol,DB,6-2,215.0,Sr.,"Cold Spring, Minn. / Rocori",North Dakota,,,,
26,,28.0,Gaven Ziebarth,RB,6-0,205.0,So.,"Cambridge, Minn. / Cambridge-Isanti",North Dakota,,,,
27,,29.0,Isaiah Smith,RB,6-0,200.0,Jr.,"Minneapolis, Minn. / Benilde-St. Margaret's School",North Dakota,,,,
28,,30.0,Peyton Fisher,DB,5-11,195.0,Jr.,"Fargo, N.D. / Fargo North",North Dakota,,,,
29,,30.0,Jack Ihry,FB,6-1,220.0,So.,"Hope, N.D. / Hope-Page",North Dakota,,,,
30,,31.0,Cole Davis,DB,5-10,175.0,So.,"Marengo, Ill. / Marengo",North Dakota,,,,
31,,32.0,Dylan Boecker,LB,6-2,220.0,Jr.,"Menomonie, Wis. / Menomonie",North Dakota,,,,
32,,33.0,Jett Sutton,DB,5-11,195.0,R-Fr.,"Kansas City, Mo. / Oak Park",North Dakota,,,,
33,,34.0,Josh Navratil,LB,6-2,225.0,Sr.,"Pine Island, Minn. / Pine Island",North Dakota,,,,
34,,35.0,Ethan Ball,DB,6-1,195.0,Jr.,"Regina, Saskatchewan / Riffel",North Dakota,,,,
35,,36.0,Malachi McNeal,LB,6-0,235.0,So.,"Waukegan, Ill. / Warren Township",North Dakota,,,,
36,,37.0,Garrin Sattler,RB,6-0,200.0,R-Fr.,"Grand Forks, N.D. / Red River",North Dakota,,,,
37,,38.0,Grant Romfo,WR,6-1,205.0,So.,"Calvin, N.D. / Langdon Area",North Dakota,North Dakota State,,,
38,,40.0,Haydn Stay,TE,6-4,245.0,R-Fr.,"Princeton, Minn. / Princeton",North Dakota,,,,
39,,42.0,Kason Kelley,LB,6-2,235.0,Jr.,"Omaha, Neb. / Millard North",North Dakota,,,,
40,,43.0,Jaden Norby,TE,6-3,245.0,Jr.,"Ashby, Minn. / West Central Area-Ashby",North Dakota,,,,
41,,44.0,Mason South,TE,6-2,235.0,R-Fr.,"Maple Grove, Minn. / Maple Grove",North Dakota,,,,
42,,45.0,Hayden Stec,LB,6-1,220.0,R-Fr.,"Elkhorn, Neb. / Elkhorn",North Dakota,,,,
43,,46.0,Ted Mullin,LB,6-1,220.0,Gr.,"Littleton, Colo. / Columbine",North Dakota,,,,
44,,47.0,Bartholomew Ogbu,DL,6-3,250.0,Gr.,"Bismarck, N.D. /",North Dakota,North Dakota State,,,
45,,48.0,Jack Baretz,LB,6-3,230.0,R-Fr.,"Franklin, Wis. / Franklin",North Dakota,,,,
46,,49.0,Ben McNaboe,DL,6-3,245.0,Sr.,"Rogers, Minn. / Rogers",North Dakota,Minnesota,,,
47,,51.0,Caleb Olson,DL,6-2,280.0,R-Fr.,"Fort Ransom, N.D. / Lisbon",North Dakota,,,,
48,,52.0,Logan Doell,LB,6-3,220.0,R-Fr.,"Luxemburg, Wis. / Luxemburg-Casco",North Dakota,,,,
49,,53.0,C.J. Elrichs,K/P,6-2,190.0,R-Fr.,"Olathe, Kan. / Olathe Northwest",North Dakota,,,,
50,,54.0,Jaden Feterl,LB,6-3,230.0,So.,"Sioux Falls, S.D. / Washington",North Dakota,,,,
51,,55.0,Lucas Schweigert,DL,6-0,275.0,R-Fr.,"Bismarck, N.D. / Century",North Dakota,,,,
52,,57.0,Casey Schultz,DL,6-4,245.0,So.,"Caledonia, Minn. / Caledonia",North Dakota,,,,
53,,59.0,Wyatt Pedigo,LB,6-0,230.0,Jr.,"Hoisington, Kan. / Hoisington",North Dakota,,,,
54,,60.0,Jagger Ferden,OL,6-4,285.0,Jr.,"Union, Ill. / Marengo",North Dakota,,,,
55,,61.0,Danny Carroll,OL,6-1,280.0,So.,"Overland Park, Kan. / St. Thomas Aquinas",North Dakota,,,,
56,,63.0,Josh Yon,LB,6-1,225.0,R-Fr.,"Thompson, N.D. / Thompson",North Dakota,,,,
57,,64.0,Dolapo Egunjobi,OL,6-5,305.0,Jr.,"Winnipeg, Manitoba /",North Dakota,Manitoba,,,
58,,67.0,Liam Becher,OL,6-6,315.0,R-Fr.,"Iowa City, Iowa / West",North Dakota,,,,
59,,68.0,Brayden Bryant,OL,6-2,305.0,Jr.,"Ardmore, Okla. / Ardmore",North Dakota,Butler CC,,,
60,,69.0,Cade Borud,OL,6-2,320.0,R-Fr.,"Pleasant Hill, Iowa / Southeast Polk",North Dakota,,,,
61,,71.0,Seth Anderson,OL,6-4,305.0,Jr.,"Moorhead, Minn. / Moorhead",North Dakota,North Dakota State,,,
62,,72.0,Colin Lavell,OL,6-4,300.0,Sr.,"Parker, Colo. / Legend",North Dakota,,,,
63,,73.0,Jack Kuntz,OL,6-4,310.0,Jr.,"Devils Lake, N.D. / Devils Lake",North Dakota,,,,
64,,74.0,Donny Ventrelli,OL,6-4,300.0,5th,"St. Paul, Minn. / Como Park",North Dakota,,,,
65,,75.0,Sam Hagen,OL,6-6,315.0,So.,"Fordville, N.D. / Park River Area-Fordville Lankin",North Dakota,,,,
66,,76.0,Gus German,OL,6-7,330.0,Jr.,"West Lafayette, Ind. /",North Dakota,Purdue,,,
67,,77.0,Easton Kilty,OL,6-5,305.0,Jr.,"Stratford, Wis. / Stratford",North Dakota,,,,
68,,79.0,Peyton Lotysz,OL,6-3,290.0,Jr.,"Grand Forks, N.D. / Red River",North Dakota,,,,
69,,80.0,Nick Kupfer,WR,6-3,200.0,So.,"Bismarck, N.D. / Legacy",North Dakota,,,,
70,,81.0,Sam Strandell,WR,6-2,200.0,R-Fr.,"Grand Forks, N.D. / Central",North Dakota,,,,
71,,82.0,Trace Thaden,TE,6-7,250.0,R-Fr.,"Omaha, Neb. / Millard West",North Dakota,,,,
72,,84.0,Nate DeMontagnac,WR,6-2,190.0,So.,"Mississauga, Ontario / Clarkson Football North",North Dakota,,,,
73,,85.0,Luke Silvernale,P/K,6-0,185.0,R-Fr.,"Grand Rapids, Mich. / Forest Hills Northern",North Dakota,,,,
74,,86.0,Max Gunderson,TE,6-5,255.0,Jr.,"Detroit Lakes, Minn. / Detroit Lakes",North Dakota,,,,
75,,87.0,Trasen Pollman,WR,6-1,190.0,R-Fr.,"Bottineau, N.D. / Bottineau",North Dakota,,,,
76,,90.0,Craig Orlando,DL,6-3,290.0,Jr.,"Verndale, Minn. / Verndale",North Dakota,,,,
77,,91.0,Jack Teiken,DL,6-4,245.0,R-Fr.,"Moorhead, Minn. / Moorhead",North Dakota,,,,
78,,92.0,Brady Stevens,K,6-1,170.0,Gr.,"Highlands Ranch, Colo. / Colorado",North Dakota,,,,
79,,93.0,Elijah Beach,DL,6-3,290.0,Sr.,"Streamwood, Ill. / Streamwood",North Dakota,,,,
80,,95.0,Jake Saltonstall,DL,6-4,265.0,Sr.,"Morgan Hill, Calif. /",North Dakota,New Mexico,,,
81,,96.0,David Neuberger,LS,6-0,200.0,So.,"Davenport, Iowa / Assumption",North Dakota,,,,
82,,99.0,Jaelen Johnson,DL,6-2,255.0,5th,"Greendale, Wis. / Greendale",North Dakota,,,,
0,,,,,,,,,North Dakota,,,Bubba Schweigert,Head Coach
1,,,,,,,,,North Dakota,,,Danny Freund,Assistant Coach/Offensive Coord/QBs
2,,,,,,,,,North Dakota,,,Joel Schwenzfeier,Assistant Coach/Defensive Coord./Safeties
3,,,,,,,,,North Dakota,,,Shawn Kostich,Assistant Coach/Special Teams Coord./TEs/FBs
4,,,,,,,,,North Dakota,,,Austin Flyger,Assistant Coach/Defensive Line
5,,,,,,,,,North Dakota,,,Sam King,Assistant Coach/Wide Receivers
6,,,,,,,,,North Dakota,,,Joe Pawlak,Assistant Coach/Offensive Line
7,,,,,,,,,North Dakota,,,Travis Stepps,Assistant Coach/Defensive Backs
8,,,,,,,,,North Dakota,,,Carl Reinholz,Defensive Assistant/Video Coord./ILBs/Camps
9,,,,,,,,,North Dakota,,,Donnell Kirkwood Jr.,Assistant Coach/Running Backs
10,,,,,,,,,North Dakota,,,Tom Dosch,Assistant Coach/Outside Linebackers
11,,,,,,,,,North Dakota,,,Nate Baukol,Director of Strength and Conditioning
12,,,,,,,,,North Dakota,,,Travis Kahlbaugh,Director of Football Operations
13,,,,,,,,,North Dakota,,,Joe Caulfield,Director of Player Personnel & Football Office Operations
0,,,,,,,,,North Dakota,,,Joe Seymour,"Graduate Assistant, Special Teams/Offense"
1,,,,,,,,,North Dakota,,,Ethan Postler,Student Video (Quarterbacks)
2,,,,,,,,,North Dakota,,,Kaden Cantone,Student Intern (Defense/Defensive Line)
3,,,,,,,,,North Dakota,,,David Kaplan,Intern (Defense/Defensive Backs)
4,,,,,,,,,North Dakota,,,Riccardo Facchini,Intern (Offense/Offensive Line)
