,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Image,Title
0,,0.0,Chase Belcher,RB,6-1,200.0,So.,"Valdosta, Ga.",Northern Arizona,Lowndes,,,
1,,0.0,Shawn Dourseau,DB,5-11,187.0,R-Sr.,"Perris, Calif.",Northern Arizona,Citrus Hill,Fresno State/Riverside CC/East Carolina,,
2,,1.0,George Steele,DB,5-10,180.0,R-Sr.,"Trussville, Ala.",Northern Arizona,Hewitt-Trussville,Jacksonville State,,
3,,2.0,Kamdan Hightower,DB,6-2,190.0,R-So.,"Scottsdale, Ariz.",Northern Arizona,Chaparral,,,
4,,2.0,Kai Millner,QB,6-2,215.0,R-So.,"Gilbert, Ariz.",Northern Arizona,Higley,Cal,,
5,,3.0,Jamal Glaspie,WR,6-1,185.0,R-Sr.,"Los Angeles, Calif.",Northern Arizona,Culver City,Fresno State,,
6,,3.0,Sean Haymon,DB,6-1,185.0,R-So.,"Fresno, Calif.",Northern Arizona,Central,,,
7,,4.0,Brady Shough,DB,6-2,196.0,Jr.,"Chandler, Ariz.",Northern Arizona,Hamilton,,,
8,,5.0,Heston Lameta,LB,6-1,230.0,R-Sr.,"Pago Pago, American Samoa",Northern Arizona,,Garden City CC,,
9,,5.0,Devon Starling,RB,6-1,210.0,R-Jr.,"Nashville, Tenn.",Northern Arizona,Cane Ridge,Memphis/Tennessee St.,,
10,,6.0,Nehemiah Magalei,DL,6-1,309.0,Jr.,"Chandler, Ariz.",Northern Arizona,Chandler,,,
11,,6.0,Coleman Owen,WR,5-11,170.0,R-Jr.,"Gilbert, Ariz.",Northern Arizona,Higley,,,
12,,7.0,Angel Flores,QB,6-0,207.0,R-Fr.,"Casa Grande, Ariz.",Northern Arizona,Casa Grande,,,
13,,8.0,Draycen Hall,RB,5-8,175.0,Jr.,"Gilbert, Ariz.",Northern Arizona,Higley,,,
14,,8.0,BJ Wagner,DB,6-1,195.0,R-So.,"Orlando, Fla.",Northern Arizona,Orlando Christian Prep,Western Kentucky,,
15,,9.0,Jon Jones,DL,6-4,250.0,R-So.,"McKinney, Texas",Northern Arizona,McKinney,Missouri/Mississippi Gulf Coast CC,,
16,,10.0,Hendrix Johnson,WR,6-1,200.0,Sr.,"Anthem, Ariz.",Northern Arizona,Boulder Creek,,,
17,,10.0,Jhasi Wilson,LB,6-1,235.0,Sr.,"Brentwood, Calif.",Northern Arizona,De La Salle,,,
18,,11.0,Tavian Montgomery,DB,5-10,180.0,Sr.,"Baltimore, Md.",Northern Arizona,Westminster,Charleston Southern,,
19,,12.0,Niko Haen,QB,6-0,185.0,R-So.,"Phoenix, Ariz.",Northern Arizona,Sunnyslope,,,
20,,12.0,Jeff Widener,QB,6-2,210.0,R-Jr.,"Apple Valley, Calif.",Northern Arizona,Apple Valley,,,
21,,13.0,Xander Werner,ATH,6-3,225.0,Jr.,"Scottsdale, Ariz.",Northern Arizona,Saguaro,,,
22,,14.0,Bryant Meredith,DB,5-10,170.0,R-Fr.,"Pleasant Hill, Calif.",Northern Arizona,De La Salle,,,
23,,14.0,Elijah Taylor,WR,6-0,175.0,R-So.,"Gilbert, Ariz.",Northern Arizona,Higley,,,
24,,15.0,PJ London,QB,6-3,215.0,R-So.,"Pinetop-Lakeside, Ariz.",Northern Arizona,Blue Ridge,,,
25,,15.0,Edward Rhambo,DB,6-2,185.0,R-Fr.,"Las Vegas, Nev.",Northern Arizona,Palo Verde,,,
26,,16.0,BJ Fleming,WR,6-0,170.0,R-Fr.,"Aledo, Texas",Northern Arizona,Aledo,,,
27,,17.0,Koda Bridges,WR,5-9,165.0,R-Fr.,"Carrollton, Texas",Northern Arizona,Hebron,,,
28,,18.0,Daniel Britt,QB,5-11,180.0,R-So.,"Las Vegas, Nev.",Northern Arizona,Liberty,Montana,,
29,,19.0,Jonah Carnell,WR,5-11,170.0,R-So.,"Moreno Valley, Calif.",Northern Arizona,Rancho Verde,,,
30,,19.0,Tre Tate,DB,6-4,195.0,R-Fr.,"Chandler, Ariz.",Northern Arizona,Hamilton,,,
31,,21.0,Ryan Fontaine,QB,5-11,170.0,R-Fr.,"Tucson, Ariz.",Northern Arizona,Pusch Ridge,,,
32,,21.0,Mikale Greer,DB,6-2,185.0,R-So.,"Compton, Calif.",Northern Arizona,Lawndale,San Jose State,,
33,,22.0,Kyler Wilson,DB,6-0,170.0,Fr.,"Montgomery, Texas",Northern Arizona,Montgomery,,,
34,,23.0,Kyle Thomas,DB,5-11,190.0,Jr.,"Aliso Viejo, Calif.",Northern Arizona,Aliso Niguel,Saddleback College,,
35,,24.0,Brevin Czosnyka,DB,6-3,195.0,R-Fr.,"Glendale, Ariz.",Northern Arizona,Sandra Day O'Connor,,,
36,,25.0,Amelec Juntunen,DB,6-0,190.0,R-Jr.,"Phoenix, Ariz.",Northern Arizona,Pinnacle,,,
37,,26.0,Colby Humphrey,DB,6-1,180.0,Jr.,"Phoenix, Ariz.",Northern Arizona,Desert Vista,,,
38,,27.0,Michael Harkins,DB,6-0,175.0,Jr.,"Murrieta, Calif.",Northern Arizona,Linfield Christian,San Diego Mesa CC,,
39,,28.0,Skylar Edmonds,DB,6-2,190.0,R-Fr.,"Mesa, Ariz.",Northern Arizona,Red Mountain,,,
40,,31.0,Malachi Williams,DB,6-0,195.0,R-So.,,Northern Arizona,"San Diego, Calif.",Cathedral Catholic,,
41,,31.0,Alec Wyble-Meza,RB,5-11,200.0,R-Sr.,"Casa Grande, Ariz.",Northern Arizona,Santa Cruz Valley,Scorrsdale CC/ BYU/ ASA Miami,,
42,,32.0,Andy Ruiz,DB,6-1,200.0,So.,"Flagstaff, Ariz.",Northern Arizona,Coconino,,,
43,,35.0,Brandon Wong,LB,6-1,210.0,So.,"Rocklin, Calif.",Northern Arizona,Whitney,,,
44,,36.0,Eloi Kwete,DL,6-1,250.0,Sr.,"Phoenix, Ariz.",Northern Arizona,Phoenix Central,,,
45,,37.0,Camilo Arquette,LB,6-1,215.0,So.,"San Jose, Calif.",Northern Arizona,St. Francis,,,
46,,39.0,Cole Sabetta,LB,6-0,210.0,R-So.,"Gilbert, Ariz.",Northern Arizona,Perry,,,
47,,40.0,Cory Hall,DL,6-5,260.0,R-So.,"Las Vegas, Nev.",Northern Arizona,Arbor View,,,
48,,41.0,Emanuel Goffe,TE,6-4,225.0,R-Jr.,"Irvine, Calif.",Northern Arizona,Woodbridge,Orange Coast College,,
49,,41.0,Porter Reynolds,LB,6-2,225.0,Fr.,"Queen Creek, Ariz.",Northern Arizona,Queen Creek,,,
50,,42.0,Jonathan Hunter,LB,6-0,190.0,Sr.,"Phoenix, Ariz.",Northern Arizona,Arcadia,,,
51,,43.0,Nathan Price,P,6-1,185.0,So.,"Pleasant Hill, Calif.",Northern Arizona,Monte Vista,Diablo Valley College,,
52,,44.0,Ezekiel Duncan,DL,6-3,260.0,R-Fr.,"Valdosta, Ga.",Northern Arizona,Lowndes,,,
53,,45.0,Braden Kramer,TE,6-4,250.0,R-Fr.,"Colorado Springs, Colo.",Northern Arizona,Pine Creek,,,
54,,46.0,Tommy Ellis,LB,6-2,215.0,Jr.,"Phoenix, Ariz.",Northern Arizona,Mountain Ridge,,,
55,,47.0,Kevin Sawitzke,TE,6-5,250.0,R-Fr.,"Chanlder, Ariz.",Northern Arizona,Mountain Pointe,Iowa State,,
56,,48.0,Quinlan Popham,LB,6-2,220.0,R-So.,"Phoenix, Ariz.",Northern Arizona,Estrella Foothills,,,
57,,49.0,Marcus Lye,K/P,6-1,185.0,So.,"Parkes, Australia",Northern Arizona,Brophy College Prep,,,
58,,50.0,Micah Carreon,DL,6-1,275.0,So.,"Mission Viejo, Calif.",Northern Arizona,Mission Viejo,,,
59,,51.0,Bobby Nivens,DL,6-4,230.0,R-Fr.,"Phoenix, Ariz.",Northern Arizona,Thunderbird,,,
60,,52.0,Mo Sarnowski,LB,6-2,225.0,R-So.,"Chandler, Ariz.",Northern Arizona,Hamilton,,,
61,,53.0,Garrett McKenna,LB,6-2,225.0,R-Fr.,"Boise, Idaho",Northern Arizona,Mountain View,Idaho State,,
62,,54.0,Tyler Wigglesworth,LS,5-9,205.0,R-Fr.,"Glendale, Ariz.",Northern Arizona,Mountain Ridge,,,
63,,55.0,Alofaletauia Maluia,OL,6-2,260.0,R-So.,"Henderson, Nev.",Northern Arizona,Liberty,,,
64,,56.0,Blake Gamez,OL,6-1,275.0,R-So.,"Buckeye, Ariz.",Northern Arizona,Verrado,,,
65,,57.0,Connor DePrez,OL,6-4,250.0,R-So.,Chandler. Ariz.,Northern Arizona,Hamilton,,,
66,,58.0,Jack Plote,OL,6-3,250.0,R-Fr.,"Phoenix, Ariz.",Northern Arizona,Mountain Pointe,,,
67,,61.0,Adam Verbalaitis,OL,6-0,263.0,R-So.,"Phoenix, Ariz.",Northern Arizona,Pinnacle,,,
68,,62.0,Jonny Bottorff,OL,6-3,295.0,R-Jr.,"Quincy, Ill.",Northern Arizona,Notre Dame,Missouri Western,,
69,,63.0,Kaden Hicks,OL,6-4,265.0,R-Fr.,"Glendale, Ariz.",Northern Arizona,Mountain Ridge,,,
70,,64.0,Sean Farfan,LS,6-3,230.0,Jr.,"West Covina, Calif.",Northern Arizona,Bishop Amat,Mt. San Antonio College,,
71,,65.0,Krikour Koustanian,OL,6-4,305.0,Sr.,"Aleppo, Syria",Northern Arizona,Pasadena,Pasadena City College/Northern Colorado,,
72,,66.0,Andrew Mason,OL,6-5,260.0,R-So.,"Gilbert, Ariz.",Northern Arizona,Perry,,,
73,,67.0,Michael Flood,OL,6-6,305.0,R-So.,"Maricopa, Ariz.",Northern Arizona,Maricopa,UTEP,,
74,,70.0,Caiden Miles,OL,6-4,290.0,R-So.,"Peoria, Ariz.",Northern Arizona,Centennial,,,
75,,72.0,Ethan Kramer,OL,6-5,310.0,R-Fr.,"Colorado Springs, Colo.",Northern Arizona,Northern Colorado,Pine Creek,,
76,,74.0,Cash Koepke,OL,6-4,315.0,R-Fr.,"Los Alamitos, Calif.",Northern Arizona,Los Alamitos,,,
77,,75.0,Eriq Williams,OL,6-8,300.0,R-Jr.,"Maricopa, Ariz.",Northern Arizona,Mountain Pointe,,,
78,,76.0,Seth Smith,OL,6-6,285.0,R-So.,"Chandler, Ariz.",Northern Arizona,Chandler,,,
79,,77.0,Jack Forsyth,OL,6-6,280.0,Jr.,"Falls Church, Va.",Northern Arizona,Falls Church,Howard,,
80,,78.0,Alexis Sanchez,OL,6-3,325.0,R-Fr.,"Glendale, Ariz.",Northern Arizona,Mountain Ridge,,,
81,,80.0,Jamere Haskell,WR,6-0,,R-Fr.,"Chandler, Ariz.",Northern Arizona,Chandler HS,,,
82,,81.0,Isaiah Eastman,WR,5-11,185.0,Jr.,"Chandler, Ariz.",Northern Arizona,Higley,South Dakota Mines,,
83,,82.0,Ethen Cluff,WR,6-1,180.0,R-So.,"Queen Creek, Ariz.",Northern Arizona,ALA Queen Creek,,,
84,,83.0,Isaiah Lopez,WR,6-1,210.0,R-Fr.,"Rancho Cucamonga, Calif.",Northern Arizona,Rancho Cucamonga,,,
85,,84.0,David Haen,WR,6-1,183.0,R-So.,"Phoenix, Ariz.",Northern Arizona,Sunnyslope,,,
86,,86.0,Kody Say,WR,6-1,185.0,R-So.,"Phoenix, Ariz.",Northern Arizona,Sandra Day O'Connor,,,
87,,87.0,Truitt Robinson,WR,6-0,180.0,R-So.,"Gilbert, Ariz.",Northern Arizona,Higley,Nebraska,,
