,Statistic,#,Name,Pos.,Year,Ht.,Wt.,Hometown,Current School Name,Previous School,Image,Title
0,,0.0,Tremell Harrell,DB,Sr.,5-10,182.0,"Baton Rouge, La.",Northern Colorado,El Camino College,,
1,,0.0,Darius Stewart,RB,R-So.,5-9,190.0,"Las Vegas, Nev.",Northern Colorado,Desert Pines HS,,
2,,1.0,David Afari,RB,Jr.,5-11,200.0,"Cincinnati, Ohio",Northern Colorado,Miami (OH),,
3,,2.0,Jordan Knapke,DB,Jr.,6-3,210.0,"Aurora, Colo.",Northern Colorado,Sioux Falls,,
4,,2.0,Zach Rush,TE,R-Jr.,6-4,215.0,"Grand Junction, Colo.",Northern Colorado,Fruita Monument HS,,
5,,3.0,Vincent King,LB,Jr.,6-0,236.0,"Denver, Colo.",Northern Colorado,Smoky Hill HS,,
6,,3.0,Jacob Sirmon,QB,Sr.,6-5,230.0,"Bothell, Wash.",Northern Colorado,Central Michigan,,
7,,4.0,Dustin Johnson,DB,R-Jr.,6-1,194.0,"Denver, Colo.",Northern Colorado,Colorado,,
8,,5.0,Cameron Murray,DB,Gr.,6-1,180.0,"Aurora, Colo.",Northern Colorado,Wyoming,,
9,,6.0,Keyvon Lakes,LB,Jr.,6-2,235.0,"Las Vegas, Nev.",Northern Colorado,Canyon Springs HS,,
10,,7.0,Kyle Helbig,TE,Jr.,6-3,250.0,"Broomfield, Colo.",Northern Colorado,Colorado State,,
11,,8.0,Brandon Belgrave,RB,Jr.,6-0,190.0,"Panama City, Panama",Northern Colorado,Lutheran HS,,
12,,8.0,Tizell Lewis,DB,Sr.,6-1,175.0,"Aurora, Colo.",Northern Colorado,Butte JC,,
13,,9.0,Jamarri Robinson,,Jr.,6-3,197.0,"New Rochelle, N.Y.",Northern Colorado,,,
14,,10.0,Shea Kuykendall,QB,So.,6-1,205.0,"San Pedro, Calif.",Northern Colorado,Long Beach Poly HS,,
15,,11.0,Noah Ford,WR,R-So.,6-1,180.0,"McKinney, Texas",Northern Colorado,McKinney North HS,,
16,,11.0,Elias Rantissi,LB,Sr.,6-3,230.0,"Rohnert Park, Calif",Northern Colorado,City College of San Francisco,,
17,,12.0,Keenan Guthrie,LB,R-So.,6-3,226.0,"San Diego, Calif.",Northern Colorado,Cathedral Catholic HS,,
18,,12.0,Sage Shindler,,Fr.,5-11,185.0,"Chicago, Ill.",Northern Colorado,,,
19,,13.0,Adarius Edwards,QB,Fr.,6-2,185.0,"Heber City, Utah",Northern Colorado,,,
20,,14.0,Jordan Hornbeak,RB,R-So.,5-11,209.0,"Chowchilla, Calif.",Northern Colorado,Fresno State,,
21,,15.0,Ty Arrington,WR,R-Jr.,5-11,180.0,"Highland, Utah",Northern Colorado,Skyridge HS,,
22,,15.0,Marcus Howard,LB,So.,6-5,228.0,"Denver, Colo.",Northern Colorado,Aurora Central HS,,
23,,16.0,Peter Costelli,QB,So.,6-3,225.0,"Redondo Beach, Calif.",Northern Colorado,Troy,,
24,,16.0,Ezra Ekuban,LB,So.,6-2,222.0,"Parker, Colo.",Northern Colorado,Regis Jesuit HS,,
25,,17.0,Caleb Theisen,RB,So.,6-0,193.0,"Erie, Colo.",Northern Colorado,Erie HS,,
26,,18.0,Aliou-Rocco Traore,DB,So.,5-11,190.0,"Lynwood, Wash.",Northern Colorado,North Creek HS,,
27,,19.0,Blake Haggerty,WR,So.,6-0,188.0,"Castle Rock, Colo.",Northern Colorado,Castle View HS,,
28,,20.0,Christian Wren,LB,So.,6-4,235.0,"Lehi, Utah",Northern Colorado,Lehi HS,,
29,,21.0,Tywonne Harris,DB,Sr.,5-10,180.0,"Baton Rouge, La.",Northern Colorado,Butler CC,,
30,,21.0,Alec Pell,TE,R-Jr.,6-4,235.0,"Englewood, Colo.",Northern Colorado,Colorado,,
31,,22.0,Dylan Emery,DB,Jr.,6-1,195.0,"The Colony, Texas",Northern Colorado,Colorado State,,
32,,22.0,Zain Zinicola,WR,R-So.,5-10,192.0,"Highlands Ranch, Colo.",Northern Colorado,Valor Christian HS,,
33,,24.0,Christian Arrington,WR,So.,5-11,180.0,"Highland, Utah",Northern Colorado,Lone Peak HS,,
34,,24.0,Makhi Johnson,DB,R-So.,6-0,193.0,"San Antonio, Texas",Northern Colorado,Southwest HS,,
35,,25.0,Jacquez Robertson,RB,Jr.,5-9,185.0,"Mission Viejo, Calif.",Northern Colorado,Mission Viejo HS,,
36,,27.0,Caden Meis,RB,Sr.,5-11,216.0,"Parker, Colo.",Northern Colorado,Drake,,
37,,27.0,Ladavion Osborn,DB,So.,6-2,175.0,"Tyler, Texas",Northern Colorado,Lake Highlands HS,,
38,,28.0,Bryce Vaz,RB,So.,5-9,180.0,"Parker, Colo.",Northern Colorado,Legend HS,,
39,,29.0,Alfred Smith,DB,So.,5-9,160.0,"Laveen, Ariz.",Northern Colorado,Chandler HS,,
40,,30.0,Jasiah Snow-Marshall,DB,R-So.,6-1,210.0,"Tacoma, Wash.",Northern Colorado,Lincoln HS,,
41,,31.0,Franky Morales,DB,So.,5-10,160.0,"Chandler, Ariz.",Northern Colorado,Chandler HS,,
42,,32.0,Jordan Davis,LB,So.,6-0,210.0,"Aurora, Colo.",Northern Colorado,Cherokee Trail HS,,
43,,33.0,Nathaniel Gillis,DB,Fr.,6-1,175.0,"San Diego, Calif.",Northern Colorado,,,
44,,34.0,David Hoage,LB,Sr.,6-3,245.0,"Denver, Colo.",Northern Colorado,Smoky Hill HS,,
45,,35.0,Dylan Bartels,LB,Fr.,6-2,215.0,"Longmont, Colo.",Northern Colorado,Hastings College,,
46,,36.0,Payton Polson,LB,Jr.,6-0,215.0,"Highlands Ranch, Colo.",Northern Colorado,Colorado State,,
47,,37.0,Hunter Green,K,So.,6-4,187.0,"Redmond, Wash.",Northern Colorado,Lake Washington HS,,
48,,41.0,Kalen Smedley,S,Fr.,6-2,185.0,"Colorado Springs, Colo.",Northern Colorado,,,
49,,44.0,Noah Mangham,DB,So.,5-11,182.0,"Frisco, Texas",Northern Colorado,Wakeland HS,,
50,,45.0,Tama Tuitele,LB,Jr.,6-0,245.0,"Aurora, Colo.",Northern Colorado,Navy,,
51,,46.0,Christian Wyatt,FB,R-So.,6-2,216.0,"Highlands Ranch, Colo.",Northern Colorado,Valor Christian HS,,
52,,47.0,Tofa Wilson,LB,R-So.,6-1,228.0,"Las Vegas, Nev.",Northern Colorado,Foothills HS,,
53,,48.0,Brayden Engleking,LB,Fr.,5-10,160.0,"Longmont, Colo.",Northern Colorado,,,
54,,49.0,Tyler Sparnall,LB,So.,6-0,200.0,"Cincinnati, Ohio",Northern Colorado,Lakota West High School,,
55,,50.0,Sam Iongi-Amitanai,DL,So.,6-2,300.0,"Mapusagafou, American Samoa",Northern Colorado,,,
56,,51.0,Wilson Clark,OL,R-So.,6-5,305.0,"Arvada, Colo.",Northern Colorado,Ralston Valley HS,,
57,,54.0,Kaleb Konigus,OL,R-Sr.,6-2,300.0,"Lehman, Pa.",Northern Colorado,Penn State,,
58,,56.0,Jacob Stanton,LB,R-Sr.,6-1,235.0,"Thornton, Colo.",Northern Colorado,Colorado State,,
59,,57.0,Frank Thompson,OL,R-So.,6-3,305.0,Peoria. Ariz.,Northern Colorado,Stephen F. Austin,,
60,,59.0,Ryan Capasso,DL,R-Jr.,6-4,260.0,"Broomfield, Colo.",Northern Colorado,Broomfield HS,,
61,,61.0,Isaias Sierra,OL,Sr.,6-2,291.0,"San Francisco, Calif.",Northern Colorado,Diablo Valley College,,
62,,62.0,Michael Jordan Jr.,DL,Jr.,6-2,280.0,"Pasadena, Calif.",Northern Colorado,,,
63,,65.0,James Betschart,OL,R-So.,6-7,300.0,"Parker, Colo.",Northern Colorado,Legend HS,,
64,,65.0,Micah Nanninga,DL,R-So.,6-7,250.0,"Castle Rock, Colo.",Northern Colorado,Castle View HS,,
65,,67.0,Nick Lyon,DL,R-So.,6-5,315.0,"Lone Tree, Colo.",Northern Colorado,Valor Christian HS,,
66,,68.0,Brady Odom,OL,Gr.,6-2,280.0,"Reno, Nev.",Northern Colorado,Feather River College,,
67,,69.0,Christian Delacruz,OL,Sr.,6-4,304.0,"Spring Valley, Calif.",Northern Colorado,Southwestern College,,
68,,73.0,Aidan Moe,OL,So.,6-8,304.0,"Parker, Colo.",Northern Colorado,Pondarosa HS,,
69,,74.0,Jackson Hoops,OL,R-Jr.,6-5,315.0,"Parker, Colo.",Northern Colorado,Valor Christian HS,,
70,,75.0,Quintan Robinson,OL,Jr.,6-5,305.0,"Quincy, Calif.",Northern Colorado,Northern Arizona,,
71,,77.0,Karson Oliver,OL,R-So.,6-6,315.0,"Tulare, Calif.",Northern Colorado,Central Valley Christian HS,,
72,,78.0,Austin Lawrence,OL,R-So.,6-5,276.0,"Puyallup, Wash.",Northern Colorado,Puyallup HS,,
73,,80.0,Dominic Cureton,WR,Fr.,5-11,170.0,"Chatsworth, Calif.",Northern Colorado,Chatsworth HS,,
74,,81.0,Joseph Weigard,WR,Fr.,-,,,Northern Colorado,,,
75,,83.0,Steve Gartman,WR,Fr.,5-10,160.0,"Arvada, Colo.",Northern Colorado,,,
76,,84.0,Jared Whitaker,WR,Fr.,-,,"Parker, Colo.",Northern Colorado,,,
77,,86.0,Fisher Clements,TE,So.,6-7,235.0,"Meridian, Idaho",Northern Colorado,Mountain View HS,,
78,,87.0,Mitchell Lewis,TE,R-So.,6-3,220.0,"Pagosa Springs, Colo.",Northern Colorado,Pagosa Springs HS,,
79,,89.0,Charles Garrison,TE,Sr.,6-5,245.0,"Palisades, NY",Northern Colorado,Nassau Community College,,
80,,90.0,Solomon Wacays,DL,Jr.,6-1,270.0,"Denver, Colo.",Northern Colorado,CSU-Pueblo,,
81,,91.0,Junior Gonzalez,LB,Fr.,-,,,Northern Colorado,,,
82,,92.0,Nick Norris,DL,Jr.,6-4,262.0,"Fort Morgan, Colo.",Northern Colorado,Fort Morgan HS,,
83,,93.0,Tava Finau,DL,Sr.,6-3,275.0,"Sacramento, Calif.",Northern Colorado,Colorado,,
84,,95.0,Kanaan Turnbull,DL,Sr.,6-4,230.0,"Loveland, Colo.",Northern Colorado,Colorado,,
85,,98.0,Joe Brown,DL,R-So.,6-2,330.0,"Flint, Mich.",Northern Colorado,Desert Pines HS,,
86,,99.0,Jax Brown,DL,R-So.,6-3,280.0,"Sulphur Springs, Texas",Northern Colorado,Little Elm HS,,
