,Statistic,Full Name,Hometown,High School,Pos.,Ht.,Wt.,Academic Year,Twitter,Instagram,#,Image,Name,Title
0,,Tate Sander,"Belmond, Iowa",Belmond-Klemme HS,Defensive Back,6-0,200.0,So.,tatesander5,tatesander5,1,,,
1,,Caden Houghtelling,"Cambridge, Neb.",Cambridge HS,Defensive Line,6-5,264.0,R-Sr.,Hough4533,cadenhoughtelling,2,,,
2,,Matthew Schecklman,"Appleton, Wisconsin",Appleton North HS,Quarterback,6-3,205.0,R-Fr.,mschecklman12,schecklman14,3,,,
3,,Keith Moko,"Newton, Iowa",Newton HS,Defensive Back,6-0,155.0,So.,MokoKeith,keith.moko_,4,,,
4,,Calvin Jaworski,"Grinnell, Iowa",Grinnell HS,Kicker,6-2,190.0,So.,calvin_jaworski,calvin_jaworski,6,,,
5,,Jordan Williams,"Oswego, Ill.",Oswego HS,Defensive Back,5-9,189.0,R-Jr.,,,7,,,
6,,Devin Rice,"St. Louis, Mo.",Liberty North HS,Defensive Line,6-5,248.0,R-Sr.,dr2szn,dr8szn,8,,,
7,,Aidan Dunne,"Dubuque, Iowa",Hempstead HS,Quarterback,6-0,208.0,R-So.,aidandunne23,aidan.dunne2,10,,,
8,,Cordarrius Bailey,"Clarksdale, Miss.",Clarksdale HS / Iowa State,Defensive Line,6-3,243.0,Gr.,baileydatruth8,cordarriusb.8,11,,,
9,,Theo Day,"Canton, Michigan",Divine Child HS / Michigan State,Quarterback,6-5,231.0,R-Sr.,day_gma,ttheoday,12,,,
10,,Tysen Kershaw,"Fort Dodge, Iowa",Fort Dodge HS,Wide Receiver,6-3,198.0,R-So.,biggametk,biggametk,13,,,
11,,Cael Loecher,"Cedar Falls, Iowa",Cedar Falls HS,Punter,6-5,202.0,R-So.,cael_loecher,caelloecher,15,,,
12,,Logan Wolf,"Cedar Falls, Iowa",Cedar Falls HS,Wide Receiver,6-3,198.0,R-Sr.,19logwol,logan_wolf17,17,,,
13,,Edwin Dearman,"Houston, Tex.",Nimitz HS,Defensive Back,5-11,200.0,R-Jr.,3DEARMAN,1kjeremey,21,,,
14,,Sam Schnee,"Dubuque, Iowa",Senior HS,Wide Receiver,5-10,195.0,R-Sr.,samuel_schnee23,sammyschnee23,23,,,
15,,Harrison Bey-Buie,"Bettendorf, Iowa",Bettendorf HS / Eastern Illinois,Running Back,5-10,221.0,R-Jr.,BeyBuie,beybuie,25,,,
16,,Dewuan Mack,"Kansas City, Mo.",Lee's Summit North HS,Defensive Back,5-11,199.0,So.,Dewuanmack4,Dmack4x,27,,,
17,,Liam McComas,"Iowa City, Iowa",Iowa City HS,Tight End,6-1,192.0,R-Jr.,LiamMccomas,liam_mccomas,28,,,
18,,Tucker Langenberg,"Urbandale, Iowa",Urbandale HS,Linebacker,6-2,224.0,R-So.,tlangenberg2,tucker.langenberg,29,,,
19,,Mo Olowo,"Rogers, Minn.",Rogers Senior HS,Defensive Back,6-1,205.0,R-So.,michaelolowo03,jelly.mo,30,,,
20,,Kendall Robinson,"Waterloo, Iowa",Waterloo East HS,Running Back,6-0,208.0,R-Jr.,krob2x,krob2x,31,,,
21,,Woo Governor,"Plant City, Fla.",Durant HS,Defensive Back,6-0,190.0,Sr.,DGovernor12_,iam_dgxii,32,,,
22,,Ben Belken,"Eldridge, Iowa",North Scott HS,Linebacker,6-4,228.0,R-So.,Bbelken_,benbelken,33,,,
23,,Deven Foster,"Gulfport, Fla.",Boca Ciega HS / Highland CC,Defensive Back,6-2,190.0,Jr.,deven__foster,devswagg21,34,,,
24,,Jordan McClom,"Minneapolis, Minn.",Robbinsdale Armstrong HS,Defensive Back,6-2,203.0,So.,,Jordy4_,35,,,
25,,Josh Jenkins,"Des Moines, Iowa",Lincoln HS,Running Back,6-2,172.0,So.,flexgodj,Joshuajenkins._23,37,,,
26,,Cameron Baker,"Council Bluffs, Iowa",Thomas Jefferson HS,Linebacker,6-2,244.0,R-Jr.,,bakes.me.a.cake,39,,,
27,,Amauri Pesek-Hickson,"Omaha, Neb.",Blue Valley North HS / Kansas,Linebacker,6-0,225.0,Jr.,amauripesek23,amauripesek23,40,,,
28,,Dalesean Staley,"Kansas City, Mo.",Blue Springs HS,Defensive Back,6-1,178.0,So.,dalesean4,daleseanstaley,42,,,
29,,Dawson Fenton,"Sioux City, Iowa",Bishop Heelan Catholic HS,Tight End,6-4,241.0,R-Jr.,Dawsfent43,dawson_fenton,43,,,
30,,Layne Pryor,"Woodbine, Iowa",Woodbine HS,Tight End,6-3,251.0,Jr.,PryorLayne,layne_pryor,45,,,
31,,Rayshaun Dallas,"Bradenton, Fla.",Southeast HS,Defensive Line,6-3,208.0,So.,OppositionRay11,theyloverayshaun,46,,,
