,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Exp.,Current School Name,Hometown,High School,College,Image,Name,Title
0,,0.0,Parker McKenna,LB,6-0,220.0,So.,1V,Portland State,"Beaverton, OR",Beaverton,,,,
1,,2.0,Marquis Spiker,WR,6-3,200.0,Sr.,1V,Portland State,"Wildomar, CA",Murrieta Valley,Washington,,,
2,,3.0,Darien Chase,WR,6-1,210.0,So.,1V,Portland State,"Vancouver, WA",Union,Nebraska,,,
3,,5.0,Jaden Casey,WR,6-1,195.0,So.,1V,Portland State,"Westlake Village, CA",Calabasas,California,,,
4,,5.0,Tyreese Shakir,DB,5-10,175.0,Jr.,2V,Portland State,"Murrieta, CA",Vista Murrieta,,,,
5,,7.0,Isaiah Avery,CB,6-0,175.0,Sr.,1V,Portland State,"Antioch, CA",Antioch,City College of San Francisco/Liberty,,,
6,,7.0,Nate Bennett,WR,6-3,195.0,Jr.,2V,Portland State,"Simi Valley, CA",Grace Brethren,,,,
7,,8.0,Maclaine Griffin,WR,6-2,200.0,Sr.,1V,Portland State,"Westlake Village, CA",Chaminade,Boise State,,,
8,,10.0,Keegan Stancato,QB,6-4,210.0,So.,SQ,Portland State,"Tacoma, WA",Mountain Ridge,Dixie State,,,
9,,12.0,Semaj Bolin,CB,5-10,170.0,Jr.,2V,Portland State,"North Las Vegas, NV",Coronado,,,,
10,,12.0,Dondrae Fair,QB,6-0,180.0,Fr.,RS,Portland State,"Portland, OR",Jefferson,,,,
11,,14.0,Logan Gonzalez,QB,6-3,200.0,Fr.,RS,Portland State,"Orange, CA",Orange Lutheran,,,,
12,,15.0,Dante Chachere,QB,6-3,195.0,Jr.,2V,Portland State,"Fresno, CA",Clovis West,,,,
13,,16.0,Brooks Ferguson,QB,6-5,225.0,Fr.,RS,Portland State,"Monmouth, OR",West Salem,,,,
14,,16.0,Elijah Gipson,DB,5-11,170.0,Fr.,RS,Portland State,"Westlake Village, CA",Oaks Christian,,,,
15,,17.0,Caden Filer,QB,6-2,200.0,So.,SQ,Portland State,"Tacoma, WA",Lincoln HS,,,,
16,,19.0,Jalynnee McGee,RB,5-10,195.0,Jr.,2V,Portland State,"Vancouver, WA",Skyview,,,,
17,,20.0,Duhron Goodman,DB,5-11,190.0,Fr.,RS,Portland State,"Valencia, CA",Valencia,,,,
