,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Image,Name,Title
0,,0.0,Malik Lewis,OLB,6-0,175.0,Fr.,"Cocoa, Fla.",Presbyterian,Cocoa HS,,,
1,,1.0,Dominic Kibby,WR,6-1,175.0,Fr.,"Catonsville, Md.",Presbyterian,Mount Saint Joseph HS,,,
2,,2.0,Jordan Irizarry,WR,5-11,180.0,Jr.,"Hollywood, Fla.",Presbyterian,NSU University School,,,
3,,2.0,Peter Lipscombe,K,6-0,135.0,Fr.,"Baltimore, Md.",Presbyterian,Mount Saint Joseph HS,,,
4,,3.0,Ty Englehart,QB,6-4,195.0,Fr.,"Melbourne, Fla.",Presbyterian,Holy Trinity HS,,,
5,,3.0,George Wilder,DB,6-0,170.0,So.,"Lake City, S.C.",Presbyterian,The Carolina Academy,,,
6,,4.0,JB Seay,RB,5-10,195.0,So.,"Polk County, Fla.",Presbyterian,Discovery HS,,,
7,,5.0,Alex Ward,DB,5-8,170.0,Fr.,"Greenville, S.C.",Presbyterian,Travelers Rest HS,,,
8,,6.0,Wyatt Hodges,WR,5-9,178.0,So.,"Peachtree Corners, Ga.",Presbyterian,Wesleyan School,,,
9,,6.0,Austin Wilkes,DB,5-10,187.0,Fr.,"Rock Hill, S.C.",Presbyterian,Northwestern HS,,,
10,,7.0,Nathan Hajduk,OLB,6-1,190.0,Fr.,"Charlotte, N.C.",Presbyterian,Providence HS,,,
11,,8.0,Honrae Murray,WR,6-2,180.0,Fr.,"Jacksonville, Fla.",Presbyterian,Oakleaf HS,,,
12,,9.0,Deverious Abercrombie,WR,6-4,177.0,Fr.,"Greenville, S.C.",Presbyterian,Wade Hampton HS,,,
13,,10.0,Max Monroe,QB,6-1,218.0,So.,"Louisville, Fla.",Presbyterian,Ridgeview HS,,,
14,,11.0,Brennen Taranto,WR,6-0,175.0,Fr.,"Weston, Fla.",Presbyterian,Western HS,,,
15,,12.0,Anthony Thornton,DB,-,,Fr.,,Presbyterian,,,,
16,,13.0,Tyler Wesley,QB,6-3,180.0,Fr.,"St. Cloud, Fla.",Presbyterian,Edgewater HS,,,
17,,14.0,Jonathan Joseph,WR,-,,Fr.,,Presbyterian,,,,
18,,15.0,Shawn Lodge,WR,6-0,170.0,Fr.,"Akron, Ohio",Presbyterian,St. Vincent St. Mary,,,
19,,16.0,Warner Bush,QB,6-2,187.0,So.,"Smyrna, Ga.",Presbyterian,Whitefield Academy,,,
20,,16.0,Malek Horlback,LB,6-2,225.0,Fr.,"Charleston, S.C.",Presbyterian,Fort Dorchester HS,,,
21,,17.0,Bradley Russ-Martin,DB,5-7,150.0,So.,"Travelers Rest, S.C.",Presbyterian,Travelers Rest HS,,,
22,,18.0,Ezra King,K,-,,Fr.,,Presbyterian,,,,
23,,18.0,Matthew Smiciklas,WR,5-11,175.0,Fr.,"Boca Raton, Fla.",Presbyterian,American Heritage HS,,,
24,,19.0,Chandler Jones,WR,-,,Fr.,,Presbyterian,,,,
