,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,High School,Previous College,Image,Name,Title
0,,4.0,Bryson Parker,DB,5-10,188.0,Jr.,"Charlotte, N.C.",Weddington,,,,
1,,5.0,Jasiah Williams,WR,5-11,186.0,R-Jr.,"Petersburg, Va.",Thomas Dale,,,,
2,,6.0,Dante Black,RB,5-10,200.0,Gr.,"Lilburn, Ga.",Brookwood,UConn,,,
3,,8.0,Aaron Banks,DB,5-11,180.0,Gr.,"Stephens City, Va.",Sherando High School,,,,
4,,8.0,Fonnae Webb,RB,5-11,210.0,R-Jr.,"Washington, D.C.",Mount Vernon,,,,
5,,9.0,Wayne Galloway,LB,6-1,222.0,R-Jr.,"Thibodaux, La.",St. Paul's School,,,,
6,,9.0,Quanye Veney,WR,5-10,175.0,R-Fr.,"Highland Springs, Va.",Highland Springs,,,,
7,,11.0,Nick DeGennaro,WR,6-1,190.0,R-Jr.,"Old Bridge, N.J.",Hun School,Maryland,,,
8,,12.0,Jackson Hardy,QB,6-4,224.0,R-Jr.,"Lawrenceville, Ga.",Greater Atlanta Christian,,,,
9,,16.0,Kyle Wickersham,QB,6-3,225.0,R-So.,"Metairie, La.",Archbishop Rummel,,,,
10,,18.0,Ashten Snelsire,QB,6-3,210.0,R-Fr.,"Berlin, Md.",Decatur,,,,
11,,21.0,Jabril Hayes,DB,5-11,170.0,R-Jr.,"Stephens City, Va.",Sherando,,,,
12,,22.0,Trae Tomlinson,DB,5-10,175.0,So.,"Winnipeg, Manitoba, Canada",Clearwater Academy International,,,,
13,,23.0,Angelo Rankin Jr.,DB,5-10,190.0,Jr.,"Wichita, Kan.",Edmond Santa Fe,,,,
14,,24.0,Prince Ekwughalu,LB,6-0,213.0,R-Sr.,"Rahway, N.J.",The Hun School,Colgate,,,
15,,27.0,Jordan Allen,DB,6-0,196.0,R-Fr.,"Rockville, Va.",Patrick Henry,,,,
16,,29.0,D'Angelo Stocker,DB,5-10,165.0,R-Fr.,"Malvern, Pa.",Malvern Prep,,,,
17,,30.0,Tristan Wheeler,LB,6-2,228.0,R-Sr.,"Bethlehem, Pa.",Freedom,,,,
18,,31.0,Savon Smith,RB,5-9,200.0,R-Sr.,"Winchester, Va.",Millbrook,,,,
19,,32.0,Marlem Louis,DL,6-3,250.0,R-Sr.,"Venice, Fla.",Venice,,,,
20,,33.0,Thaos Figaro,DL,6-2,231.0,R-So.,"Lafayette, La.",Lafayette,,,,
21,,34.0,Donovan Hoilette,LB,6-4,208.0,R-So.,"West Palm Beach, Fla.",Palm Beach Central,,,,
