,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Exp.,Current School Name,Hometown/Previous School,Image,Title
0,,0.0,Carlos Hill,WR,5-11,165.0,Sr.,1V,Sacramento State,"Miami, Fla. / Antelope Valley JC",,
1,,0.0,Eian Moore,S,6-0,193.0,Sr.,1V,Sacramento State,"Sacramento, Calif. / Sierra JC",,
2,,1.0,Kaiden Bennett,QB,5-11,188.0,Jr.,2V,Sacramento State,"Sparks, Nev. / Nevada",,
3,,1.0,Caleb Nelson,CB,6-1,192.0,Sr.,1V,Sacramento State,"Roseville, Calif. / North Dakota",,
4,,2.0,Patrick Dean,CB,5-11,177.0,Jr.,2V,Sacramento State,"Ontario, Calif. / Colony HS",,
5,,3.0,Dillon Juniel,CB,5-9,166.0,Sr.,1V,Sacramento State,"Sacramento, Calif. / San Mateo JC",,
6,,3.0,Chris Miller,WR,6-2,182.0,Jr.,2V,Sacramento State,"Los Angeles, Calif. / Culver City HS",,
7,,4.0,Armon Bailey,LB,6-1,228.0,Sr.,3V,Sacramento State,"Vallejo, Calif. / Vanden HS",,
8,,5.0,Devin Gandy,WR,6-1,166.0,So.,1V,Sacramento State,"Fontana, Calif. / Silverado HS",,
9,,6.0,Ezra Moleni,RB,6-0,193.0,Jr.,JC,Sacramento State,"Midvale, Utah / San Mateo JC",,
10,,6.0,Jace O'Hara,NB,5-11,191.0,Sr.,2V,Sacramento State,"Rolling Meadows, Ill. / Dupage JC",,
11,,7.0,Cameron Broussard,S,6-3,197.0,Jr.,2V,Sacramento State,"Folsom, Calif. / Folsom HS",,
12,,7.0,Carson Camp,QB,6-3,210.0,Jr.,TR,Sacramento State,"Bloomington-Normal, Ill. / South Dakota",,
13,,8.0,Jared Gipson,WR,6-1,201.0,Jr.,2V,Sacramento State,"Stockton, Calif. / St. Mary's HS",,
14,,9.0,Marcus Fulcher,RB,5-9,212.0,Sr.,3V,Sacramento State,"Fresno, Calif. / Bullard HS",,
15,,10.0,Dorian Hale,QB,6-0,183.0,So.,1V,Sacramento State,"Brentwood, Calif. / De La Salle HS",,
16,,10.0,Brock Mather,LB,6-0,230.0,Sr.,1V,Sacramento State,"Ridgecrest, Calif. / Bakersfield JC",,
17,,11.0,Parker Clayton,WR,6-0,185.0,Sr.,3V,Sacramento State,"Folsom, Calif. / Folsom HS",,
18,,13.0,Zeke Burnett,RB,5-10,202.0,Fr.,RS,Sacramento State,"Sacramento, Calif. / Elk Grove HS",,
19,,13.0,Jeremy Harris,LB,6-0,220.0,Sr.,3V,Sacramento State,"Simi Valley, Calif. / Moorpark HS",,
20,,15.0,Sawyer Merrill,WR,6-0,184.0,Jr.,1V,Sacramento State,"El Dorado Hills, Calif. / American River JC",,
21,,16.0,Marshel Martin,TE,6-2,210.0,Sr.,3V,Sacramento State,"Vallejo, Calif. / St. Patrick-St. Vincent HS",,
22,,17.0,Carson Conklin,QB,6-1,185.0,Fr.,HS,Sacramento State,"Yorba Linda, Calif. / Centennial HS",,
23,,17.0,Anta'Veon McKenzie,S,6-1,190.0,Fr.,HS,Sacramento State,"Stockton, Calif. / Edison HS",,
24,,18.0,Xavier Mason,WR,6-0,207.0,Jr.,2V,Sacramento State,"Tacoma, Wash. / Stadium HS",,
25,,19.0,Zelmar Vedder,CB,6-3,177.0,So.,RS,Sacramento State,"Manteca, Calif. / Modesto JC",,
26,,21.0,Kylen Ross,S,6-0,172.0,Sr.,1V,Sacramento State,"Los Angeles, Calif. / Riverside JC",,
27,,22.0,Elias Mullican,CB,6-1,172.0,Fr.,RS,Sacramento State,"Rocklin, Calif. / Rocklin HS",,
28,,23.0,Michael Johnson,RB,5-7,188.0,So.,1V,Sacramento State,"Oxnard, Calif. / Pacifica HS",,
29,,23.0,Lamont Johnson-Burrell,CB,6-3,176.0,Fr.,RS,Sacramento State,"Sacramento, Calif. / Sacramento HS",,
30,,24.0,Davion Ross,S,5-11,191.0,Sr.,2V,Sacramento State,"Sacramento, Calif. / Inderkum HS",,
31,,25.0,Elijah Tau-Tolliver,RB,6-1,200.0,So.,1V,Sacramento State,"Sparks, Nev. / Reed HS",,
