,Statistic,#,Full Name,Yr.,Pos.,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,3.0,Damon Horton,R-Jr.,RB,6-0,210.0,"Philadelphia, Pa. / Hazelton Area",Saint Francis (PA),,,,
1,,4.0,Cole Doyle,R-Jr.,QB,5-10,170.0,"Glendale, Calif. / Crescenta Valley",Saint Francis (PA),College of the Canyons,,,
2,,6.0,Norval Black,R-Sr.,WR,6-1,160.0,"Germantown, Md. / Northwest",Saint Francis (PA),Penn State,,,
3,,9.0,Dominic Bevilacqua,R-Fr.,QB,5-10,185.0,"Suffolk, Va. / Nansemond-Suffolk Academy",Saint Francis (PA),,,,
4,,11.0,Kendal Marks,So.,DB,5-11,155.0,"Baltimore, Md. / Mergenthaler Vocational Technical",Saint Francis (PA),,,,
5,,12.0,"Nick Whitfield, Jr.",R-Fr.,QB,6-5,200.0,"Fredonia, N.Y. / Fredonia",Saint Francis (PA),,,,
6,,13.0,Aakeem Snell,Sr.,DB,6-3,185.0,"Penn Hills, Pa. / Penn Hills",Saint Francis (PA),Lackawanna College,,,
7,,14.0,Larmar Frazier,R-So.,DB,6-1,175.0,"Sunrise, Fla. / Piper",Saint Francis (PA),,,,
8,,17.0,Kai Williams,R-Sr.,WR,6-2,205.0,"Johns Creek, Ga. / Mount Pisgah Christian",Saint Francis (PA),,,,
9,,18.0,Adrian Mejia,R-Fr.,QB,6-1,175.0,"West Springfield, Va. / West Springfield",Saint Francis (PA),,,,
10,,18.0,Dawson Snyder,R-Jr.,WR,6-4,190.0,"Berlin, Pa. / Shanksville-Stonycreek",Saint Francis (PA),,,,
11,,20.0,QuaSean Holmes,Jr.,RB,5-11,195.0,"Charlotte, N.C. / Mallard Creek",Saint Francis (PA),ASA College,,,
12,,21.0,Kerry Galloway,R-Sr.,DB,5-7,145.0,"Wilmington, Del. / DuPont",Saint Francis (PA),,,,
13,,22.0,Kennyth Kennedy,R-So.,DB,6-1,170.0,"Paterson, N.J. / Paramus Catholic",Saint Francis (PA),,,,
14,,22.0,Tobee Stokes,R-So.,RB,5-10,170.0,"York, Pa. / William Penn",Saint Francis (PA),,,,
15,,23.0,Kesean Dyson,Jr.,LB,6-1,220.0,"Ashburn, Va. / Broad Run",Saint Francis (PA),,,,
16,,25.0,William Middleton,Jr.,LB,5-11,200.0,"Montgomery, Ala. / Robert E. Lee",Saint Francis (PA),New Mexico Military Institute,,,
17,,27.0,Luke Edwards,R-Fr.,RB,6-0,190.0,"New Castle, Pa. / Wilmington",Saint Francis (PA),,,,
