,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Hometown,Previous School,Image,Name,Title
0,,0.0,Chandler Smith,WR,5-10,186.0,Sr.,"Marietta, Ga.",Walton HS,,,
1,,1.0,Kourtlan Marsh,CB,5-11,189.0,Jr.,"Warrior, Ala.",Mortimer-Jordan HS,,,
2,,2.0,Quincy Crittendon,QB,5-11,190.0,Fr.,"Decatur, Ala.",Austin HS,,,
3,,2.0,Khalid Thomas,CB,6-0,210.0,Sr.,"Raleigh, N.C.",Harvard University,,,
4,,3.0,David Coltrane,LB/S,6-3,208.0,Fr.,"Alpharetta, Ga.",Blessed Trinity HS,,,
5,,4.0,Ty Hardimon,S,6-0,201.0,Sr.,"Marietta, Ga.",Wake Forest University,,,
6,,4.0,Nik Scalzo,QB,5-11,189.0,Jr.,"Fort Lauderdale, Fla.",Univ. of Kentucky,,,
7,,5.0,Nathan East,LB,6-2,227.0,Gr.,"McCalla, Ala.",McAdory HS,,,
8,,6.0,Jalen Nelson,CB,6-1,182.0,Fr.,"Flowood, Miss.",Northwest Rankin HS,,,
9,,6.0,Jaylan Thomas,RB,5-9,176.0,Sr.,"Carrollton, Ga.",Elon University,,,
10,,7.0,Bradley Porcellato,P,5-11,158.0,Gr.,"Melbourne, Australia",Aquinas College HS/Knox Falcons,,,
11,,8.0,Brent Taylor,S,6-0,195.0,Fr.,"Loganville, Ga.",Loganville Christian Academy,,,
12,,8.0,J.R. Tran-Reno,WR,6-1,222.0,Sr.,"Birmingham, Ala.",Vanderbilt University,,,
13,,9.0,Midnight Steward,S,6-1,196.0,So.,"Daphne, Ala.",Daphne HS,,,
14,,10.0,Michael Hiers,QB,6-1,211.0,Jr.,"Birmingham, Ala.",N.W. Mississippi CC,,,
15,,11.0,Will Hudson,QB,5-11,194.0,Sr.,"Marietta, Ga.",Sprayberry HS,,,
16,,11.0,D.J. Rias,WR,5-8,188.0,So.,"Phenix City, Ala.",Univ. of Alabama,,,
17,,12.0,Ty King,WR,6-0,173.0,Sr.,"Wrens, Ga.",Jefferson County HS,,,
18,,12.0,Christian Roberts,QB,6-2,210.0,Fr.,"Addison, Ala.",Addison HS,,,
19,,13.0,David Coleman,QB,6-0,175.0,So.,"Dublin, Ga.",Trinity Christian HS,,,
20,,14.0,Torrence Pollard,CB,5-8,177.0,Gr.,"Ensley, Ala.",Leeds HS,,,
21,,15.0,Cade Blackmon,QB,5-11,183.0,Jr.,"Opelika, Ala.",Opelika HS,,,
22,,15.0,Emmanuel Flowers,S,6-2,199.0,Gr.,"Chino Hills, Calif.",Michigan State Univ.,,,
23,,16.0,Hakeem Johnson,CB,6-3,203.0,Gr.,"Remington, Va.",University of Sioux Falls,,,
24,,17.0,Miles Morris,QB,6-2,188.0,Jr.,"Macon, Ga.",Tatnall Square Academy,,,
25,,18.0,Koi Freeman,DB,6-2,190.0,Sr.,"Leeds, Ala.",Leeds HS,,,
26,,18.0,Ty Hatcher,QB,5-8,163.0,Sr.,"Homewood, Ala.",Bessemer Academy,,,
27,,19.0,Qadir Ismail,WR,6-6,215.0,Sr.,"Bel Air, Md.",Villanova University,,,
28,,19.0,Connor Masters,QB,5-9,166.0,Fr.,"Louisville, Ky.",Christian Academy of Louisville,,,
29,,20.0,Camden Kuhn,LB,6-4,207.0,Fr.,"Knoxville, Tenn.",Farragut HS,,,
30,,20.0,Jay Stanton,RB,6-0,190.0,Sr.,"Crestview, Fla.",Crestview HS,,,
31,,21.0,Carson Goold,WR,6-5,201.0,Fr.,"Memphis, Tenn.",Houston HS,,,
32,,21.0,Isaiah Richardson,DB,6-1,204.0,Sr.,"Richmond, Texas",Rice Univ.,,,
33,,22.0,Brayden Devault-Smith,LB,6-3,212.0,Sr.,"Nashville, Tenn.",Vanderbilt University,,,
34,,23.0,Noah Young,WR,6-4,204.0,Fr.,"Birmingham, Ala.",Univ. of North Alabama,,,
35,,24.0,Jocquet Jiles,RB,5-9,177.0,Sr.,"Auburndale, Fla.",Auburndale HS,,,
36,,25.0,J.T. Swanson,S,6-0,182.0,Sr.,"West Chester, Ohio",Morehead State,,,
37,,26.0,Michael Haynes,DB,5-10,175.0,Fr.,"Atlanta, Ga.",Brookwood HS,,,
38,,26.0,Mitchell Owen,CB,6-1,182.0,So.,"Atlanta, Ga.",Marist Schol,,,
39,,27.0,Trey Elston,CB,6-1,195.0,Sr.,"Auburn, Ala.",Auburn University,,,
40,,27.0,Michael Ryan,WR,6-0,175.0,Fr.,"Bainbridge, Ga.",Bainbridge HS,,,
41,,28.0,Josiah Cotton,LB,5-11,220.0,Jr.,"Macon, Ga.",Mt. De Sales Academy,,,
42,,29.0,Drew Mims,LB,6-1,238.0,Sr.,"St. John's, Fla.",Univ. of South Florida,,,
43,,30.0,Dakota Chapman,TE,6-2,232.0,Gr.,"McCalla, Ala.",Jacksonville State University,,,
44,,30.0,Harrison Weathington,K,6-2,189.0,Fr.,"Huntsville, Ala.",Randolph School,,,
45,,31.0,Landon Guidry,S,6-0,197.0,Sr.,"Spring Hill, Tenn.",Mississippi State Univ.,,,
46,,31.0,Camden Simons,TE,6-4,208.0,So.,"Westfield, Ind.",Westfield HS,,,
47,,32.0,Noah Martin,LB,6-1,224.0,Jr.,"Chattanooga, Tenn.",The Baylor School,,,
48,,33.0,Caleb Durham-Honer,WR,5-10,196.0,Jr.,"San Antonio, Texas",Texas Tech,,,
49,,34.0,Miller Karrh,CB,5-11,185.0,So.,"Little Rock, Ark.",Little Rock Christian Academy,,,
50,,35.0,Joseph Mera,DE,6-2,257.0,Sr.,"Fort Myers, Fla.",Bishop Verot HS,,,
51,,35.0,Nick Speros,WR,5-10,163.0,So.,"Alpharetta, Ga.",Mount Pisgah Christian School,,,
52,,36.0,Cade Funderburk,WR,6-0,182.0,Fr.,"Suwanee, Ga.",North Gwinnett HS,,,
53,,37.0,Peyton Ringer,WR,5-6,153.0,Sr.,"Lithonia, Ga.",The Lovett School,,,
54,,38.0,Fred Flavors,DB,5-9,153.0,Jr.,"Atmore, Ala.",Huntingdon College,,,
55,,38.0,Tre Henry,RB,5-9,173.0,Fr.,"Atlanta, Ga.",Greater Atlanta Christian,,,
56,,39.0,Gavin Morris,LB,6-1,207.0,Fr.,"Cumming, Ga.",South Forsyth HS,,,
57,,40.0,Wade White,S,6-0,191.0,Jr.,"Prattville, Ala.",Prattville HS,,,
58,,42.0,Gage Geren,WR,5-11,172.0,Fr.,"Louisville, Ky.",Christian Academy of Louisville,,,
59,,42.0,Jordan Russell,LB,6-0,213.0,So.,"Birmingham, Ala.",Georgia State Univ.,,,
60,,43.0,Daniel Bethel,K,6-1,195.0,So.,"Clinton, Tenn.",Univ. of Tennessee,,,
61,,44.0,Tay Berry,DT,6-2,281.0,Gr.,"Flora, Miss.",Madison Central HS,,,
62,,45.0,Thomas Neville,LB,6-3,209.0,Jr.,"Loganville, Ga.",Dunwoody HS,,,
63,,47.0,Jalen Henderson,RB,5-11,198.0,Jr.,"Hoover, Ala.",Mississippi College,,,
64,,48.0,Nour Tayara,WR,6-0,190.0,So.,"Pass Christian, Miss.",St. Olaf (MN),,,
65,,49.0,Henry Bishop,K,6-2,187.0,So.,"Spartanburg, S.C.",Spartanburg HS,,,
66,,49.0,John Collins,RB,5-9,188.0,Fr.,"Dora, Ala.",Walker HS,,,
67,,51.0,Tate Taylor,P/LB,6-0,218.0,So.,"Nashville, Tenn.",Lipscomb Academy,,,
68,,52.0,Johnerio Holt,DL,6-3,265.0,Fr.,"Athens, Ga.",Athens Academy,,,
69,,54.0,Luke Byrne,OL,6-4,307.0,Jr.,"Forsyth, Ga.",Mary Persons HS,,,
70,,55.0,Johnny Johnson,DE,6-1,236.0,So.,"St. Amant, La.",St. Amant HS,,,
71,,56.0,Aidan Barr,LS,6-0,203.0,Fr.,"West Palm Beach, Fla.",Cardinal Newman HS,,,
72,,57.0,Cooper Frazier,OL,6-4,305.0,Jr.,"Corinth, Miss.",Corinth HS,,,
73,,58.0,Chris Noble,OL,6-4,261.0,Jr.,"Brewton, Ala.",UAB,,,
74,,59.0,Zach Williams,K,5-8,182.0,Sr.,"Louisville, Ky.",North Texas,,,
75,,60.0,Alex Jarrell,LB,6-5,200.0,Fr.,"Spanish Fort, Ala.",Spanish Fort HS,,,
