,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown / High School,Previous School,Image,Name,Title
0,,2.0,Eric Haney,CB,5-10,180.0,Jr.,"Peoria, AZ / Centennial",,,,
1,,3.0,Zion Lucia,WR,5-11,175.0,Jr.,"San Diego, CA / Cathedral Catholic",Washington State,,,
2,,4.0,Zamir Wallace,CB,6-1,180.0,Sr.,"Fairfield, CA / De La Salle",,,,
3,,5.0,Joshua Hong,S,6-1,180.0,R-Sr.,"Las Vegas, NV / Faith Lutheran",,,,
4,,6.0,Hunter Nichols,S,6-0,185.0,Gr.,"Los Angeles, CA / Calabasas",,,,
5,,7.0,Amir Wallace,CB,6-0,175.0,Sr.,"Fairfield, CA / De La Salle",,,,
6,,8.0,Judd Erickson,QB,6-4,225.0,Gr.,"Highlands Ranch, CO / Mountain Vista High School",Colorado State,,,
7,,9.0,Michael Carner,WR,6-1,190.0,R-Sr.,Westlake Village / Westlake,,,,
8,,10.0,Tanner Jellison,QB,6-4,180.0,So.,"Lake Stevens, WA / Lake Stevens",,,,
9,,11.0,Re-al Mitchell,QB,6-0,210.0,R-Jr.,"Eastvale, CA / St. John Bosco",Temple,,,
10,,12.0,Grant Sergent,QB,6-2,212.0,R-Jr.,"Salinas, CA / Palma",,,,
11,,13.0,Christian Brown,WR,5-9,175.0,R-Sr.,"Gig Harbor, WA / Bellarmine Prep",,,,
12,,14.0,Trevor Kan,CB,6-0,185.0,Jr.,"Honolulu, HI / Iolani",,,,
13,,15.0,Isaiah Smith,RB,5-9,190.0,Jr.,"Oakland, CA / Encinal",,,,
14,,16.0,Daniel Duran,QB,5-11,200.0,Fr.,"Ventura, CA / Sierra Canyon",,,,
15,,17.0,Pablo Tager,K,6-2,190.0,So.,"Houston, TX / St. Thomas",,,,
16,,18.0,Josh Heverly,WR,6-1,200.0,So.,"Pleasanton, CA / Amador Valley",,,,
17,,19.0,Trevor Appelman,QB,6-5,,So.,"Chula Vista, CA / Mater Dei",New Mexico State,,,
18,,20.0,Brandon Eickert,K,6-1,180.0,Sr.,"St. Charles, IL / St. Charles North",,,,
19,,21.0,Deshaun Harvey,S,6-0,190.0,R-Sr.,"Long Beach, CA / St. Anthony",,,,
20,,22.0,Maverick Martin,S,6-1,205.0,Jr.,"San Marcos, CA / San Marcos",,,,
21,,23.0,Paliku Kamaka,SAF,6-0,175.0,So.,"Kailua, HI / Kamehameha",,,,
22,,24.0,Nick Murray,CB,5-11,175.0,So.,"Stockton, CA / Saint Mary's",,,,
23,,25.0,Rashaan Ward,WR,5-7,140.0,R-Jr.,"Salinas, CA / Carmel",,,,
24,,26.0,Aidan Lehman,K,6-0,170.0,So.,"Littleton, CO / J.K. Mullen",,,,
25,,27.0,Xavier Van,WR,6-1,175.0,Fr.,"La Mesa, CA / Helix",,,,
26,,28.0,Chris Childers,RB,6-2,195.0,R-Sr.,"Matteson, IL / St. Rita",Indiana,,,
27,,29.0,Noah Miles,CB,5-10,175.0,R-So.,"Seattle, WA / O'Dea",,,,
28,,31.0,Logan Gingg,RB,5-10,200.0,So.,"Buckeye, AZ / Verrado",,,,
29,,32.0,Javon Sturns,RB,5-11,202.0,Gr.,"East Palo Alto, CA / Valley Christian",De Anza College,,,
30,,33.0,Rhyle Hanson,RB,5-11,170.0,R-Jr.,"Ogden, UT / Ogden",,,,
31,,34.0,Elijah Henderson,WR,6-2,190.0,Sr.,"Cameron Park, CA / Ponderosa",,,,
32,,35.0,Ezekiel Swayne,CB,6-0,180.0,Fr.,"Clovis, CA / Buchanan",,,,
33,,36.0,James Scott,RB,5-9,205.0,Fr.,"Peoria, AZ / Centennial",,,,
34,,37.0,David Ambagtsheer,LB,6-2,210.0,R-Sr.,"San Diego, CA / Saint Augustine",,,,
35,,38.0,Dana White III,S,5-11,185.0,R-So.,"Las Vegas, NV / Faith Lutheran",,,,
36,,39.0,Trey Ortega,SAF,5-11,185.0,So.,"Rio Rancho, NM / V. Sue Cleveland",,,,
37,,40.0,Nick Guerena,S,5-11,180.0,Jr.,"San Diego, CA / Cathedral Catholic",Montana,,,
38,,41.0,TJ Roelen,TE,6-0,210.0,R-So.,"Mission Viejo, CA / Mission Viejo",,,,
39,,42.0,Ryan Meloche,S,6-0,180.0,Fr.,"Phoenix, AZ / Pinnacle",,,,
40,,43.0,Dylan Lawson,TE,6-4,220.0,Fr.,"Fullerton, CA / Sunny Hills",,,,
41,,44.0,Jerry Riggins,NB,5-11,215.0,So.,"San Diego, CA / Helix Charter",,,,
42,,45.0,Zane Fullmer,TE,6-4,230.0,Fr.,"Williamsport, PA / Windermere",,,,
43,,46.0,Garrett Carney,LB,6-1,205.0,Jr.,"Sammamish, WA / Eastlake",,,,
44,,47.0,Peyton Smith,TE,6-4,240.0,Fr.,"Rocklin, CA / Rocklin",,,,
45,,48.0,Ruben Lopez,S,6-0,180.0,Fr.,"Mission Viejo, CA / Mission Viejo",,,,
46,,49.0,Logan Snead,LB,6-1,220.0,R-Jr.,"Eufaula, AL / Eufaula",Virginia,,,
47,,51.0,Landon Toll,LB,6-0,195.0,So.,"Rancho Cucamonga, CA / Rancho Cucamonga",,,,
