,Statistic,Image,#,Full Name,Pos.,Ht.,Wt.,Class,Current School Name,Hometown,High School,Name,Title
0,,,10.0,Ibrahim Hassan,DB,6-1,180.0,So.,Southeastern Louisiana,"Irving, Texas",MacArthur HS,,
1,,,10.0,Maurice Massey,WR,6-3,195.0,R-So.,Southeastern Louisiana,"St. Louis, Mo.",Kirkwood HS,,
2,,,11.0,Kody Finley,WR,6-5,190.0,Rf.,Southeastern Louisiana,"Ponchatoula, La.",Ponchatoula HS,,
3,,,11.0,Kunta Hester,DB,6-0,175.0,Jr.,Southeastern Louisiana,"New Orleans, La.",John Ehret HS,,
4,,,12.0,Cammon Cooper,QB,6-5,210.0,Sr.,Southeastern Louisiana,"Lehi, Utah",Lehi HS,,
5,,,12.0,Markell Linzer,DB,5-11,180.0,R-So.,Southeastern Louisiana,"New Iberia, La.",New Iberia HS,,
6,,,13.0,Herman Christophe,LB,5-11,225.0,Sr.,Southeastern Louisiana,"Plaquemine, La.",Plaquemine HS,,
7,,,13.0,Zachary Clement,QB,6-0,200.0,Jr.,Southeastern Louisiana,"Broussard, La.",Lafayette Christian Academy,,
8,,,15.0,Jacob Logan,TE,6-3,240.0,R-Sr.,Southeastern Louisiana,"Deer Park, Texas",Deer Park HS,,
9,,,16.0,Justin Dumas,DB,6-1,205.0,R-So.,Southeastern Louisiana,"LaPlace, La.",St. Charles Catholic HS,,
10,,,17.0,Mike Newton Jr.,DB,5-11,180.0,Fr.,Southeastern Louisiana,"Marrero, La.",Archbishop Shaw HS,,
11,,,18.0,Coryell Pierce,DB,5-11,175.0,Jr.,Southeastern Louisiana,"New Orleans, La.",Booker T. Washington HS,,
12,,,19.0,Eli Sawyer,QB,6-2,215.0,R-So.,Southeastern Louisiana,"Vestavia Hills, Ala.",Vestavia Hills HS,,
13,,,19.0,TaQuan Thomas,DB,6-0,185.0,R-So.,Southeastern Louisiana,"New Orleans, La.",Kennedy HS,,
14,,,20.0,Dominic Lamm,LB,6-1,200.0,R-Jr.,Southeastern Louisiana,"New Orleans, La.",Holy Cross HS,,
15,,,21.0,Tyler Mansfield,DB,5-11,160.0,So.,Southeastern Louisiana,"Grambling, La.",Ruston HS,,
16,,,21.0,Johnathan Vaughn,RB,5-10,185.0,R-Fr.,Southeastern Louisiana,"Meridian, Miss.",Meridian HS,,
17,,,22.0,Harlan Dixon,RB,6-1,210.0,Jr.,Southeastern Louisiana,"Slidell, La.",Slidell HS,,
18,,,22.0,Skylon Jean-Louis,DB,5-11,205.0,Fr.,Southeastern Louisiana,"New Orleans, La.",Edna Karr HS,,
19,,,23.0,Blayne Delahoussaye,DB,5-10,165.0,R-So.,Southeastern Louisiana,"New Iberia, La.",Westgate HS,,
20,,,24.0,Varon Douglas,DB,6-4,195.0,Rf.,Southeastern Louisiana,"Baton Rouge, La.",Mentorship Academy,,
21,,,25.0,Ian Goodly,DB,6-0,175.0,So.,Southeastern Louisiana,"Covington, La.",Covington HS,,
22,,,26.0,Austin Dunlap,P,6-1,180.0,Sr.,Southeastern Louisiana,"Slidell, La.",Northshore HS,,
23,,,27.0,Donte' Daniels,LB,5-11,195.0,Jr.,Southeastern Louisiana,"Slidell, La.",Slidell HS,,
24,,,28.0,Tyrone Legette,DB,5-10,175.0,Sr.,Southeastern Louisiana,"New Orleans, La.",John Curtis HS,,
25,,,29.0,Robert Buquoi,DB,6-2,205.0,R-Jr.,Southeastern Louisiana,"Covington, La.",St. Paul's HS,,
