,Statistic,#,Full Name,Pos.,Ht.,Wt.,Class,Year,Current School Name,Hometown,High School,Previous School,Image,Name,Title
0,,0.0,Clayton Bush,S,6-0,195.0,Sr.,5th,Southern Illinois,"Bowling Green, Ky.",South Warren,Western Kentucky,,,
1,,1.0,Iverson Brown,S,6-1,205.0,Sr.,5th,Southern Illinois,"Belleville, Ill.",Althoff Catholic,Illinois State,,,
2,,1.0,Ro Elliott,RB,5-6,174.0,Sr.,5th,Southern Illinois,"Indianapolis, Ind.",Warren Central,,,,
3,,2.0,D’Ante’ Cox,WR,5-11,177.0,Sr.,6th,Southern Illinois,"Rochester, Ill.",Rochester,Missouri Baptist,,,
4,,3.0,Jaelin Benefield,RB,5-10,170.0,Jr.,5th,Southern Illinois,"Pearland, Texas",Pearland,Eastern Illinois,,,
5,,3.0,David Miller,CB,6-1,185.0,Jr.,5th,Southern Illinois,"Columbus, Oh.",Gahanna Lincoln,Navy,,,
6,,4.0,PJ Jules,S,6-3,193.0,Sr.,5th,Southern Illinois,"Orlando, Fla.",Jones,,,,
7,,5.0,Izaiah Hartrup,WR,6-0,185.0,Jr.,4th,Southern Illinois,"O’Fallon, Mo.",Fort Zumwalt North,,,,
8,,5.0,Quentin Hunter-Colvin,S,6-2,195.0,So.,3rd,Southern Illinois,"Apex, N.C.",Apex,Monroe College,,,
9,,6.0,Justin Strong,RB,6-0,213.0,Sr.,6th,Southern Illinois,"Fairview Heights, Ill.",Althoff Catholic,,,,
10,,7.0,Ubayd Steed,S,5-11,180.0,Jr.,5th,Southern Illinois,"Philadelphia, Pa.",Neumann-Goretti,Towson State,,,
11,,8.0,Nic Baker,QB,5-9,204.0,Sr.,6th,Southern Illinois,"Rochester, Ill.",Rochester,,,,
12,,8.0,Dune Smith,LB,5-10,205.0,Jr.,5th,Southern Illinois,"Miami, Fla.",Northwestern H.S.,Pittsburgh,,,
13,,9.0,DJ Johnson,CB,6-0,173.0,Sr.,6th,Southern Illinois,"Indianapolis, Ind.",North Central,Iowa/Purdue,,,
14,,10.0,Zach Burrola,LB,6-1,221.0,Sr.,5th,Southern Illinois,"Las Vegas, Nev.",Redlands (Calif.),Riverside City College,,,
15,,10.0,Michael Lindauer,QB,6-3,202.0,Jr.,5th,Southern Illinois,"Evansville, Ind.",Reitz Memorial,Cincinnati,,,
16,,11.0,Vinson Davis III,WR,5-7,165.0,So.,3rd,Southern Illinois,"Miramar, Fla.",American Heritage Plantation,Charleston Southern,,,
17,,12.0,Branson Combs,LB,6-3,224.0,Jr.,5th,Southern Illinois,"Evansville, Ind.",Reitz Memorial,,,,
18,,12.0,Zach Zebrowski,QB,6-2,198.0,Jr.,5th,Southern Illinois,"Woodbury, Minn.",East Ridge,,,,
19,,13.0,Jay Jones,WR,6-3,201.0,So.,4th,Southern Illinois,"St. Louis, Mo.",Carnahan,,,,
20,,14.0,Zach Gibson,WR,6-4,214.0,Jr.,4th,Southern Illinois,"Romeoville, Ill.",Romeoville,,,,
21,,15.0,Daelin DeGraffenreid,WR,6-2,195.0,So.,3rd,Southern Illinois,"Bakersfield, Calif.",Ridgeview,City College of San Francisco,,,
