,Statistic,#,Full Name,Pos.,Academic Year,Ht.,Wt.,Hometown / High School,Current School Name,Image,Name,Title
0,,1.0,Gabriel Abel,RB,So.,5-9,191.0,"Trenton, N.J. / Salisbury School",St. Thomas,,,
1,,1.0,Logan Cassady,DB,So.,6-1,183.0,"Truro, Iowa / Interstate 35 High",St. Thomas,,,
2,,2.0,Sanjay Redd,DB,So.,5-10,162.0,"St. Paul, Minn. / Minnehaha Academy (SMB)",St. Thomas,,,
3,,3.0,Grif Wurtz,DB,Sr.,5-11,193.0,"Chaska, Minn. / Chaska",St. Thomas,,,
4,,4.0,Hope Adebayo,RB,Jr.,5-8,196.0,"Inver Grove Heights, Minn. / Simley",St. Thomas,,,
5,,5.0,Johnson Fallah,DB,5th,6-2,182.0,"Brooklyn Park, Minn. / Osseo",St. Thomas,,,
6,,6.0,Yusef Leak,DB,Jr.,6-0,178.0,"Orlando, Fla. / Master's Academy",St. Thomas,,,
7,,7.0,Amari Powell,QB,So.,6-1,188.0,"Valencia, Calif. / Chaminade College Prep",St. Thomas,,,
8,,8.0,Rod Finley,DB,So.,5-10,192.0,"Farmington, Minn. / Farmington",St. Thomas,,,
9,,8.0,Wesley Juszczak,WR,Sr.,6-4,217.0,"Mukwonago, Wis. / Mukwonago",St. Thomas,,,
10,,9.0,Tyree Gardner,DB,So.,6-2,195.0,"Waterloo, Iowa / West",St. Thomas,,,
11,,9.0,Jacob WIldermuth,WR,Sr.,6-4,208.0,"Plymouth, Minn. / Wayzata",St. Thomas,,,
12,,10.0,Travis Plugge,QB,So.,6-5,217.0,"Bakersfield, Calif. / Garces Memorial",St. Thomas,,,
13,,10.0,Ryan Sever,LB,So.,6-1,217.0,"Edina, Minn. / Benilde-St. Margaret's",St. Thomas,,,
14,,11.0,Bryce Boyd,WR,So.,6-4,207.0,"Shakopee, Minn. / Holy Angels",St. Thomas,,,
15,,11.0,Den Juette,DB,So.,6-2,186.0,"Chicago, Ill. / Fenwick",St. Thomas,,,
16,,12.0,Ben Audette,WR,So.,6-1,212.0,"Andover, Minn. / Andover",St. Thomas,,,
17,,13.0,Branden Smith,DB,R-So.,6-3,193.0,"Las Vegas, Nev. / Cimarron-Memorial",St. Thomas,,,
18,,15.0,David Ayeni,LB,Jr.,6-1,223.0,"Anoka, Minn. / Anoka",St. Thomas,,,
19,,16.0,Mitchell Schares,DB,So.,6-4,191.0,"Cedar Rapids, Iowa / Kennedy",St. Thomas,,,
20,,16.0,Lucas Torgerson,WR,Sr.,6-2,201.0,"Turtle Lake, Wis. / Turtle Lake",St. Thomas,,,
21,,17.0,Andrew McElroy,WR,Jr.,6-3,184.0,"Bolingbrook, Ill. / Bolingbrook",St. Thomas,,,
22,,17.0,Jordan Pendleton,DB,So.,6-3,201.0,"Memphis, Tenn. / Lausanne Collegiate School",St. Thomas,,,
23,,18.0,Kam In,DB,Sr.,6-1,196.0,"Arlington, Minn. / Sibley East",St. Thomas,,,
24,,19.0,Luke Herzog,LB,Jr.,6-2,232.0,"Mendota Heights, Minn. / St. Thomas Academy",St. Thomas,,,
25,,20.0,Owen Kanzler,RB,So.,6-,195.0,"Rogers, Minn. / Rogers",St. Thomas,,,
26,,21.0,Andrew Thomas,WR,Sr.,6-2,191.0,"Green Bay, Wis. / Bay Port",St. Thomas,,,
27,,22.0,Ryan Calcagno,DB,So.,6-3,190.0,"St. Charles, Ill. / St. Francis",St. Thomas,,,
28,,24.0,Colin Chase,WR,So.,6-1,184.0,"Orange County, Calif. / St. John Bosco",St. Thomas,,,
29,,24.0,Colin Zinn,DB,So.,6-0,180.0,"Woodstock, Ill. / Woodstock North",St. Thomas,,,
30,,25.0,Matthew Guggemos,DB,Sr.,6-0,207.0,"Eden Prairie, Minn. / Benilde-St. Margaret's",St. Thomas,,,
31,,26.0,Shawn Shipman,RB,Jr.,6-0,204.0,"Brooklyn Park, Minn. / Champlin Park",St. Thomas,,,
32,,27.0,Gus Theisen,RB,So.,5-10,207.0,"Eau Claire, Wis. / Regis Eau Claire",St. Thomas,,,
33,,28.0,IBK Mafe,LB,Jr.,6-2,227.0,"Blaine, Minn. / Blaine",St. Thomas,,,
34,,29.0,Nick Hand,DB,Jr.,6-3,204.0,"Rogers, Minn. / Totino-Grace",St. Thomas,,,
35,,29.0,Jarred Zuehl,RB,So.,-,,"Maple Grove, Minn. / Orange Lutheran High School",St. Thomas,,,
36,,30.0,Kolby Gartner,P,Sr.,6-2,217.0,"St. Michael, Minn. / St. Michael-Albertville",St. Thomas,,,
37,,31.0,Caden Nelson,LB,Jr.,6-2,220.0,"Waunakee, Wis. / Waunakee",St. Thomas,,,
38,,32.0,Landon Reed,RB,Jr.,6-0,228.0,"Naples, Fla. / Community",St. Thomas,,,
39,,33.0,Malaki-Milton Jackson,LB,Sr.,6-1,222.0,"Plymouth, Minn. / Wayzata",St. Thomas,,,
40,,34.0,Brandon Liston,RB,Sr.,5-10,231.0,"Lombard, Ill. / Montini",St. Thomas,,,
41,,34.0,Tommy Shelstad,LB,5th,5-10,229.0,"Bloomington, Minn. / Holy Angels",St. Thomas,,,
42,,35.0,Charlie Boucher,LB,So.,6-2,231.0,"Minneapolis, Minn. / Southwest",St. Thomas,,,
43,,36.0,Nick Flaskamp,RB,Jr.,5-11,222.0,"Minneapolis, Minn. / Southwest",St. Thomas,,,
44,,39.0,Stephen Shagen,K,So.,6-0,176.0,"Park City, Utah / Park City",St. Thomas,,,
45,,40.0,Jack Mohler,LB,Sr.,6-1,223.0,"Woodbury, Minn. / East Ridge",St. Thomas,,,
46,,41.0,Jonathan Bunce,LB,Jr.,6-3,239.0,"Edina, Minn. / Edina",St. Thomas,,,
47,,42.0,Evan Tyler,DL,So.,6-3,240.0,"Hudson, Wis. / Hudson",St. Thomas,,,
48,,43.0,Nick Stanger,LB,Sr.,6-3,221.0,"Chaska, Minn. / Chaska",St. Thomas,,,
49,,44.0,Grant Achterkirch,LB,So.,6-2,213.0,"Owatonna, Minn. / Owatonna",St. Thomas,,,
50,,45.0,Jack Francl,LS,Jr.,6-0,207.0,"Omaha, Neb. / Creighton Prep",St. Thomas,,,
51,,46.0,Seth Bullard,LB,So.,6-0,220.0,"Castroville, Texas / Medina Valley",St. Thomas,,,
52,,46.0,Delainey Suraju,DL,So.,6-0,252.0,"Elko New Market, Minn. / Lakeville South",St. Thomas,,,
53,,47.0,Grant Gerber,LB,Jr.,6-2,226.0,"Eau Claire, Wis. / Memorial",St. Thomas,,,
54,,50.0,Alex Kuntz,OL,5th,5-11,272.0,"St. Paul, Minn. / St. Thomas Academy",St. Thomas,,,
55,,56.0,Duncan Sprengel,OL,So.,6-2,285.0,"Pasadena, Calif. / St. Francis",St. Thomas,,,
56,,59.0,Aaron Arnold,OL,Sr.,6-7,292.0,"Minneapolis, Minn. / Minnehaha Academy (SMB)",St. Thomas,,,
57,,62.0,Lucas Cannon,OL,So.,6-5,286.0,"Green Bay, Wis. / Luxemburg-Casco",St. Thomas,,,
