,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Current School Name,Previous School,Twitter,Instagram,Image,Title
0,,0.0,Karate Brenson,WR,6-2,217.0,R-So.,"St. Louis, Mo. / Christian Brothers College",Tennessee State,Ball State,,,,
1,,0.0,Bryce Phillips,CB,6-1,185.0,So.,"Orange, Calif. / Orange Lutheran",Tennessee State,Santa Ana College,,,,
2,,1.0,Gerand Turner,WR,6-0,205.0,Jr.,"Miami, Fla. / South Miami Senior",Tennessee State,,,,,
3,,2.0,Jashon Watkins,CB,6-4,200.0,R-Jr.,"Memphis, Tenn. / East Nashville Magnet",Tennessee State,Memphis,,,,
4,,4.0,Chayil Garnett,QB,6-2,225.0,R-Jr.,"Lakeland, Fla. / Lake Wales",Tennessee State,Auburn,,,,
5,,4.0,K'Vaughan Pope,LB,6-1,225.0,Gr.,"Dinwiddie, Va. / Dinwiddie",Tennessee State,Ohio State,,,,
6,,5.0,Dayron Johnson,WR,5-9,180.0,Sr.,"Springfield, Tenn. / Springfield",Tennessee State,,,,,
7,,6.0,Josh Green,S,5-11,190.0,Sr.,"Orlando, Fla. / Olympia",Tennessee State,,,,,
8,,7.0,Ken Andrews,LB,6-3,222.0,Jr.,"Baton Rouge, La. / Southern Lab",Tennessee State,,,,,
9,,7.0,Draylen Ellis,QB,6-0,175.0,Sr.,"Olive Branch, Miss. / Kirby",Tennessee State,Austin Peay,,,,
10,,8.0,Deveon Bryant,QB,6-5,225.0,R-Sr.,"Bellwood, Ill. / Proviso West",Tennessee State,,,,,
11,,8.0,James Green,LB,6-1,220.0,Gr.,"Orlando, Fla. / Olympia",Tennessee State,,,,,
12,,9.0,Terrell Allen,DL,6-0,275.0,Sr.,"North Little Rock, Ark. / North Little Rock",Tennessee State,Austin Peay,T3RR3LL_ALL3N,_t.3rr3ll,,
13,,9.0,Heath Williams Jr,QB,6-0,205.0,R-Sr.,"Clarksville, Tenn. / Northeast",Tennessee State,,,,,
14,,10.0,Fondren Hollis III,DB,5-11,175.0,R-Jr.,"Decatur, Ga. / Columbia",Tennessee State,,,,,
15,,12.0,Edwin Rhodes III,QB,6-1,211.0,Jr.,"Miami, Fla. / American Heritage",Tennessee State,,,,,
16,,12.0,Dion Villiers,DB,5-11,165.0,So.,"Lakeland, Fla. / Lake Gibson",Tennessee State,,,,,
17,,13.0,Dylan King,DB,6-3,190.0,So.,"Murfreesboro, Tenn. / Oakland",Tennessee State,,,,,
18,,14.0,Da'Shon Davis,WR,5-11,195.0,Sr.,"Quincy, Fla. / Jefferson County",Tennessee State,,,,,
19,,15.0,Ken Garlington,DB,5-9,185.0,Gr.,"Antioch, Tenn. / Brentwood Academy",Tennessee State,,,,,
20,,16.0,John Roberts IV,WR,6-0,175.0,So.,"Nashville, Tenn. / Tennessee Valley Prep",Tennessee State,,,,,
21,,17.0,Austin Yelder,LB,6-1,215.0,So.,"Montgomery, Ala. / Lee",Tennessee State,,,,,
22,,19.0,Tony Amerson,RB,5-11,218.0,Gr.,"Montgomery, Ala. / St. James School",Tennessee State,Georgia Tech,,,,
23,,20.0,Tre Boone III,RB,6-0,195.0,Jr.,"Clinton, Md. / St. Stevens-St. Agnus School",Tennessee State,,,,,
24,,21.0,Jordan Helton,S,6-1,200.0,Jr.,"Memphis, Tenn. / Memphis Univ. School",Tennessee State,,,,,
25,,22.0,Jalen Rouse,RB,5-11,185.0,Jr.,"Richmond Hill, Ga. / Richmond Hill",Tennessee State,,,,,
26,,23.0,Boogie Trotter,CB,5-9,170.0,So.,"Nashville, Tenn. / Pearl-Cohn",Tennessee State,,,,,
27,,26.0,Chancellor Lorick,CB,5-10,175.0,So.,"Columbia, S.C. / Lipscomb Academy",Tennessee State,,,,,
28,,27.0,Marcellious Lockett,DB,5-8,162.0,Sr.,"Lithonia, Ga. / Martin Luther King Jr.",Tennessee State,,,,,
29,,28.0,Jalen McClendon,DB,6-0,170.0,Jr.,"Tampa, Fla. / Chamberlain",Tennessee State,,,,,
30,,29.0,Jordan Gant,RB,5-10,205.0,So.,"Lakeland, Fla. / Kathleen",Tennessee State,,,,,
31,,30.0,Darius Harper,DB,6-0,185.0,Gr.,"Brentwood, Tenn. / Ravenwood",Tennessee State,Campbellsville,,,,
32,,31.0,Micah Gay,LB,6-1,200.0,So.,"Johns Creek, Ga. / Johns Creek",Tennessee State,,,,,
33,,32.0,Mack Guice III,CB,5-11,170.0,Gr.,"Huntsville, Ala. / Madison Co.",Tennessee State,Kentucky Wesleyan,,,,
34,,33.0,Dorian George,CB,6-0,192.0,Jr.,"Memphis, Tenn. / Germantown",Tennessee State,,,,,
35,,35.0,Rodricus Jones,OLB,6-2,221.0,So.,"Birmingham, Ala. / Huffman",Tennessee State,,,,,
36,,36.0,Zachery Drake,DB,6-0,170.0,Jr.,"Nashville, Tenn. / Maplewood",Tennessee State,,,,,
37,,38.0,Amari LeFlore,S,5-10,180.0,Jr.,"Ridgeland, Miss. / St. Andrews Episcopal",Tennessee State,,,,,
38,,39.0,Logan McGraw,LB,5-11,220.0,So.,"Wyandotte, Mich. / Roosevelt",Tennessee State,,,,,
39,,43.0,Kamden Edwards,TE,5-10,225.0,R-So.,"Chattanooga, Tenn. / Tyner Academy",Tennessee State,,,,,
40,,44.0,Craig Cunningham,RB,5-10,190.0,So.,"Memphis, Tenn. / Lausanne Collegiate",Tennessee State,,,,,
41,,45.0,Jaylen Moore,LB,6-2,200.0,R-So.,"Smyrna, Tenn. / Stewarts Creek",Tennessee State,Bethel,,,,
42,,46.0,Kobie Stillwell,P,6-4,190.0,R-So.,"Columbus, Ohio / Fork Union",Tennessee State,,,,,
43,,47.0,Ahmad Nelson,LB,6-2,225.0,Jr.,"Birmingham, Ala. / Minor",Tennessee State,,,,,
44,,48.0,Chris Walker,DL,6-4,226.0,Jr.,"Sanford, Fla. / Seminole",Tennessee State,,,,,
45,,52.0,Carson Buchanan,LS,6-0,265.0,Jr.,"Nashville, Tenn. / Antioch",Tennessee State,,,,,
46,,56.0,Elijah Hill,LB,6-2,210.0,Jr.,"Zachary, La. / Zachary",Tennessee State,,,,,
47,,61.0,Kennedy Wilbert,OL,6-1,293.0,Sr.,"Memphis, Tenn. / Middle College",Tennessee State,,,,,
48,,62.0,Chazan Page,OL,6-1,293.0,Jr.,"Nashville, Tenn. / Lipscomb Academy",Tennessee State,,,,,
