,Statistic,Name,Pos.,Ht.,Wt.,Year,Hometown,High School,Previous School,Image,Title
0,,Emmanuel Adagbon,K/P,5-10,195.0,Sr.,"Mesquite, Texas",Mesquite Horn HS,,,
1,,McKenzie Agnello,OL,6-5,293.0,So.,"Copperas Cove, Texas",Copperas Cove HS,,,
2,,King Ambers,DB,6-2,187.0,Sr.,"Pickering, Ontario, Canada",West Toronto Prep,New Mexico Military Institute,,
3,,Kyree Anderson,DB,5-10,200.0,So.,"Cypress, Texas",Cy Lakes HS,,,
4,,Reggie Branch,RB,5-11,195.0,So.,"Houston, Texas",Crosby HS,Incarnate Word,,
5,,"Patrick Brown, Jr.",DL,5-10,275.0,So.,"Sugar Land, Texas",Fort Bend Travis HS,,,
6,,Kyle Bruce,OL,6-4,315.0,Jr.,"Florence, Miss.",Florence HS,Mississippi Gulf Coast CC,,
7,,Prudencio Calderon,DB,5-11,213.0,Sr.,"San Marcos, Texas",San Marcos HS,Rice,,
8,,James Clark III,OL,6-4,264.0,Jr.,"Dallas, Texas",Bishop Dunne HS,,,
9,,Casey Curtin,TE,6-3,227.0,So.,"Rockwall, Texas",Heath HS,Southern Arkansas,,
10,,Kiran Curtis,DL,6-1,326.0,So.,"Magnolia, Texas",Magnolia HS,,,
11,,Elias De Leon,OL,6-4,310.0,Jr.,"Little Elm, Texas",Little Elm HS,Bethune-Cookman,,
12,,Jewelz-Unique Demps,DB,5-8,172.0,So.,"Forney, Texas",North Forney HS,,,
13,,Zadock Dinkelmann,QB,6-3,243.0,Sr.,"Somerset, Texas",Somerset HS,Texas A&M-Kingsville,,
14,,Chandler Donaway,OL,6-1,268.0,So.,"Klein, Texas",Klein Oak HS,,,
15,,Davotrick Dotrey,DB,5-10,178.0,Jr.,"Longview, Texas",Longview HS,Southwestern Oklahoma State,,
16,,Javotrick Dotrey,DB,5-11,171.0,Jr.,"Longview, Texas",Longview HS,Southwestern Oklahoma State,,
17,,Levi Drake Rodriguez,DL,6-1,269.0,Sr.,"Georgetown, Texas",East View HS,SAGU,,
18,,Brendan Easley,WR,6-2,186.0,Sr.,"Orlando, Fla.",East River HS,Morgan State,,
19,,Jaden Edmondson,OL,5-11,293.0,So.,"Manvel, Texas",Manvel HS,,,
20,,Peyton Ellis,OL,6-4,314.0,So.,"Bullard, Texas",Bullard HS,,,
21,,Max Epps,DB,5-11,189.0,Jr.,"Spring, Texas",Dekaney HS,,,
22,,Orvis Fowler,TE,6-2,180.0,So.,"Houston, Texas",Waltrip HS,,,
23,,Darlington Frasch,RB,5-7,196.0,So.,"San Antonio, Texas",Smithson Valley HS,,,
24,,Xayvion Fuller,DL,6-2,235.0,So.,"Dallas, Texas",South Oak Cliff HS,,,
25,,Clifford Funderburk,DL,6-2,235.0,Jr.,"Forney, Texas",North Forney HS,,,
26,,Dorian Gates,DL,6-4,213.0,So.,"Spring, Texas",Klein Oak HS,,,
27,,"George Gipson, Jr.",DB,5-9,178.0,Jr.,"Grand Prairie, Texas",Grand Prairie HS,,,
28,,Matthew Goldman,LB,6-2,215.0,Fr.,"Frisco, Texas",Independence HS,,,
29,,Anthony Gray,DL,6-0,282.0,So.,"Duncanville, Texas",Duncanville HS,,,
30,,Dawson Hearne,TE,6-3,230.0,So.,"Cisco, Texas",Cisco HS,,,
31,,Juan Henry,DL,6-0,250.0,Sr.,"Kenner, La.",Steele HS,Sam Houston,,
32,,DeMareus Hosey,RB,5-10,200.0,Jr.,"Houston, Texas",Northwest HS,Montana State,,
33,,Sloan Hubert,TE,6-3,250.0,Fr.,"El Campo, Texas",El Campo HS,,,
34,,Kion Hurd,LB,5-8,217.0,So.,"Columbus, Texas",Columbus HS,,,
35,,Jadin Jones,OL,6-4,288.0,Jr.,"Killeen, Texas",Killeen HS,,,
36,,Gerard Joseph,DL,6-5,254.0,So.,"New Orleans, La.",Dobie HS,UTEP,,
37,,Relvin Kelly,DB,6-0,180.0,Fr.,"Dallas, Texas",Pinkston HS,,,
38,,Josiah Kennard,LS,6-1,215.0,So.,"Manvel, Texas",Manvel HS,,,
39,,Jabari Khepera,WR,5-10,195.0,Sr.,"Glenn Heights, Texas",Bishop Dunne HS,Illinois State,,
40,,Sean-Krystoff King,DB,5-9,178.0,So.,"Humble, Texas",Summer Creek HS,,,
41,,Daimon LaFrance,LB,5-11,205.0,Sr.,"Wallis, Texas",Brazos HS,Cisco College,,
42,,Thomas Landry,QB,6-1,229.0,So.,"Richardson, Texas",Berkner HS,,,
43,,Ian Langford,OL,6-4,266.0,So.,"Carrollton, Texas",Hebron HS,,,
44,,Spencer Long,RB,5-11,196.0,Sr.,"Mont Belvieu, Texas",Barbers Hills HS,,,
45,,Jaheim Lowe,LB,5-10,222.0,So.,"Cedar Hill, Texas",Cedar Hill HS,,,
46,,Josh Magana,QB,6-2,200.0,Jr.,"Dinuba, Calif.",Dinuba HS,Reedley College,,
47,,Aidan Martin,K,6-1,217.0,So.,"Houston, Texas",Klein Cain HS,Mississippi State,,
