,Statistic,No.,Name,Pos.,Ht.,Wt.,Class,Hometown / High School,Current School Name,Image,Title
0,,2.0,Thomas Wyatt,LB,6-3,220.0,So.,"McKeesport, Pa. / McKeesport",The Citadel,,
1,,3.0,Melvin Ravenel,DB,6-3,175.0,R-So.,"Goose Creek, S.C. / Goose Creek",The Citadel,,
2,,4.0,Dominick Poole,DB,6-0,175.0,Jr.,"Randleman, N.C. / Randleman",The Citadel,,
3,,6.0,Hasan Black,LB,6-3,235.0,Sr.,"Wyoming, Ohio / Wyoming",The Citadel,,
4,,8.0,Brian Horn,LB,6-1,195.0,Gr.,"Columbia, S.C. / Westwood",The Citadel,,
5,,10.0,Travon Wallace,DB,6-0,190.0,Gr.,"Jacksonville, Fla. / North Carolina Central",The Citadel,,
6,,11.0,Ahmad Green,QB,5-10,175.0,R-So.,"Baltimore, Md. / May River",The Citadel,,
7,,14.0,Tripp Williams,QB,6-1,215.0,So.,"Charleston, S.C. / Philip Simmons",The Citadel,,
8,,16.0,Varney Layman,QB,6-1,192.0,R-So.,"Concord, N.C. / Cox Mill",The Citadel,,
9,,17.0,Carson Walter,DB,6-0,204.0,Gr.,"Fayetteville, Ga. / Birmingham Southern",The Citadel,,
10,,18.0,Graeson Underwood,QB,6-0,225.0,Jr.,"Irmo, S.C / Dutch Fork",The Citadel,,
11,,19.0,Jay Graves-Billips,RB,5-11,185.0,R-So.,"Mobile, Ala. / St. Paul's Episcopal",The Citadel,,
12,,20.0,Michael McDowell,DL,6-1,215.0,Gr.,"Boiling Springs, S.C. / Boiling Springs",The Citadel,,
13,,22.0,JJ Hudson,RB,5-11,185.0,So.,"Anderson, S.C. / Navy Prep",The Citadel,,
14,,24.0,Wilson Hendricks III,DB,6-1,200.0,Jr.,"Travelers Rest, S.C. / Travelers Rest",The Citadel,,
15,,27.0,Cooper Wallace,RB,5-10,195.0,Sr.,"Florence, S.C. / West Florence",The Citadel,,
16,,29.0,Elijah Bass,TE,6-0,220.0,Jr.,"Stafford, Va. / Colonial Forge",The Citadel,,
17,,30.0,Joseph Poole,DB,6-2,175.0,Jr.,"Easley, S.C. / St. Joseph's Catholic",The Citadel,,
18,,31.0,Cale Williams,DB,6-0,195.0,So.,"Canton, Ga. / Creekview",The Citadel,,
19,,35.0,Chase Burton,WR,6-2,190.0,So.,"Anderson, S.C. / T.L. Hanna",The Citadel,,
20,,36.0,Desmond Boatwright,RB,5-10,190.0,R-Fr.,"Hopkins, S.C. / Blythewood",The Citadel,,
21,,38.0,Hayden Johnson,LB,5-11,185.0,Jr.,"York, S.C. / Clover",The Citadel,,
22,,39.0,Ricky Conway,RB,5-10,180.0,Gr.,"Lindenhurst, N.Y. / Long Island",The Citadel,,
23,,40.0,Johnny Crawford III,RB,5-8,180.0,So.,"Moore Haven, Fla. / Clewiston",The Citadel,,
24,,42.0,Corey Ibrahim,RB,5-10,196.0,So.,"Raleigh, N.C. / Myrtle Beach Collegiate",The Citadel,,
