,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Image,Title
0,,2.0,Evan Eller,LB,6-1,210.0,Sr.,"Roanoke, Va. / Lord Botetourt",,
1,,2.0,Collin Ironside,QB,6-2,205.0,R-Jr.,"Knoxville, Tenn. / Bearden",,
2,,3.0,Jack Caussin,TE,6-3,200.0,R-Sr.,"Springfield, Va. / West Springfield",,
3,,4.0,Christian Dunn,LB,6-3,215.0,R-Jr.,"Richmond, Va. / Benedictine",,
4,,5.0,Rashad Raymond,RB,5-11,210.0,R-Jr.,"Newark, N.J. / Cinnaminson",,
5,,6.0,Chance Knox,WR,5-10,160.0,Sr.,"Charleston, W.Va. / Capital",,
6,,7.0,Aidan Twombly,TE,6-3,225.0,Sr.,"Waxhaw, N.C. / Marvin Ridge",,
7,,9.0,Julio DaSilva,WR,6-0,170.0,Sr.,"Philadelphia, Pa. / West Catholic",,
8,,11.0,Andre Cooper,WR,6-5,210.0,R-Jr.,"Orlando, Fla. / Lake Nona",,
9,,11.0,Alex Oliver,DB,6-0,175.0,Sr.,"Mechanicsville, Va. / Atlee",,
10,,12.0,Wyatt Hagan,QB,6-0,175.0,So.,"Chantilly, Va. / St. John's College",,
11,,12.0,Jordan Smith,DB,6-2,185.0,So.,"Louisa, Va. / Louisa County",,
12,,13.0,Tahj Summey,DB,6-0,185.0,R-Jr.,"Herndon, Va. / Westfield",,
13,,14.0,Kaden Sonnabend,TE,6-5,215.0,So.,"Savannah, Ga. / New Hampstead",,
14,,16.0,Jahleel Porter,DB,6-0,185.0,So.,"North Charleston, S.C. / West Ashley",,
15,,16.0,Collin Shannon,QB,6-1,200.0,So.,"Sevierville, Tenn. / Sevier County",,
16,,17.0,Josh Knapp,DB,6-3,220.0,Sr.,"Abingdon, Md. / Archbishop Curley",,
17,,18.0,Miller Jay,QB,6-3,195.0,So.,"Lexington, Va. / Rockbridge County",,
18,,18.0,Jason Johnson,LB,6-2,215.0,R-So.,"Glen Allen, Va. / Glen Allen",,
19,,19.0,Sam Clendenin,QB,6-0,195.0,R-So.,"Castroville, Texas / Medina Valley",,
20,,19.0,VJ Johnson,WR,5-10,165.0,R-Jr.,"Virginia Beach, Va. / Catholic",,
21,,20.0,Shamus Jones,DB,6-3,205.0,Jr.,"Chester, Va. / Thomas Dale",,
22,,21.0,Amari Baylor,LB,6-4,215.0,So.,"Henrico, Va. / Varina",,
23,,22.0,Grant Swinehart,RB,6-1,190.0,R-Jr.,"Bridgewater, Va. / Turner Ashby",,
24,,23.0,Austin White,DB,5-11,175.0,Sr.,"Norfolk, Va. / Maury",,
25,,24.0,Hunter Rice,RB,6-0,225.0,Jr.,"Daleville, Va. / Lord Botetourt",,
26,,25.0,Ebenezer McCarthy,RB,5-11,190.0,So.,"Charlottesville, Va. / Albermarle",,
27,,26.0,Kouri Crump,DB,6-3,180.0,So.,"Charlotte, N.C. / Hough",,
28,,27.0,Jason Armstrong,WR,6-0,182.0,R-So.,"Chalottesville, Va. / Monticello",,
29,,28.0,Marquan Jones,DB,5-9,178.0,R-Sr.,"Charlottesville, Va. / Albemarle",,
30,,31.0,Noel Innocent,DB,6-1,170.0,R-So.,"Fredericksburg, Va. / Colonial Forge",,
31,,32.0,Bishop Cook,DB,5-10,175.0,So.,"Abingdon, Va. / Abingdon",,
32,,33.0,Aaron Horton,DB,6-1,160.0,So.,"Suwanee, Ga. / Collins Hill",,
33,,34.0,Steven Doldy,DB,5-10,165.0,R-Sr.,"Pennington, N.J. / Hopewell Valley Central",,
34,,35.0,Stephen Dean,LB,6-2,205.0,So.,"Mineral, Va. / Louisa",,
35,,36.0,Elijah Quamiley,DB,5-10,170.0,R-Jr.,"Norfolk, Va. / Norfolk Academy",,
36,,36.0,Ezra Varney,,-,,So.,/,,
37,,37.0,Eric Rankin,LB,6-3,215.0,Jr.,"Ashland, Va. / Hanover",,
38,,38.0,Jason Cole,DB,6-0,190.0,So.,"Suffolk, Va. / Kings Fork",,
39,,39.0,Luke Schalow,LB/RB,5-10,190.0,So.,"Ashburn, Va. / Briar Woods",,
40,,40.0,Jake Liberatore,LB,6-0,205.0,R-Jr.,"Richmond, Va. / Douglas Freeman",,
41,,41.0,Jack Culbreath,K/P,6-4,235.0,Sr.,"Charlottesville, Va. / Monticello",,
42,,42.0,Gavin Hudson,LB,6-0,235.0,So.,"Oakboro, N.C. / West Stanly",,
43,,43.0,Mark Shelton,RB,5-10,187.0,R-Jr.,"Stafford, Va. / Mountain View",,
44,,44.0,Dorien Starnes,DL,6-2,250.0,Jr.,"Waco, N.C. / Burns",,
45,,45.0,Ernie Campbell,DL,6-2,250.0,R-Sr.,"Richmond, Va. / Freeman",,
46,,46.0,John Covert,DL,6-1,215.0,R-So.,"Winfield, W.Va. / Winfield",,
47,,47.0,Tyrel Dobson,LB,5-11,195.0,So.,"Radford, Va. / Radford",,
48,,47.0,Jabari Haslem,LB,6-1,227.0,R-So.,"Woodbridge, Va. / Woodbridge",,
49,,48.0,Luke Mayr,WR,5-10,187.0,Jr.,"Lexington, Va. / Rockbridge County",,
50,,48.0,Bret McClung,,-,,So.,/,,
51,,49.0,Jonathan Hunter-Horton,LB,6-1,195.0,R-So.,"Ashburn, Va. / Broad Run",,
52,,50.0,Tristan Mann,OL,6-6,245.0,R-Sr.,"North Chesterfield, Va. / Monacan",,
53,,50.0,Tyler Swann,DL,6-1,280.0,So.,"Mableton, Ga. / Pebblebrook",,
54,,51.0,Terrell Jackson,DL,6-1,265.0,Jr.,"Washington, DC / The Bullis School",,
55,,53.0,Malachi Mills,OL,6-4,265.0,R-Sr.,"Richmond, Va. / Douglas Freeman",,
56,,55.0,Charles Dixon,DL,6-0,250.0,R-Sr.,"Chesapeake, Va. / Indian River",,
57,,56.0,James Bangura,LB,6-0,225.0,So.,"Dumfries, Va. / Potomac",,
58,,57.0,Joseph Franson,LS,6-3,215.0,R-Jr.,"Reidsville, N.C. / Reidsville",,
59,,58.0,Grayson Owens,OL,6-3,235.0,R-Sr.,"Arlington, Va. / Yorktown",,
60,,59.0,Justin Peterson,LS,5-11,220.0,R-Jr.,"Bristow, Va. / Patriot",,
61,,60.0,Nathan Payne,LS/T,6-3,210.0,So.,"Burke, Va. / Lake Braddock",,
62,,62.0,Jacob Griles,LB,5-8,178.0,R-Jr.,"Chesterfield, Va. / Manchester",,
63,,63.0,Trey Reiter,OL/DL,6-0,265.0,So.,"Daleville, Va. / Lord Botetour",,
64,,64.0,Jarvis Chandler,OL,6-5,270.0,R-Sr.,"Bon Air, Va. / James River",,
65,,65.0,Owen Ham,DL,6-0,245.0,So.,"Mechanicsville, Va. / Atlee",,
66,,66.0,Melsy Bonilla,OL,6-0,245.0,R-Jr.,"Charlotte, N.C. / Independence",,
67,,68.0,Cole Holtz,OL,6-2,240.0,R-Jr.,"Richmond, Va. / Douglas Freeman",,
68,,70.0,Will Reid,OL,6-4,300.0,R-Jr.,"Richmond, Va. / Douglas Freeman",,
69,,71.0,Stephen Castle,OL,6-5,235.0,R-Jr.,"Mechanicsville, Va. / Hanover",,
70,,72.0,Michael Perry,OL,6-3,275.0,So.,"Fredericksburg, Va. / St. Michael the Archangel",,
71,,73.0,Austin Doyle,OL,6-6,285.0,R-Jr.,"Lexington, Va. / Rockbridge County",,
72,,74.0,William Dixon,OL,6-4,220.0,So.,"Midlothian, Va. / James River",,
73,,75.0,Stacy Williams,DL,6-3,294.0,So.,"Salem, Va. / Salem",,
74,,76.0,Jacob Ashley,OL,6-6,295.0,So.,"Mount Pleasant, S.C. / Oceanside Collegiate",,
75,,77.0,Tyriq Poindexter,OL,6-5,300.0,R-So.,"Roanoke, Va. / William Fleming",,
76,,78.0,Ben George,OL,6-4,230.0,R-Jr.,"Clarksburg, W.Va. / Robert C. Byrd",,
77,,79.0,John Inge,OL,6-3,277.0,R-So.,"Blackstone, Va. / Kenston Forest",,
78,,80.0,Isaiah Lemmond,WR,6-0,195.0,So.,"Ashburn, Va. / Broad Run",,
79,,81.0,Trace Pedigo,WR,6-4,185.0,R-So.,"Roanoke, Va. / Patrick Henry",,
80,,82.0,Isaiah Crockett,WR,6-6,196.0,So.,"Woodbridge, Va. / Gar-Field",,
81,,83.0,Ivan Thorpe,WR,5-10,170.0,So.,"Philadelphia, Pa. / Springside Chestnut Hill /",,
82,,84.0,Ryan von Brandt,TE,6-7,215.0,So.,"Middletown, Del. / Appoquinimink /",,
83,,85.0,Travis Buchanan,WR,5-7,155.0,R-Jr.,"Duluth, Ga. / Northview",,
84,,85.0,Joe Comello,WR,6-0,190.0,So.,"Olney, Md. / Our Lady of Good Counsel",,
85,,86.0,Jimmy Murphy,DL,6-2,215.0,R-Jr.,"Golden Valley, Minn. / Hopkins",,
86,,87.0,Shane Washko,TE,6-4,225.0,R-Jr.,"Purcellville, Va. / Loudoun Valley",,
87,,88.0,Morgan McPhaul,WR/TE,6-2,230.0,So.,"Kinston, N.C. / Arendell-Parrott Academy",,
