,Statistic,#,Image,Name,Class,Position,Height,Weight,Current School Name,Hometown / High School,Previous School,Title
0,,0.0,,Tajay Passmore,Jr.,DL,6-2,275.0,Wagner,"Queens, NY / Mater Dei",,
1,,0.0,,Jallah Zeze,R-Sr.,WR,6-2,225.0,Wagner,"Lawrenceville, GA / Minnesota State Community and Technical College",,
2,,1.0,,Titus Leo,Gr.,DL,6-4,245.0,Wagner,"Sheepshead Bay, NY / Sheepshead Bay",,
3,,1.0,,Naiem Simmons,Jr.,WR,5-10,175.0,Wagner,"Cherry Hill, NJ / Cherry Hill West | Milford Academy",,
4,,2.0,,Nicholas Cartwright-Atkins,Sr.,WR,6-1,195.0,Wagner,"Moorestown, NJ / Moorestown",,
5,,3.0,,Branden Coleman,So.,DB,6-0,175.0,Wagner,"Clermont, FL / Christopher Columbus",Colorado State,
6,,3.0,,Jayvin Little,Sr.,WR,5-10,170.0,Wagner,"Sicklerville, NJ / Timber Creek Regional",,
7,,4.0,,Tommy Brown,So.,QB,6-0,190.0,Wagner,"Norwalk, CT / Norwalk",,
8,,4.0,,Travis Laster,Jr.,DB,5-11,180.0,Wagner,"Browns Mills, NJ / Seneca",,
9,,5.0,,Randy Fizer,So.,WR,6-0,180.0,Wagner,"Red Lion, PA / Red Lion",,
10,,5.0,,John Gioia,Sr.,LB,6-1,220.0,Wagner,"LaGrangeville, NY / Arlington",,
11,,6.0,,Julian Jordan,Jr.,WR,6-1,220.0,Wagner,"Harrisburg, PA / Bishop McDevitt",,
12,,6.0,,Jalin Justice,Jr.,LB,6-3,225.0,Wagner,"Laurel, MD / Archbishop Spalding",,
13,,7.0,,Coby Calvin,Sr.,DB,6-1,200.0,Wagner,"Mount Vernon, WA / Mount Vernon",,
14,,7.0,,Ryan Kraft,Sr.,QB,6-0,200.0,Wagner,"Murphys, CA / Merced College",,
15,,8.0,,Lennox Lamar,Jr.,LB,6-5,240.0,Wagner,"Ellenwood, GA / Peddie School",,
16,,8.0,,Damien Mazil,Fr.,QB,6-2,190.0,Wagner,"Virginia Beach, VA / Atlantic Shores Christian",,
17,,9.0,,Dylan Hach,So.,p,-,170.0,Wagner,"Staten Island, NY / Monsignor Farrell",,
18,,9.0,,Justin Wolf,Jr.,TE,6-4,230.0,Wagner,"Brooklyn, NY / Xaverian",,
19,,10.0,,Chase Stafford,Jr.,TE,6-4,235.0,Wagner,"New Berlin, NY / Milford Academy",,
20,,11.0,,Nick Kargman,Sr.,QB,6-3,200.0,Wagner,"Sewell, NJ / Woodrow Wilson",Western Michigan,
21,,12.0,,Anthony Thornton,Jr.,DB,5-10,175.0,Wagner,"Missouri City, TX / Ridge Point",,
22,,13.0,,Luke Jakubauskas,So.,DL,6-2,235.0,Wagner,"Staten Island, NY / St. Peter's",,
23,,14.0,,Austin Hosier,So.,K/P,5-7,160.0,Wagner,"San Antonio, TX / Smithson Valley",,
24,,15.0,,Jordan Murrell,Jr.,WR,5-7,155.0,Wagner,"Brooklyn, NY / Xaverian",,
25,,16.0,,Quincy Guy-Barnes,5th,QB,5-9,195.0,Wagner,"Staten Island, NY / Curtis",,
26,,17.0,,Trevor Shorter,So.,WR,5-11,175.0,Wagner,"Swedesboro, NJ / Kingsway",,
27,,18.0,,Joshua Brown,So.,P,6-2,205.0,Wagner,"Helotes, TX / O'Connor",,
28,,19.0,,Nicolas Olivier,Gr.,DB,6-0,170.0,Wagner,"Freeport, NY / Freeport",Nassau CC,
29,,20.0,,Christian Davis,Jr.,DB,5-11,180.0,Wagner,"Piscataway, NJ / Piscataway",,
30,,22.0,,Ahmed Johnson,Jr.,DB,6-4,205.0,Wagner,"Delran, NJ / Delran",,
31,,23.0,,Justin Smith,So.,DB,6-2,185.0,Wagner,"Laurel, MD / Our Lady of Good Counsel",,
32,,24.0,,Branden Rankins,R-Sr.,RB,5-11,220.0,Wagner,"San Bernardino, CA / Fullerton College",,
33,,25.0,,Tre Vallar,5th,LB,6-1,225.0,Wagner,"Grand Rapids, MI / Grand Rapids HS | College of the Canyons",,
34,,26.0,,Roberto Auguste,Jr.,DB,6-1,200.0,Wagner,"Brooklyn, NY / Nassau Community College (NY)",,
35,,27.0,,Morris Vanderwiel,So.,DB,6-2,180.0,Wagner,"San Diego, CA / Torrey Pines",,
36,,28.0,,Kobi Ray-Reed,Fr.,RB,5-10,185.0,Wagner,"Medford, NJ / Lenape",,
37,,29.0,,Jayden Brown,Fr.,DB,5-11,170.0,Wagner,"Sicklerville, NJ / Milford Academy",,
38,,30.0,,Ajay Morrison,Jr.,DB,6-0,170.0,Wagner,"Queens, NY / Christ The King",,
39,,31.0,,Brendan Johnson,Jr.,DB,6-0,190.0,Wagner,"Upper Marlboro, MD / Good Counsel",,
40,,32.0,,Chris Field,So.,LB,6-3,200.0,Wagner,"Staten Island, NY / Paramus Catholic",,
41,,33.0,,Isaiah Emmanuel,So.,DB,5-10,185.0,Wagner,"Providence, RI / Bishop Hendricken",,
42,,34.0,,Brylan Noonan,So.,LS,6-0,180.0,Wagner,"Clifton, VA / Robinson",,
43,,35.0,,Shane Quast,Sr.,LB,6-2,220.0,Wagner,"Mullica Hill, NJ / St. Augustine Prep",,
44,,36.0,,Rickey Spruill,So.,RB,5-10,195.0,Wagner,"Morrisville, PA / Notre Dame",,
45,,37.0,,David Lonergan,Fr.,RB,5-9,185.0,Wagner,"Ipswich, MA / Ipswich",,
46,,38.0,,Nyon Barnes,Jr.,DB,6-1,200.0,Wagner,"Delran, NJ / Delran",,
47,,39.0,,Sam Okeyo,Fr.,LB,6-0,190.0,Wagner,"Newburgh, NY / Newburgh Free Academy",,
