,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
0,,0.0,Jaylen Floyd,S,5-9,180.0,Gr.,"Miramar, Fla. / Miramar HS",Lehigh,,
1,,0.0,TJ Jones,RB,5-11,205.0,Sr.,"Lakeland, Fla. / Lakeland HS",Tusculum,,
2,,1.0,Cameron McCutcheon,CB,6-3,200.0,5th,"Seneca, S.C. / Seneca HS",Gardner-Webb,,
3,,1.0,Desmond Reid,RB,5-8,170.0,Fr.,"Miami Gardens, Fla. / Miramar HS",,,
4,,2.0,Rod Gattison,CB,6-0,190.0,Jr.,"Hartsville, S.C. / Hartsville HS",Georgia Military College,,
5,,2.0,Raphael Williams,WR,5-10,165.0,So.,"Ft. Lauderdale, Fla. / Dillard HS",Tusculum,,
6,,3.0,Jacob Harris,S,6-1,195.0,Jr.,"Greer, S.C. / Greer HS",Independence CC,,
7,,3.0,Calvin Jones,WR,5-10,190.0,So.,"Forest City, N.C. / East Rutherford HS",,,
8,,4.0,Kason Lincke,QB,6-0,200.0,R-Fr.,"Mobile, Ala. / Mobile Christian HS",,,
9,,4.0,CJ Williams,CB,5-10,170.0,So.,"Gallion, Ala. / Demopolis HS",Alabama,,
10,,5.0,Carlos Davis,QB,6-3,225.0,Jr.,"Baltimore, Md. / Mergenthaler Vo-Tech HS",East Mississippi CC,,
11,,5.0,Mateo Sudipo,S,6-1,205.0,R-So.,"Wake Forest, N.C. / Wake Forest HS",Coastal Carolina,,
12,,6.0,Terrence Horne,WR,5-8,185.0,Jr.,"Miami, Fla. / Miramar HS",USF,,
13,,6.0,K.J. Milner,DL,6-4,265.0,Sr.,"Hinesville, Ga. / Bradwell Institute",,,
14,,7.0,Hayward McQueen III,LB,6-1,195.0,Fr.,"Ft. Lauderdale, Fla. / TRU Prep Academy",,,
15,,7.0,David White Jr.,WR,6-4,200.0,Jr.,"Jacksonville, Fla. / Westside HS",Valdosta State,,
16,,8.0,Va Lealaimatafao,LB,6-1,230.0,Jr.,"San Antonio, Texas / Warren HS",Cisco College,,
17,,8.0,Jalynn Williams,RB,5-10,205.0,Jr.,"St. Petersburg, Fla. / St. Petersburg HS",Toledo,,
18,,9.0,Cole Gonzales,QB,6-0,190.0,Fr.,"Ocala, Fla. / Trinity Catholic HS",,,
19,,9.0,Micah Nelson,DE,6-3,255.0,So.,"Murphy, N.C. / Murphy HS",,,
20,,10.0,Taurus Dotson Jr.,CB,5-11,200.0,Sr.,"Miami, Fla. / Northwestern HS",Valdosta State,,
21,,10.0,Censere Lee,WR,5-11,160.0,Fr.,"Clearwater, Fla. / Clearwater HS",,,
22,,11.0,Ajay Belanger,TE,6-3,245.0,Jr.,"Green Cove Springs, Fla. / Clay HS",Tusculum,,
23,,11.0,Caleb Fisher,DL,6-3,235.0,So.,"Decatur, Ga. / Columbia HS",,,
24,,12.0,Ken Moore Jr.,CB,5-10,155.0,Fr.,"Miami, Fla. / Christopher Columbus HS",,,
25,,12.0,Brody Palhegyi,QB,5-10,180.0,R-Fr.,"Fort Lauderdale, Fla. / Cardinal Gibbons HS",,,
26,,13.0,Tanner Cromer,DL,6-4,250.0,So.,"Reading, Ohio / Reading HS",Ellsworth CC,,
27,,13.0,Jaylin Terzado,WR,6-0,170.0,Fr.,"Overtown, Fla. / Champagnat Catholic HS",,,
28,,14.0,Nick Louis,S,6-2,200.0,Jr.,"Miami, Fla. / North Miami Senior HS",Independence CC,,
29,,14.0,De'Andre Tamarez,WR,5-11,165.0,Fr.,"Overtown, Fla. / Carol City HS",,,
30,,15.0,Ja'morri Downing,S,6-0,190.0,Fr.,"Ft. Lauderdale, Fla. / Stranahan HS",,,
31,,15.0,Corey Reddick Jr.,RB,5-10,170.0,Fr.,"Delray Beach, Fla. / Atlantic HS",,,
32,,16.0,Marquis Lymon,S,5-10,205.0,Fr.,"Delray Beach, Fla. / Atlantic HS",,,
33,,16.0,Parish Metzger,QB,6-0,200.0,R-Fr.,"Matthews, N.C. / David W. Butler HS",,,
34,,17.0,Samuel Cornett,QB,6-6,225.0,Fr.,"Woodstock, Ga. / Frederick Douglass (Ky.) HS",,,
35,,18.0,Malik Knight,WR,6-2,170.0,Fr.,"Fort Lauderdale, Fla. / Fort Lauderdale HS",,,
36,,19.0,Toler Keigley,WR,6-1,190.0,R-Fr.,"Pensacola, Fla. / Mobile Christian HS",,,
37,,20.0,Ed Jones IV,LB,6-1,205.0,So.,"Arlington, Texas / Martin HS",Cisco College,,
38,,21.0,Andreas Keaton,S,6-2,200.0,So.,"Powder Springs, Ga. / Hillgrove HS",,,
39,,22.0,Branson Adams,RB,5-9,185.0,So.,"Greensboro, N.C. / Dudley HS",,,
40,,24.0,Samaurie Dukes,CB,5-10,185.0,Fr.,"Miami, Fla. / Miami HS",,,
41,,25.0,Darian Anderson Jr.,CB,5-10,160.0,Fr.,"Miami, Fla. / Dade Christian School",,,
42,,26.0,Jeremiah Noel,S,6-0,185.0,Fr.,"Opa-Locka, Fla. / Miami Killian HS",,,
43,,27.0,Skylin Thomas,LB,5-10,205.0,R-So.,"Lenoir, N.C. / Hibriten HS",,,
44,,28.0,Jordy Lowery,CB,5-11,190.0,Fr.,"Bartow, Fla. / Bartow HS",,,
45,,29.0,Jhamari Pierre-Louis,S,5-11,185.0,Fr.,"Delray Beach, Fla. / Atlantic HS",,,
46,,30.0,Justin McMullen,CB,5-10,170.0,Fr.,"Miami, Fla. / Booker T. Washington HS",,,
